,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
0,,,,第1节,24.5,0.83,-24.5,0.83,169.5,0.83,169.5,0.83,,,,,0.0,0.0,0.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1,9.0,54.0,1,20180513140054,11077
1,,,,第1节,24.5,0.83,-24.5,0.83,168.5,0.83,168.5,0.83,168.5,,,,0.0,0.0,0.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1,9.0,54.0,1,20180513140054,11077
2,,,,第1节,24.5,0.83,-24.5,0.83,168.5,0.83,168.5,0.83,168.5,,,,0.0,0.0,0.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1,9.0,38.0,1,20180513140108.0,11077
3,,,,第1节,24.5,0.83,-24.5,0.83,168.5,0.83,168.5,0.83,168.5,,,,0.0,0.0,0.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1,9.0,38.0,1,20180513140108.0,21077.0
4,,,,第1节,24.5,0.83,-24.5,0.83,168.5,0.83,168.5,0.83,168.5,,,,0.0,0.0,0.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1,9.0,30.0,1,20180513140116.0,11077.0
5,,,,第1节,24.5,0.83,-24.5,0.83,167.5,0.83,167.5,0.83,167.5,,,,0.0,0.0,0.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1,9.0,30.0,1,20180513140116.0,11077.0
6,,,,第1节,24.5,0.83,-24.5,0.83,167.5,0.83,167.5,0.83,167.5,,,,0.0,0.0,0.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1,9.0,30.0,1,20180513140118.0,11077.0
7,,,,第1节,24.5,0.83,-24.5,0.83,167.5,0.83,167.5,0.83,167.5,,,,0.0,0.0,0.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1,9.0,30.0,1,20180513140118.0,11077.0
8,,,,第1节,24.5,0.83,-24.5,0.83,167.5,0.83,167.5,0.83,167.5,,,,0.0,0.0,0.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1,9.0,21.0,1,20180513140125.0,11077.0
9,,,,第1节,24.5,0.83,-24.5,0.83,167.5,0.83,167.5,0.83,167.5,,,,1.0,0.0,0.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,1,9.0,21.0,1,20180513140125.0,11075.0
