,AM,AS,CP,ED,HA,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,OD,PG,PI,S1_h,S2_h,S3_h,S4_h,S5_h,S6_h,SC_a,SC_h,SU,TD,TM,TO,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,,第1节,,4.5,0.87,-4.5,0.87,139.5,0.87,139.5,0.87,,,,,,,,,,,,,,0.0,1,10.0,,0.0,0,,,1.7,0.47
1,,,,第1节,,4.5,0.87,-4.5,0.87,139.5,0.87,139.5,0.87,,,,,,,,,,,,,,1.0,1,10.0,,0.0,0,,,1.7,0.47
2,,,,第1节,,4.5,0.87,-4.5,0.87,139.5,0.87,139.5,0.87,,,,,,,,,,,,,,1.0,1,10.0,,0.0,0,,,1.7,0.47
3,,,,第1节,,4.5,0.87,-4.5,0.87,139.5,0.87,139.5,0.87,,,,,,,,,,,,,,1.0,1,10.0,,0.0,0,,,1.7,0.47
4,,,,第1节,,4.5,0.87,-4.5,0.87,139.5,0.87,139.5,0.87,,,,,,,,,,,,,,1.0,1,10.0,,0.0,0,,,1.7,0.47
5,,,,第1节,,4.5,0.87,-4.5,0.87,139.5,0.87,139.5,0.87,,,,,,,,,,,,,,1.0,1,10.0,,0.0,0,,,1.7,0.47
6,,,,第1节,,4.5,0.87,-4.5,0.87,139.5,0.87,139.5,0.87,,1.0,,,,0.0,0.0,0.0,5.0,0.0,0.0,,,1.0,1,9.0,GD,58.0,0,,1087.0,1.7,0.47
7,,,,第1节,,4.5,0.87,-4.5,0.87,139.5,0.87,139.5,0.87,,1.0,,,,0.0,0.0,0.0,5.0,0.0,0.0,,,0.0,1,9.0,GD,58.0,0,,21077.0,1.7,0.47
8,,,,第1节,,4.5,0.87,-4.5,0.87,139.5,0.87,139.5,0.87,,1.0,,,,0.0,0.0,0.0,5.0,0.0,0.0,,,0.0,1,9.0,GD,58.0,0,,21077.0,1.7,0.47
9,,,,第1节,,4.5,0.87,-4.5,0.87,139.5,0.87,139.5,0.87,,1.0,,,,0.0,0.0,0.0,5.0,0.0,0.0,,,0.0,1,9.0,GD,58.0,0,,21077.0,1.7,0.47
10,,,,第1节,,4.5,0.87,-4.5,0.87,139.5,0.87,139.5,0.87,,1.0,,,,0.0,0.0,0.0,5.0,0.0,0.0,,,0.0,1,9.0,GD,58.0,0,,21077.0,1.7,0.47
11,,,,第1节,,4.5,0.87,-4.5,0.87,139.5,0.87,139.5,0.87,,1.0,,,,0.0,0.0,0.0,5.0,0.0,0.0,,,0.0,1,9.0,GD,58.0,0,,21077.0,1.7,0.47
12,,,,第1节,137.5,4.5,0.87,-4.5,0.87,139.5,0.87,139.5,0.87,137.5,1.0,0.83,,,0.0,0.0,0.0,5.0,0.0,0.0,,,0.0,1,9.0,GD,58.0,0,,21077.0,1.7,0.47
13,,,,第1节,137.5,4.5,0.87,-4.5,0.87,139.5,0.87,139.5,0.87,137.5,1.0,0.91,,,0.0,0.0,0.0,5.0,0.0,0.0,,,0.0,1,9.0,GD,35.0,0,,21077.0,1.7,0.47
14,,,,第1节,137.5,4.5,0.87,-4.5,0.87,139.5,0.87,139.5,0.87,137.5,1.0,0.91,,,0.0,0.0,0.0,5.0,0.0,0.0,,,0.0,1,9.0,GD,35.0,0,,11077.0,1.7,0.47
15,,,,第1节,137.5,4.5,0.87,-4.5,0.87,139.5,0.87,139.5,0.87,137.5,1.0,0.91,,,0.0,0.0,0.0,5.0,0.0,0.0,,,0.0,1,9.0,GD,17.0,0,,11077.0,1.7,0.47
16,,,,第1节,137.5,4.5,0.87,-4.5,0.87,139.5,0.87,139.5,0.87,137.5,1.0,0.91,,,0.0,0.0,0.0,5.0,1.0,0.0,,,0.0,1,9.0,GD,17.0,0,,21086.0,1.7,0.47
17,,,,第1节,136.5,4.5,0.87,-4.5,0.87,139.5,0.87,139.5,0.87,136.5,1.0,0.87,,,0.0,0.0,0.0,5.0,1.0,0.0,,,0.0,1,9.0,GD,17.0,0,,11077.0,1.7,0.47
18,,,,第1节,136.5,4.5,0.87,-4.5,0.87,139.5,0.87,139.5,0.87,136.5,1.0,0.87,,,0.0,0.0,0.0,5.0,1.0,0.0,,,0.0,1,9.0,GD,17.0,0,,11077.0,1.7,0.47
19,,,,第1节,136.5,4.5,0.87,-4.5,0.87,139.5,0.87,139.5,0.87,136.5,1.0,0.45,,,0.0,0.0,0.0,5.0,1.0,0.0,,,0.0,1,9.0,GD,17.0,0,,11077.0,1.7,0.47
20,,,,第1节,136.5,4.5,0.87,-4.5,0.87,139.5,0.87,139.5,0.87,136.5,1.0,1.75,,,0.0,0.0,0.0,5.0,1.0,0.0,,,1.0,1,9.0,GD,17.0,0,,11077.0,1.7,0.47
21,,,,第1节,136.5,4.5,0.87,-4.5,0.87,139.5,0.87,139.5,0.87,136.5,1.0,1.75,,,0.0,0.0,0.0,5.0,1.0,0.0,,,1.0,1,9.0,GD,17.0,0,,11077.0,1.7,0.47
22,,,,第1节,136.5,4.5,0.87,-4.5,0.87,139.5,0.87,139.5,0.87,136.5,1.0,1.75,,,0.0,0.0,0.0,5.0,1.0,0.0,,,1.0,1,9.0,GD,17.0,0,,11077.0,1.7,0.47
23,,,,第1节,136.5,4.5,0.87,-4.5,0.87,139.5,0.87,139.5,0.87,136.5,1.0,1.75,,,0.0,0.0,0.0,5.0,1.0,0.0,,,1.0,1,9.0,GD,17.0,0,,11077.0,1.7,0.47
24,,,,第1节,136.5,4.5,0.87,-4.5,0.87,139.5,0.87,139.5,0.87,136.5,1.0,1.75,,,0.0,0.0,0.0,5.0,1.0,0.0,,,1.0,1,9.0,GD,17.0,0,,11077.0,1.7,0.47
25,,,,第1节,136.5,4.5,0.87,-4.5,0.87,139.5,0.87,139.5,0.87,136.5,1.0,1.75,,,0.0,0.0,0.0,5.0,1.0,0.0,,,1.0,1,9.0,GD,17.0,0,,11077.0,1.7,0.47
26,,,,第1节,136.5,4.5,0.87,-4.5,0.87,139.5,0.87,139.5,0.87,136.5,1.0,1.75,,,0.0,0.0,0.0,5.0,1.0,0.0,,,0.0,1,9.0,GD,17.0,0,,11077.0,1.7,0.47
27,,,,第1节,136.5,4.5,0.87,-4.5,0.87,139.5,0.87,139.5,0.87,136.5,1.0,1.75,,,0.0,0.0,0.0,5.0,1.0,0.0,,,0.0,1,9.0,GD,17.0,0,,11077.0,1.7,0.47
28,,,,第1节,136.5,4.5,0.87,-4.5,0.87,139.5,0.87,139.5,0.87,136.5,1.0,1.75,,,0.0,0.0,0.0,5.0,1.0,0.0,,,0.0,1,9.0,GD,17.0,0,,11077.0,1.7,0.47
29,,,,第1节,136.5,4.5,0.87,-4.5,0.87,139.5,0.87,139.5,0.87,136.5,1.0,1.75,,,0.0,0.0,0.0,5.0,1.0,0.0,,,0.0,1,9.0,GD,17.0,0,,11077.0,1.7,0.47
30,,,,第1节,136.5,4.5,0.87,-4.5,0.87,139.5,0.87,139.5,0.87,136.5,1.0,1.75,,,0.0,0.0,0.0,5.0,1.0,0.0,,,0.0,1,9.0,GD,17.0,0,,11077.0,1.7,0.47
31,,,,第1节,136.5,4.5,0.87,-4.5,0.87,139.5,0.87,139.5,0.87,136.5,1.0,1.75,,,0.0,0.0,0.0,5.0,1.0,0.0,,,0.0,1,9.0,GD,18.0,0,,11077.0,1.7,0.47
32,,,,第1节,136.5,4.5,0.87,-4.5,0.87,139.5,0.87,139.5,0.87,136.5,1.0,1.75,,,0.0,0.0,0.0,5.0,1.0,0.0,,,0.0,1,9.0,GD,18.0,0,,11074.0,1.7,0.47
33,,,,第1节,136.5,4.5,0.87,-4.5,0.87,139.5,0.87,139.5,0.87,136.5,1.0,1.75,,,0.0,0.0,0.0,5.0,1.0,0.0,0.0,2.0,0.0,1,9.0,GD,18.0,0,,21077.0,1.7,0.47
34,,,,第1节,136.5,4.5,0.87,-4.5,0.87,139.5,0.87,139.5,0.87,136.5,1.0,1.75,,,0.0,0.0,0.0,5.0,1.0,0.0,0.0,2.0,0.0,1,9.0,GD,17.0,0,,21077.0,1.7,0.47
35,,,,第1节,-5.5,4.5,0.87,-4.5,0.87,139.5,0.87,139.5,0.87,-5.5,1.0,0.91,,,0.0,0.0,0.0,5.0,1.0,0.0,0.0,2.0,0.0,1,9.0,GD,17.0,0,,21077.0,1.7,0.47
36,,,,第1节,5.5,4.5,0.87,-4.5,0.87,139.5,0.87,139.5,0.87,5.5,1.0,0.83,,,0.0,0.0,0.0,5.0,1.0,0.0,0.0,2.0,0.0,1,9.0,GD,17.0,0,,21077.0,1.7,0.47
37,,,,第1节,138.5,4.5,0.87,-4.5,0.87,139.5,0.87,139.5,0.87,138.5,1.0,0.83,,,0.0,0.0,0.0,5.0,1.0,0.0,0.0,2.0,0.0,1,9.0,GD,17.0,0,,21077.0,1.7,0.47
38,,,,第1节,138.5,4.5,0.87,-4.5,0.87,139.5,0.87,139.5,0.87,138.5,1.0,0.91,,,0.0,0.0,0.0,5.0,1.0,0.0,0.0,2.0,0.0,1,9.0,GD,17.0,0,,21077.0,1.7,0.47
