,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,,第2节,3.5,0.83,-3.5,0.83,183.5,0.83,183.5,0.83,,,,,3.0,0.0,6.0,13.0,15.0,1.0,5.0,4.0,2.0,2.0,75.0,25.0,36.0,27.0,0.0,1,6.0,17.0,0,,11077,0.0,0.0
1,,,,第2节,3.5,0.83,-3.5,0.83,183.5,0.83,183.5,0.83,,,,,3.0,0.0,6.0,13.0,15.0,1.0,5.0,4.0,2.0,2.0,75.0,25.0,36.0,27.0,0.0,1,6.0,7.0,0,,11077,0.0,0.0
2,,,,第2节,3.5,0.83,-3.5,0.83,182.5,0.83,182.5,0.83,182.5,,,,3.0,0.0,6.0,13.0,15.0,1.0,5.0,4.0,2.0,2.0,75.0,25.0,36.0,27.0,0.0,1,6.0,7.0,0,,11077,0.0,0.0
3,,,,第2节,3.5,0.83,-3.5,0.83,182.5,0.83,182.5,0.83,182.5,,,,3.0,0.0,6.0,13.0,15.0,1.0,5.0,4.0,2.0,2.0,75.0,25.0,36.0,27.0,0.0,1,6.0,2.0,0,,11077,0.0,0.0
4,,,,第2节,3.5,0.83,-3.5,0.83,181.5,0.83,181.5,0.83,181.5,,,,3.0,0.0,6.0,13.0,15.0,1.0,5.0,4.0,2.0,2.0,75.0,25.0,36.0,27.0,0.0,1,6.0,2.0,0,,21077.0,0.0,0.0
5,,,,第2节,3.5,0.83,-3.5,0.83,181.5,0.83,181.5,0.83,181.5,,,,3.0,0.0,6.0,13.0,15.0,1.0,5.0,4.0,2.0,2.0,75.0,25.0,36.0,27.0,0.0,1,5.0,51.0,0,,11077.0,1.3,0.56
6,,,,第2节,3.5,0.83,-3.5,0.83,180.5,0.83,180.5,0.83,180.5,,,,3.0,0.0,6.0,13.0,15.0,1.0,5.0,4.0,2.0,2.0,75.0,25.0,36.0,27.0,0.0,1,5.0,51.0,0,,11077.0,1.3,0.56
7,,,,第2节,3.5,0.83,-3.5,0.83,180.5,0.83,180.5,0.83,180.5,,,,3.0,0.0,6.0,13.0,15.0,1.0,5.0,4.0,2.0,2.0,75.0,25.0,36.0,27.0,0.0,1,5.0,51.0,0,,11077.0,1.5,0.0
8,,,,第2节,3.5,0.83,-3.5,0.83,180.5,0.83,180.5,0.83,180.5,,,,3.0,0.0,6.0,13.0,15.0,1.0,5.0,4.0,2.0,2.0,75.0,25.0,36.0,27.0,0.0,1,5.0,51.0,0,,11077.0,1.3,0.56
9,,,,第2节,3.5,0.83,-3.5,0.83,179.5,0.83,179.5,0.83,179.5,,,,3.0,0.0,6.0,13.0,15.0,1.0,5.0,4.0,2.0,2.0,75.0,25.0,36.0,27.0,0.0,1,5.0,51.0,0,,21077.0,1.5,0.0
10,,,,第2节,3.5,0.83,-3.5,0.83,179.5,0.83,179.5,0.83,179.5,,,,3.0,0.0,6.0,13.0,15.0,1.0,5.0,4.0,2.0,2.0,75.0,25.0,36.0,27.0,0.0,1,5.0,35.0,0,,21077.0,1.5,0.0
11,,,,第2节,3.5,0.83,-3.5,0.83,179.5,0.83,179.5,0.83,179.5,,,,3.0,0.0,6.0,13.0,15.0,1.0,5.0,4.0,2.0,2.0,75.0,25.0,36.0,27.0,0.0,1,5.0,35.0,0,,11077.0,1.3,0.56
12,,,,第2节,3.5,0.83,-3.5,0.83,179.5,0.83,179.5,0.83,179.5,,,,3.0,0.0,6.0,13.0,15.0,1.0,5.0,4.0,2.0,2.0,75.0,25.0,36.0,27.0,0.0,1,5.0,23.0,0,,11077.0,1.3,0.56
13,,,,第2节,3.5,0.87,-3.5,0.8,178.5,0.83,178.5,0.83,178.5,,,,3.0,0.0,6.0,13.0,15.0,1.0,5.0,4.0,2.0,2.0,75.0,25.0,36.0,27.0,0.0,1,5.0,23.0,0,,11077.0,1.3,0.56
14,,,,第2节,3.5,0.83,-3.5,0.83,178.5,0.83,176.5,0.83,178.5,,,,3.0,0.0,6.0,13.0,15.0,1.0,5.0,4.0,2.0,2.0,75.0,25.0,36.0,27.0,0.0,1,5.0,23.0,0,,21077.0,1.5,0.0
15,,,,第2节,3.5,0.83,-3.5,0.83,176.5,0.83,176.5,0.83,176.5,,,,3.0,0.0,6.0,13.0,15.0,1.0,5.0,4.0,2.0,2.0,75.0,25.0,36.0,27.0,0.0,1,5.0,23.0,0,,21077.0,1.5,0.0
16,,,,第2节,3.5,0.83,-3.5,0.83,176.5,0.83,176.5,0.83,176.5,,,,3.0,0.0,6.0,13.0,15.0,1.0,5.0,4.0,2.0,2.0,75.0,25.0,36.0,27.0,0.0,1,5.0,9.0,0,,21077.0,1.5,0.0
17,,,,第2节,3.5,0.83,-3.5,0.8,176.5,0.83,176.5,0.83,176.5,,,,3.0,0.0,6.0,13.0,15.0,1.0,5.0,4.0,2.0,2.0,75.0,25.0,36.0,27.0,0.0,1,5.0,9.0,0,,11077.0,0.0,0.0
18,,,,第2节,3.5,0.83,-3.5,0.8,176.5,0.83,176.5,0.83,176.5,,,,3.0,0.0,6.0,13.0,15.0,1.0,5.0,4.0,2.0,2.0,75.0,25.0,36.0,27.0,0.0,1,5.0,1.0,0,,11077.0,0.0,0.0
