,AM,AS,CP,ED,HA,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,OD,PG,PI,S1_h,S2_h,S3_h,S4_h,S5_h,S6_h,SC_a,SC_h,SU,TD,TM,TO,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,,第1节,,-1.5,0.87,1.5,0.8,156.5,0.83,156.5,0.83,,,,,,,,,,,,,,0.0,1,10.0,,0.0,0,,,0.8,0.87
1,,,,第1节,,-1.5,0.87,1.5,0.8,156.5,0.83,156.5,0.83,,1.0,,,,0.0,0.0,0.0,5.0,0.0,0.0,,,0.0,1,9.0,GD,59.0,0,,1087.0,0.8,0.87
2,,,,第1节,,-1.5,0.87,1.5,0.8,156.5,0.83,156.5,0.83,,1.0,,,,0.0,0.0,0.0,5.0,0.0,0.0,,,0.0,1,9.0,GD,59.0,0,,21077.0,0.8,0.87
3,,,,第1节,,-1.5,0.87,1.5,0.8,156.5,0.83,156.5,0.83,,1.0,,,,0.0,0.0,0.0,5.0,0.0,0.0,,,0.0,1,9.0,GD,57.0,0,,21077.0,0.8,0.87
4,,,,第1节,,-1.5,0.87,1.5,0.8,156.5,0.83,156.5,0.83,,1.0,,,,0.0,0.0,0.0,5.0,0.0,0.0,,,1.0,1,9.0,GD,57.0,0,,21077.0,0.8,0.87
5,,,,第1节,,-1.5,0.87,1.5,0.8,156.5,0.83,156.5,0.83,,1.0,,,,0.0,0.0,0.0,5.0,0.0,0.0,,,1.0,1,9.0,GD,57.0,0,,21077.0,0.8,0.87
6,,,,第1节,,-1.5,0.87,1.5,0.8,156.5,0.83,156.5,0.83,,1.0,,,,0.0,0.0,0.0,5.0,0.0,0.0,,,1.0,1,9.0,GD,57.0,0,,21077.0,0.8,0.87
7,,,,第1节,,-1.5,0.87,1.5,0.8,156.5,0.83,156.5,0.83,,1.0,,,,0.0,0.0,0.0,5.0,0.0,0.0,,,1.0,1,9.0,GD,57.0,0,,21077.0,0.8,0.87
8,,,,第1节,,-1.5,0.87,1.5,0.8,156.5,0.83,156.5,0.83,,1.0,,,,0.0,0.0,0.0,5.0,0.0,0.0,,,1.0,1,9.0,GD,57.0,0,,21077.0,0.8,0.87
9,,,,第1节,,-1.5,0.87,1.5,0.8,156.5,0.83,156.5,0.83,,1.0,,,,0.0,0.0,0.0,5.0,0.0,0.0,,,1.0,1,9.0,GD,57.0,0,,21077.0,0.8,0.87
10,,,,第1节,,-1.5,0.87,1.5,0.8,156.5,0.83,156.5,0.83,,1.0,,,,0.0,0.0,0.0,5.0,0.0,0.0,,,0.0,1,9.0,GD,57.0,0,,21077.0,0.8,0.87
11,,,,第1节,,-1.5,0.87,1.5,0.8,156.5,0.83,156.5,0.83,,1.0,,,,0.0,0.0,0.0,5.0,0.0,0.0,,,0.0,1,9.0,GD,57.0,0,,21077.0,0.8,0.87
12,,,,第1节,,-1.5,0.87,1.5,0.8,156.5,0.83,156.5,0.83,,1.0,,,,0.0,0.0,0.0,5.0,0.0,0.0,,,0.0,1,9.0,GD,57.0,0,,21077.0,0.8,0.87
13,,,,第1节,,-1.5,0.87,1.5,0.8,156.5,0.83,156.5,0.83,,1.0,,,,0.0,0.0,0.0,5.0,0.0,0.0,,,0.0,1,9.0,GD,57.0,0,,21077.0,0.8,0.87
14,,,,第1节,,-1.5,0.87,1.5,0.8,156.5,0.83,156.5,0.83,,1.0,,,,0.0,0.0,0.0,5.0,0.0,0.0,,,0.0,1,9.0,GD,57.0,0,,21077.0,0.8,0.87
15,,,,第1节,,-1.5,0.87,1.5,0.8,156.5,0.83,156.5,0.83,,1.0,,,,0.0,0.0,0.0,5.0,0.0,0.0,,,0.0,1,9.0,GD,56.0,0,,21077.0,0.8,0.87
16,,,,第1节,,-1.5,0.87,1.5,0.8,156.5,0.83,156.5,0.83,,1.0,,,,0.0,0.0,0.0,5.0,0.0,0.0,,,0.0,1,9.0,GD,56.0,0,,11075.0,0.8,0.87
17,,,,第1节,,-1.5,0.87,1.5,0.8,156.5,0.83,156.5,0.83,,1.0,,,,0.0,0.0,0.0,5.0,0.0,0.0,0.0,3.0,0.0,1,9.0,GD,39.0,0,,21077.0,0.8,0.87
18,,,,第1节,-1.5,-1.5,0.87,1.5,0.8,156.5,0.83,156.5,0.83,-1.5,1.0,,,,0.0,0.0,0.0,5.0,0.0,0.0,0.0,3.0,0.0,1,9.0,GD,39.0,0,,21077.0,0.8,0.87
19,,,,第1节,1.5,-1.5,0.87,1.5,0.8,156.5,0.83,156.5,0.83,1.5,1.0,,,,0.0,0.0,0.0,5.0,0.0,0.0,0.0,3.0,0.0,1,9.0,GD,39.0,0,,21077.0,0.8,0.87
20,,,,第1节,159.5,-1.5,0.87,1.5,0.8,156.5,0.83,156.5,0.83,159.5,1.0,,,,0.0,0.0,0.0,5.0,0.0,0.0,0.0,3.0,0.0,1,9.0,GD,39.0,0,,21077.0,0.8,0.87
21,,,,第1节,159.5,-1.5,0.87,1.5,0.8,156.5,0.83,156.5,0.83,159.5,1.0,0.71,,,0.0,0.0,0.0,5.0,0.0,0.0,0.0,3.0,0.0,1,9.0,GD,39.0,0,,21077.0,0.8,0.87
22,,,,第1节,159.5,-1.5,0.87,1.5,0.8,156.5,0.83,156.5,0.83,159.5,1.0,1.0,,,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1,9.0,GD,39.0,0,,21077.0,0.8,0.87
23,,,,第1节,159.5,-1.5,0.87,1.5,0.8,156.5,0.83,156.5,0.83,159.5,1.0,1.0,,,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,1,9.0,GD,39.0,0,,21077.0,0.8,0.87
