,AM,AS,CP,ED,HA,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,OD,PG,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,,第1节,,1.5,0.77,-1.5,0.91,151.5,0.83,151.5,0.83,,,,,,,0.0,1,8.0,39.0,0,20180516024613,11077,0.83,0.83
1,,,,第1节,,1.5,0.77,-1.5,0.91,151.5,0.83,151.5,0.83,,,,,,,0.0,1,8.0,39.0,1.0,20180516024637.0,11077,0.83,0.83
2,,,,第1节,1.5,1.5,0.77,-1.5,0.91,151.5,0.83,151.5,0.83,1.5,,0.77,,,,0.0,1,8.0,39.0,1.0,20180516024637.0,11077,0.83,0.83
3,,,,第1节,-1.5,1.5,0.77,-1.5,0.91,151.5,0.83,151.5,0.83,-1.5,,0.91,,,,0.0,1,8.0,39.0,1.0,20180516024637.0,11077,0.83,0.83
4,,,,第1节,150.5,1.5,0.77,-1.5,0.91,151.5,0.83,151.5,0.83,150.5,,0.91,,,,0.0,1,8.0,39.0,1.0,20180516024637.0,11077,0.83,0.83
5,,,,第1节,150.5,1.5,0.77,-1.5,0.91,151.5,0.83,151.5,0.83,150.5,,0.91,,,,0.0,1,8.0,38.0,1.0,20180516024638.0,21077.0,0.83,0.83
6,,,,第1节,150.5,1.5,0.77,-1.5,0.91,151.5,0.83,151.5,0.83,150.5,,0.91,,,,0.0,1,8.0,38.0,0.0,20180516024638.0,21077.0,0.83,0.83
7,,,,第1节,150.5,1.5,0.77,-1.5,0.91,151.5,0.83,151.5,0.83,150.5,,0.91,,,,0.0,1,8.0,31.0,0.0,20180516024645.0,21077.0,0.83,0.83
8,,,,第1节,150.5,1.5,0.77,-1.5,0.91,151.5,0.83,151.5,0.83,150.5,,0.91,,,,0.0,1,8.0,31.0,1.0,20180516024645.0,21077.0,0.83,0.83
9,,,,第1节,150.5,1.5,0.77,-1.5,0.91,151.5,0.83,151.5,0.83,150.5,,0.91,,,,0.0,1,8.0,30.0,1.0,20180516024659.0,21077.0,0.83,0.83
