,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD,XY
0,,,,第3节,-4.5,0.83,4.5,0.83,171.5,0.83,171.5,0.83,,,,,3.0,10.0,17.0,12.0,10.0,6.0,3,2.0,2.0,2.0,76.9,75.0,53.0,60.0,0.0,1,3.0,36.0,0,,11081,0.0,0.0,
1,,,,第3节,-4.5,0.83,4.5,0.83,171.5,0.83,171.5,0.83,,,,,3.0,10.0,17.0,12.0,10.0,6.0,3,2.0,2.0,2.0,76.9,75.0,53.0,60.0,0.0,1,3.0,22.0,0,,11081,0.0,0.0,
2,,,,第3节,-4.5,0.83,4.5,0.83,171.5,0.83,171.5,0.83,,,,,3.0,10.0,17.0,12.0,10.0,6.0,3,2.0,2.0,3.0,76.9,75.0,53.0,60.0,0.0,1,3.0,22.0,0,,21086.0,0.0,0.0,
3,,,,第3节,-4.5,0.87,4.5,0.8,170.5,0.83,170.5,0.83,170.5,,,,3.0,10.0,17.0,12.0,10.0,6.0,3,2.0,2.0,3.0,76.9,75.0,53.0,60.0,0.0,1,3.0,22.0,0,,11077.0,0.0,0.0,
4,,,,第3节,-4.5,0.87,4.5,0.8,170.5,0.83,170.5,0.83,170.5,,,,3.0,10.0,17.0,12.0,10.0,6.0,3,2.0,2.0,3.0,76.9,75.0,53.0,60.0,0.0,1,3.0,13.0,0,,11077.0,0.0,1.75,
5,,,,第3节,-4.5,0.87,5.5,0.8,170.5,0.83,170.5,0.83,5.5,,,,3.0,10.0,17.0,12.0,10.0,6.0,3,2.0,2.0,3.0,76.9,75.0,53.0,60.0,0.0,1,3.0,13.0,0,,11077.0,0.0,1.75,
6,,,,第3节,-5.5,0.87,5.5,0.8,170.5,0.83,169.5,0.83,-5.5,,,,3.0,10.0,17.0,12.0,10.0,6.0,3,2.0,2.0,3.0,76.9,75.0,53.0,60.0,0.0,1,3.0,13.0,0,,11077.0,0.0,1.75,
7,,,,第3节,-5.5,0.87,5.5,0.8,169.5,0.83,169.5,0.83,169.5,,,,3.0,10.0,17.0,12.0,10.0,6.0,3,2.0,2.0,3.0,76.9,75.0,53.0,60.0,0.0,1,3.0,13.0,0,,11077.0,0.0,1.75,
8,,,,第3节,-5.5,0.87,5.5,0.8,169.5,0.83,169.5,0.83,169.5,,,,3.0,10.0,17.0,12.0,10.0,6.0,3,2.0,2.0,3.0,76.9,75.0,53.0,60.0,0.0,1,3.0,10.0,0,,21077.0,0.0,0.0,
9,,,,第3节,-5.5,0.83,4.5,0.83,169.5,0.83,169.5,0.83,4.5,,,,3.0,10.0,17.0,12.0,10.0,6.0,3,2.0,2.0,3.0,76.9,75.0,53.0,60.0,0.0,1,3.0,10.0,0,,21077.0,0.0,0.0,
10,,,,第3节,-4.5,0.83,4.5,0.83,169.5,0.83,169.5,0.83,-4.5,,,,3.0,10.0,17.0,12.0,10.0,6.0,3,2.0,2.0,3.0,76.9,75.0,55.0,60.0,0.0,1,3.0,6.0,0,,11077.0,0.0,1.75,
11,,,,第3节,-4.5,0.83,4.5,0.83,169.5,0.83,169.5,0.83,-4.5,,,,3.0,10.0,18.0,12.0,10.0,6.0,3,2.0,2.0,3.0,76.9,75.0,55.0,60.0,0.0,1,3.0,6.0,0,,11074.0,0.0,1.75,"0.85,0.72"
