,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,,第3节,17.5,0.83,-17.5,0.83,168.5,0.83,168.5,0.83,,,,,7.0,3.0,14.0,15.0,12.0,9.0,3,3.0,2.0,4.0,85.7,60.0,61.0,46.0,0.0,1,4.0,2.0,0,,21077,0.0,0.0
1,,,,第3节,17.5,0.83,-17.5,0.83,168.5,0.83,168.5,0.83,,,,,7.0,3.0,14.0,15.0,12.0,9.0,3,3.0,2.0,4.0,85.7,60.0,61.0,46.0,0.0,1,3.0,36.0,0,,11077.0,0.0,0.0
2,,,,第3节,17.5,0.8,-18.5,0.87,168.5,0.83,168.5,0.83,-18.5,,,,7.0,3.0,14.0,15.0,12.0,9.0,3,3.0,2.0,4.0,85.7,60.0,61.0,46.0,0.0,1,3.0,36.0,0,,11077.0,0.0,0.0
3,,,,第3节,18.5,0.8,-18.5,0.87,168.5,0.83,166.5,0.83,18.5,,,,7.0,3.0,14.0,15.0,12.0,9.0,3,3.0,2.0,4.0,85.7,60.0,61.0,46.0,0.0,1,3.0,36.0,0,,11077.0,0.0,0.0
4,,,,第3节,18.5,0.8,-18.5,0.87,166.5,0.83,166.5,0.83,166.5,,,,7.0,3.0,14.0,15.0,12.0,9.0,3,3.0,2.0,4.0,85.7,60.0,61.0,46.0,0.0,1,3.0,36.0,0,,11077.0,0.0,0.0
5,,,,第3节,18.5,0.8,-18.5,0.87,166.5,0.83,166.5,0.83,166.5,,,,7.0,3.0,14.0,15.0,12.0,9.0,3,3.0,2.0,4.0,85.7,60.0,61.0,46.0,0.0,1,3.0,32.0,0,,11077.0,0.0,0.0
6,,,,第3节,18.5,0.8,-18.5,0.87,166.5,0.83,166.5,0.83,166.5,,,,7.0,3.0,14.0,15.0,12.0,9.0,3,3.0,2.0,5.0,85.7,60.0,61.0,46.0,0.0,1,3.0,32.0,0,,21086.0,0.0,0.0
7,,,,第3节,18.5,0.8,-18.5,0.87,166.5,0.83,166.5,0.83,166.5,,,,7.0,3.0,14.0,15.0,12.0,9.0,3,3.0,2.0,5.0,85.7,60.0,61.0,46.0,0.0,1,3.0,33.0,0,,11077.0,0.0,0.0
8,,,,第3节,18.5,0.8,-18.5,0.87,165.5,0.83,165.5,0.83,165.5,,,,7.0,3.0,14.0,15.0,12.0,9.0,3,3.0,2.0,5.0,85.7,60.0,61.0,46.0,0.0,1,3.0,33.0,0,,11077.0,0.0,0.0
9,,,,第3节,18.5,0.83,-18.5,0.83,165.5,0.83,167.5,0.83,165.5,,,,7.0,3.0,14.0,15.0,12.0,9.0,3,3.0,2.0,5.0,85.7,60.0,61.0,46.0,0.0,1,3.0,33.0,0,,11077.0,0.0,0.0
10,,,,第3节,18.5,0.83,-18.5,0.83,167.5,0.83,167.5,0.83,167.5,,,,7.0,3.0,14.0,15.0,12.0,9.0,3,3.0,2.0,5.0,85.7,60.0,61.0,46.0,0.0,1,3.0,33.0,0,,11077.0,0.0,0.0
11,,,,第3节,18.5,0.83,-18.5,0.83,167.5,0.83,167.5,0.83,167.5,,1:2,,7.0,3.0,14.0,15.0,12.0,9.0,3,3.0,2.0,5.0,85.7,60.0,61.0,46.0,0.0,1,3.0,32.0,0,,11078.0,0.0,0.0
12,,,,第3节,18.5,0.83,-18.5,0.83,167.5,0.83,167.5,0.83,167.5,,1:2,,7.0,3.0,14.0,15.0,13.0,9.0,3,3.0,2.0,5.0,86.7,60.0,62.0,46.0,0.0,1,3.0,32.0,0,,11079.0,0.0,0.0
13,,,,第3节,18.5,0.83,-18.5,0.83,167.5,0.83,167.5,0.83,167.5,,2:2,,7.0,3.0,14.0,15.0,13.0,9.0,3,3.0,2.0,5.0,86.7,60.0,46.0,62.0,0.0,1,3.0,32.0,0,,11078.0,0.0,0.0
14,,,,第3节,18.5,0.87,-18.5,0.8,167.5,0.83,167.5,0.83,167.5,,2:2,,7.0,3.0,14.0,15.0,14.0,9.0,3,3.0,2.0,5.0,87.5,60.0,63.0,62.0,0.0,1,3.0,32.0,0,,11079.0,0.0,0.0
15,,,,第3节,18.5,0.87,-18.5,0.8,167.5,0.83,167.5,0.83,167.5,,,,7.0,3.0,14.0,15.0,14.0,9.0,3,3.0,2.0,5.0,87.5,60.0,46.0,63.0,0.0,1,3.0,32.0,0,,21077.0,0.0,0.0
16,,,,第3节,18.5,0.8,-19.5,0.87,167.5,0.83,167.5,0.83,-19.5,,,,7.0,3.0,14.0,15.0,14.0,9.0,3,3.0,2.0,5.0,87.5,60.0,46.0,63.0,0.0,1,3.0,32.0,0,,21077.0,0.0,0.0
17,,,,第3节,19.5,0.8,-19.5,0.87,167.5,0.83,168.5,0.83,19.5,,,,7.0,3.0,14.0,15.0,14.0,9.0,3,3.0,2.0,5.0,87.5,60.0,46.0,63.0,0.0,1,3.0,32.0,0,,21077.0,0.0,0.0
18,,,,第3节,19.5,0.8,-19.5,0.87,168.5,0.83,168.5,0.83,168.5,,,,7.0,3.0,14.0,15.0,14.0,9.0,3,3.0,2.0,5.0,87.5,60.0,46.0,63.0,0.0,1,3.0,32.0,0,,21077.0,0.0,0.0
19,,,,第3节,19.5,0.8,-19.5,0.87,168.5,0.83,168.5,0.83,168.5,,,,7.0,3.0,14.0,15.0,14.0,9.0,3,3.0,2.0,5.0,87.5,60.0,46.0,63.0,0.0,1,3.0,32.0,0,,21077.0,0.0,0.0
20,,,,第3节,19.5,0.8,-17.5,0.87,168.5,0.83,168.5,0.83,-17.5,,,,7.0,3.0,14.0,15.0,14.0,9.0,3,3.0,2.0,5.0,87.5,60.0,46.0,63.0,0.0,1,3.0,32.0,0,,21077.0,0.0,0.0
21,,,,第3节,17.5,0.8,-17.5,0.87,168.5,0.83,170.5,0.83,17.5,,,,7.0,3.0,14.0,15.0,14.0,9.0,3,3.0,2.0,5.0,87.5,60.0,46.0,63.0,0.0,1,3.0,32.0,0,,21077.0,0.0,0.0
22,,,,第3节,17.5,0.8,-17.5,0.87,170.5,0.83,170.5,0.83,170.5,,,,7.0,3.0,14.0,15.0,14.0,9.0,3,3.0,2.0,5.0,87.5,60.0,46.0,63.0,0.0,1,3.0,32.0,0,,21077.0,0.0,0.0
23,,,,第3节,17.5,0.8,-17.5,0.87,170.5,0.83,170.5,0.83,170.5,,,,7.0,3.0,14.0,15.0,14.0,9.0,3,3.0,2.0,5.0,87.5,60.0,46.0,63.0,0.0,1,3.0,22.0,0,,21077.0,0.0,0.0
24,,,,第3节,17.5,0.8,-17.5,0.87,170.5,0.83,170.5,0.83,170.5,,,,7.0,4.0,14.0,15.0,14.0,9.0,3,3.0,2.0,5.0,87.5,60.0,46.0,49.0,0.0,1,3.0,22.0,0,,21075.0,0.0,0.0
25,,,,第3节,17.5,0.8,-17.5,0.87,170.5,0.83,170.5,0.83,170.5,,,,7.0,4.0,14.0,15.0,14.0,9.0,3,3.0,2.0,5.0,87.5,60.0,49.0,63.0,0.0,1,3.0,22.0,0,,11077.0,0.0,0.0
26,,,,第3节,17.5,0.8,-17.5,0.87,170.5,0.83,170.5,0.83,170.5,,,,7.0,4.0,14.0,15.0,14.0,9.0,3,3.0,2.0,5.0,87.5,60.0,49.0,63.0,0.0,1,3.0,5.0,0,,11077.0,0.0,0.0
27,,,,第3节,17.5,0.8,-16.5,0.87,170.5,0.83,170.5,0.83,-16.5,,,,7.0,4.0,14.0,15.0,14.0,9.0,3,3.0,2.0,5.0,87.5,60.0,49.0,63.0,0.0,1,3.0,5.0,0,,21077.0,0.0,0.0
28,,,,第3节,16.5,0.8,-16.5,0.87,170.5,0.83,169.5,0.83,16.5,,,,7.0,4.0,14.0,15.0,14.0,9.0,3,3.0,2.0,5.0,87.5,60.0,49.0,63.0,0.0,1,3.0,5.0,0,,21077.0,0.0,0.0
29,,,,第3节,16.5,0.8,-16.5,0.87,169.5,0.83,169.5,0.83,169.5,,,,7.0,4.0,14.0,15.0,14.0,9.0,3,3.0,2.0,5.0,87.5,60.0,49.0,63.0,0.0,1,3.0,5.0,0,,21077.0,0.0,0.0
30,,,,第3节,16.5,0.8,-16.5,0.87,169.5,0.83,169.5,0.83,169.5,,,,7.0,4.0,14.0,15.0,14.0,9.0,3,3.0,2.0,5.0,87.5,60.0,49.0,63.0,0.0,1,3.0,5.0,0,,11077.0,0.0,0.0
31,,,,第3节,16.5,0.8,-17.5,0.87,169.5,0.83,169.5,0.83,-17.5,,,,7.0,4.0,14.0,15.0,14.0,9.0,3,3.0,2.0,5.0,87.5,60.0,49.0,63.0,0.0,1,3.0,5.0,0,,11077.0,0.0,0.0
32,,,,第3节,17.5,0.8,-17.5,0.87,169.5,0.83,168.5,0.83,17.5,,,,7.0,4.0,14.0,15.0,14.0,9.0,3,3.0,2.0,5.0,87.5,60.0,49.0,63.0,0.0,1,3.0,5.0,0,,11077.0,0.0,0.0
33,,,,第3节,17.5,0.8,-17.5,0.87,168.5,0.83,168.5,0.83,168.5,,,,7.0,4.0,14.0,15.0,14.0,9.0,3,3.0,2.0,5.0,87.5,60.0,49.0,63.0,0.0,1,3.0,5.0,0,,11077.0,0.0,0.0
