,AM,AS,CP,ED,HA,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,OD,PG,SC_a,SC_h,SU,TD,TM,TO,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,,第1节,,-2.5,0.83,2.5,0.83,169.5,0.83,169.5,0.83,,,,,,,0.0,1,10.0,,0.0,0,,,0.66,1.1
1,,,,第1节,,-2.5,0.83,2.5,0.83,169.5,0.83,169.5,0.83,,1.0,,,,,0.0,1,9.0,GD,58.0,0,,1087.0,0.66,1.1
2,,,,第1节,168.5,-2.5,0.83,2.5,0.83,169.5,0.83,169.5,0.83,168.5,1.0,,,,,0.0,1,9.0,GD,58.0,0,,11077.0,0.66,1.1
3,,,,第1节,168.5,-2.5,0.83,2.5,0.83,169.5,0.83,169.5,0.83,168.5,1.0,,,,,0.0,1,9.0,GD,47.0,0,,11077.0,0.66,1.1
4,,,,第1节,168.5,-2.5,0.83,2.5,0.83,169.5,0.83,169.5,0.83,168.5,1.0,,,,,0.0,1,9.0,GD,47.0,0,,21077.0,0.66,1.1
5,,,,第1节,168.5,-2.5,0.83,2.5,0.83,169.5,0.83,169.5,0.83,168.5,1.0,,,,,0.0,1,9.0,GD,46.0,0,,21077.0,0.66,1.1
6,,,,第1节,168.5,-2.5,0.83,2.5,0.83,169.5,0.83,169.5,0.83,168.5,1.0,1.2,,,,0.0,1,9.0,GD,46.0,0,,21077.0,0.66,1.1
7,,,,第1节,168.5,-2.5,0.83,2.5,0.83,169.5,0.83,169.5,0.83,168.5,1.0,0.63,,,,0.0,1,9.0,GD,42.0,0,,21077.0,0.66,1.1
8,,,,第1节,168.5,-2.5,0.83,2.5,0.83,169.5,0.83,169.5,0.83,168.5,1.0,0.63,,,,0.0,1,9.0,GD,42.0,0,,21074.0,0.66,1.1
9,,,,第1节,168.5,-2.5,0.83,2.5,0.83,169.5,0.83,169.5,0.83,168.5,1.0,0.63,,2.0,0.0,0.0,1,9.0,GD,42.0,0,,11077.0,0.66,1.1
10,,,,第1节,3.5,-2.5,0.83,2.5,0.83,169.5,0.83,169.5,0.83,3.5,1.0,0.63,,2.0,0.0,0.0,1,9.0,GD,42.0,0,,11077.0,0.66,1.1
11,,,,第1节,-3.5,-2.5,0.83,2.5,0.83,169.5,0.83,169.5,0.83,-3.5,1.0,0.63,,2.0,0.0,0.0,1,9.0,GD,42.0,0,,11077.0,0.66,1.1
12,,,,第1节,170.5,-2.5,0.83,2.5,0.83,169.5,0.83,169.5,0.83,170.5,1.0,0.63,,2.0,0.0,0.0,1,9.0,GD,42.0,0,,11077.0,0.66,1.1
13,,,,第1节,170.5,-2.5,0.83,2.5,0.83,169.5,0.83,169.5,0.83,170.5,1.0,0.0,,2.0,0.0,0.0,1,9.0,GD,42.0,0,,11077.0,0.66,1.1
14,,,,第1节,169.5,-2.5,0.83,2.5,0.83,169.5,0.83,169.5,0.83,169.5,1.0,0.0,,2.0,0.0,0.0,1,9.0,GD,42.0,0,,11077.0,0.66,1.1
15,,,,第1节,169.5,-2.5,0.83,2.5,0.83,169.5,0.83,169.5,0.83,169.5,1.0,0.0,,2.0,0.0,0.0,1,9.0,GD,27.0,0,,11077.0,0.66,1.1
16,,,,第1节,169.5,-2.5,0.83,2.5,0.83,169.5,0.83,169.5,0.83,169.5,1.0,0.0,,2.0,0.0,0.0,1,9.0,GD,27.0,0,,11077.0,0.66,1.1
17,,,,第1节,169.5,-2.5,0.83,2.5,0.83,169.5,0.83,169.5,0.83,169.5,1.0,0.0,,2.0,0.0,0.0,1,9.0,GD,12.0,0,,11077.0,0.66,1.1
18,,,,第1节,169.5,-2.5,0.83,2.5,0.83,169.5,0.83,169.5,0.83,169.5,1.0,0.87,,2.0,0.0,0.0,1,9.0,GD,12.0,0,,21077.0,0.66,1.1
19,,,,第1节,166.5,-2.5,0.83,2.5,0.83,169.5,0.83,169.5,0.83,166.5,1.0,0.8,,2.0,0.0,0.0,1,9.0,GD,12.0,0,,21077.0,0.66,1.1
20,,,,第1节,166.5,-2.5,0.83,2.5,0.83,169.5,0.83,169.5,0.83,166.5,1.0,0.8,,2.0,0.0,0.0,1,8.0,GD,55.0,0,,21077.0,0.66,1.1
21,,,,第1节,166.5,-2.5,0.83,2.5,0.83,169.5,0.83,169.5,0.83,166.5,1.0,0.8,,2.0,0.0,0.0,1,8.0,GD,55.0,0,,21077.0,0.66,1.1
22,,,,第1节,166.5,-2.5,0.83,2.5,0.83,169.5,0.83,169.5,0.83,166.5,1.0,0.8,,2.0,0.0,0.0,1,8.0,GD,45.0,0,,21077.0,0.66,1.1
23,,,,第1节,165.5,-2.5,0.83,2.5,0.83,169.5,0.83,169.5,0.83,165.5,1.0,0.8,,2.0,0.0,0.0,1,8.0,GD,45.0,0,,21077.0,0.66,1.1
24,,,,第1节,165.5,-2.5,0.83,2.5,0.83,169.5,0.83,169.5,0.83,165.5,1.0,0.8,,2.0,0.0,0.0,1,8.0,GD,45.0,0,,11086.0,0.66,1.1
