,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,,第2节,6.5,0.83,-6.5,0.83,174.5,0.83,174.5,0.83,,,,,2.0,2.0,9.0,8.0,1.0,2.0,5.0,5.0,0.0,0.0,100.0,66.7,25.0,24.0,0.0,0,10.0,0.0,0,,1082,0.0,0.0
1,,,,第2节,6.5,0.83,-6.5,0.83,174.5,0.83,174.5,0.83,,,,,2.0,2.0,9.0,8.0,1.0,2.0,5.0,5.0,0.0,0.0,100.0,66.7,25.0,24.0,0.0,0,10.0,0.0,0,,1082,0.0,0.0
2,,,,第2节,6.5,0.87,-7.5,0.8,174.5,0.83,174.5,0.83,-7.5,,,,2.0,2.0,9.0,8.0,1.0,2.0,5.0,5.0,0.0,0.0,100.0,66.7,25.0,24.0,0.0,0,10.0,0.0,0,,1082,0.0,0.0
3,,,,第2节,7.5,0.87,-7.5,0.83,174.5,0.83,174.5,0.83,7.5,,,,2.0,2.0,9.0,8.0,1.0,2.0,5.0,5.0,0.0,0.0,100.0,66.7,25.0,24.0,0.0,0,10.0,0.0,0,,1082,0.0,0.0
4,,,,第2节,7.5,0.83,-9.5,0.83,174.5,0.83,174.5,0.83,-9.5,,,,2.0,2.0,9.0,8.0,1.0,2.0,5.0,5.0,0.0,0.0,100.0,66.7,25.0,24.0,0.0,0,10.0,0.0,0,,1082,0.0,0.0
5,,,,第2节,9.5,0.83,-9.5,0.83,174.5,0.83,174.5,0.83,9.5,,,,2.0,2.0,9.0,8.0,1.0,2.0,5.0,5.0,0.0,0.0,100.0,66.7,25.0,24.0,1.0,0,10.0,0.0,0,,1082,0.0,0.0
6,,,,第2节,9.5,0.83,-9.5,0.83,174.5,0.83,174.5,0.83,9.5,,,,2.0,2.0,9.0,8.0,1.0,2.0,5.0,5.0,0.0,0.0,100.0,66.7,25.0,24.0,1.0,0,10.0,0.0,0,,1082,0.0,0.0
7,,,,第2节,9.5,0.83,-9.5,0.83,174.5,0.83,174.5,0.83,9.5,,,,2.0,2.0,9.0,8.0,1.0,2.0,5.0,5.0,0.0,0.0,100.0,66.7,25.0,24.0,0.0,0,10.0,0.0,0,,1082,0.0,0.0
8,,,,第2节,9.5,0.83,-9.5,0.83,174.5,0.83,174.5,0.83,9.5,,,,2.0,2.0,9.0,8.0,1.0,2.0,5.0,5.0,0.0,0.0,100.0,66.7,25.0,24.0,0.0,0,10.0,0.0,0,,1082,0.0,0.0
9,,,,第2节,9.5,0.83,-9.5,0.83,174.5,0.83,174.5,0.83,9.5,,,,2.0,2.0,9.0,8.0,1.0,2.0,5.0,5.0,0.0,0.0,100.0,66.7,25.0,24.0,1.0,0,10.0,0.0,0,,1082,0.0,0.0
