,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,,第3节,9.5,0.87,-9.5,0.8,161.5,0.83,161.5,0.83,,,,,3.0,2.0,19.0,13.0,6.0,11.0,4.0,3.0,2.0,1.0,50.0,68.8,53.0,45.0,0.0,1,5.0,11.0,0,,21077,0.0,0.0
1,,,,第3节,9.5,0.83,-9.5,0.83,160.5,0.83,160.5,0.83,160.5,,,,3.0,2.0,19.0,13.0,6.0,11.0,4.0,3.0,2.0,1.0,50.0,68.8,53.0,45.0,0.0,1,5.0,11.0,0,,21077,0.0,0.0
2,,,,第3节,9.5,0.83,-9.5,0.83,160.5,0.83,160.5,0.83,160.5,,,,3.0,2.0,19.0,13.0,6.0,11.0,4.0,3.0,2.0,1.0,50.0,68.8,53.0,45.0,0.0,1,4.0,58.0,0,,21077,0.0,0.0
3,,,,第3节,9.5,0.83,-9.5,0.83,160.5,0.83,160.5,0.83,160.5,,,,3.0,2.0,19.0,13.0,6.0,11.0,4.0,3.0,2.0,1.0,50.0,68.8,53.0,45.0,0.0,1,4.0,58.0,0,,21077,0.0,0.0
4,,,,第3节,9.5,0.83,-9.5,0.83,160.5,0.83,160.5,0.83,160.5,,,,3.0,2.0,19.0,13.0,6.0,11.0,4.0,3.0,2.0,1.0,50.0,68.8,53.0,45.0,0.0,1,4.0,53.0,0,,21077,0.0,0.0
5,,,,第3节,9.5,0.83,-9.5,0.83,160.5,0.83,160.5,0.83,160.5,,,,3.0,2.0,19.0,13.0,6.0,11.0,4.0,3.0,2.0,1.0,50.0,68.8,53.0,45.0,0.0,1,4.0,53.0,0,,21077,0.0,0.0
6,,,,第3节,9.5,0.83,-9.5,0.83,160.5,0.83,160.5,0.83,160.5,,,,3.0,2.0,19.0,13.0,6.0,11.0,4.0,3.0,2.0,1.0,50.0,68.8,53.0,45.0,0.0,1,4.0,52.0,0,,21077,0.0,0.0
7,,,,第3节,9.5,0.83,-9.5,0.83,160.5,0.83,160.5,0.83,160.5,,,,3.0,2.0,19.0,13.0,6.0,11.0,4.0,3.0,3.0,1.0,50.0,68.8,53.0,45.0,0.0,1,4.0,52.0,0,,11086.0,0.0,0.0
8,,,,第3节,9.5,0.83,-9.5,0.83,160.5,0.83,160.5,0.83,160.5,,,,3.0,2.0,19.0,13.0,6.0,11.0,4.0,3.0,3.0,1.0,50.0,68.8,53.0,45.0,0.0,1,4.0,45.0,0,,21077.0,0.0,0.0
9,,,,第3节,9.5,0.83,-9.5,0.83,159.5,0.83,159.5,0.83,159.5,,,,3.0,2.0,19.0,13.0,6.0,11.0,4.0,3.0,3.0,1.0,50.0,68.8,53.0,45.0,0.0,1,4.0,45.0,0,,21077.0,0.0,0.0
10,,,,第3节,9.5,0.83,-9.5,0.83,159.5,0.83,159.5,0.83,159.5,,,,3.0,2.0,19.0,13.0,6.0,11.0,4.0,3.0,3.0,1.0,50.0,68.8,53.0,45.0,0.0,1,4.0,36.0,0,,21077.0,0.0,0.0
11,,,,第3节,9.5,0.83,-9.5,0.83,159.5,0.83,159.5,0.83,159.5,,,,3.0,2.0,19.0,13.0,6.0,11.0,4.0,3.0,3.0,1.0,50.0,68.8,53.0,45.0,0.0,1,4.0,36.0,0,,11077.0,0.0,0.0
12,,,,第3节,9.5,0.83,-9.5,0.83,159.5,0.83,159.5,0.83,159.5,,,,3.0,2.0,19.0,13.0,6.0,11.0,4.0,3.0,3.0,1.0,50.0,68.8,53.0,45.0,0.0,1,4.0,35.0,0,,11077.0,0.0,0.0
13,,,,第3节,9.5,0.8,-10.5,0.87,159.5,0.83,159.5,0.83,-10.5,,,,3.0,2.0,19.0,13.0,6.0,11.0,4.0,3.0,3.0,1.0,50.0,68.8,53.0,45.0,0.0,1,4.0,35.0,0,,11077.0,0.0,0.0
14,,,,第3节,10.5,0.8,-10.5,0.87,159.5,0.83,158.5,0.83,10.5,,,,3.0,2.0,19.0,13.0,6.0,11.0,4.0,3.0,3.0,1.0,50.0,68.8,53.0,45.0,0.0,1,4.0,35.0,0,,11077.0,0.0,0.0
15,,,,第3节,10.5,0.8,-10.5,0.87,158.5,0.83,158.5,0.83,158.5,,,,3.0,2.0,19.0,13.0,6.0,11.0,4.0,3.0,3.0,1.0,50.0,68.8,53.0,45.0,0.0,1,4.0,35.0,0,,11077.0,0.0,0.0
16,,,,第3节,10.5,0.83,-10.5,0.83,158.5,0.83,158.5,0.83,158.5,,,,3.0,2.0,19.0,13.0,6.0,11.0,4.0,3.0,3.0,1.0,50.0,68.8,53.0,45.0,0.0,1,4.0,32.0,0,,11077.0,0.0,0.0
17,,,,第3节,10.5,0.83,-10.5,0.83,158.5,0.83,158.5,0.83,158.5,,,,3.0,2.0,19.0,13.0,6.0,11.0,4.0,3.0,3.0,2.0,50.0,68.8,53.0,45.0,0.0,1,4.0,32.0,0,,21086.0,0.0,0.0
18,,,,第3节,10.5,0.83,-10.5,0.83,158.5,0.83,158.5,0.83,158.5,,,,3.0,2.0,19.0,13.0,6.0,11.0,4.0,3.0,3.0,2.0,50.0,68.8,53.0,45.0,0.0,1,4.0,21.0,0,,11077.0,0.0,0.0
19,,,,第3节,10.5,0.83,-10.5,0.83,158.5,0.83,158.5,0.83,158.5,,,,3.0,2.0,19.0,13.0,6.0,11.0,4.0,3.0,3.0,2.0,50.0,68.8,53.0,45.0,0.0,1,4.0,21.0,0,,11077.0,0.0,0.0
20,,,,第3节,10.5,0.83,-10.5,0.83,158.5,0.83,158.5,0.83,158.5,,,,3.0,2.0,19.0,13.0,6.0,11.0,4.0,3.0,3.0,2.0,50.0,68.8,53.0,45.0,0.0,1,4.0,17.0,0,,11077.0,0.0,0.0
21,,,,第3节,10.5,0.83,-10.5,0.83,158.5,0.83,158.5,0.83,158.5,,,,4.0,2.0,19.0,13.0,6.0,11.0,4.0,3.0,3.0,2.0,50.0,68.8,56.0,45.0,0.0,1,4.0,17.0,0,,11075.0,0.0,0.0
22,,,,第3节,10.5,0.8,-12.5,0.87,158.5,0.83,158.5,0.83,-12.5,,,,4.0,2.0,19.0,13.0,6.0,11.0,4.0,3.0,3.0,2.0,50.0,68.8,56.0,45.0,0.0,1,4.0,17.0,0,,21077.0,0.0,0.0
23,,,,第3节,12.5,0.8,-12.5,0.87,158.5,0.83,159.5,0.83,12.5,,,,4.0,2.0,19.0,13.0,6.0,11.0,4.0,3.0,3.0,2.0,50.0,68.8,56.0,45.0,0.0,1,4.0,17.0,0,,21077.0,0.0,0.0
24,,,,第3节,12.5,0.8,-12.5,0.87,159.5,0.83,159.5,0.83,159.5,,,,4.0,2.0,19.0,13.0,6.0,11.0,4.0,3.0,3.0,2.0,50.0,68.8,56.0,45.0,0.0,1,4.0,17.0,0,,21077.0,0.0,0.0
25,,,,第3节,12.5,0.8,-12.5,0.87,159.5,0.83,159.5,0.83,159.5,,,,4.0,2.0,19.0,13.0,6.0,11.0,4.0,3.0,3.0,2.0,50.0,68.8,45.0,56.0,0.0,1,4.0,4.0,0,,21077.0,0.0,0.0
26,,,,第3节,12.5,0.8,-12.5,0.87,159.5,0.83,159.5,0.83,159.5,,,,4.0,2.0,19.0,13.0,6.0,11.0,4.0,3.0,3.0,2.0,50.0,68.8,45.0,56.0,0.0,1,3.0,4.0,0,,21077.0,0.0,0.0
27,,,,第3节,12.5,0.8,-12.5,0.87,159.5,0.83,159.5,0.83,159.5,,,,4.0,2.0,19.0,13.0,6.0,11.0,4.0,3.0,3.0,2.0,50.0,68.8,45.0,56.0,0.0,1,3.0,50.0,0,,21077.0,0.0,0.0
28,,,,第3节,12.5,0.8,-12.5,0.87,159.5,0.83,159.5,0.83,159.5,,,,4.0,2.0,19.0,13.0,6.0,11.0,4.0,3.0,3.0,2.0,50.0,68.8,45.0,56.0,0.0,1,3.0,50.0,0,,21077.0,0.0,0.0
29,,,,第3节,12.5,0.8,-12.5,0.87,159.5,0.83,159.5,0.83,159.5,,,,4.0,2.0,19.0,13.0,6.0,11.0,4.0,3.0,3.0,2.0,50.0,68.8,45.0,56.0,0.0,1,3.0,44.0,0,,21077.0,0.0,0.0
30,,,,第3节,12.5,0.8,-11.5,0.83,159.5,0.83,159.5,0.83,-11.5,,,,4.0,2.0,19.0,14.0,6.0,11.0,4.0,3.0,3.0,2.0,50.0,68.8,45.0,47.0,0.0,1,3.0,44.0,0,,21074.0,0.0,0.0
31,,,,第3节,12.5,0.8,-11.5,0.83,159.5,0.83,159.5,0.83,-11.5,,,,4.0,2.0,19.0,14.0,6.0,11.0,4.0,3.0,3.0,2.0,50.0,68.8,47.0,56.0,0.0,1,3.0,44.0,0,,11077.0,0.0,0.0
32,,,,第3节,11.5,0.83,-11.5,0.83,159.5,0.83,160.5,0.83,11.5,,,,4.0,2.0,19.0,14.0,6.0,11.0,4.0,3.0,3.0,2.0,50.0,68.8,47.0,56.0,0.0,1,3.0,44.0,0,,11077.0,0.0,0.0
33,,,,第3节,11.5,0.83,-11.5,0.83,160.5,0.83,160.5,0.83,160.5,,,,4.0,2.0,19.0,14.0,6.0,11.0,4.0,3.0,3.0,2.0,50.0,68.8,47.0,56.0,0.0,1,3.0,44.0,0,,11077.0,0.0,0.0
34,,,,第3节,11.5,0.83,-11.5,0.83,160.5,0.83,160.5,0.83,160.5,,,,4.0,2.0,19.0,14.0,6.0,11.0,4.0,3.0,3.0,2.0,50.0,68.8,47.0,56.0,0.0,1,3.0,44.0,0,,21077.0,0.0,0.0
35,,,,第3节,11.5,0.83,-10.5,0.83,160.5,0.83,160.5,0.83,-10.5,,,,4.0,2.0,19.0,14.0,6.0,11.0,4.0,3.0,3.0,2.0,50.0,68.8,47.0,56.0,0.0,1,3.0,44.0,0,,21077.0,0.0,0.0
36,,,,第3节,10.5,0.83,-10.5,0.83,160.5,0.83,159.5,0.83,10.5,,,,4.0,2.0,19.0,14.0,6.0,11.0,4.0,3.0,3.0,2.0,50.0,68.8,47.0,56.0,0.0,1,3.0,44.0,0,,21077.0,0.0,0.0
