,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,,第3节,-3.5,0.83,3.5,0.83,146.5,0.83,146.5,0.83,,,,,4.0,4.0,9.0,9.0,11.0,5.0,4.0,4.0,0.0,0.0,64.7,55.6,41.0,35.0,0.0,1,10.0,0.0,0,,1083,0.47,0.0
1,,,,第3节,-3.5,0.77,2.5,0.91,146.5,0.83,146.5,0.83,2.5,3.0,1:1,,4.0,4.0,9.0,9.0,11.0,5.0,4.0,4.0,0.0,0.0,64.7,55.6,41.0,35.0,0.0,1,10.0,0.0,0,,11078.0,0.47,0.0
2,,,,第3节,-2.5,0.77,2.5,0.91,146.5,0.83,147.5,0.83,-2.5,3.0,1:1,,4.0,4.0,9.0,9.0,11.0,5.0,4.0,4.0,0.0,0.0,64.7,55.6,41.0,35.0,0.0,1,10.0,0.0,0,,11078.0,0.47,0.0
3,,,,第3节,-2.5,0.77,2.5,0.91,147.5,0.83,147.5,0.83,147.5,3.0,1:1,,4.0,4.0,9.0,9.0,11.0,5.0,4.0,4.0,0.0,0.0,64.7,55.6,41.0,35.0,0.0,1,10.0,0.0,0,,11078.0,0.47,0.0
4,,,,第3节,-2.5,0.77,2.5,0.91,147.5,0.83,147.5,0.83,147.5,3.0,1:1,,4.0,4.0,9.0,9.0,11.0,5.0,4.0,4.0,0.0,0.0,64.7,55.6,41.0,35.0,1.0,1,10.0,0.0,0,,11078.0,0.0,0.0
5,,,,第3节,-2.5,0.77,2.5,0.91,147.5,0.83,147.5,0.83,147.5,3.0,1:1,,4.0,4.0,9.0,9.0,11.0,5.0,4.0,4.0,0.0,0.0,64.7,55.6,41.0,35.0,1.0,1,10.0,0.0,0,,11078.0,0.0,0.0
6,,,,第3节,-2.5,0.77,2.5,0.91,147.5,0.83,147.5,0.83,147.5,3.0,1:1,,4.0,4.0,9.0,9.0,11.0,5.0,4.0,4.0,0.0,0.0,64.7,55.6,41.0,35.0,1.0,1,10.0,0.0,0,,11078.0,0.0,0.0
7,,,,第3节,-2.5,0.77,2.5,0.91,147.5,0.83,147.5,0.83,147.5,3.0,1:1,,4.0,4.0,9.0,9.0,11.0,5.0,4.0,4.0,0.0,0.0,64.7,55.6,41.0,35.0,1.0,1,10.0,0.0,0,,11078.0,0.0,0.0
8,,,,第3节,-2.5,0.77,2.5,0.91,147.5,0.83,147.5,0.83,147.5,3.0,1:1,,4.0,4.0,9.0,9.0,11.0,5.0,4.0,4.0,0.0,0.0,64.7,55.6,41.0,35.0,1.0,1,10.0,0.0,0,,11078.0,0.0,0.0
9,,,,第3节,-2.5,0.8,1.5,0.87,147.5,0.83,147.5,0.83,1.5,3.0,1:1,,4.0,4.0,9.0,9.0,11.0,5.0,4.0,4.0,0.0,0.0,64.7,55.6,41.0,35.0,1.0,1,10.0,0.0,0,,11078.0,0.0,0.0
