,AM,AS,CP,ED,HA,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,OD,PG,PI,S1_h,S2_h,S3_h,S4_h,S5_h,S6_h,SC_a,SC_h,SU,TD,TM,TO,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,,第1节,,9.5,0.8,-9.5,0.87,153.5,0.83,153.5,0.83,,,,,,,,,,,,,,0.0,1,10.0,,0.0,0,,,0.0,0.0
1,,,,第1节,,9.5,0.8,-9.5,0.87,153.5,0.83,153.5,0.83,,1.0,,,,0.0,0.0,0.0,5.0,0.0,0.0,,,0.0,1,10.0,GD,0.0,0,,1087.0,0.0,0.0
2,,,,第1节,,9.5,0.8,-9.5,0.87,153.5,0.83,153.5,0.83,,1.0,,,,0.0,0.0,0.0,5.0,0.0,0.0,,,0.0,1,9.0,GD,59.0,1.0,20180518190150.0,11077.0,0.0,0.0
3,,,,第1节,-8.5,9.5,0.8,-9.5,0.87,153.5,0.83,153.5,0.83,-8.5,1.0,0.8,,,0.0,0.0,0.0,5.0,0.0,0.0,,,0.0,1,9.0,GD,59.0,1.0,20180518190150.0,11077.0,0.0,0.0
4,,,,第1节,8.5,9.5,0.8,-9.5,0.87,153.5,0.83,153.5,0.83,8.5,1.0,0.87,,,0.0,0.0,0.0,5.0,0.0,0.0,,,0.0,1,9.0,GD,59.0,1.0,20180518190150.0,11077.0,0.0,0.0
5,,,,第1节,152.5,9.5,0.8,-9.5,0.87,153.5,0.83,153.5,0.83,152.5,1.0,0.87,,,0.0,0.0,0.0,5.0,0.0,0.0,,,0.0,1,9.0,GD,59.0,1.0,20180518190150.0,11077.0,0.0,0.0
6,,,,第1节,152.5,9.5,0.8,-9.5,0.87,153.5,0.83,153.5,0.83,152.5,1.0,0.0,,,0.0,0.0,0.0,5.0,0.0,0.0,,,0.0,1,9.0,GD,59.0,1.0,20180518190150.0,11077.0,0.0,0.0
7,,,,第1节,152.5,9.5,0.8,-9.5,0.87,153.5,0.83,153.5,0.83,152.5,1.0,0.0,,,0.0,0.0,0.0,5.0,0.0,0.0,,,0.0,1,9.0,GD,48.0,1.0,20180518190201.0,11077.0,0.0,0.0
8,,,,第1节,152.5,9.5,0.8,-9.5,0.87,153.5,0.83,153.5,0.83,152.5,1.0,0.0,,,0.0,0.0,0.0,5.0,0.0,0.0,,,0.0,1,9.0,GD,48.0,0.0,20180518190201.0,11077.0,0.0,0.0
9,,,,第1节,152.5,9.5,0.8,-9.5,0.87,153.5,0.83,153.5,0.83,152.5,1.0,0.0,,,0.0,0.0,0.0,5.0,0.0,0.0,,,0.0,1,9.0,GD,47.0,0.0,20180518190203.0,11077.0,0.0,0.0
