,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,,第3节,16.5,0.8,-16.5,0.87,179.5,0.83,179.5,0.83,,,,,4.0,6.0,16.0,10.0,7.0,5.0,5.0,3.0,0.0,0.0,70.0,100.0,51.0,41.0,0.0,1,10.0,0.0,0,,1083,0.0,0.0
1,,,,第3节,16.5,0.8,-16.5,0.87,179.5,0.83,179.5,0.83,,3.0,,,4.0,6.0,16.0,10.0,7.0,5.0,5.0,3.0,0.0,0.0,70.0,100.0,51.0,41.0,0.0,1,10.0,0.0,0,,1089.0,0.0,0.0
2,,,,第3节,16.5,0.8,-16.5,0.87,179.5,0.83,179.5,0.83,,3.0,,,4.0,6.0,16.0,10.0,7.0,5.0,5.0,3.0,0.0,0.0,70.0,100.0,51.0,41.0,0.0,1,9.0,40.0,0,,11077.0,0.0,0.0
3,,,,第3节,16.5,0.8,-16.5,0.87,177.5,0.83,177.5,0.83,177.5,3.0,,,4.0,6.0,16.0,10.0,7.0,5.0,5.0,3.0,0.0,0.0,70.0,100.0,51.0,41.0,0.0,1,9.0,40.0,0,,11077.0,0.0,0.0
4,,,,第3节,16.5,0.8,-16.5,0.87,177.5,0.83,177.5,0.83,177.5,3.0,,,4.0,6.0,16.0,10.0,7.0,5.0,5.0,3.0,0.0,0.0,70.0,100.0,51.0,41.0,0.0,1,9.0,30.0,0,,21077.0,0.0,0.0
5,,,,第3节,16.5,0.87,-15.5,0.8,177.5,0.83,177.5,0.83,-15.5,3.0,,,4.0,6.0,16.0,10.0,7.0,5.0,5.0,3.0,0.0,0.0,70.0,100.0,51.0,41.0,0.0,1,9.0,30.0,0,,21077.0,0.0,0.0
6,,,,第3节,15.5,0.87,-15.5,0.8,177.5,0.83,176.5,0.83,15.5,3.0,,,4.0,6.0,16.0,10.0,7.0,5.0,5.0,3.0,0.0,0.0,70.0,100.0,51.0,41.0,0.0,1,9.0,30.0,0,,21077.0,0.0,0.0
7,,,,第3节,15.5,0.87,-15.5,0.8,176.5,0.83,176.5,0.83,176.5,3.0,,,4.0,6.0,16.0,10.0,7.0,5.0,5.0,3.0,0.0,0.0,70.0,100.0,51.0,41.0,0.0,1,9.0,30.0,0,,21077.0,0.0,0.0
8,,,,第3节,15.5,0.87,-15.5,0.8,176.5,0.83,176.5,0.83,176.5,3.0,,,4.0,6.0,16.0,10.0,7.0,5.0,5.0,3.0,0.0,0.0,70.0,100.0,51.0,41.0,0.0,1,9.0,21.0,0,,21077.0,0.0,0.0
9,,,,第3节,15.5,0.87,-15.5,0.8,176.5,0.83,176.5,0.83,176.5,3.0,,,4.0,6.0,16.0,10.0,7.0,5.0,5.0,3.0,0.0,0.0,70.0,100.0,51.0,41.0,0.0,1,9.0,21.0,0,,21077.0,0.0,0.0
10,,,,第3节,15.5,0.87,-15.5,0.8,176.5,0.83,176.5,0.83,176.5,3.0,,,4.0,6.0,16.0,10.0,7.0,5.0,5.0,3.0,0.0,0.0,70.0,100.0,51.0,41.0,0.0,1,9.0,7.0,0,,21077.0,0.0,0.0
11,,,,第3节,15.5,0.83,-15.5,0.83,174.5,0.83,174.5,0.83,174.5,3.0,,,4.0,6.0,16.0,10.0,7.0,5.0,5.0,3.0,0.0,0.0,70.0,100.0,51.0,41.0,0.0,1,9.0,7.0,0,,21077.0,0.0,0.0
12,,,,第3节,15.5,0.83,-15.5,0.83,174.5,0.83,174.5,0.83,174.5,3.0,,,4.0,6.0,16.0,10.0,7.0,5.0,5.0,3.0,0.0,0.0,70.0,100.0,51.0,41.0,0.0,1,8.0,59.0,0,,21077.0,0.0,0.0
13,,,,第3节,15.5,0.83,-15.5,0.83,174.5,0.83,174.5,0.83,174.5,3.0,,,4.0,6.0,16.0,11.0,7.0,5.0,5.0,3.0,0.0,0.0,70.0,100.0,51.0,43.0,0.0,1,8.0,59.0,0,,21074.0,0.0,0.0
14,,,,第3节,15.5,0.83,-15.5,0.83,174.5,0.83,174.5,0.83,174.5,3.0,,,4.0,6.0,16.0,11.0,7.0,5.0,5.0,3.0,0.0,0.0,70.0,100.0,43.0,51.0,0.0,1,8.0,59.0,0,,11077.0,0.0,0.0
