,AM,AS,CP,ED,HA,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,OD,PG,PI,S1_h,S2_h,S3_h,S4_h,S5_h,S6_h,SC_a,SC_h,SU,TD,TM,TO,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,,第1节,,2.5,0.83,-2.5,0.83,160.5,0.83,160.5,0.83,,,,,,,,,,,,,,0.0,1,10.0,,0.0,0,,,1.2,0.63
1,,,,第1节,,2.5,0.83,-2.5,0.83,160.5,0.83,160.5,0.83,,,,,,,,,,,,,,1.0,1,10.0,,0.0,0,,,1.2,0.63
2,,,,第1节,,2.5,0.83,-2.5,0.83,160.5,0.83,160.5,0.83,,,,,,,,,,,,,,1.0,1,10.0,,0.0,0,,,1.2,0.63
3,,,,第1节,,2.5,0.83,-2.5,0.83,160.5,0.83,160.5,0.83,,,,,,,,,,,,,,1.0,1,10.0,,0.0,0,,,1.2,0.63
4,,,,第1节,,2.5,0.83,-2.5,0.83,160.5,0.83,160.5,0.83,,,,,,,,,,,,,,1.0,1,10.0,,0.0,0,,,1.2,0.63
5,,,,第1节,,2.5,0.83,-2.5,0.83,160.5,0.83,160.5,0.83,,,,,,,,,,,,,,1.0,1,10.0,,0.0,0,,,1.2,0.63
6,,,,第1节,,2.5,0.83,-2.5,0.83,160.5,0.83,160.5,0.83,,,,,,,,,,,,,,1.0,1,10.0,,0.0,0,,,1.2,0.63
7,,,,第1节,,2.5,0.83,-2.5,0.83,160.5,0.83,160.5,0.83,,,,,,,,,,,,,,0.0,1,10.0,,0.0,0,,,1.2,0.63
8,,,,第1节,,2.5,0.83,-2.5,0.83,160.5,0.83,160.5,0.83,,,,,,,,,,,,,,0.0,1,10.0,,0.0,0,,,1.2,0.63
9,,,,第1节,,2.5,0.83,-2.5,0.83,160.5,0.83,160.5,0.83,,,,,,,,,,,,,,0.0,1,10.0,,0.0,0,,,1.2,0.63
10,,,,第1节,,2.5,0.83,-2.5,0.83,160.5,0.83,160.5,0.83,,,,,,,,,,,,,,0.0,1,10.0,,0.0,0,,,1.2,0.63
11,,,,第1节,,2.5,0.83,-2.5,0.83,160.5,0.83,160.5,0.83,,,,,,,,,,,,,,0.0,1,10.0,,0.0,0,,,1.2,0.63
12,,,,第1节,,2.5,0.83,-2.5,0.83,160.5,0.83,160.5,0.83,,1.0,,,,0.0,0.0,0.0,5.0,0.0,0.0,,,0.0,1,9.0,GD,58.0,0,,1087.0,1.2,0.63
13,,,,第1节,,2.5,0.83,-2.5,0.83,160.5,0.83,160.5,0.83,,1.0,,,,0.0,0.0,0.0,5.0,0.0,0.0,,,0.0,1,9.0,GD,58.0,0,,11077.0,1.2,0.63
14,,,,第1节,,2.5,0.83,-2.5,0.83,160.5,0.83,160.5,0.83,,1.0,,,,0.0,0.0,0.0,5.0,0.0,0.0,,,0.0,1,9.0,GD,58.0,0,,21077.0,1.2,0.63
15,,,,第1节,159.5,2.5,0.83,-2.5,0.83,160.5,0.83,160.5,0.83,159.5,1.0,,,,0.0,0.0,0.0,5.0,0.0,0.0,,,0.0,1,9.0,GD,58.0,0,,11077.0,1.2,0.63
16,,,,第1节,159.5,2.5,0.83,-2.5,0.83,160.5,0.83,160.5,0.83,159.5,1.0,,,,0.0,0.0,0.0,5.0,0.0,0.0,,,0.0,1,9.0,GD,53.0,0,,11077.0,1.2,0.63
17,,,,第1节,159.5,2.5,0.83,-2.5,0.83,160.5,0.83,160.5,0.83,159.5,1.0,,,,0.0,0.0,0.0,5.0,0.0,0.0,,,0.0,1,9.0,GD,53.0,0,,11074.0,1.2,0.63
18,,,,第1节,159.5,2.5,0.83,-2.5,0.83,160.5,0.83,160.5,0.83,159.5,1.0,,,,0.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,1,9.0,GD,53.0,0,,21077.0,1.2,0.63
19,,,,第1节,-3.5,2.5,0.83,-2.5,0.83,160.5,0.83,160.5,0.83,-3.5,1.0,,,,0.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,1,9.0,GD,53.0,0,,21077.0,1.2,0.63
20,,,,第1节,3.5,2.5,0.83,-2.5,0.83,160.5,0.83,160.5,0.83,3.5,1.0,,,,0.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,1,9.0,GD,53.0,0,,21077.0,1.2,0.63
21,,,,第1节,161.5,2.5,0.83,-2.5,0.83,160.5,0.83,160.5,0.83,161.5,1.0,,,,0.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,1,9.0,GD,53.0,0,,21077.0,1.2,0.63
22,,,,第1节,161.5,2.5,0.83,-2.5,0.83,160.5,0.83,160.5,0.83,161.5,1.0,0.0,,,0.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,1,9.0,GD,53.0,0,,21077.0,1.2,0.63
23,,,,第1节,161.5,2.5,0.83,-2.5,0.83,160.5,0.83,160.5,0.83,161.5,1.0,0.0,,,0.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,1,9.0,GD,45.0,0,,21077.0,1.2,0.63
24,,,,第1节,161.5,2.5,0.83,-2.5,0.83,160.5,0.83,160.5,0.83,161.5,1.0,0.0,,,0.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,1,9.0,GD,45.0,0,,21077.0,1.2,0.63
25,,,,第1节,161.5,2.5,0.83,-2.5,0.83,160.5,0.83,160.5,0.83,161.5,1.0,0.0,,,0.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,1,9.0,GD,44.0,0,,21077.0,1.2,0.63
26,,,,第1节,161.5,2.5,0.83,-2.5,0.83,160.5,0.83,160.5,0.83,161.5,1.0,0.0,,,0.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,1,9.0,GD,44.0,0,,21077.0,1.2,0.63
27,,,,第1节,161.5,2.5,0.83,-2.5,0.83,160.5,0.83,160.5,0.83,161.5,1.0,0.0,,,0.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,1,9.0,GD,27.0,0,,21077.0,1.2,0.63
28,,,,第1节,161.5,2.5,0.83,-2.5,0.83,160.5,0.83,160.5,0.83,161.5,1.0,0.0,,,0.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,1,9.0,GD,27.0,0,,11086.0,1.2,0.63
29,,,,第1节,160.5,2.5,0.83,-2.5,0.83,160.5,0.83,160.5,0.83,160.5,1.0,0.0,,,0.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,1,9.0,GD,27.0,0,,21077.0,1.2,0.63
30,,,,第1节,160.5,2.5,0.83,-2.5,0.83,160.5,0.83,160.5,0.83,160.5,1.0,0.0,,,0.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,1.0,1,9.0,GD,27.0,0,,21077.0,1.2,0.63
31,,,,第1节,160.5,2.5,0.83,-2.5,0.83,160.5,0.83,160.5,0.83,160.5,1.0,0.0,,,0.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,1.0,1,9.0,GD,27.0,0,,21077.0,1.2,0.63
32,,,,第1节,160.5,2.5,0.83,-2.5,0.83,160.5,0.83,160.5,0.83,160.5,1.0,0.0,,,0.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,1.0,1,9.0,GD,27.0,0,,21077.0,1.2,0.63
33,,,,第1节,160.5,2.5,0.83,-2.5,0.83,160.5,0.83,160.5,0.83,160.5,1.0,0.0,,,0.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,1.0,1,9.0,GD,27.0,0,,21077.0,1.2,0.63
34,,,,第1节,160.5,2.5,0.83,-2.5,0.83,160.5,0.83,160.5,0.83,160.5,1.0,0.0,,,0.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,1.0,1,9.0,GD,27.0,0,,21077.0,1.2,0.63
35,,,,第1节,160.5,2.5,0.83,-2.5,0.83,160.5,0.83,160.5,0.83,160.5,1.0,0.0,,,0.0,1.0,0.0,5.0,0.0,0.0,0.0,2.0,1.0,1,9.0,GD,27.0,0,,21074.0,1.2,0.63
36,,,,第1节,160.5,2.5,0.83,-2.5,0.83,160.5,0.83,160.5,0.83,160.5,1.0,0.0,,,0.0,1.0,0.0,5.0,0.0,0.0,2.0,2.0,1.0,1,9.0,GD,24.0,0,,11077.0,1.2,0.63
37,,,,第1节,-2.5,2.5,0.83,-2.5,0.83,160.5,0.83,160.5,0.83,-2.5,1.0,0.0,,,0.0,1.0,0.0,5.0,0.0,0.0,2.0,2.0,1.0,1,9.0,GD,24.0,0,,11077.0,1.2,0.63
38,,,,第1节,2.5,2.5,0.83,-2.5,0.83,160.5,0.83,160.5,0.83,2.5,1.0,0.0,,,0.0,1.0,0.0,5.0,0.0,0.0,2.0,2.0,1.0,1,9.0,GD,24.0,0,,11077.0,1.2,0.63
39,,,,第1节,162.5,2.5,0.83,-2.5,0.83,160.5,0.83,160.5,0.83,162.5,1.0,0.0,,,0.0,1.0,0.0,5.0,0.0,0.0,2.0,2.0,1.0,1,9.0,GD,24.0,0,,11077.0,1.2,0.63
40,,,,第1节,162.5,2.5,0.83,-2.5,0.83,160.5,0.83,160.5,0.83,162.5,1.0,0.63,,,0.0,1.0,0.0,5.0,0.0,0.0,2.0,2.0,1.0,1,9.0,GD,24.0,0,,11077.0,1.2,0.63
41,,,,第1节,162.5,2.5,0.83,-2.5,0.83,160.5,0.83,160.5,0.83,162.5,1.0,1.2,,,0.0,1.0,0.0,5.0,0.0,0.0,2.0,2.0,1.0,1,9.0,GD,20.0,0,,11077.0,1.2,0.63
