,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TO,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,,第1节,1.5,0.83,-1.5,0.83,155.5,0.83,155.5,0.83,,,,,,,,,,,,,,,,,,,0.0,1,10.0,,0.0,0,,,0.91,0.77
1,,,,第1节,1.5,0.83,-1.5,0.83,155.5,0.83,155.5,0.83,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0.0,1,10.0,GD,0.0,0,,1087.0,0.91,0.77
2,,,,第1节,1.5,0.83,-1.5,0.83,155.5,0.83,155.5,0.83,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0.0,1,9.0,GD,58.0,0,,11077.0,0.91,0.77
3,,,,第1节,1.5,0.83,-1.5,0.83,155.5,0.83,155.5,0.83,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0.0,1,9.0,GD,58.0,0,,21077.0,0.91,0.77
4,,,,第1节,1.5,0.83,-1.5,0.83,155.5,0.83,155.5,0.83,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0.0,1,9.0,GD,50.0,0,,21077.0,0.91,0.77
5,,,,第1节,1.5,0.83,-1.5,0.83,154.5,0.83,154.5,0.83,154.5,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0.0,1,9.0,GD,50.0,0,,21077.0,0.91,0.77
6,,,,第1节,1.5,0.83,-1.5,0.83,154.5,0.83,154.5,0.83,154.5,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0.0,1,9.0,GD,48.0,0,,21077.0,0.91,0.77
7,,,,第1节,1.5,0.83,-1.5,0.83,154.5,0.83,154.5,0.83,154.5,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,,,0.0,1,9.0,GD,48.0,0,,11086.0,0.91,0.77
8,,,,第1节,1.5,0.83,-1.5,0.83,154.5,0.83,154.5,0.83,154.5,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,,2.0,0.0,1,9.0,GD,48.0,0,,21077.0,0.91,0.77
9,,,,第1节,1.5,0.83,-1.5,0.83,154.5,0.83,154.5,0.83,154.5,1.0,,,0.0,0.0,0.0,1.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,,2.0,0.0,1,9.0,GD,48.0,0,,21074.0,0.91,0.77
10,,,,第1节,1.5,0.83,-1.5,0.83,154.5,0.83,154.5,0.83,154.5,1.0,,,0.0,0.0,0.0,1.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1,9.0,GD,31.0,0,,11077.0,0.91,0.77
11,,,,第1节,1.5,0.87,1.5,0.8,154.5,0.83,154.5,0.83,1.5,1.0,,,0.0,0.0,0.0,1.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1,9.0,GD,31.0,0,,11077.0,0.91,0.77
12,,,,第1节,-1.5,0.87,1.5,0.8,154.5,0.83,155.5,0.83,-1.5,1.0,,,0.0,0.0,0.0,1.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1,9.0,GD,31.0,0,,11077.0,0.91,0.77
13,,,,第1节,-1.5,0.87,1.5,0.8,155.5,0.83,155.5,0.83,155.5,1.0,,,0.0,0.0,0.0,1.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1,9.0,GD,31.0,0,,11077.0,0.91,0.77
14,,,,第1节,-1.5,0.87,1.5,0.8,155.5,0.83,155.5,0.83,155.5,1.0,,,0.0,0.0,0.0,1.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1,9.0,GD,25.0,0,,11077.0,0.8,0.87
15,,,,第1节,-1.5,0.87,1.5,0.8,155.5,0.83,155.5,0.83,155.5,1.0,,,0.0,0.0,0.0,1.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1,9.0,GD,25.0,0,,11077.0,0.8,0.87
16,,,,第1节,-1.5,0.87,1.5,0.8,155.5,0.83,155.5,0.83,155.5,1.0,,,0.0,0.0,0.0,1.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1,9.0,GD,8.0,0,,11077.0,0.8,0.87
17,,,,第1节,-1.5,0.83,-1.5,0.83,155.5,0.83,155.5,0.83,-1.5,1.0,,,0.0,0.0,0.0,1.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1,9.0,GD,8.0,0,,11077.0,0.8,0.87
18,,,,第1节,1.5,0.83,-1.5,0.83,155.5,0.83,156.5,0.83,1.5,1.0,,,0.0,0.0,0.0,1.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1,9.0,GD,8.0,0,,11077.0,0.8,0.87
19,,,,第1节,1.5,0.83,-1.5,0.83,156.5,0.83,156.5,0.83,156.5,1.0,,,0.0,0.0,0.0,1.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1,9.0,GD,8.0,0,,11077.0,0.8,0.87
20,,,,第1节,1.5,0.83,-1.5,0.83,156.5,0.83,156.5,0.83,156.5,1.0,,,0.0,0.0,1.0,1.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1,9.0,GD,8.0,0,,11074.0,0.91,0.77
21,,,,第1节,1.5,0.83,-1.5,0.83,156.5,0.83,156.5,0.83,156.5,1.0,,,0.0,0.0,1.0,1.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,1,9.0,GD,8.0,0,,21077.0,0.91,0.77
22,,,,第1节,1.5,0.83,-1.5,0.83,156.5,0.83,156.5,0.83,156.5,1.0,,,0.0,0.0,1.0,1.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,1,9.0,GD,4.0,0,,21077.0,0.91,0.77
23,,,,第1节,1.5,0.83,-1.5,0.83,154.5,0.83,154.5,0.83,154.5,1.0,,,0.0,0.0,1.0,1.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,1,9.0,GD,4.0,0,,11077.0,0.91,0.77
24,,,,第1节,1.5,0.83,-1.5,0.83,154.5,0.83,154.5,0.83,154.5,1.0,,,0.0,0.0,1.0,1.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,1,8.0,GD,48.0,0,,11077.0,1.0,0.71
25,,,,第1节,1.5,0.83,-1.5,0.83,154.5,0.83,154.5,0.83,154.5,1.0,,,0.0,0.0,2.0,1.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,4.0,2.0,0.0,1,8.0,GD,48.0,0,,11074.0,1.0,0.71
26,,,,第1节,1.5,0.83,-1.5,0.83,154.5,0.83,154.5,0.83,154.5,1.0,,,0.0,0.0,2.0,1.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,2.0,4.0,0.0,1,8.0,GD,48.0,0,,21077.0,1.0,0.71
27,,,,第1节,1.5,0.83,-1.5,0.83,154.5,0.83,154.5,0.83,154.5,1.0,,,0.0,0.0,2.0,1.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,2.0,4.0,0.0,1,8.0,GD,43.0,0,,21077.0,1.0,0.71
28,,,,第1节,1.5,0.87,-2.5,0.8,154.5,0.83,154.5,0.83,-2.5,1.0,,,0.0,0.0,2.0,1.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,2.0,4.0,0.0,1,8.0,GD,43.0,0,,21077.0,1.0,0.71
29,,,,第1节,2.5,0.87,-2.5,0.8,154.5,0.83,156.5,0.83,2.5,1.0,,,0.0,0.0,2.0,1.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,2.0,4.0,0.0,1,8.0,GD,43.0,0,,21077.0,1.0,0.71
30,,,,第1节,2.5,0.87,-2.5,0.8,156.5,0.83,156.5,0.83,156.5,1.0,,,0.0,0.0,2.0,1.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,2.0,4.0,0.0,1,8.0,GD,43.0,0,,21077.0,1.0,0.71
31,,,,第1节,2.5,0.87,-2.5,0.8,156.5,0.83,156.5,0.83,156.5,1.0,,,0.0,0.0,2.0,1.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,2.0,4.0,0.0,1,8.0,GD,36.0,0,,21077.0,1.2,0.63
32,,,,第1节,2.5,0.87,-2.5,0.8,156.5,0.83,156.5,0.83,156.5,1.0,,,0.0,0.0,2.0,1.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,2.0,4.0,0.0,1,8.0,GD,36.0,0,,21077.0,1.2,0.63
33,,,,第1节,2.5,0.87,-2.5,0.8,156.5,0.83,156.5,0.83,156.5,1.0,,,0.0,0.0,2.0,1.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,2.0,4.0,0.0,1,8.0,GD,20.0,0,,21077.0,1.2,0.63
34,,,,第1节,2.5,0.87,-2.5,0.8,155.5,0.83,155.5,0.83,155.5,1.0,,,0.0,0.0,2.0,1.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,2.0,4.0,0.0,1,8.0,GD,20.0,0,,11077.0,1.2,0.63
35,,,,第1节,2.5,0.87,-2.5,0.8,155.5,0.83,155.5,0.83,155.5,1.0,,,0.0,0.0,2.0,1.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,2.0,4.0,0.0,1,7.0,GD,59.0,0,,11077.0,1.2,0.63
36,,,,第1节,2.5,0.83,-2.5,0.83,153.5,0.83,153.5,0.83,153.5,1.0,,,0.0,0.0,2.0,1.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,2.0,4.0,0.0,1,7.0,GD,59.0,0,,11077.0,1.2,0.63
37,,,,第1节,2.5,0.83,-2.5,0.83,153.5,0.83,153.5,0.83,153.5,1.0,,,0.0,0.0,2.0,1.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,2.0,4.0,0.0,1,7.0,GD,59.0,0,,21077.0,1.2,0.63
38,,,,第1节,2.5,0.83,-2.5,0.83,153.5,0.83,153.5,0.83,153.5,1.0,,,0.0,0.0,2.0,1.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,2.0,4.0,0.0,1,7.0,GD,44.0,0,,11077.0,1.2,0.63
39,,,,第1节,2.5,0.87,-2.5,0.8,152.5,0.83,152.5,0.83,152.5,1.0,,,0.0,0.0,2.0,1.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,2.0,4.0,0.0,1,7.0,GD,44.0,0,,11077.0,1.2,0.63
40,,,,第1节,2.5,0.87,-2.5,0.8,152.5,0.83,152.5,0.83,152.5,1.0,,,0.0,0.0,2.0,1.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,2.0,4.0,0.0,1,7.0,GD,32.0,0,,21077.0,1.2,0.63
41,,,,第1节,2.5,0.83,-2.5,0.83,151.5,0.83,151.5,0.83,151.5,1.0,,,0.0,0.0,2.0,1.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,2.0,4.0,0.0,1,7.0,GD,32.0,0,,21077.0,1.2,0.63
42,,,,第1节,2.5,0.83,-2.5,0.83,151.5,0.83,151.5,0.83,151.5,1.0,,,0.0,0.0,2.0,2.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,2.0,4.0,0.0,1,7.0,GD,32.0,0,,21074.0,1.2,0.63
43,,,,第1节,2.5,0.83,-2.5,0.83,151.5,0.83,151.5,0.83,151.5,1.0,,,0.0,0.0,2.0,2.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,4.0,4.0,0.0,1,7.0,GD,32.0,0,,11077.0,1.2,0.63
