,AM,AS,CP,ED,HA,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,OD,PG,PI,S1_h,S2_h,S3_h,S4_h,S5_h,S6_h,SC_a,SC_h,SU,TD,TM,TO,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,,第1节,,1.5,0.83,-1.5,0.83,164.5,0.83,164.5,0.83,,,,,,,,,,,,,,0.0,1,10.0,,0.0,0,,,0.91,0.77
1,,,,第1节,,1.5,0.83,-1.5,0.83,164.5,0.83,164.5,0.83,,,,,,,,,,,,,,1.0,1,10.0,,0.0,0,,,0.91,0.77
2,,,,第1节,,1.5,0.83,-1.5,0.83,164.5,0.83,164.5,0.83,,,,,,,,,,,,,,1.0,1,10.0,,0.0,0,,,0.91,0.77
3,,,,第1节,,1.5,0.83,-1.5,0.83,164.5,0.83,164.5,0.83,,,,,,,,,,,,,,1.0,1,10.0,,0.0,0,,,0.91,0.77
4,,,,第1节,,1.5,0.83,-1.5,0.83,164.5,0.83,164.5,0.83,,,,,,,,,,,,,,1.0,1,10.0,,0.0,0,,,0.91,0.77
5,,,,第1节,,1.5,0.83,-1.5,0.83,164.5,0.83,164.5,0.83,,,,,,,,,,,,,,1.0,1,10.0,,0.0,0,,,0.91,0.77
6,,,,第1节,,1.5,0.83,-1.5,0.83,164.5,0.83,164.5,0.83,,,,,,,,,,,,,,1.0,1,10.0,,0.0,0,,,0.91,0.77
7,,,,第1节,,1.5,0.83,-1.5,0.83,164.5,0.83,164.5,0.83,,,,,,,,,,,,,,0.0,1,10.0,,0.0,0,,,0.91,0.77
8,,,,第1节,,1.5,0.83,-1.5,0.83,164.5,0.83,164.5,0.83,,,,,,,,,,,,,,0.0,1,10.0,,0.0,0,,,0.91,0.77
9,,,,第1节,,1.5,0.83,-1.5,0.83,164.5,0.83,164.5,0.83,,,,,,,,,,,,,,0.0,1,10.0,,0.0,0,,,0.91,0.77
10,,,,第1节,,1.5,0.83,-1.5,0.83,164.5,0.83,164.5,0.83,,,,,,,,,,,,,,0.0,1,10.0,,0.0,0,,,0.91,0.77
11,,,,第1节,,1.5,0.83,-1.5,0.83,164.5,0.83,164.5,0.83,,,,,,,,,,,,,,0.0,1,10.0,,0.0,0,,,0.91,0.77
12,,,,第1节,,1.5,0.83,-1.5,0.83,164.5,0.83,164.5,0.83,,1.0,,,,0.0,0.0,0.0,5.0,0.0,0.0,,,0.0,1,9.0,GD,58.0,0,,1087.0,0.91,0.77
13,,,,第1节,,1.5,0.83,-1.5,0.83,164.5,0.83,164.5,0.83,,1.0,,,,0.0,0.0,0.0,5.0,0.0,0.0,,,1.0,1,9.0,GD,58.0,0,,21077.0,0.91,0.77
14,,,,第1节,,1.5,0.83,-1.5,0.83,164.5,0.83,164.5,0.83,,1.0,,,,0.0,0.0,0.0,5.0,0.0,0.0,,,1.0,1,9.0,GD,58.0,0,,21077.0,0.91,0.77
15,,,,第1节,,1.5,0.83,-1.5,0.83,164.5,0.83,164.5,0.83,,1.0,,,,0.0,0.0,0.0,5.0,0.0,0.0,,,1.0,1,9.0,GD,58.0,0,,21077.0,0.91,0.77
16,,,,第1节,,1.5,0.83,-1.5,0.83,164.5,0.83,164.5,0.83,,1.0,,,,0.0,0.0,0.0,5.0,0.0,0.0,,,1.0,1,9.0,GD,58.0,0,,21077.0,0.91,0.77
17,,,,第1节,,1.5,0.83,-1.5,0.83,164.5,0.83,164.5,0.83,,1.0,,,,0.0,0.0,0.0,5.0,0.0,0.0,,,1.0,1,9.0,GD,58.0,0,,21077.0,0.91,0.77
18,,,,第1节,,1.5,0.83,-1.5,0.83,164.5,0.83,164.5,0.83,,1.0,,,,0.0,0.0,0.0,5.0,0.0,0.0,,,1.0,1,9.0,GD,56.0,0,,21077.0,0.91,0.77
19,,,,第1节,,1.5,0.83,-1.5,0.83,164.5,0.83,164.5,0.83,,1.0,,,,0.0,0.0,0.0,5.0,0.0,0.0,,,0.0,1,9.0,GD,56.0,0,,21077.0,0.91,0.77
20,,,,第1节,,1.5,0.83,-1.5,0.83,164.5,0.83,164.5,0.83,,1.0,,,,0.0,0.0,0.0,5.0,0.0,0.0,,,0.0,1,9.0,GD,56.0,0,,21077.0,0.91,0.77
21,,,,第1节,,1.5,0.83,-1.5,0.83,164.5,0.83,164.5,0.83,,1.0,,,,0.0,0.0,0.0,5.0,0.0,0.0,,,0.0,1,9.0,GD,56.0,0,,21077.0,0.91,0.77
22,,,,第1节,,1.5,0.83,-1.5,0.83,164.5,0.83,164.5,0.83,,1.0,,,,0.0,0.0,0.0,5.0,0.0,0.0,,,0.0,1,9.0,GD,56.0,0,,21077.0,0.91,0.77
23,,,,第1节,,1.5,0.83,-1.5,0.83,164.5,0.83,164.5,0.83,,1.0,,,,0.0,0.0,0.0,5.0,0.0,0.0,,,0.0,1,9.0,GD,56.0,0,,21077.0,0.91,0.77
24,,,,第1节,162.5,1.5,0.83,-1.5,0.83,164.5,0.83,164.5,0.83,162.5,1.0,,,,0.0,0.0,0.0,5.0,0.0,0.0,,,0.0,1,9.0,GD,56.0,0,,21077.0,0.91,0.77
25,,,,第1节,162.5,1.5,0.83,-1.5,0.83,164.5,0.83,164.5,0.83,162.5,1.0,,,,0.0,0.0,0.0,5.0,0.0,0.0,,,0.0,1,9.0,GD,39.0,0,,21077.0,0.91,0.77
26,,,,第1节,162.5,1.5,0.83,-1.5,0.83,164.5,0.83,164.5,0.83,162.5,1.0,0.71,,,0.0,0.0,0.0,5.0,0.0,0.0,,,0.0,1,9.0,GD,39.0,0,,21077.0,0.91,0.77
27,,,,第1节,161.5,1.5,0.83,-1.5,0.83,164.5,0.83,164.5,0.83,161.5,1.0,1.0,,,0.0,0.0,0.0,5.0,0.0,0.0,,,0.0,1,9.0,GD,39.0,0,,11077.0,0.91,0.77
28,,,,第1节,161.5,1.5,0.83,-1.5,0.83,164.5,0.83,164.5,0.83,161.5,1.0,1.0,,,0.0,0.0,0.0,5.0,0.0,0.0,,,0.0,1,9.0,GD,30.0,0,,11077.0,0.91,0.77
29,,,,第1节,161.5,1.5,0.83,-1.5,0.83,164.5,0.83,164.5,0.83,161.5,1.0,0.77,,,0.0,0.0,0.0,5.0,0.0,0.0,,,0.0,1,9.0,GD,30.0,0,,11077.0,0.91,0.77
30,,,,第1节,160.5,1.5,0.83,-1.5,0.83,164.5,0.83,164.5,0.83,160.5,1.0,0.91,,,0.0,0.0,0.0,5.0,0.0,0.0,,,0.0,1,9.0,GD,30.0,0,,21077.0,0.91,0.77
31,,,,第1节,160.5,1.5,0.83,-1.5,0.83,164.5,0.83,164.5,0.83,160.5,1.0,0.91,,,0.0,0.0,0.0,5.0,0.0,0.0,,,0.0,1,9.0,GD,12.0,0,,11077.0,0.91,0.77
32,,,,第1节,160.5,1.5,0.83,-1.5,0.83,164.5,0.83,164.5,0.83,160.5,1.0,0.71,,,0.0,0.0,0.0,5.0,0.0,0.0,,,0.0,1,9.0,GD,12.0,0,,11077.0,0.91,0.77
33,,,,第1节,158.5,1.5,0.83,-1.5,0.83,164.5,0.83,164.5,0.83,158.5,1.0,1.0,,,0.0,0.0,0.0,5.0,0.0,0.0,,,0.0,1,9.0,GD,12.0,0,,21077.0,0.91,0.77
34,,,,第1节,158.5,1.5,0.83,-1.5,0.83,164.5,0.83,164.5,0.83,158.5,1.0,1.0,,,0.0,0.0,0.0,5.0,0.0,0.0,,,0.0,1,8.0,GD,53.0,0,,21077.0,0.91,0.77
35,,,,第1节,158.5,1.5,0.83,-1.5,0.83,164.5,0.83,164.5,0.83,158.5,1.0,0.77,,,0.0,0.0,0.0,5.0,0.0,0.0,,,0.0,1,8.0,GD,53.0,0,,21077.0,0.91,0.77
36,,,,第1节,158.5,1.5,0.83,-1.5,0.83,164.5,0.83,164.5,0.83,158.5,1.0,0.91,,,0.0,0.0,0.0,5.0,0.0,0.0,,,0.0,1,8.0,GD,44.0,0,,11077.0,0.91,0.77
37,,,,第1节,157.5,1.5,0.83,-1.5,0.83,164.5,0.83,164.5,0.83,157.5,1.0,0.91,,,0.0,0.0,0.0,5.0,0.0,0.0,,,0.0,1,8.0,GD,44.0,0,,11077.0,0.91,0.77
38,,,,第1节,157.5,1.5,0.83,-1.5,0.83,164.5,0.83,164.5,0.83,157.5,1.0,0.71,,,0.0,0.0,0.0,5.0,0.0,0.0,,,0.0,1,8.0,GD,44.0,0,,11077.0,0.91,0.77
