,AM,AS,CP,ED,HA,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,OD,PG,PI,S1_h,S2_h,S3_h,S4_h,S5_h,S6_h,SC_a,SC_h,SU,TD,TM,TO,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,,第1节,,1.5,0.8,-1.5,0.87,168.5,0.83,168.5,0.83,,,,,,,,,,,,,,0.0,1,10.0,,0.0,0,,,0.87,0.8
1,,,,第1节,,1.5,0.8,-1.5,0.87,168.5,0.83,168.5,0.83,,,,,,,,,,,,,,1.0,1,10.0,,0.0,0,,,0.87,0.8
2,,,,第1节,,1.5,0.8,-1.5,0.87,168.5,0.83,168.5,0.83,,,,,,,,,,,,,,1.0,1,10.0,,0.0,0,,,0.87,0.8
3,,,,第1节,,1.5,0.8,-1.5,0.87,168.5,0.83,168.5,0.83,,,,,,,,,,,,,,1.0,1,10.0,,0.0,0,,,0.87,0.8
4,,,,第1节,,1.5,0.8,-1.5,0.87,168.5,0.83,168.5,0.83,,,,,,,,,,,,,,1.0,1,10.0,,0.0,0,,,0.87,0.8
5,,,,第1节,,1.5,0.8,-1.5,0.87,168.5,0.83,168.5,0.83,,,,,,,,,,,,,,1.0,1,10.0,,0.0,0,,,0.87,0.8
6,,,,第1节,,1.5,0.8,-1.5,0.87,168.5,0.83,168.5,0.83,,,,,,,,,,,,,,1.0,1,10.0,,0.0,0,,,0.87,0.8
7,,,,第1节,,1.5,0.8,-1.5,0.87,168.5,0.83,168.5,0.83,,,,,,,,,,,,,,0.0,1,10.0,,0.0,0,,,0.87,0.8
8,,,,第1节,,1.5,0.8,-1.5,0.87,168.5,0.83,168.5,0.83,,,,,,,,,,,,,,0.0,1,10.0,,0.0,0,,,0.87,0.8
9,,,,第1节,,1.5,0.8,-1.5,0.87,168.5,0.83,168.5,0.83,,,,,,,,,,,,,,0.0,1,10.0,,0.0,0,,,0.87,0.8
10,,,,第1节,,1.5,0.8,-1.5,0.87,168.5,0.83,168.5,0.83,,,,,,,,,,,,,,0.0,1,10.0,,0.0,0,,,0.87,0.8
11,,,,第1节,,1.5,0.8,-1.5,0.87,168.5,0.83,168.5,0.83,,,,,,,,,,,,,,0.0,1,10.0,,0.0,0,,,0.87,0.8
12,,,,第1节,,1.5,0.8,-1.5,0.87,168.5,0.83,168.5,0.83,,1.0,,,,0.0,0.0,0.0,5.0,0.0,0.0,,,0.0,1,10.0,GD,0.0,0,,1087.0,0.87,0.8
13,,,,第1节,,1.5,0.8,-1.5,0.87,168.5,0.83,168.5,0.83,,1.0,,,,0.0,0.0,0.0,5.0,0.0,0.0,,,0.0,1,9.0,GD,59.0,0,,11077.0,0.87,0.8
14,,,,第1节,,1.5,0.8,-1.5,0.87,168.5,0.83,168.5,0.83,,1.0,,,,0.0,0.0,0.0,5.0,0.0,0.0,,,0.0,1,9.0,GD,59.0,0,,11077.0,0.87,0.8
15,,,,第1节,,1.5,0.8,-1.5,0.87,168.5,0.83,168.5,0.83,,1.0,,,,0.0,0.0,0.0,5.0,0.0,0.0,,,0.0,1,9.0,GD,49.0,0,,11077.0,0.87,0.8
16,,,,第1节,,1.5,0.8,-1.5,0.87,168.5,0.83,168.5,0.83,,1.0,,,,0.0,0.0,0.0,5.0,1.0,0.0,,,0.0,1,9.0,GD,49.0,0,,21086.0,0.87,0.8
17,,,,第1节,167.5,1.5,0.8,-1.5,0.87,168.5,0.83,168.5,0.83,167.5,1.0,,,,0.0,0.0,0.0,5.0,1.0,0.0,,,0.0,1,9.0,GD,49.0,0,,11077.0,0.87,0.8
18,,,,第1节,167.5,1.5,0.8,-1.5,0.87,168.5,0.83,168.5,0.83,167.5,1.0,,,,0.0,0.0,0.0,5.0,2.0,0.0,,,0.0,1,9.0,GD,49.0,0,,21086.0,0.87,0.8
19,,,,第1节,167.5,1.5,0.8,-1.5,0.87,168.5,0.83,168.5,0.83,167.5,1.0,0.83,,,0.0,0.0,0.0,5.0,2.0,0.0,,,0.0,1,9.0,GD,49.0,0,,11077.0,0.87,0.8
20,,,,第1节,167.5,1.5,0.8,-1.5,0.87,168.5,0.83,168.5,0.83,167.5,1.0,0.83,,,0.0,0.0,0.0,5.0,2.0,0.0,,,0.0,1,9.0,GD,49.0,0,,11077.0,0.87,0.8
21,,,,第1节,167.5,1.5,0.8,-1.5,0.87,168.5,0.83,168.5,0.83,167.5,1.0,0.77,,,0.0,0.0,0.0,5.0,2.0,0.0,,,0.0,1,9.0,GD,49.0,0,,11077.0,0.87,0.8
22,,,,第1节,167.5,1.5,0.8,-1.5,0.87,168.5,0.83,168.5,0.83,167.5,1.0,0.91,,,0.0,0.0,0.0,5.0,2.0,0.0,,,0.0,1,9.0,GD,49.0,0,,11075.0,0.87,0.8
23,,,,第1节,167.5,1.5,0.8,-1.5,0.87,168.5,0.83,168.5,0.83,167.5,1.0,0.91,,,0.0,0.0,0.0,5.0,2.0,0.0,0.0,3.0,0.0,1,9.0,GD,40.0,0,,21077.0,0.87,0.8
24,,,,第1节,-3.5,1.5,0.8,-1.5,0.87,168.5,0.83,168.5,0.83,-3.5,1.0,0.91,,,0.0,0.0,0.0,5.0,2.0,0.0,0.0,3.0,0.0,1,9.0,GD,40.0,0,,21077.0,0.87,0.8
25,,,,第1节,3.5,1.5,0.8,-1.5,0.87,168.5,0.83,168.5,0.83,3.5,1.0,0.91,,,0.0,0.0,0.0,5.0,2.0,0.0,0.0,3.0,0.0,1,9.0,GD,40.0,0,,21077.0,0.87,0.8
26,,,,第1节,170.5,1.5,0.8,-1.5,0.87,168.5,0.83,168.5,0.83,170.5,1.0,0.91,,,0.0,0.0,0.0,5.0,2.0,0.0,0.0,3.0,0.0,1,9.0,GD,40.0,0,,21077.0,0.87,0.8
27,,,,第1节,170.5,1.5,0.8,-1.5,0.87,168.5,0.83,168.5,0.83,170.5,1.0,0.0,,,0.0,0.0,0.0,5.0,2.0,0.0,0.0,3.0,0.0,1,9.0,GD,40.0,0,,21077.0,0.87,0.8
28,,,,第1节,170.5,1.5,0.8,-1.5,0.87,168.5,0.83,168.5,0.83,170.5,1.0,1.25,,,0.0,0.0,0.0,5.0,2.0,0.0,0.0,3.0,0.0,1,9.0,GD,35.0,0,,21077.0,0.87,0.8
29,,,,第1节,170.5,1.5,0.8,-1.5,0.87,168.5,0.83,168.5,0.83,170.5,1.0,1.25,,,0.0,1.0,0.0,5.0,2.0,0.0,0.0,2.0,0.0,1,9.0,GD,35.0,0,,21074.0,0.87,0.8
30,,,,第1节,170.5,1.5,0.8,-1.5,0.87,168.5,0.83,168.5,0.83,170.5,1.0,1.25,,,0.0,1.0,0.0,5.0,2.0,0.0,0.0,2.0,0.0,1,9.0,GD,22.0,0,,11077.0,0.87,0.8
31,,,,第1节,170.5,1.5,0.8,-1.5,0.87,168.5,0.83,168.5,0.83,170.5,1.0,1.25,,,0.0,1.0,0.0,5.0,2.0,0.0,2.0,3.0,0.0,1,9.0,GD,22.0,0,,11077.0,0.87,0.8
32,,,,第1节,-1.5,1.5,0.8,-1.5,0.87,168.5,0.83,168.5,0.83,-1.5,1.0,0.8,,,0.0,1.0,0.0,5.0,2.0,0.0,2.0,3.0,0.0,1,9.0,GD,22.0,0,,11077.0,0.87,0.8
33,,,,第1节,1.5,1.5,0.8,-1.5,0.87,168.5,0.83,168.5,0.83,1.5,1.0,0.87,,,0.0,1.0,0.0,5.0,2.0,0.0,2.0,3.0,0.0,1,9.0,GD,22.0,0,,11077.0,0.87,0.8
34,,,,第1节,171.5,1.5,0.8,-1.5,0.87,168.5,0.83,168.5,0.83,171.5,1.0,0.87,,,0.0,1.0,0.0,5.0,2.0,0.0,2.0,3.0,0.0,1,9.0,GD,22.0,0,,11077.0,0.87,0.8
35,,,,第1节,171.5,1.5,0.8,-1.5,0.87,168.5,0.83,168.5,0.83,171.5,1.0,0.71,,,0.0,1.0,0.0,5.0,2.0,0.0,2.0,3.0,0.0,1,9.0,GD,22.0,0,,11077.0,0.87,0.8
36,,,,第1节,171.5,1.5,0.8,-1.5,0.87,168.5,0.83,168.5,0.83,171.5,1.0,1.0,,,0.0,1.0,0.0,5.0,2.0,0.0,2.0,3.0,0.0,1,9.0,GD,19.0,0,,11077.0,0.87,0.8
37,,,,第1节,171.5,1.5,0.8,-1.5,0.87,168.5,0.83,168.5,0.83,171.5,1.0,1.0,,,0.0,1.0,0.0,5.0,2.0,0.0,2.0,3.0,0.0,1,9.0,GD,19.0,0,,21077.0,0.87,0.8
38,,,,第1节,171.5,1.5,0.8,-1.5,0.87,168.5,0.83,168.5,0.83,171.5,1.0,1.0,,,0.0,1.0,0.0,5.0,2.0,0.0,2.0,3.0,0.0,1,9.0,GD,1.0,0,,21077.0,0.87,0.8
39,,,,第1节,169.5,1.5,0.8,-1.5,0.87,168.5,0.83,168.5,0.83,169.5,1.0,1.0,,,0.0,1.0,0.0,5.0,2.0,0.0,2.0,3.0,0.0,1,9.0,GD,1.0,0,,21077.0,0.87,0.8
40,,,,第1节,169.5,1.5,0.8,-1.5,0.87,168.5,0.83,168.5,0.83,169.5,1.0,1.0,,,1.0,1.0,0.0,5.0,2.0,0.0,2.0,5.0,0.0,1,9.0,GD,1.0,0,,21075.0,0.87,0.8
41,,,,第1节,1.5,1.5,0.8,-1.5,0.87,168.5,0.83,168.5,0.83,1.5,1.0,1.0,,,1.0,1.0,0.0,5.0,2.0,0.0,2.0,5.0,0.0,1,9.0,GD,1.0,0,,11077.0,0.87,0.8
42,,,,第1节,-1.5,1.5,0.8,-1.5,0.87,168.5,0.83,168.5,0.83,-1.5,1.0,1.0,,,1.0,1.0,0.0,5.0,2.0,0.0,2.0,5.0,0.0,1,9.0,GD,1.0,0,,11077.0,0.87,0.8
43,,,,第1节,172.5,1.5,0.8,-1.5,0.87,168.5,0.83,168.5,0.83,172.5,1.0,1.0,,,1.0,1.0,0.0,5.0,2.0,0.0,2.0,5.0,0.0,1,9.0,GD,1.0,0,,11077.0,0.87,0.8
44,,,,第1节,172.5,1.5,0.8,-1.5,0.87,168.5,0.83,168.5,0.83,172.5,1.0,1.0,,,1.0,1.0,0.0,5.0,2.0,0.0,5.0,3.0,0.0,1,9.0,GD,48.0,0,,11077.0,0.87,0.8
45,,,,第1节,172.5,1.5,0.8,-1.5,0.87,168.5,0.83,168.5,0.83,172.5,1.0,0.87,,,1.0,1.0,0.0,5.0,2.0,0.0,5.0,3.0,0.0,1,9.0,GD,48.0,0,,11077.0,0.87,0.8
46,,,,第1节,172.5,1.5,0.8,-1.5,0.87,168.5,0.83,168.5,0.83,172.5,1.0,0.8,,,1.0,1.0,0.0,5.0,2.0,0.0,5.0,3.0,0.0,1,8.0,GD,48.0,0,,11077.0,0.87,0.8
47,,,,第1节,171.5,1.5,0.8,-1.5,0.87,168.5,0.83,168.5,0.83,171.5,1.0,0.8,,,1.0,1.0,0.0,5.0,2.0,0.0,5.0,3.0,0.0,1,8.0,GD,48.0,0,,11077.0,0.87,0.8
