,AM,AS,CP,ED,HA,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,OD,PG,PI,S1_h,S2_h,S3_h,S4_h,S5_h,S6_h,SC_a,SC_h,SU,TD,TM,TO,TS,TT,TU,VC,WA_ODD,WH_ODD,XY
0,,,,第1节,,-1.5,0.83,1.5,0.83,155.5,0.83,155.5,0.83,,,,,,,,,,,,,,0.0,1,10.0,,0.0,0,,,0.77,0.91,
1,,,,第1节,,-1.5,0.83,1.5,0.83,155.5,0.83,155.5,0.83,,,,,,,,,,,,,,0.0,1,10.0,,0.0,0,,,0.77,0.91,
2,,,,第1节,,-1.5,0.83,1.5,0.83,155.5,0.83,155.5,0.83,,,,,,,,,,,,,,0.0,1,10.0,,0.0,0,,,0.77,0.91,
3,,,,第1节,,-1.5,0.83,1.5,0.83,155.5,0.83,155.5,0.83,,,,,,,,,,,,,,0.0,1,10.0,,0.0,0,,,0.77,0.91,
4,,,,第1节,,-1.5,0.83,1.5,0.83,155.5,0.83,155.5,0.83,,,,,,,,,,,,,,0.0,1,10.0,,0.0,0,,,0.77,0.91,
5,,,,第1节,,-1.5,0.83,1.5,0.83,155.5,0.83,155.5,0.83,,,,,,,,,,,,,,0.0,1,10.0,,0.0,0,,,0.77,0.91,
6,,,,第1节,,-1.5,0.83,1.5,0.83,155.5,0.83,155.5,0.83,,1.0,,,,0.0,0.0,0.0,5.0,0.0,0.0,,,0.0,1,10.0,,0.0,0,,1087.0,0.77,0.91,
7,,,,第1节,154.5,-1.5,0.83,1.5,0.83,155.5,0.83,155.5,0.83,154.5,1.0,,,,0.0,0.0,0.0,5.0,0.0,0.0,,,0.0,1,10.0,GD,0.0,0,,11077.0,0.77,0.91,
8,,,,第1节,154.5,-1.5,0.83,1.5,0.83,155.5,0.83,155.5,0.83,154.5,1.0,,,,0.0,0.0,0.0,5.0,0.0,0.0,,,0.0,1,9.0,GD,43.0,0,,11077.0,0.77,0.91,
9,,,,第1节,154.5,-1.5,0.83,1.5,0.83,155.5,0.83,155.5,0.83,154.5,1.0,,,,0.0,0.0,0.0,5.0,0.0,0.0,,,0.0,1,9.0,GD,43.0,0,,11095.0,0.77,0.91,"0.92,0.52"
10,,,,第1节,154.5,-1.5,0.83,1.5,0.83,155.5,0.83,155.5,0.83,154.5,1.0,,,,0.0,0.0,0.0,5.0,0.0,0.0,,,0.0,1,9.0,GD,43.0,0,,21077.0,0.77,0.91,
11,,,,第1节,-1.5,-1.5,0.83,1.5,0.83,155.5,0.83,155.5,0.83,-1.5,1.0,0.87,,,0.0,0.0,0.0,5.0,0.0,0.0,,,0.0,1,9.0,GD,43.0,0,,11077.0,0.77,0.91,
12,,,,第1节,1.5,-1.5,0.83,1.5,0.83,155.5,0.83,155.5,0.83,1.5,1.0,0.8,,,0.0,0.0,0.0,5.0,0.0,0.0,,,0.0,1,9.0,GD,43.0,0,,11077.0,0.77,0.91,
13,,,,第1节,156.5,-1.5,0.83,1.5,0.83,155.5,0.83,155.5,0.83,156.5,1.0,0.8,,,0.0,0.0,0.0,5.0,0.0,0.0,,,0.0,1,9.0,GD,43.0,0,,11077.0,0.77,0.91,
14,,,,第1节,156.5,-1.5,0.83,1.5,0.83,155.5,0.83,155.5,0.83,156.5,1.0,0.8,,,0.0,0.0,0.0,5.0,0.0,0.0,,,0.0,1,9.0,GD,41.0,0,,11077.0,0.77,0.91,
15,,,,第1节,156.5,-1.5,0.83,1.5,0.83,155.5,0.83,155.5,0.83,156.5,1.0,0.8,,,0.0,0.0,0.0,5.0,0.0,0.0,,,0.0,1,9.0,GD,41.0,0,,11074.0,0.77,0.91,"0.92,0.52"
16,,,,第1节,156.5,-1.5,0.83,1.5,0.83,155.5,0.83,155.5,0.83,156.5,1.0,0.8,,,0.0,0.0,0.0,5.0,0.0,0.0,,,0.0,1,9.0,GD,41.0,0,,21077.0,0.77,0.91,
17,,,,第1节,156.5,-1.5,0.83,1.5,0.83,155.5,0.83,155.5,0.83,156.5,1.0,0.87,,,0.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,1,9.0,GD,41.0,0,,21077.0,0.77,0.91,
18,,,,第1节,155.5,-1.5,0.83,1.5,0.83,155.5,0.83,155.5,0.83,155.5,1.0,0.87,,,0.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,1,9.0,GD,41.0,0,,11077.0,0.77,0.91,
19,,,,第1节,155.5,-1.5,0.83,1.5,0.83,155.5,0.83,155.5,0.83,155.5,1.0,0.87,,,0.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,1,9.0,GD,26.0,0,,11077.0,0.77,0.91,
20,,,,第1节,155.5,-1.5,0.83,1.5,0.83,155.5,0.83,155.5,0.83,155.5,1.0,0.87,,,0.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,1,9.0,GD,26.0,0,,11074.0,0.77,0.91,"0.91,0.59"
21,,,,第1节,-2.5,-1.5,0.83,1.5,0.83,155.5,0.83,155.5,0.83,-2.5,1.0,0.83,,,0.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,1,9.0,GD,26.0,0,,21077.0,0.77,0.91,
22,,,,第1节,2.5,-1.5,0.83,1.5,0.83,155.5,0.83,155.5,0.83,2.5,1.0,0.83,,,0.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,1,9.0,GD,26.0,0,,21077.0,0.77,0.91,
23,,,,第1节,157.5,-1.5,0.83,1.5,0.83,155.5,0.83,155.5,0.83,157.5,1.0,0.83,,,0.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,1,9.0,GD,26.0,0,,21077.0,0.77,0.91,
24,,,,第1节,157.5,-1.5,0.83,1.5,0.83,155.5,0.83,155.5,0.83,157.5,1.0,0.83,,,0.0,0.0,0.0,5.0,0.0,0.0,0.0,4.0,0.0,1,9.0,GD,26.0,0,,21077.0,0.77,0.91,
25,,,,第1节,157.5,-1.5,0.83,1.5,0.83,155.5,0.83,155.5,0.83,157.5,1.0,0.83,,,0.0,0.0,0.0,5.0,0.0,0.0,0.0,4.0,0.0,1,9.0,GD,22.0,0,,21077.0,0.77,0.91,
26,,,,第1节,157.5,-1.5,0.83,1.5,0.83,155.5,0.83,155.5,0.83,157.5,1.0,0.66,,,0.0,0.0,0.0,5.0,0.0,0.0,0.0,4.0,0.0,1,9.0,GD,22.0,0,,21077.0,0.77,0.91,
27,,,,第1节,157.5,-1.5,0.83,1.5,0.83,155.5,0.83,155.5,0.83,157.5,1.0,1.1,,,0.0,0.0,0.0,5.0,0.0,0.0,0.0,4.0,0.0,1,8.0,GD,59.0,0,,21077.0,0.77,0.91,
28,,,,第1节,155.5,-1.5,0.83,1.5,0.83,155.5,0.83,155.5,0.83,155.5,1.0,1.1,,,0.0,0.0,0.0,5.0,0.0,0.0,0.0,4.0,0.0,1,8.0,GD,59.0,0,,21077.0,0.77,0.91,
29,,,,第1节,155.5,-1.5,0.83,1.5,0.83,155.5,0.83,155.5,0.83,155.5,1.0,1.1,,,0.0,0.0,0.0,5.0,0.0,0.0,0.0,4.0,0.0,1,8.0,GD,58.0,0,,21077.0,0.77,0.91,
30,,,,第1节,155.5,-1.5,0.83,1.5,0.83,155.5,0.83,155.5,0.83,155.5,1.0,1.1,,,0.0,0.0,0.0,5.0,0.0,0.0,0.0,4.0,0.0,1,8.0,GD,58.0,0,,21077.0,0.77,0.91,
31,,,,第1节,155.5,-1.5,0.83,1.5,0.83,155.5,0.83,155.5,0.83,155.5,1.0,1.1,,,0.0,0.0,0.0,5.0,0.0,0.0,0.0,4.0,0.0,1,8.0,GD,54.0,0,,21077.0,0.77,0.91,
32,,,,第1节,155.5,-1.5,0.83,1.5,0.83,155.5,0.83,155.5,0.83,155.5,1.0,1.1,,,0.0,0.0,0.0,5.0,0.0,0.0,0.0,4.0,0.0,1,8.0,GD,54.0,0,,21095.0,0.77,0.91,"0.09,0.79"
33,,,,第1节,155.5,-1.5,0.83,1.5,0.83,155.5,0.83,155.5,0.83,155.5,1.0,1.1,,,0.0,0.0,0.0,5.0,0.0,0.0,0.0,4.0,0.0,1,8.0,GD,54.0,0,,11077.0,0.77,0.91,
34,,,,第1节,155.5,-1.5,0.83,1.5,0.83,155.5,0.83,155.5,0.83,155.5,1.0,1.1,,,0.0,0.0,0.0,5.0,0.0,0.0,0.0,4.0,0.0,1,8.0,GD,54.0,0,,11095.0,0.77,0.91,"0.95,0.31"
35,,,,第1节,153.5,-1.5,0.83,1.5,0.83,155.5,0.83,155.5,0.83,153.5,1.0,1.1,,,0.0,0.0,0.0,5.0,0.0,0.0,0.0,4.0,0.0,1,8.0,GD,54.0,0,,21077.0,0.77,0.91,
36,,,,第1节,153.5,-1.5,0.83,1.5,0.83,155.5,0.83,155.5,0.83,153.5,1.0,1.1,,,0.0,0.0,0.0,5.0,0.0,0.0,0.0,4.0,0.0,1,8.0,GD,39.0,0,,21077.0,0.77,0.91,
37,,,,第1节,153.5,-1.5,0.83,1.5,0.83,155.5,0.83,155.5,0.83,153.5,1.0,1.1,,,0.0,0.0,0.0,5.0,0.0,0.0,0.0,4.0,0.0,1,8.0,GD,39.0,0,,21077.0,0.77,0.91,
38,,,,第1节,153.5,-1.5,0.83,1.5,0.83,155.5,0.83,155.5,0.83,153.5,1.0,1.1,,,0.0,0.0,0.0,5.0,0.0,0.0,0.0,4.0,0.0,1,8.0,GD,16.0,0,,21077.0,0.77,0.91,
39,,,,第1节,151.5,-1.5,0.83,1.5,0.83,155.5,0.83,155.5,0.83,151.5,1.0,1.1,,,0.0,0.0,0.0,5.0,0.0,0.0,0.0,4.0,0.0,1,8.0,GD,16.0,0,,11077.0,0.77,0.91,
40,,,,第1节,151.5,-1.5,0.83,1.5,0.83,155.5,0.83,155.5,0.83,151.5,1.0,0.63,,,0.0,0.0,0.0,5.0,0.0,0.0,0.0,4.0,0.0,1,8.0,GD,16.0,0,,11077.0,0.77,0.91,
41,,,,第1节,151.5,-1.5,0.83,1.5,0.83,155.5,0.83,155.5,0.83,151.5,1.0,1.2,,,0.0,0.0,0.0,5.0,0.0,0.0,0.0,4.0,0.0,1,8.0,GD,15.0,0,,11077.0,0.77,0.91,
42,,,,第1节,151.5,-1.5,0.83,1.5,0.83,155.5,0.83,155.5,0.83,151.5,1.0,1.2,,,0.0,0.0,0.0,5.0,0.0,0.0,0.0,4.0,0.0,1,7.0,GD,15.0,0,,11077.0,0.77,0.91,
43,,,,第1节,151.5,-1.5,0.83,1.5,0.83,155.5,0.83,155.5,0.83,151.5,1.0,1.2,,,0.0,0.0,0.0,5.0,0.0,0.0,0.0,4.0,0.0,1,7.0,GD,51.0,0,,11077.0,0.77,0.91,
44,,,,第1节,149.5,-1.5,0.83,1.5,0.83,155.5,0.83,155.5,0.83,149.5,1.0,1.2,,,0.0,0.0,0.0,5.0,0.0,0.0,0.0,4.0,0.0,1,7.0,GD,51.0,0,,21077.0,0.77,0.91,
45,,,,第1节,149.5,-1.5,0.83,1.5,0.83,155.5,0.83,155.5,0.83,149.5,1.0,0.66,,,0.0,0.0,0.0,5.0,0.0,0.0,0.0,4.0,0.0,1,7.0,GD,51.0,0,,21077.0,0.77,0.91,
46,,,,第1节,149.5,-1.5,0.83,1.5,0.83,155.5,0.83,155.5,0.83,149.5,1.0,1.1,,,0.0,0.0,0.0,5.0,0.0,0.0,0.0,4.0,0.0,1,7.0,GD,49.0,0,,21077.0,0.77,0.91,
47,,,,第1节,149.5,-1.5,0.83,1.5,0.83,155.5,0.83,155.5,0.83,149.5,1.0,1.1,,,0.0,0.0,0.0,5.0,0.0,0.0,0.0,4.0,0.0,1,7.0,GD,49.0,0,,21095.0,0.77,0.91,"0.18,0.47"
48,,,,第1节,149.5,-1.5,0.83,1.5,0.83,155.5,0.83,155.5,0.83,149.5,1.0,1.1,,,0.0,0.0,0.0,5.0,0.0,0.0,0.0,4.0,0.0,1,7.0,GD,29.0,0,,11077.0,0.77,0.91,
49,,,,第1节,148.5,-1.5,0.83,1.5,0.83,155.5,0.83,155.5,0.83,148.5,1.0,1.1,,,0.0,0.0,0.0,5.0,0.0,0.0,0.0,4.0,0.0,1,7.0,GD,29.0,0,,11077.0,0.77,0.91,
50,,,,第1节,148.5,-1.5,0.83,1.5,0.83,155.5,0.83,155.5,0.83,148.5,1.0,0.63,,,0.0,0.0,0.0,5.0,0.0,0.0,0.0,4.0,0.0,1,7.0,GD,29.0,0,,11077.0,0.77,0.91,
51,,,,第1节,148.5,-1.5,0.83,1.5,0.83,155.5,0.83,155.5,0.83,148.5,1.0,1.2,,,0.0,0.0,0.0,5.0,0.0,0.0,0.0,4.0,0.0,1,7.0,GD,29.0,0,,11094.0,0.77,0.91,"0.67,0.26"
52,,,,第1节,148.5,-1.5,0.83,1.5,0.83,155.5,0.83,155.5,0.83,148.5,1.0,1.2,,,0.0,0.0,0.0,5.0,0.0,0.0,0.0,4.0,0.0,1,7.0,GD,8.0,0,,21077.0,0.77,0.91,
53,,,,第1节,146.5,-1.5,0.83,1.5,0.83,155.5,0.83,155.5,0.83,146.5,1.0,1.2,,,0.0,0.0,0.0,5.0,0.0,0.0,0.0,4.0,0.0,1,7.0,GD,8.0,0,,21077.0,0.77,0.91,
54,,,,第1节,146.5,-1.5,0.83,1.5,0.83,155.5,0.83,155.5,0.83,146.5,1.0,0.66,,,0.0,0.0,0.0,5.0,0.0,0.0,0.0,4.0,0.0,1,7.0,GD,8.0,0,,21077.0,0.77,0.91,
