,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,,第3节,-5.5,0.83,5.5,0.83,122.5,0.83,122.5,0.83,,,,,2.0,3.0,9.0,11.0,14.0,12.0,3.0,4.0,3.0,4.0,63.6,70.6,41.0,46.0,0.0,1,0.0,4.0,0,20180519234017,11078,0.0,0.0
1,,,,第3节,-5.5,0.83,5.5,0.83,122.5,0.83,122.5,0.83,,,,,2.0,3.0,9.0,11.0,14.0,12.0,3.0,4.0,3.0,4.0,60.9,70.6,41.0,46.0,0.0,1,0.0,4.0,0,20180519234017,11080.0,0.0,0.0
2,,,,第3节,-5.5,0.91,6.5,0.77,122.5,0.83,122.5,0.83,6.5,,,,2.0,3.0,9.0,11.0,14.0,12.0,3.0,4.0,3.0,4.0,60.9,70.6,41.0,46.0,0.0,1,0.0,4.0,0,20180519234017,21077.0,0.0,0.0
3,,,,第3节,-6.5,0.91,6.5,0.77,122.5,0.83,121.5,0.83,-6.5,,,,2.0,3.0,9.0,11.0,14.0,12.0,3.0,4.0,3.0,4.0,60.9,70.6,41.0,46.0,0.0,1,0.0,4.0,0,20180519234017,21077.0,0.0,0.0
4,,,,第3节,-6.5,0.91,6.5,0.77,121.5,0.83,121.5,0.83,121.5,,,,2.0,3.0,9.0,11.0,14.0,12.0,3.0,4.0,3.0,4.0,60.9,70.6,41.0,46.0,0.0,1,0.0,4.0,0,20180519234017,21077.0,0.0,0.0
5,,,,第3节,-6.5,0.91,6.5,0.77,121.5,0.83,121.5,0.83,121.5,,,,2.0,3.0,9.0,11.0,14.0,12.0,3.0,4.0,3.0,4.0,60.9,70.6,41.0,46.0,0.0,1,0.0,4.0,1.0,20180519234101.0,21077.0,0.0,0.0
6,,,,第3节,-6.5,0.91,6.5,0.77,121.5,0.83,121.5,0.83,121.5,,,,2.0,3.0,9.0,11.0,14.0,12.0,3.0,4.0,3.0,4.0,60.9,70.6,41.0,46.0,0.0,1,0.0,4.0,1.0,20180519234101.0,21077.0,0.0,0.0
7,,,,第3节,-6.5,0.91,6.5,0.77,121.5,0.83,121.5,0.83,121.5,,,,2.0,3.0,9.0,11.0,14.0,12.0,3.0,4.0,3.0,4.0,60.9,70.6,41.0,46.0,0.0,1,0.0,0.0,1.0,20180519234104.0,21077.0,0.0,0.0
8,,,,第3节,-6.5,0.91,6.5,0.77,121.5,0.83,121.5,0.83,121.5,,,,2.0,3.0,9.0,11.0,14.0,12.0,3.0,4.0,3.0,4.0,60.9,70.6,41.0,46.0,0.0,1,0.0,0.0,0.0,20180519234104.0,21077.0,0.0,0.0
9,,,,第4节,-6.5,0.91,6.5,0.77,121.5,0.83,121.5,0.83,121.5,,3.0,0.0,2.0,3.0,9.0,11.0,14.0,12.0,3.0,4.0,0.0,0.0,60.9,70.6,41.0,46.0,0.0,1,10.0,0.0,0.0,20180519234104.0,1082.0,0.0,0.0
