,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,,第1节,-5.5,0.91,5.5,0.83,162.5,0.87,162.5,0.87,,,,,,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,,0.0,0.0
1,,,,第1节,-5.5,0.91,5.5,0.83,162.5,0.87,162.5,0.87,,,,,,,,,,,,,,,,,,,0.0,1,10.0,39.0,0,,,0.0,0.0
2,44.0,5.0,,第1节,-5.5,0.87,5.5,0.87,162.5,0.83,162.5,0.91,,,,,,,,,,,,,,,,,,,0.0,1,10.0,39.0,0,,21077.0,0.0,0.0
3,44.0,5.0,,第1节,-5.5,0.87,5.5,0.87,162.5,0.83,162.5,0.91,,,,,,,,,,,,4.0,,,,,,,0.0,1,10.0,39.0,0,,21081.0,0.0,0.0
4,44.0,5.0,,第1节,-5.5,0.87,5.5,0.87,162.5,0.83,162.5,0.91,,,,,,,,,,,,3.0,,,,,,,0.0,1,10.0,39.0,0,,21077.0,0.0,0.0
5,44.0,5.0,,第1节,-5.5,0.91,5.5,0.83,160.5,0.87,160.5,0.87,160.5,,,,,,,,,,,3.0,,,,,,,0.0,1,10.0,39.0,0,,11077.0,0.0,0.0
6,44.0,5.0,,第1节,-5.5,0.91,5.5,0.83,160.5,0.87,160.5,0.87,160.5,,,,,,,,,,,3.0,,,,,,,0.0,1,10.0,24.0,0,,11077.0,0.0,0.0
7,44.0,5.0,,第1节,-5.5,0.95,5.5,0.8,160.5,0.87,159.5,0.87,159.5,,,,,,,,,,,3.0,,,,,,,0.0,1,10.0,24.0,0,,11077.0,0.0,0.0
8,44.0,5.0,,第1节,-5.5,0.95,5.5,0.8,160.5,0.87,159.5,0.87,159.5,,,,,,,,,,,3.0,,,,,,,0.0,1,10.0,8.0,0,,11077.0,0.0,0.0
9,44.0,5.0,,第1节,-5.5,0.95,5.5,0.8,159.5,0.87,158.5,0.83,159.5,,,,,,,,,,,3.0,,,,,,,0.0,1,10.0,8.0,0,,11077.0,0.0,0.0
10,44.0,5.0,,第1节,-5.5,0.95,5.5,0.8,158.5,0.91,158.5,0.83,158.5,,,,,,,,,,,3.0,,,,,,,0.0,1,10.0,8.0,0,,11077.0,0.0,0.0
11,44.0,5.0,,第1节,-5.5,0.95,5.5,0.8,158.5,0.91,158.5,0.83,158.5,,,,,,,,,,,3.0,,,,,,,0.0,1,10.0,3.0,0,,11077.0,0.0,0.0
12,44.0,5.0,,第1节,-5.5,0.95,5.5,0.8,158.5,0.91,158.5,0.83,158.5,,,,,,,,,,,3.0,,,,,,,0.0,1,0.0,3.0,0,,11077.0,0.0,0.0
13,44.0,5.0,,第1节,-5.5,0.95,5.5,0.8,158.5,0.91,158.5,0.83,158.5,,,,,,,,,,,3.0,,,,,,,0.0,1,0.0,56.0,0,,11077.0,0.0,0.0
14,44.0,5.0,,第1节,-5.5,0.83,4.5,0.91,158.5,0.91,158.5,0.83,4.5,,,,,,,,,,,3.0,,,,,,,0.0,1,0.0,56.0,0,,11077.0,0.0,0.0
15,44.0,5.0,,第1节,-4.5,0.83,4.5,0.91,158.5,0.87,158.5,0.87,-4.5,,,1.0,,,,,,,,3.0,,4.0,,,,,0.0,1,0.0,56.0,0,,21086.0,0.0,0.0
16,44.0,5.0,,第1节,-4.5,0.83,4.5,0.91,158.5,0.87,158.5,0.87,-4.5,,,1.0,,,,,,,,3.0,,4.0,,,,,0.0,1,0.0,45.0,0,,11077.0,0.0,0.0
17,44.0,5.0,,第1节,-4.5,0.83,4.5,0.91,158.5,0.87,158.5,0.87,-4.5,,,1.0,,,6.0,,,,,3.0,,4.0,,,14.0,,0.0,1,0.0,45.0,0,,11074.0,0.0,0.0
18,44.0,5.0,,第1节,-4.5,0.83,4.5,0.91,158.5,0.87,158.5,0.87,-4.5,,,1.0,,,6.0,,,,,3.0,,4.0,,,16.0,14.0,0.0,1,0.0,45.0,0,,21077.0,0.0,0.0
19,44.0,5.0,,第1节,-4.5,0.91,4.5,0.83,159.5,0.91,159.5,0.83,159.5,,,1.0,,,6.0,,,,,3.0,,4.0,,,16.0,14.0,0.0,1,0.0,45.0,0,,21077.0,0.0,0.0
20,44.0,5.0,,第1节,-4.5,0.91,4.5,0.83,159.5,0.87,159.5,0.87,159.5,,,1.0,,,6.0,,,,,3.0,,4.0,,,16.0,14.0,0.0,1,0.0,43.0,0,,21077.0,0.47,1.7
21,44.0,5.0,,第1节,-4.5,0.91,4.5,0.83,159.5,0.87,159.5,0.87,159.5,,,1.0,,,6.0,8.0,,,,3.0,,4.0,,,16.0,18.0,0.0,1,0.0,43.0,0,,21074.0,0.47,1.7
22,44.0,5.0,,第1节,-4.5,0.91,4.5,0.83,159.5,0.87,159.5,0.87,159.5,,,1.0,,,6.0,8.0,,,,3.0,,4.0,,,18.0,14.0,0.0,1,0.0,43.0,0,,11077.0,0.47,1.7
23,44.0,5.0,,第1节,-4.5,0.83,4.5,0.91,160.5,0.87,160.5,0.87,160.5,,,1.0,,,6.0,8.0,,,,3.0,,4.0,,,18.0,14.0,0.0,1,0.0,43.0,0,,11077.0,0.47,1.7
