,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,,第1节,4.5,0.91,-4.5,0.83,185.5,0.91,185.5,0.83,,,,,,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,,0.0,0.0
1,,,,第1节,4.5,0.91,-4.5,0.83,185.5,0.91,185.5,0.83,,2.0,,,,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,1088.0,0.0,0.0
2,,,,第1节,4.5,0.91,-4.5,0.83,185.5,0.91,185.5,0.83,,2.0,,,,,,,,,,,,,,,,,0.0,1,9.0,59.0,0,,11077.0,0.0,0.0
3,,,,第1节,4.5,0.91,-4.5,0.83,185.5,0.91,185.5,0.83,,2.0,,,,,,,,,,,,,,,,,0.0,1,9.0,59.0,0,,11077.0,0.0,0.0
4,,,,第1节,4.5,0.91,-4.5,0.83,185.5,0.91,185.5,0.83,,2.0,,,,,,,,,,,,,,,,,0.0,1,9.0,46.0,0,,11077.0,0.0,0.0
5,,,,第1节,4.5,0.91,-5.5,0.83,185.5,0.91,185.5,0.83,-5.5,2.0,,,,,,,,,,,,,,,32.0,,0.0,1,9.0,46.0,0,,11077.0,0.0,0.0
6,,,,第1节,5.5,0.91,-5.5,0.83,185.5,0.91,186.5,0.87,5.5,2.0,,,,,,,,,,,,,,,32.0,,0.0,1,9.0,46.0,0,,11077.0,0.0,0.0
7,,,,第1节,5.5,0.91,-5.5,0.83,186.5,0.87,186.5,0.87,186.5,2.0,,,,,,,,,,,,,,,32.0,,0.0,1,9.0,46.0,0,,11077.0,0.0,0.0
8,,,,第1节,5.5,0.91,-5.5,0.83,186.5,0.87,186.5,0.87,186.5,2.0,,,,,7.0,,,,,,,,,,32.0,,0.0,1,9.0,46.0,0,,11074.0,0.0,0.0
9,,,,第1节,5.5,0.91,-5.5,0.83,186.5,0.87,186.5,0.87,186.5,2.0,,,,,7.0,,,,,,,,,,28.0,32.0,0.0,1,9.0,39.0,0,,21077.0,0.0,0.0
10,,,,第1节,5.5,0.91,-5.5,0.83,186.5,0.87,186.5,0.87,186.5,2.0,,,,,7.0,,,,,,,,,,28.0,32.0,0.0,1,9.0,39.0,0,,21077.0,0.0,0.0
11,,,,第1节,5.5,0.91,-5.5,0.83,186.5,0.87,186.5,0.87,186.5,2.0,,,,,7.0,,,,,,,,,,28.0,32.0,0.0,1,9.0,36.0,0,,21077.0,0.0,0.0
12,,,,第1节,5.5,0.91,-5.5,0.83,186.5,0.83,186.5,0.91,186.5,2.0,,,,3.0,7.0,,,,,,,,,,28.0,31.0,0.0,1,9.0,36.0,0,,21075.0,0.0,0.0
13,,,,第1节,5.5,0.91,-5.5,0.83,186.5,0.83,186.5,0.91,186.5,2.0,,,,3.0,7.0,,,,,,,,,,31.0,32.0,0.0,1,9.0,36.0,0,,11077.0,0.0,0.0
14,,,,第1节,5.5,0.91,-5.5,0.83,186.5,0.83,186.5,0.91,186.5,2.0,,,,3.0,7.0,,,,,,,,,,31.0,32.0,0.0,1,9.0,14.0,0,,11077.0,0.0,0.0
15,,,,第1节,5.5,0.87,-4.5,0.87,186.5,0.83,186.5,0.91,-4.5,2.0,,,,3.0,7.0,,,,,,,,,,31.0,32.0,0.0,1,9.0,14.0,0,,11077.0,0.0,0.0
16,,,,第1节,4.5,0.87,-4.5,0.87,186.5,0.83,187.5,0.83,4.5,2.0,,,,3.0,7.0,,,,,,,,,,31.0,32.0,0.0,1,9.0,14.0,0,,11077.0,0.0,0.0
17,,,,第1节,4.5,0.87,-4.5,0.87,187.5,0.91,187.5,0.83,187.5,2.0,,,,3.0,7.0,,,,,,,,,,31.0,32.0,0.0,1,9.0,14.0,0,,11077.0,0.0,0.0
18,,,,第1节,4.5,0.87,-4.5,0.87,187.5,0.87,187.5,0.87,187.5,2.0,,,,3.0,7.0,,,,,,,,,,31.0,32.0,0.0,1,9.0,10.0,0,,11077.0,0.0,0.0
19,,,,第1节,4.5,0.87,-4.5,0.87,186.5,0.83,186.5,0.91,186.5,2.0,,,,3.0,7.0,,,,,,,,,,31.0,32.0,0.0,1,9.0,10.0,0,,11077.0,0.0,0.0
20,,,,第1节,4.5,0.87,-4.5,0.87,186.5,0.83,186.5,0.91,186.5,2.0,,,,3.0,7.0,,,,,,,,,,31.0,32.0,0.0,1,8.0,52.0,0,,11077.0,0.0,0.0
21,,,,第1节,4.5,0.87,-4.5,0.87,186.5,0.83,186.5,0.91,186.5,2.0,,,,3.0,7.0,,,,,,,,,,31.0,32.0,0.0,1,8.0,52.0,0,,11077.0,0.0,0.0
22,,,,第1节,4.5,0.87,-4.5,0.87,186.5,0.83,186.5,0.91,186.5,2.0,,,,3.0,7.0,,,,,,,,,,31.0,32.0,0.0,1,8.0,49.0,0,,11077.0,0.0,0.0
23,,,,第1节,4.5,0.87,-4.5,0.87,186.5,0.83,186.5,0.91,186.5,2.0,,,,3.0,7.0,,,,,,,1.0,,,31.0,32.0,0.0,1,8.0,49.0,0,,21086.0,0.0,0.0
24,,,,第1节,4.5,0.87,-4.5,0.87,185.5,0.91,185.5,0.83,185.5,2.0,,,,3.0,7.0,,,,,,,1.0,,,31.0,32.0,0.0,1,8.0,49.0,0,,11077.0,0.0,0.0
25,,,,第1节,4.5,0.87,-4.5,0.87,185.5,0.91,185.5,0.83,185.5,2.0,,,,3.0,7.0,,,,,,,1.0,,,31.0,32.0,0.0,1,8.0,45.0,0,,11077.0,0.0,0.0
26,,,,第1节,4.5,0.87,-4.5,0.87,185.5,0.87,185.5,0.87,185.5,2.0,,,,3.0,7.0,,,,,,,1.0,,,31.0,32.0,0.0,1,8.0,45.0,0,,11077.0,0.0,0.0
27,,,,第1节,4.5,0.87,-4.5,0.87,185.5,0.87,185.5,0.87,185.5,2.0,,,,3.0,7.0,,,,,,,1.0,,,31.0,32.0,0.0,1,8.0,37.0,0,,11077.0,0.0,0.0
28,,,,第1节,4.5,0.83,-4.5,0.91,185.5,0.83,185.5,0.91,185.5,2.0,,,,3.0,7.0,,,,,,,1.0,,,31.0,32.0,0.0,1,8.0,37.0,0,,21077.0,1.75,0.45
