,AM,AS,CP,ED,HA,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,OD,PG,PI,S1,S2,S3,S4,S5,S6,SC,SC_a,SC_h,SU,TD,TM,TO,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,,第1节,,-2.5,0.83,2.5,0.83,160.5,0.83,160.5,0.83,,,,,,,,,,,,,,,0.0,1,10.0,,0.0,0,,,0.66,1.1
1,,,,第1节,,-2.5,0.83,2.5,0.83,160.5,0.83,160.5,0.83,,1.0,,,,0.0,0.0,0.0,5.0,0.0,0.0,,,,0.0,1,10.0,GD,0.0,0,,1087.0,0.66,1.1
2,,,,第1节,,-2.5,0.83,2.5,0.83,160.5,0.83,160.5,0.83,,1.0,,,,0.0,0.0,0.0,5.0,0.0,0.0,,,,0.0,1,10.0,GD,0.0,0,,21077.0,0.66,1.1
3,,,,第1节,,-2.5,0.83,2.5,0.83,160.5,0.83,160.5,0.83,,1.0,,,,0.0,0.0,0.0,5.0,0.0,0.0,,,,1.0,1,10.0,GD,0.0,0,,11077.0,0.66,1.1
4,,,,第1节,,-2.5,0.83,2.5,0.83,160.5,0.83,160.5,0.83,,1.0,,,,0.0,0.0,0.0,5.0,0.0,0.0,,,,1.0,1,10.0,GD,0.0,0,,11077.0,0.66,1.1
5,,,,第1节,,-2.5,0.83,2.5,0.83,160.5,0.83,160.5,0.83,,1.0,,,,0.0,0.0,0.0,5.0,0.0,0.0,,,,1.0,1,10.0,GD,0.0,0,,11077.0,0.66,1.1
6,,,,第1节,,-2.5,0.83,2.5,0.83,160.5,0.83,160.5,0.83,,1.0,,,,0.0,0.0,0.0,5.0,0.0,0.0,,,,1.0,1,10.0,GD,0.0,0,,11077.0,0.66,1.1
7,,,,第1节,,-2.5,0.83,2.5,0.83,160.5,0.83,160.5,0.83,,1.0,,,,0.0,0.0,0.0,5.0,0.0,0.0,,,,1.0,1,10.0,GD,0.0,0,,11077.0,0.66,1.1
8,,,,第1节,,-2.5,0.83,2.5,0.83,160.5,0.83,160.5,0.83,,1.0,,,,0.0,0.0,0.0,5.0,0.0,0.0,,,,1.0,1,9.0,GD,54.0,0,,11077.0,0.66,1.1
9,,,,第1节,159.5,-2.5,0.83,2.5,0.83,160.5,0.83,160.5,0.83,159.5,1.0,,,,0.0,0.0,0.0,5.0,0.0,0.0,,,,1.0,1,9.0,GD,54.0,0,,11077.0,0.66,1.1
10,,,,第1节,159.5,-2.5,0.83,2.5,0.83,160.5,0.83,160.5,0.83,159.5,1.0,,,,0.0,0.0,0.0,5.0,0.0,0.0,,,,0.0,1,9.0,GD,54.0,0,,11077.0,0.66,1.1
11,,,,第1节,159.5,-2.5,0.83,2.5,0.83,160.5,0.83,160.5,0.83,159.5,1.0,,,,0.0,0.0,0.0,5.0,0.0,0.0,,,,0.0,1,9.0,GD,54.0,0,,11077.0,0.66,1.1
12,,,,第1节,159.5,-2.5,0.83,2.5,0.83,160.5,0.83,160.5,0.83,159.5,1.0,,,,0.0,0.0,0.0,5.0,0.0,0.0,,,,0.0,1,9.0,GD,54.0,0,,11077.0,0.66,1.1
13,,,,第1节,159.5,-2.5,0.83,2.5,0.83,160.5,0.83,160.5,0.83,159.5,1.0,,,,0.0,0.0,0.0,5.0,0.0,0.0,,,,0.0,1,9.0,GD,54.0,0,,11077.0,0.66,1.1
14,,,,第1节,159.5,-2.5,0.83,2.5,0.83,160.5,0.83,160.5,0.83,159.5,1.0,,,,0.0,0.0,0.0,5.0,0.0,0.0,,,,0.0,1,9.0,GD,54.0,0,,11077.0,0.66,1.1
15,,,,第1节,159.5,-2.5,0.83,2.5,0.83,160.5,0.83,160.5,0.83,159.5,1.0,,,,0.0,0.0,0.0,5.0,0.0,0.0,,,,0.0,1,9.0,GD,41.0,0,,11077.0,0.66,1.1
16,,,,第1节,159.5,-2.5,0.83,2.5,0.83,160.5,0.83,160.5,0.83,159.5,1.0,,,,1.0,0.0,0.0,5.0,0.0,0.0,3.0,,,0.0,1,9.0,GD,41.0,0,,11075.0,0.66,1.1
17,,,,第1节,159.5,-2.5,0.83,2.5,0.83,160.5,0.83,160.5,0.83,159.5,1.0,,,,1.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,3.0,0.0,1,9.0,GD,41.0,0,,21077.0,0.66,1.1
18,,,,第1节,-1.5,-2.5,0.83,2.5,0.83,160.5,0.83,160.5,0.83,-1.5,1.0,0.91,,,1.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,3.0,0.0,1,9.0,GD,41.0,0,,21077.0,0.66,1.1
19,,,,第1节,1.5,-2.5,0.83,2.5,0.83,160.5,0.83,160.5,0.83,1.5,1.0,0.77,,,1.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,3.0,0.0,1,9.0,GD,41.0,0,,21077.0,0.66,1.1
20,,,,第1节,162.5,-2.5,0.83,2.5,0.83,160.5,0.83,160.5,0.83,162.5,1.0,0.77,,,1.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,3.0,0.0,1,9.0,GD,41.0,0,,21077.0,0.66,1.1
21,,,,第1节,162.5,-2.5,0.83,2.5,0.83,160.5,0.83,160.5,0.83,162.5,1.0,0.83,,,1.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,3.0,0.0,1,9.0,GD,41.0,0,,21077.0,0.66,1.1
22,,,,第1节,161.5,-2.5,0.83,2.5,0.83,160.5,0.83,160.5,0.83,161.5,1.0,0.83,,,1.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,3.0,0.0,1,9.0,GD,41.0,0,,21077.0,0.66,1.1
23,,,,第1节,161.5,-2.5,0.83,2.5,0.83,160.5,0.83,160.5,0.83,161.5,1.0,0.83,,,1.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,3.0,0.0,1,9.0,GD,22.0,0,,21077.0,0.66,1.1
24,,,,第1节,161.5,-2.5,0.83,2.5,0.83,160.5,0.83,160.5,0.83,161.5,1.0,0.83,,,2.0,0.0,0.0,5.0,0.0,0.0,6.0,0.0,3.0,0.0,1,9.0,GD,22.0,0,,11075.0,0.66,1.1
25,,,,第1节,-2.5,-2.5,0.83,2.5,0.83,160.5,0.83,160.5,0.83,-2.5,1.0,0.8,,,2.0,0.0,0.0,5.0,0.0,0.0,6.0,0.0,3.0,0.0,1,9.0,GD,22.0,0,,21077.0,0.66,1.1
