,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TO,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,,第1节,-3.5,0.83,3.5,0.83,115.5,0.83,115.5,0.83,,,,,,,,,,,,,,,,,,,0.0,1,10.0,,0.0,0,,,0.0,1.25
1,,,,第1节,-3.5,0.83,3.5,0.83,115.5,0.83,115.5,0.83,,,,,,,,,,,,,,,,,,,1.0,1,10.0,,0.0,0,,,0.0,1.25
2,,,,第1节,-3.5,0.83,3.5,0.83,115.5,0.83,115.5,0.83,,,,,,,,,,,,,,,,,,,1.0,1,10.0,,0.0,0,,,0.0,1.25
3,,,,第1节,-3.5,0.83,3.5,0.83,115.5,0.83,115.5,0.83,,,,,,,,,,,,,,,,,,,1.0,1,10.0,,0.0,0,,,0.0,1.25
4,,,,第1节,-3.5,0.83,3.5,0.83,115.5,0.83,115.5,0.83,,,,,,,,,,,,,,,,,,,1.0,1,10.0,,0.0,0,,,0.0,1.25
5,,,,第1节,-3.5,0.83,3.5,0.83,115.5,0.83,115.5,0.83,,,,,,,,,,,,,,,,,,,1.0,1,10.0,,0.0,0,,,0.0,1.25
6,,,,第1节,-3.5,0.83,3.5,0.83,115.5,0.83,115.5,0.83,,,,,,,,,,,,,,,,,,,1.0,1,10.0,,0.0,0,,,0.0,1.25
7,,,,第1节,-3.5,0.83,3.5,0.83,115.5,0.83,115.5,0.83,,,,,,,,,,,,,,,,,,,0.0,1,10.0,,0.0,0,,,0.0,1.25
8,,,,第1节,-3.5,0.83,3.5,0.83,115.5,0.83,115.5,0.83,,,,,,,,,,,,,,,,,,,0.0,1,10.0,,0.0,0,,,0.0,1.25
9,,,,第1节,-3.5,0.83,3.5,0.83,115.5,0.83,115.5,0.83,,,,,,,,,,,,,,,,,,,0.0,1,10.0,,0.0,0,,,0.0,1.25
10,,,,第1节,-3.5,0.83,3.5,0.83,115.5,0.83,115.5,0.83,,,,,,,,,,,,,,,,,,,0.0,1,10.0,,0.0,0,,,0.0,1.25
11,,,,第1节,-3.5,0.83,3.5,0.83,115.5,0.83,115.5,0.83,,,,,,,,,,,,,,,,,,,0.0,1,10.0,,0.0,0,,,0.0,1.25
12,,,,第1节,-3.5,0.83,3.5,0.83,115.5,0.83,115.5,0.83,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0.0,1,10.0,,0.0,0,,1087.0,0.56,1.3
13,,,,第1节,-3.5,0.83,3.5,0.83,115.5,0.83,115.5,0.83,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,1.0,1,10.0,,0.0,0,,1087.0,0.56,1.3
14,,,,第1节,-3.5,0.83,3.5,0.83,115.5,0.83,115.5,0.83,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,1.0,1,10.0,,0.0,0,,1087.0,0.56,1.3
15,,,,第1节,-3.5,0.83,3.5,0.83,115.5,0.83,115.5,0.83,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,1.0,1,10.0,,0.0,0,,1087.0,0.56,1.3
16,,,,第1节,-3.5,0.83,3.5,0.83,115.5,0.83,115.5,0.83,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,1.0,1,10.0,,0.0,0,,1087.0,0.56,1.3
17,,,,第1节,-3.5,0.83,3.5,0.83,115.5,0.83,115.5,0.83,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0.0,1,10.0,,0.0,0,,1087.0,0.56,1.3
18,,,,第1节,-3.5,0.83,3.5,0.83,115.5,0.83,115.5,0.83,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0.0,1,10.0,,0.0,0,,1087.0,0.56,1.3
19,,,,第1节,-3.5,0.83,3.5,0.83,115.5,0.83,115.5,0.83,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0.0,1,10.0,,0.0,0,,1087.0,0.56,1.3
20,,,,第1节,-3.5,0.83,3.5,0.83,115.5,0.83,115.5,0.83,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0.0,0.0,10.0,,0.0,0,,1087.0,0.56,1.3
21,,,,第1节,-3.5,0.83,3.5,0.83,115.5,0.83,115.5,0.83,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0.0,0.0,10.0,,0.0,0,,1087.0,0.56,1.3
22,,,,第1节,-3.5,0.83,3.5,0.83,115.5,0.83,115.5,0.83,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0.0,1.0,10.0,,0.0,0,,1087.0,0.56,1.3
23,,,,第1节,-3.5,0.83,3.5,0.83,115.5,0.83,115.5,0.83,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0.0,1.0,10.0,GD,0.0,1.0,20180523151622.0,11077.0,0.56,1.3
24,,,,第1节,-3.5,0.83,3.5,0.83,115.5,0.83,115.5,0.83,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0.0,1.0,10.0,GD,0.0,1.0,20180523151622.0,11077.0,0.56,1.3
25,,,,第1节,-3.5,0.83,3.5,0.83,115.5,0.83,115.5,0.83,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0.0,1.0,9.0,GD,43.0,1.0,20180523151638.0,11077.0,0.56,1.3
26,,,,第1节,-3.5,0.83,3.5,0.83,114.5,0.83,114.5,0.83,114.5,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0.0,1.0,9.0,GD,43.0,1.0,20180523151638.0,11077.0,0.56,1.3
27,,,,第1节,-3.5,0.83,3.5,0.83,114.5,0.83,114.5,0.83,114.5,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0.0,1.0,9.0,GD,33.0,1.0,20180523151647.0,21077.0,0.56,1.3
28,,,,第1节,-3.5,0.83,3.5,0.83,114.5,0.83,114.5,0.83,114.5,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0.0,1.0,9.0,GD,33.0,0.0,20180523151647.0,21077.0,0.56,1.3
29,,,,第1节,-3.5,0.83,3.5,0.83,114.5,0.83,114.5,0.83,114.5,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0.0,1.0,9.0,GD,33.0,0.0,20180523151647.0,11077.0,0.56,1.3
30,,,,第1节,-3.5,0.83,3.5,0.83,114.5,0.83,114.5,0.83,114.5,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0.0,1.0,9.0,GD,33.0,1.0,20180523151657.0,11077.0,0.56,1.3
31,,,,第1节,-3.5,0.83,3.5,0.83,114.5,0.83,114.5,0.83,114.5,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0.0,1.0,9.0,GD,32.0,1.0,20180523151657.0,11077.0,0.56,1.3
32,,,,第1节,-3.5,0.83,3.5,0.83,113.5,0.83,113.5,0.83,113.5,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0.0,1.0,9.0,GD,32.0,1.0,20180523151657.0,11077.0,0.56,1.3
33,,,,第1节,-3.5,0.83,3.5,0.83,113.5,0.83,113.5,0.83,113.5,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0.0,1.0,9.0,GD,22.0,1.0,20180523151707.0,11077.0,0.56,1.3
34,,,,第1节,-3.5,0.83,3.5,0.83,113.5,0.83,113.5,0.83,113.5,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0.0,1.0,9.0,GD,22.0,1.0,20180523151707.0,21077.0,0.56,1.3
35,,,,第1节,-3.5,0.83,3.5,0.83,113.5,0.83,113.5,0.83,113.5,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0.0,1.0,9.0,GD,22.0,1.0,20180523151708.0,21077.0,0.56,1.3
36,,,,第1节,-3.5,0.83,3.5,0.83,113.5,0.83,113.5,0.83,113.5,1.0,,,0.0,0.0,0.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,2.0,0.0,1.0,9.0,GD,22.0,1.0,20180523151708.0,21074.0,0.56,1.3
37,,,,第1节,-3.5,0.83,3.5,0.83,113.5,0.83,113.5,0.83,113.5,1.0,,,0.0,0.0,0.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,9.0,GD,12.0,1.0,20180523151717.0,11077.0,0.56,1.3
38,,,,第1节,-3.5,0.8,4.5,0.87,113.5,0.83,113.5,0.83,4.5,1.0,,,0.0,0.0,0.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,9.0,GD,12.0,1.0,20180523151717.0,11077.0,0.56,1.3
39,,,,第1节,-4.5,0.8,4.5,0.87,113.5,0.83,115.5,0.83,-4.5,1.0,,,0.0,0.0,0.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,9.0,GD,12.0,1.0,20180523151717.0,11077.0,0.56,1.3
40,,,,第1节,-4.5,0.8,4.5,0.87,115.5,0.83,115.5,0.83,115.5,1.0,,,0.0,0.0,0.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,9.0,GD,12.0,1.0,20180523151717.0,11077.0,0.56,1.3
41,,,,第1节,-4.5,0.8,4.5,0.87,115.5,0.83,115.5,0.83,115.5,1.0,,,0.0,0.0,0.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,9.0,GD,12.0,1.0,20180523151717.0,11077.0,0.45,0.0
42,,,,第1节,-4.5,0.8,4.5,0.87,115.5,0.83,115.5,0.83,115.5,1.0,,,0.0,0.0,0.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,9.0,GD,12.0,1.0,20180523151717.0,11077.0,0.45,1.3
43,,,,第1节,-4.5,0.8,4.5,0.87,114.5,0.83,114.5,0.83,114.5,1.0,,,0.0,0.0,0.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,9.0,GD,12.0,1.0,20180523151717.0,11077.0,0.45,0.0
44,,,,第1节,-4.5,0.8,4.5,0.87,114.5,0.83,114.5,0.83,114.5,1.0,,,0.0,0.0,0.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,9.0,GD,11.0,1.0,20180523151719.0,11077.0,0.45,0.0
45,,,,第1节,-4.5,0.8,4.5,0.87,114.5,0.83,114.5,0.83,114.5,1.0,,,0.0,0.0,0.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,9.0,GD,11.0,0.0,20180523151719.0,11077.0,0.45,0.0
46,,,,第1节,-4.5,0.8,4.5,0.87,114.5,0.83,114.5,0.83,114.5,1.0,,,0.0,0.0,0.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,8.0,GD,50.0,0.0,20180523151740.0,11077.0,0.45,0.0
47,,,,第1节,-4.5,0.83,4.5,0.83,113.5,0.83,113.5,0.83,113.5,1.0,,,0.0,0.0,0.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,8.0,GD,50.0,0.0,20180523151740.0,11077.0,0.45,0.0
48,,,,第1节,-4.5,0.83,4.5,0.83,113.5,0.83,114.5,0.83,113.5,1.0,,,0.0,0.0,0.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,8.0,GD,50.0,0.0,20180523151740.0,11077.0,0.0,1.5
49,,,,第1节,-4.5,0.83,4.5,0.83,114.5,0.83,114.5,0.83,114.5,1.0,,,0.0,0.0,0.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,8.0,GD,50.0,0.0,20180523151740.0,11077.0,0.0,1.5
50,,,,第1节,-4.5,0.83,4.5,0.83,114.5,0.83,114.5,0.83,114.5,1.0,,,0.0,0.0,0.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,8.0,GD,50.0,1.0,20180523151804.0,11077.0,0.0,1.5
51,,,,第1节,-4.5,0.83,4.5,0.83,114.5,0.83,114.5,0.83,114.5,1.0,,,0.0,0.0,0.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,8.0,GD,49.0,1.0,20180523151804.0,11077.0,0.0,1.5
52,,,,第1节,-4.5,0.83,4.5,0.83,114.5,0.83,114.5,0.83,114.5,1.0,,,0.0,0.0,0.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,8.0,GD,49.0,1.0,20180523151812.0,21077.0,0.0,1.5
53,,,,第1节,-4.5,0.83,4.5,0.83,114.5,0.83,114.5,0.83,114.5,1.0,,,0.0,0.0,0.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,8.0,GD,41.0,1.0,20180523151812.0,21077.0,0.0,1.5
54,,,,第1节,-4.5,0.83,4.5,0.83,113.5,0.83,113.5,0.83,113.5,1.0,,,0.0,0.0,0.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,8.0,GD,41.0,1.0,20180523151812.0,21077.0,0.0,1.5
55,,,,第1节,-4.5,0.83,4.5,0.83,113.5,0.83,113.5,0.83,113.5,1.0,,,0.0,0.0,0.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,8.0,GD,41.0,1.0,20180523151812.0,11077.0,0.47,0.0
56,,,,第1节,-4.5,0.83,4.5,0.83,113.5,0.83,113.5,0.83,113.5,1.0,,,0.0,0.0,0.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,8.0,GD,31.0,1.0,20180523151822.0,11077.0,0.0,1.5
57,,,,第1节,-4.5,0.83,4.5,0.83,113.5,0.83,113.5,0.83,113.5,1.0,,,0.0,0.0,0.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,8.0,GD,31.0,1.0,20180523151822.0,11077.0,0.0,1.5
58,,,,第1节,-4.5,0.83,4.5,0.83,113.5,0.83,113.5,0.83,113.5,1.0,,,0.0,0.0,0.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,8.0,GD,31.0,1.0,20180523151824.0,11077.0,0.0,1.5
59,,,,第1节,-4.5,0.83,4.5,0.83,113.5,0.83,113.5,0.83,113.5,1.0,,,0.0,0.0,0.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,8.0,GD,31.0,1.0,20180523151824.0,11077.0,0.0,1.5
60,,,,第1节,-4.5,0.83,4.5,0.83,113.5,0.83,113.5,0.83,113.5,1.0,,,0.0,0.0,0.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,8.0,GD,16.0,1.0,20180523151837.0,11077.0,0.0,1.5
61,,,,第1节,-4.5,0.83,4.5,0.83,112.5,0.83,112.5,0.83,112.5,1.0,,,0.0,0.0,0.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,8.0,GD,16.0,1.0,20180523151837.0,11077.0,0.0,1.5
62,,,,第1节,-4.5,0.83,4.5,0.83,112.5,0.83,112.5,0.83,112.5,1.0,,,0.0,0.0,0.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,8.0,GD,15.0,1.0,20180523151840.0,21077.0,0.0,1.5
63,,,,第1节,-4.5,0.83,4.5,0.83,112.5,0.83,112.5,0.83,112.5,1.0,,,0.0,0.0,0.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,8.0,GD,15.0,1.0,20180523151840.0,21077.0,0.47,0.0
64,,,,第1节,-4.5,0.83,4.5,0.83,112.5,0.83,112.5,0.83,112.5,1.0,,,0.0,0.0,0.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,8.0,GD,15.0,1.0,20180523151841.0,21077.0,0.47,0.0
65,,,,第1节,-4.5,0.83,4.5,0.83,110.5,0.83,110.5,0.83,110.5,1.0,,,0.0,0.0,0.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,8.0,GD,15.0,1.0,20180523151841.0,21077.0,0.47,0.0
66,,,,第1节,-4.5,0.83,4.5,0.83,110.5,0.83,110.5,0.83,110.5,1.0,,,0.0,0.0,0.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,7.0,GD,53.0,1.0,20180523151901.0,21077.0,0.47,0.0
67,,,,第1节,-4.5,0.83,4.5,0.83,110.5,0.83,110.5,0.83,110.5,1.0,,,0.0,0.0,0.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,7.0,GD,53.0,0.0,20180523151901.0,21077.0,0.47,0.0
