,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TO,TS,TT,TU,VC
0,,第1节,-64.5,0.83,64.5,0.83,140.5,0.83,140.5,0.83,,,,,,,,,,,,,,,,,,,0.0,1,10.0,,0.0,0,,
1,,第1节,-64.5,0.83,64.5,0.83,140.5,0.83,140.5,0.83,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,1.0,1,10.0,,0.0,0,,1087.0
2,,第1节,-64.5,0.83,64.5,0.83,140.5,0.83,140.5,0.83,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,1.0,1,10.0,,0.0,0,,1087.0
3,,第1节,-64.5,0.83,64.5,0.83,140.5,0.83,140.5,0.83,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,1.0,1,10.0,,0.0,0,,1087.0
4,,第1节,-64.5,0.83,64.5,0.83,140.5,0.83,140.5,0.83,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,1.0,0.0,10.0,,0.0,0,,1087.0
5,,第1节,-64.5,0.83,64.5,0.83,140.5,0.83,140.5,0.83,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0.0,0.0,10.0,,0.0,0,,1087.0
6,,第1节,-64.5,0.83,64.5,0.83,140.5,0.83,140.5,0.83,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0.0,0.0,10.0,,0.0,0,,1087.0
7,,第1节,-64.5,0.83,64.5,0.83,140.5,0.83,140.5,0.83,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0.0,0.0,10.0,,0.0,0,,1087.0
8,,第1节,-64.5,0.83,64.5,0.83,140.5,0.83,140.5,0.83,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0.0,1.0,9.0,GD,59.0,1.0,20180622082413.0,21077.0
9,,第1节,-64.5,0.83,64.5,0.83,140.5,0.83,140.5,0.83,,1.0,,,0.0,0.0,0.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,2.0,0.0,1.0,9.0,GD,59.0,1.0,20180622082413.0,21074.0
10,,第1节,-64.5,0.83,64.5,0.83,140.5,0.83,140.5,0.83,,1.0,,,0.0,0.0,0.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,9.0,GD,51.0,1.0,20180622082420.0,11077.0
11,,第1节,-64.5,0.83,65.5,0.83,140.5,0.83,140.5,0.83,65.5,1.0,,,0.0,0.0,0.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,9.0,GD,51.0,1.0,20180622082420.0,11077.0
12,,第1节,-65.5,0.83,65.5,0.83,140.5,0.83,142.5,0.83,-65.5,1.0,,,0.0,0.0,0.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,9.0,GD,51.0,1.0,20180622082420.0,11077.0
13,,第1节,-65.5,0.83,65.5,0.83,142.5,0.83,142.5,0.83,142.5,1.0,,,0.0,0.0,0.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,9.0,GD,51.0,1.0,20180622082420.0,11077.0
14,,第1节,-65.5,0.83,65.5,0.83,142.5,0.83,142.5,0.83,142.5,1.0,,,0.0,0.0,0.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,9.0,GD,50.0,1.0,20180622082423.0,11077.0
15,,第1节,-65.5,0.83,65.5,0.83,142.5,0.83,142.5,0.83,142.5,1.0,,,0.0,0.0,0.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,9.0,GD,50.0,1.0,20180622082423.0,21077.0
16,,第1节,-65.5,0.83,65.5,0.83,142.5,0.83,142.5,0.83,142.5,1.0,,,0.0,0.0,0.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,9.0,GD,41.0,1.0,20180622082430.0,21077.0
17,,第1节,-65.5,0.83,65.5,0.83,141.5,0.83,141.5,0.83,141.5,1.0,,,0.0,0.0,0.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,9.0,GD,41.0,1.0,20180622082430.0,21077.0
18,,第1节,-65.5,0.83,65.5,0.83,141.5,0.83,141.5,0.83,141.5,1.0,,,0.0,0.0,0.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,9.0,GD,38.0,1.0,20180622082433.0,21077.0
19,,第1节,-65.5,0.83,65.5,0.83,141.5,0.83,141.5,0.83,141.5,1.0,,,0.0,0.0,0.0,2.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,1.0,9.0,GD,38.0,1.0,20180622082433.0,21074.0
20,,第1节,-65.5,0.83,65.5,0.83,141.5,0.83,141.5,0.83,141.5,1.0,,,0.0,0.0,0.0,2.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,9.0,GD,38.0,1.0,20180622082433.0,11077.0
21,,第1节,-65.5,0.83,67.5,0.83,141.5,0.83,141.5,0.83,67.5,1.0,,,0.0,0.0,0.0,2.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,9.0,GD,38.0,1.0,20180622082433.0,11077.0
22,,第1节,-67.5,0.83,67.5,0.83,141.5,0.83,143.5,0.83,-67.5,1.0,,,0.0,0.0,0.0,2.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,9.0,GD,38.0,1.0,20180622082433.0,11077.0
23,,第1节,-67.5,0.83,67.5,0.83,143.5,0.83,143.5,0.83,143.5,1.0,,,0.0,0.0,0.0,2.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,9.0,GD,38.0,1.0,20180622082433.0,11077.0
24,,第1节,-67.5,0.83,67.5,0.83,143.5,0.83,143.5,0.83,143.5,1.0,,,0.0,0.0,0.0,2.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,9.0,GD,38.0,1.0,20180622082435.0,11077.0
25,,第1节,-67.5,0.83,66.5,0.83,143.5,0.83,143.5,0.83,66.5,1.0,,,0.0,0.0,0.0,2.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,9.0,GD,38.0,1.0,20180622082435.0,11077.0
26,,第1节,-66.5,0.83,66.5,0.83,143.5,0.83,143.5,0.83,-66.5,1.0,,,0.0,0.0,0.0,2.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,9.0,GD,29.0,1.0,20180622082442.0,11077.0
27,,第1节,-66.5,0.83,68.5,0.83,143.5,0.83,143.5,0.83,68.5,1.0,,,0.0,0.0,0.0,2.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,9.0,GD,29.0,1.0,20180622082442.0,21077.0
28,,第1节,-68.5,0.83,68.5,0.83,143.5,0.83,145.5,0.83,-68.5,1.0,,,0.0,0.0,0.0,2.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,9.0,GD,29.0,1.0,20180622082442.0,21077.0
29,,第1节,-68.5,0.83,68.5,0.83,145.5,0.83,145.5,0.83,145.5,1.0,,,0.0,0.0,0.0,2.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,9.0,GD,29.0,1.0,20180622082442.0,21077.0
30,,第1节,-68.5,0.83,68.5,0.83,145.5,0.83,145.5,0.83,145.5,1.0,,,0.0,0.0,0.0,2.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,9.0,GD,26.0,1.0,20180622082446.0,21077.0
31,,第1节,-68.5,0.83,68.5,0.83,145.5,0.83,145.5,0.83,145.5,1.0,,,0.0,0.0,0.0,3.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,4.0,6.0,0.0,1.0,9.0,GD,26.0,1.0,20180622082446.0,21074.0
32,,第1节,-68.5,0.83,68.5,0.83,145.5,0.83,145.5,0.83,145.5,1.0,,,0.0,0.0,0.0,3.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,9.0,GD,26.0,1.0,20180622082446.0,11077.0
33,,第1节,-68.5,0.83,68.5,0.83,145.5,0.83,145.5,0.83,145.5,1.0,,,0.0,0.0,0.0,3.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,9.0,GD,25.0,1.0,20180622082447.0,11077.0
34,,第1节,-68.5,0.83,68.5,0.83,145.5,0.83,145.5,0.83,145.5,1.0,,,0.0,0.0,0.0,3.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,9.0,GD,25.0,1.0,20180622082447.0,21077.0
35,,第1节,-68.5,0.83,68.5,0.83,145.5,0.83,145.5,0.83,145.5,1.0,,,0.0,0.0,0.0,3.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,9.0,GD,13.0,1.0,20180622082458.0,21077.0
36,,第1节,-68.5,0.83,68.5,0.83,144.5,0.83,144.5,0.83,144.5,1.0,,,0.0,0.0,0.0,3.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,9.0,GD,13.0,1.0,20180622082458.0,21077.0
37,,第1节,-68.5,0.83,68.5,0.83,144.5,0.83,144.5,0.83,144.5,1.0,,,0.0,0.0,0.0,4.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,6.0,8.0,0.0,1.0,9.0,GD,13.0,1.0,20180622082458.0,21074.0
38,,第1节,-68.5,0.83,69.5,0.83,144.5,0.83,144.5,0.83,69.5,1.0,,,0.0,0.0,0.0,4.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,6.0,8.0,1.0,1.0,9.0,GD,13.0,1.0,20180622082458.0,11077.0
39,,第1节,-68.5,0.83,69.5,0.83,144.5,0.83,144.5,0.83,69.5,1.0,,,0.0,0.0,0.0,4.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,6.0,8.0,1.0,1.0,9.0,GD,13.0,1.0,20180622082458.0,11077.0
40,,第1节,-68.5,0.83,69.5,0.83,144.5,0.83,144.5,0.83,69.5,1.0,,,0.0,0.0,0.0,4.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,6.0,8.0,1.0,1.0,9.0,GD,13.0,1.0,20180622082458.0,11077.0
41,,第1节,-68.5,0.83,69.5,0.83,144.5,0.83,144.5,0.83,69.5,1.0,,,0.0,0.0,0.0,4.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,6.0,8.0,1.0,1.0,9.0,GD,13.0,1.0,20180622082458.0,11077.0
42,,第1节,-68.5,0.83,69.5,0.83,144.5,0.83,144.5,0.83,69.5,1.0,,,0.0,0.0,0.0,4.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,6.0,8.0,0.0,1.0,9.0,GD,13.0,1.0,20180622082458.0,11077.0
