,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD,XY
0,,,,第3节,1.5,0.71,-1.5,1.0,165.5,0.83,165.5,0.83,,,,,1,3.0,15.0,16.0,19.0,14.0,5.0,2.0,3.0,2.0,82.6,93.3,52.0,55.0,0.0,1,6.0,45.0,0,,11077,0.83,0.83,
1,,,,第3节,1.5,0.71,-1.5,1.0,165.5,0.83,165.5,0.83,,,,,1,3.0,16.0,16.0,19.0,14.0,5.0,2.0,3.0,2.0,82.6,93.3,54.0,55.0,0.0,1,6.0,45.0,0,,11074.0,0.83,0.83,"0.86,0.35"
2,,,,第3节,1.5,0.71,-1.5,1.0,165.5,0.83,165.5,0.83,,,,,1,3.0,16.0,16.0,19.0,14.0,5.0,2.0,3.0,2.0,82.6,93.3,55.0,54.0,0.0,1,6.0,45.0,0,,21077.0,0.83,0.83,
3,,,,第3节,1.5,0.71,-1.5,1.0,165.5,0.83,165.5,0.83,,,,,1,3.0,16.0,16.0,19.0,14.0,5.0,2.0,3.0,2.0,82.6,93.3,55.0,54.0,0.0,1,6.0,42.0,0,,21077.0,0.83,0.83,
4,,,,第3节,1.5,0.83,-1.5,0.83,167.5,0.83,167.5,0.83,167.5,,,,1,3.0,16.0,16.0,19.0,14.0,5.0,2.0,3.0,2.0,82.6,93.3,55.0,54.0,0.0,1,6.0,42.0,0,,21077.0,0.83,0.83,
5,,,,第3节,1.5,0.83,-1.5,0.83,167.5,0.83,167.5,0.83,167.5,,,,1,3.0,16.0,16.0,19.0,14.0,5.0,2.0,3.0,2.0,82.6,93.3,55.0,54.0,0.0,1,6.0,40.0,0,,21077.0,1.0,0.71,
6,44.0,5.0,,第3节,1.5,0.71,-1.5,1.0,169.5,0.83,169.5,0.83,169.5,,,,1,3.0,16.0,16.0,19.0,14.0,5.0,1.0,3.0,2.0,82.6,93.3,55.0,54.0,0.0,1,6.0,40.0,0,,21081.0,1.0,0.71,
7,44.0,5.0,,第3节,1.5,0.71,-1.5,1.0,169.5,0.83,169.5,0.83,169.5,,,,1,3.0,16.0,16.0,19.0,14.0,5.0,1.0,3.0,2.0,82.6,93.3,55.0,54.0,0.0,1,6.0,33.0,0,,21081.0,0.83,0.83,
8,44.0,5.0,,第3节,1.5,0.71,-1.5,1.0,169.5,0.83,169.5,0.83,169.5,,,,1,3.0,16.0,17.0,19.0,14.0,5.0,1.0,3.0,2.0,82.6,93.3,55.0,57.0,0.0,1,6.0,33.0,0,,21074.0,0.83,0.83,"0.07,0.50"
9,44.0,5.0,,第3节,1.5,0.71,-1.5,1.0,169.5,0.83,169.5,0.83,169.5,,,,1,3.0,16.0,17.0,19.0,14.0,5.0,1.0,3.0,2.0,82.6,93.3,57.0,54.0,0.0,1,6.0,33.0,0,,11077.0,0.83,0.83,
10,44.0,5.0,,第3节,1.5,0.71,-1.5,1.0,169.5,0.83,169.5,0.83,169.5,,,,1,3.0,16.0,17.0,19.0,14.0,5.0,1.0,3.0,2.0,82.6,93.3,57.0,54.0,0.0,1,6.0,33.0,0,,11094.0,0.83,0.83,"0.70,0.85"
11,44.0,5.0,,第3节,1.5,0.87,1.5,0.8,169.5,0.83,169.5,0.83,1.5,,,,1,3.0,16.0,17.0,19.0,14.0,5.0,1.0,3.0,2.0,82.6,93.3,57.0,54.0,0.0,1,6.0,33.0,0,,21077.0,0.83,0.83,
