,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TO,TS,TT,TU,VC,WA_ODD,WH_ODD,XY
0,,,,第1节,-8.5,0.83,8.5,0.83,136.5,0.83,136.5,0.83,,,,,,,,,,,,,,,,,,,0.0,1,10.0,,0.0,0,,,0.0,0.0,
1,,,,第1节,-8.5,0.83,8.5,0.83,136.5,0.83,136.5,0.83,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0.0,1,10.0,GD,0.0,0,,1087.0,0.0,0.0,
2,,,,第1节,-8.5,0.83,8.5,0.83,136.5,0.83,136.5,0.83,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0.0,1,10.0,GD,0.0,0,,21077.0,0.0,0.0,
3,,,,第1节,-8.5,0.83,8.5,0.83,135.5,0.83,135.5,0.83,135.5,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0.0,1,10.0,GD,0.0,0,,11077.0,0.0,0.0,
4,,,,第1节,-8.5,0.83,8.5,0.83,135.5,0.83,135.5,0.83,135.5,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0.0,1,9.0,GD,52.0,0,,11077.0,0.0,0.0,
5,,,,第1节,-8.5,0.83,8.5,0.83,135.5,0.83,135.5,0.83,135.5,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0.0,1,9.0,GD,52.0,0,,11077.0,0.0,0.0,
6,,,,第1节,-8.5,0.83,8.5,0.83,135.5,0.83,135.5,0.83,135.5,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0.0,1,9.0,GD,29.0,0,,11077.0,0.0,0.0,
7,,,,第1节,-8.5,0.83,8.5,0.83,134.5,0.83,134.5,0.83,134.5,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0.0,1,9.0,GD,29.0,0,,21077.0,0.0,0.0,
8,,,,第1节,-8.5,0.83,8.5,0.83,134.5,0.83,134.5,0.83,134.5,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0.0,1,9.0,GD,29.0,0,,21094.0,0.0,0.0,"0.29,0.41"
9,,,,第1节,-8.5,0.83,8.5,0.83,134.5,0.83,134.5,0.83,134.5,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0.0,1,9.0,GD,4.0,0,,11077.0,0.0,0.0,
10,,,,第1节,-8.5,0.83,8.5,0.83,132.5,0.83,132.5,0.83,132.5,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0.0,1,9.0,GD,4.0,0,,11077.0,0.0,0.0,
11,,,,第1节,-8.5,0.83,8.5,0.83,132.5,0.83,132.5,0.83,132.5,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0.0,1,9.0,GD,4.0,0,,21077.0,0.0,0.0,
12,,,,第1节,-8.5,0.83,9.5,0.83,132.5,0.83,132.5,0.83,9.5,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0.0,1,9.0,GD,4.0,0,,21077.0,0.0,0.0,
13,,,,第1节,-9.5,0.83,9.5,0.83,132.5,0.83,134.5,0.83,-9.5,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0.0,1,9.0,GD,4.0,0,,21077.0,0.0,0.0,
14,,,,第1节,-9.5,0.83,9.5,0.83,134.5,0.83,134.5,0.83,134.5,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0.0,1,9.0,GD,4.0,0,,21077.0,0.0,0.0,
15,,,,第1节,-9.5,0.83,9.5,0.83,134.5,0.83,134.5,0.83,134.5,1.0,,,0.0,0.0,0.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,2.0,0.0,1,9.0,GD,4.0,0,,21074.0,0.0,0.0,"0.09,0.40"
16,,,,第1节,-9.5,0.83,9.5,0.83,134.5,0.83,134.5,0.83,134.5,1.0,,,0.0,0.0,0.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1,9.0,GD,4.0,0,,11077.0,0.0,0.0,
17,,,,第1节,-9.5,0.83,9.5,0.83,134.5,0.83,134.5,0.83,134.5,1.0,,,0.0,0.0,0.0,1.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1,9.0,GD,4.0,0,,11086.0,0.0,0.0,
18,,,,第1节,-9.5,0.83,9.5,0.83,134.5,0.83,134.5,0.83,134.5,1.0,,,0.0,0.0,0.0,1.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1,9.0,GD,4.0,0,,21077.0,0.0,0.0,
19,,,,第1节,-9.5,0.83,10.5,0.83,134.5,0.83,134.5,0.83,10.5,1.0,1:1,,0.0,0.0,0.0,1.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1,9.0,GD,4.0,0,,21078.0,0.0,0.0,
20,,,,第1节,-10.5,0.83,10.5,0.83,134.5,0.83,135.5,0.83,-10.5,1.0,1:1,,0.0,0.0,0.0,1.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1,9.0,GD,4.0,0,,21078.0,0.0,0.0,
21,,,,第1节,-10.5,0.83,10.5,0.83,135.5,0.83,135.5,0.83,135.5,1.0,1:1,,0.0,0.0,0.0,1.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1,9.0,GD,4.0,0,,21078.0,0.0,0.0,
22,,,,第1节,-10.5,0.83,10.5,0.83,135.5,0.83,136.5,0.83,135.5,1.0,1:1,,0.0,0.0,0.0,1.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1,9.0,GD,4.0,0,,21078.0,0.0,0.0,
23,,,,第1节,-10.5,0.83,10.5,0.83,136.5,0.83,136.5,0.83,136.5,1.0,1:1,,0.0,0.0,0.0,1.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1,9.0,GD,4.0,0,,21078.0,0.0,0.0,
24,,,,第1节,-10.5,0.83,10.5,0.83,136.5,0.83,136.5,0.83,136.5,1.0,1:1,,0.0,0.0,0.0,1.0,0.0,1.0,5.0,5.0,1.0,0.0,0.0,100.0,2.0,3.0,0.0,1,9.0,GD,4.0,0,,21079.0,0.0,0.0,"0.80,0.50"
25,,,,第1节,-10.5,0.83,10.5,0.83,136.5,0.83,136.5,0.83,136.5,1.0,,,0.0,0.0,0.0,1.0,0.0,1.0,5.0,5.0,1.0,0.0,0.0,100.0,3.0,0.0,0.0,1,9.0,GD,4.0,0,,11077.0,0.0,0.0,
26,,,,第1节,-10.5,0.83,8.5,0.87,136.5,0.83,136.5,0.83,8.5,1.0,,,0.0,0.0,1.0,1.0,0.0,1.0,5.0,5.0,1.0,0.0,0.0,100.0,2.0,0.0,0.0,1,9.0,GD,4.0,0,,11074.0,0.0,0.0,"0.84,0.47"
27,,,,第1节,-10.5,0.83,8.5,0.87,136.5,0.83,136.5,0.83,8.5,1.0,,,0.0,0.0,1.0,1.0,0.0,1.0,5.0,5.0,1.0,0.0,0.0,100.0,3.0,2.0,0.0,1,8.0,GD,40.0,0,,21077.0,0.0,0.0,
28,,,,第1节,-8.5,0.8,8.5,0.87,136.5,0.83,137.5,0.83,-8.5,1.0,,,0.0,0.0,1.0,1.0,0.0,1.0,5.0,5.0,1.0,0.0,0.0,100.0,3.0,2.0,0.0,1,8.0,GD,40.0,0,,21077.0,0.0,0.0,
29,,,,第1节,-8.5,0.8,8.5,0.87,137.5,0.83,137.5,0.83,137.5,1.0,,,0.0,0.0,1.0,1.0,0.0,1.0,5.0,5.0,1.0,0.0,0.0,100.0,3.0,2.0,0.0,1,8.0,GD,40.0,0,,21077.0,0.0,0.0,
30,,,,第1节,-8.5,0.83,8.5,0.83,137.5,0.83,136.5,0.83,137.5,1.0,,,0.0,0.0,1.0,1.0,0.0,1.0,5.0,5.0,1.0,0.0,0.0,100.0,3.0,2.0,0.0,1,8.0,GD,40.0,0,,11077.0,0.0,0.0,
31,,,,第1节,-8.5,0.83,8.5,0.83,136.5,0.83,136.5,0.83,136.5,1.0,,,0.0,0.0,1.0,1.0,0.0,1.0,5.0,5.0,1.0,0.0,0.0,100.0,3.0,2.0,0.0,1,8.0,GD,40.0,0,,11077.0,0.0,0.0,
32,,,,第1节,-8.5,0.83,8.5,0.83,136.5,0.83,136.5,0.83,136.5,1.0,,,0.0,0.0,1.0,1.0,0.0,1.0,5.0,5.0,1.0,0.0,0.0,100.0,3.0,2.0,0.0,1,8.0,GD,26.0,0,,11077.0,0.0,0.0,
33,,,,第1节,-8.5,0.83,8.5,0.83,136.5,0.83,136.5,0.83,136.5,1.0,,,0.0,0.0,1.0,1.0,0.0,1.0,5.0,5.0,1.0,0.0,0.0,100.0,3.0,2.0,0.0,1,8.0,GD,26.0,0,,11095.0,0.0,0.0,"0.86,0.50"
34,,,,第1节,-8.5,0.83,8.5,0.83,136.5,0.83,136.5,0.83,136.5,1.0,,,0.0,0.0,1.0,1.0,0.0,1.0,5.0,5.0,1.0,0.0,0.0,100.0,3.0,2.0,0.0,1,8.0,GD,18.0,0,,21077.0,0.0,0.0,
35,,,,第1节,-8.5,0.8,8.5,0.87,135.5,0.83,135.5,0.83,135.5,1.0,,,0.0,0.0,1.0,1.0,0.0,1.0,5.0,5.0,1.0,0.0,0.0,100.0,3.0,2.0,0.0,1,8.0,GD,18.0,0,,21077.0,0.0,0.0,
36,,,,第1节,-8.5,0.83,8.5,0.83,135.5,0.83,135.5,0.83,135.5,1.0,,,0.0,0.0,1.0,1.0,0.0,1.0,5.0,5.0,1.0,0.0,0.0,100.0,3.0,2.0,0.0,1,8.0,GD,18.0,0,,11077.0,0.0,0.0,
37,,,,第1节,-8.5,0.83,7.5,0.83,135.5,0.83,135.5,0.83,7.5,1.0,,,0.0,0.0,1.0,1.0,0.0,1.0,5.0,5.0,1.0,0.0,0.0,100.0,3.0,2.0,0.0,1,8.0,GD,18.0,0,,11077.0,0.0,0.0,
38,,,,第1节,-7.5,0.83,7.5,0.83,135.5,0.83,137.5,0.83,-7.5,1.0,,,0.0,0.0,1.0,1.0,0.0,1.0,5.0,5.0,1.0,0.0,0.0,100.0,3.0,2.0,0.0,1,8.0,GD,18.0,0,,11077.0,0.0,0.0,
39,,,,第1节,-7.5,0.83,7.5,0.83,137.5,0.83,137.5,0.83,137.5,1.0,,,0.0,0.0,1.0,1.0,0.0,1.0,5.0,5.0,1.0,0.0,0.0,100.0,3.0,2.0,0.0,1,8.0,GD,18.0,0,,11077.0,0.0,0.0,
40,,,,第1节,-7.5,0.83,7.5,0.83,137.5,0.83,137.5,0.83,137.5,1.0,,,0.0,0.0,2.0,1.0,0.0,1.0,5.0,5.0,1.0,0.0,0.0,100.0,4.0,2.0,0.0,1,8.0,GD,18.0,0,,11074.0,0.0,0.0,"0.72,0.41"
41,,,,第1节,-7.5,0.83,7.5,0.83,137.5,0.83,137.5,0.83,137.5,1.0,,,0.0,0.0,2.0,1.0,0.0,1.0,5.0,5.0,1.0,0.0,0.0,100.0,3.0,4.0,0.0,1,8.0,GD,7.0,0,,21077.0,0.0,0.0,
42,,,,第1节,-7.5,0.83,7.5,0.83,137.5,0.83,137.5,0.83,137.5,1.0,,,0.0,0.0,2.0,2.0,0.0,1.0,5.0,5.0,1.0,0.0,0.0,100.0,3.0,5.0,0.0,1,8.0,GD,7.0,0,,21074.0,0.0,0.0,"0.12,0.53"
43,,,,第1节,-7.5,0.83,7.5,0.83,137.5,0.83,137.5,0.83,137.5,1.0,,,0.0,0.0,2.0,2.0,0.0,1.0,5.0,5.0,1.0,0.0,0.0,100.0,5.0,4.0,0.0,1,8.0,GD,7.0,0,,11077.0,0.0,0.0,
44,,,,第1节,-7.5,0.83,7.5,0.83,137.5,0.83,137.5,0.83,137.5,1.0,,,0.0,0.0,2.0,2.0,0.0,1.0,5.0,5.0,1.0,0.0,0.0,100.0,5.0,4.0,0.0,1,7.0,GD,54.0,0,,11077.0,0.0,0.0,
45,,,,第1节,-7.5,0.83,8.5,0.83,137.5,0.83,137.5,0.83,8.5,1.0,,,0.0,0.0,2.0,2.0,0.0,1.0,5.0,5.0,1.0,0.0,0.0,100.0,5.0,4.0,0.0,1,7.0,GD,54.0,0,,11077.0,0.0,0.0,
46,,,,第1节,-8.5,0.83,8.5,0.83,137.5,0.83,138.5,0.83,-8.5,1.0,,,0.0,0.0,2.0,2.0,0.0,1.0,5.0,5.0,1.0,0.0,0.0,100.0,5.0,4.0,0.0,1,7.0,GD,54.0,0,,11077.0,0.0,0.0,
47,,,,第1节,-8.5,0.83,8.5,0.83,138.5,0.83,138.5,0.83,138.5,1.0,,,0.0,0.0,2.0,2.0,0.0,1.0,5.0,5.0,1.0,0.0,0.0,100.0,5.0,4.0,0.0,1,7.0,GD,54.0,0,,11077.0,0.0,0.0,
48,,,,第1节,-8.5,0.83,8.5,0.83,138.5,0.83,138.5,0.83,138.5,1.0,,,0.0,0.0,2.0,2.0,0.0,1.0,5.0,5.0,1.0,0.0,0.0,100.0,5.0,4.0,0.0,1,7.0,GD,30.0,0,,11077.0,0.0,0.0,
49,,,,第1节,-8.5,0.83,8.5,0.83,137.5,0.83,137.5,0.83,137.5,1.0,,,0.0,0.0,2.0,2.0,0.0,1.0,5.0,5.0,1.0,0.0,0.0,100.0,5.0,4.0,0.0,1,7.0,GD,30.0,0,,11077.0,0.0,0.0,
50,,,,第1节,-8.5,0.83,8.5,0.83,137.5,0.83,137.5,0.83,137.5,1.0,,,0.0,0.0,2.0,2.0,0.0,1.0,5.0,5.0,1.0,0.0,0.0,100.0,5.0,4.0,0.0,1,7.0,GD,30.0,0,,21077.0,0.0,0.0,
51,,,,第1节,-8.5,0.83,8.5,0.83,137.5,0.83,137.5,0.83,137.5,1.0,,,0.0,0.0,2.0,2.0,0.0,1.0,5.0,5.0,1.0,0.0,0.0,100.0,5.0,4.0,0.0,1,7.0,GD,30.0,0,,21095.0,0.0,0.0,"0.10,0.48"
52,,,,第1节,-8.5,0.83,8.5,0.83,137.5,0.83,137.5,0.83,137.5,1.0,,,0.0,0.0,2.0,2.0,0.0,1.0,5.0,5.0,1.0,0.0,0.0,100.0,5.0,4.0,0.0,1,7.0,GD,19.0,0,,11077.0,0.0,0.0,
53,,,,第1节,-8.5,0.83,8.5,0.83,136.5,0.83,136.5,0.83,136.5,1.0,,,0.0,0.0,2.0,2.0,0.0,1.0,5.0,5.0,1.0,0.0,0.0,100.0,5.0,4.0,0.0,1,7.0,GD,19.0,0,,11077.0,0.0,0.0,
54,,,,第1节,-8.5,0.83,8.5,0.83,136.5,0.83,136.5,0.83,136.5,1.0,,,0.0,0.0,2.0,2.0,0.0,1.0,5.0,5.0,1.0,0.0,0.0,100.0,5.0,4.0,0.0,1,7.0,GD,19.0,0,,21077.0,0.0,0.0,
55,,,,第1节,-8.5,0.83,8.5,0.83,136.5,0.83,136.5,0.83,136.5,1.0,,,0.0,0.0,2.0,2.0,0.0,1.0,5.0,5.0,1.0,0.0,0.0,100.0,5.0,4.0,0.0,1,7.0,GD,19.0,0,,21095.0,0.0,0.0,"0.10,0.48"
56,,,,第1节,-8.5,0.83,8.5,0.83,136.5,0.83,136.5,0.83,136.5,1.0,,,0.0,0.0,2.0,2.0,0.0,1.0,5.0,5.0,1.0,0.0,0.0,100.0,5.0,4.0,0.0,1,7.0,GD,17.0,0,,11077.0,0.0,0.0,
57,,,,第1节,-8.5,0.83,9.5,0.83,136.5,0.83,136.5,0.83,9.5,1.0,,,0.0,0.0,2.0,2.0,0.0,1.0,5.0,5.0,1.0,0.0,0.0,100.0,5.0,4.0,0.0,1,7.0,GD,17.0,0,,21077.0,0.0,0.0,
58,,,,第1节,-9.5,0.83,9.5,0.83,136.5,0.83,138.5,0.83,-9.5,1.0,,,0.0,0.0,2.0,2.0,0.0,1.0,5.0,5.0,1.0,0.0,0.0,100.0,5.0,4.0,0.0,1,7.0,GD,17.0,0,,21077.0,0.0,0.0,
59,,,,第1节,-9.5,0.83,9.5,0.83,138.5,0.83,138.5,0.83,138.5,1.0,,,0.0,0.0,2.0,2.0,0.0,1.0,5.0,5.0,1.0,0.0,0.0,100.0,5.0,4.0,0.0,1,7.0,GD,17.0,0,,21077.0,0.0,0.0,
60,,,,第1节,-9.5,0.83,9.5,0.83,138.5,0.83,138.5,0.83,138.5,1.0,,,0.0,0.0,2.0,3.0,0.0,1.0,5.0,5.0,1.0,0.0,0.0,100.0,5.0,7.0,0.0,1,7.0,GD,17.0,0,,21074.0,0.0,0.0,"0.10,0.48"
61,,,,第1节,-9.5,0.83,9.5,0.83,138.5,0.83,138.5,0.83,138.5,1.0,,,0.0,0.0,2.0,3.0,0.0,1.0,5.0,5.0,1.0,0.0,0.0,100.0,7.0,4.0,0.0,1,7.0,GD,13.0,0,,11077.0,0.0,0.0,
62,,,,第1节,-9.5,0.83,9.5,0.83,138.5,0.83,138.5,0.83,138.5,1.0,,,0.0,0.0,2.0,3.0,0.0,1.0,5.0,5.0,1.0,0.0,0.0,100.0,7.0,4.0,0.0,1,6.0,GD,13.0,0,,11077.0,0.0,0.0,
63,,,,第1节,-9.5,0.83,9.5,0.83,138.5,0.83,138.5,0.83,138.5,1.0,,,0.0,0.0,2.0,3.0,0.0,1.0,5.0,5.0,1.0,0.0,0.0,100.0,7.0,4.0,0.0,1,6.0,GD,58.0,0,,11077.0,0.0,0.0,
64,,,,第1节,-9.5,0.87,10.5,0.8,138.5,0.83,138.5,0.83,10.5,1.0,,,0.0,0.0,2.0,3.0,0.0,1.0,5.0,5.0,1.0,0.0,0.0,100.0,7.0,4.0,0.0,1,6.0,GD,58.0,0,,21077.0,0.0,0.0,
65,,,,第1节,-10.5,0.87,10.5,0.8,138.5,0.83,137.5,0.83,-10.5,1.0,,,0.0,0.0,2.0,3.0,0.0,1.0,5.0,5.0,1.0,0.0,0.0,100.0,7.0,4.0,0.0,1,6.0,GD,58.0,0,,21077.0,0.0,0.0,
66,,,,第1节,-10.5,0.87,10.5,0.8,137.5,0.83,137.5,0.83,137.5,1.0,,,0.0,0.0,2.0,3.0,0.0,1.0,5.0,5.0,1.0,0.0,0.0,100.0,7.0,4.0,0.0,1,6.0,GD,58.0,0,,21077.0,0.0,0.0,
67,,,,第1节,-10.5,0.87,10.5,0.83,137.5,0.83,137.5,0.83,137.5,1.0,,,0.0,0.0,2.0,3.0,0.0,1.0,5.0,5.0,1.0,0.0,0.0,100.0,7.0,4.0,0.0,1,6.0,GD,58.0,0,,21077.0,0.0,0.0,
68,,,,第1节,-10.5,0.83,9.5,0.83,137.5,0.83,137.5,0.83,9.5,1.0,,,0.0,0.0,2.0,3.0,0.0,1.0,5.0,5.0,1.0,0.0,0.0,100.0,7.0,4.0,0.0,1,6.0,GD,58.0,0,,21095.0,0.0,0.0,"0.12,0.49"
69,,,,第1节,-9.5,0.83,9.5,0.83,137.5,0.83,137.5,0.83,-9.5,1.0,,,0.0,0.0,2.0,3.0,0.0,1.0,5.0,5.0,1.0,0.0,0.0,100.0,7.0,4.0,0.0,1,6.0,GD,51.0,0,,11077.0,0.0,0.0,
70,,,,第1节,-9.5,0.83,9.5,0.83,136.5,0.83,136.5,0.83,136.5,1.0,,,0.0,0.0,2.0,3.0,0.0,1.0,5.0,5.0,1.0,0.0,0.0,100.0,7.0,4.0,0.0,1,6.0,GD,51.0,0,,11077.0,0.0,0.0,
71,,,,第1节,-9.5,0.8,9.5,0.87,136.5,0.83,136.5,0.83,136.5,1.0,,,0.0,0.0,2.0,3.0,0.0,1.0,5.0,5.0,1.0,0.0,0.0,100.0,7.0,4.0,0.0,1,6.0,GD,50.0,0,,21077.0,0.0,0.0,
72,,,,第1节,-9.5,0.8,9.5,0.87,136.5,0.83,136.5,0.83,136.5,1.0,,,0.0,0.0,2.0,3.0,0.0,1.0,5.0,5.0,2.0,0.0,0.0,100.0,7.0,4.0,0.0,1,6.0,GD,50.0,0,,11086.0,0.0,0.0,
73,,,,第1节,-9.5,0.83,10.5,0.83,136.5,0.83,136.5,0.83,10.5,1.0,,,0.0,0.0,2.0,3.0,0.0,1.0,5.0,5.0,2.0,0.0,0.0,100.0,7.0,4.0,0.0,1,6.0,GD,50.0,0,,21077.0,0.0,0.0,
74,,,,第1节,-10.5,0.83,10.5,0.83,136.5,0.83,136.5,0.83,-10.5,1.0,1:2,,0.0,0.0,2.0,3.0,0.0,1.0,5.0,5.0,2.0,0.0,0.0,100.0,7.0,4.0,0.0,1,6.0,GD,50.0,0,,21078.0,0.0,0.0,
