,AM,AS,CP,DC,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TO,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,,,第1节,-4.5,0.83,4.5,0.83,139.5,0.83,139.5,0.83,,,,,,,,,,,,,,,,,,,0.0,1,10.0,,0.0,0,,,0.0,1.5
1,,,,0.0,第1节,-4.5,0.83,4.5,0.83,139.5,0.83,139.5,0.83,,,,,,,,,,,,,,,,,,,0.0,1,10.0,,0.0,0,,,0.0,1.5
2,,,,0.0,第1节,-4.5,0.83,4.5,0.83,139.5,0.83,139.5,0.83,,,,,,,,,,,,,,,,,,,0.0,1,10.0,,0.0,0,,,0.0,1.5
3,,,,1.0,第1节,-4.5,0.83,4.5,0.83,139.5,0.83,139.5,0.83,,,,,,,,,,,,,,,,,,,0.0,1,10.0,,0.0,0,,,0.0,1.5
4,,,,1.0,第1节,-4.5,0.83,4.5,0.83,139.5,0.83,139.5,0.83,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0.0,1,10.0,GD,0.0,0,,1087.0,0.0,1.5
5,,,,1.0,第1节,-4.5,0.83,4.5,0.83,139.5,0.83,139.5,0.83,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0.0,1,9.0,GD,59.0,0,,11077.0,0.0,1.5
6,,,,1.0,第1节,-4.5,0.83,4.5,0.83,139.5,0.83,139.5,0.83,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,1.0,1,9.0,GD,59.0,0,,11077.0,0.0,1.5
7,,,,1.0,第1节,-4.5,0.83,4.5,0.83,139.5,0.83,139.5,0.83,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,1.0,1,9.0,GD,59.0,0,,11077.0,0.0,1.5
8,,,,1.0,第1节,-4.5,0.83,4.5,0.83,139.5,0.83,139.5,0.83,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,1.0,1,9.0,GD,59.0,0,,11077.0,0.0,1.5
9,,,,1.0,第1节,-4.5,0.83,4.5,0.83,139.5,0.83,139.5,0.83,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,1.0,1,9.0,GD,59.0,0,,11077.0,0.0,1.5
