,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,PG,SC_a,SC_h,SU,TD,TM,TO,TS,TT,TU,VC
0,,,,第1节,6.5,0.83,-6.5,0.83,143.5,0.83,143.5,0.83,,,,,,0.0,1,10.0,,0.0,0,,0
1,,,,第1节,6.5,0.83,-6.5,0.83,143.5,0.83,143.5,0.83,,1.0,,,,0.0,1,10.0,GD,0.0,1.0,20180627164958.0,1087.0
2,,,,第1节,6.5,0.83,-6.5,0.83,143.5,0.83,143.5,0.83,,1.0,,,,0.0,1,10.0,GD,0.0,1.0,20180627164958.0,21077.0
3,,,,第1节,6.5,0.83,-6.5,0.83,143.5,0.83,143.5,0.83,,1.0,,,,0.0,1,9.0,GD,59.0,1.0,20180627165000.0,21077.0
4,,,,第1节,6.5,0.8,-5.5,0.87,143.5,0.83,143.5,0.83,-5.5,1.0,,,,0.0,1,9.0,GD,59.0,1.0,20180627165000.0,21077.0
5,,,,第1节,5.5,0.8,-5.5,0.87,143.5,0.83,145.5,0.83,5.5,1.0,,,,0.0,1,9.0,GD,59.0,1.0,20180627165000.0,21077.0
6,,,,第1节,5.5,0.8,-5.5,0.87,145.5,0.83,145.5,0.83,145.5,1.0,,,,0.0,1,9.0,GD,59.0,1.0,20180627165000.0,21077.0
7,,,,第1节,5.5,0.8,-5.5,0.87,145.5,0.83,145.5,0.83,145.5,1.0,,,,0.0,1,9.0,GD,48.0,1.0,20180627165009.0,21077.0
8,,,,第1节,5.5,0.8,-5.5,0.87,145.5,0.83,145.5,0.83,145.5,1.0,,,,0.0,1,9.0,GD,48.0,1.0,20180627165009.0,21074.0
9,,,,第1节,5.5,0.8,-5.5,0.87,145.5,0.83,145.5,0.83,145.5,1.0,,2.0,0.0,0.0,1,9.0,GD,48.0,1.0,20180627165009.0,11077.0
10,,,,第1节,5.5,0.8,-5.5,0.87,145.5,0.8,145.5,0.87,145.5,1.0,,2.0,0.0,0.0,1,9.0,GD,47.0,1.0,20180627165011.0,11077.0
11,,,,第1节,5.5,0.8,-5.5,0.87,145.5,0.8,145.5,0.87,145.5,1.0,,2.0,0.0,0.0,1,9.0,GD,47.0,1.0,20180627165011.0,11074.0
12,,,,第1节,5.5,0.8,-5.5,0.87,145.5,0.8,145.5,0.87,145.5,1.0,,2.0,2.0,0.0,1,9.0,GD,41.0,1.0,20180627165017.0,21077.0
13,,,,第1节,5.5,0.83,-6.5,0.83,145.5,0.8,145.5,0.87,-6.5,1.0,,2.0,2.0,0.0,1,9.0,GD,41.0,1.0,20180627165017.0,21077.0
14,,,,第1节,6.5,0.83,-6.5,0.83,145.5,0.8,147.5,0.87,6.5,1.0,,2.0,2.0,0.0,1,9.0,GD,41.0,1.0,20180627165017.0,21077.0
15,,,,第1节,6.5,0.83,-6.5,0.83,147.5,0.8,147.5,0.87,147.5,1.0,,2.0,2.0,0.0,1,9.0,GD,41.0,1.0,20180627165017.0,21077.0
16,,,,第1节,6.5,0.83,-6.5,0.83,147.5,0.8,147.5,0.87,147.5,1.0,,2.0,2.0,0.0,1,9.0,GD,39.0,1.0,20180627165018.0,21077.0
17,,,,第1节,6.5,0.83,-6.5,0.83,146.5,0.87,146.5,0.8,146.5,1.0,,2.0,2.0,0.0,1,9.0,GD,39.0,1.0,20180627165018.0,21077.0
18,,,,第1节,6.5,0.83,-6.5,0.83,146.5,0.87,145.5,0.83,146.5,1.0,,2.0,2.0,0.0,1,9.0,GD,39.0,1.0,20180627165018.0,21077.0
