,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TO,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,,第1节,22.5,0.83,-22.5,0.83,226.5,0.83,226.5,0.83,,,,,,,,,,,,,,,,,,,0.0,1,12.0,,0.0,0,,,0.0,0.0
1,,,,第1节,22.5,0.83,-22.5,0.83,226.5,0.83,226.5,0.83,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0.0,0.0,12.0,,0.0,0,,1087.0,0.0,0.0
2,,,,第1节,22.5,0.83,-22.5,0.83,226.5,0.83,226.5,0.83,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0.0,0.0,11.0,GD,59.0,1.0,20180629123003.0,11077.0,0.0,0.0
3,,,,第1节,22.5,0.83,-22.5,0.83,226.5,0.83,226.5,0.83,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0.0,1.0,11.0,GD,59.0,1.0,20180629123003.0,11077.0,0.0,0.0
4,,,,第1节,22.5,0.83,-22.5,0.83,226.5,0.83,226.5,0.83,,1.0,,,1.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,3.0,,0.0,1.0,11.0,GD,59.0,1.0,20180629123003.0,11075.0,0.0,0.0
5,,,,第1节,22.5,0.83,-22.5,0.83,226.5,0.83,226.5,0.83,,1.0,,,1.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,3.0,,0.0,1.0,11.0,GD,52.0,1.0,20180629123011.0,21077.0,0.0,0.0
6,,,,第1节,22.5,0.83,-22.5,0.83,226.5,0.83,226.5,0.83,,1.0,,,1.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,11.0,GD,52.0,1.0,20180629123011.0,21077.0,0.0,0.0
7,,,,第1节,22.5,0.83,-23.5,0.83,226.5,0.83,226.5,0.83,-23.5,1.0,,,1.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,11.0,GD,52.0,1.0,20180629123011.0,21077.0,0.0,0.0
8,,,,第1节,23.5,0.83,-23.5,0.83,226.5,0.83,229.5,0.83,23.5,1.0,,,1.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,11.0,GD,52.0,1.0,20180629123011.0,21077.0,0.0,0.0
9,,,,第1节,23.5,0.83,-23.5,0.83,229.5,0.83,229.5,0.83,229.5,1.0,,,1.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,11.0,GD,52.0,1.0,20180629123011.0,21077.0,0.0,0.0
