,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,第3节,-17.5,0.83,17.5,0.83,166.5,0.83,166.5,0.83,,,,,4,1.0,11.0,20.0,3.0,10.0,4,4,0.0,0.0,75.0,71.4,37.0,51.0,0.0,1,10.0,0.0,0,,1083,0.0,0.0
1,,第3节,-17.5,0.83,17.5,0.83,166.5,0.83,166.5,0.83,,3.0,,,4,1.0,11.0,20.0,3.0,10.0,4,4,0.0,0.0,75.0,71.4,39.0,51.0,0.0,1,10.0,0.0,0,,1089.0,0.0,0.0
2,,第3节,-17.5,0.83,17.5,0.83,166.5,0.83,166.5,0.83,,3.0,,,4,1.0,12.0,20.0,3.0,10.0,4,4,0.0,0.0,75.0,71.4,39.0,51.0,0.0,1,10.0,0.0,0,,11074.0,0.0,0.0
3,,第3节,-17.5,0.83,17.5,0.83,166.5,0.83,166.5,0.83,,3.0,,,4,1.0,12.0,20.0,3.0,10.0,4,4,0.0,0.0,75.0,71.4,51.0,39.0,0.0,1,10.0,0.0,0,,21077.0,0.0,0.0
4,,第3节,-17.5,0.83,15.5,0.83,166.5,0.83,167.5,0.83,15.5,3.0,,,4,1.0,12.0,20.0,3.0,10.0,4,4,0.0,0.0,75.0,71.4,51.0,39.0,0.0,1,10.0,0.0,0,,21077.0,0.0,0.0
5,,第3节,-17.5,0.83,15.5,0.83,167.5,0.83,167.5,0.83,167.5,3.0,,,4,1.0,12.0,20.0,3.0,10.0,4,4,0.0,0.0,75.0,71.4,51.0,39.0,0.0,1,10.0,0.0,0,,21077.0,0.0,0.0
6,,第3节,-17.5,0.83,15.5,0.83,167.5,0.83,167.5,0.83,167.5,3.0,,,4,1.0,12.0,20.0,3.0,10.0,4,4,0.0,0.0,75.0,71.4,51.0,39.0,0.0,1,9.0,44.0,0,,21077.0,0.0,0.0
7,,第3节,-15.5,0.83,15.5,0.83,167.5,0.83,166.5,0.83,-15.5,3.0,,,4,1.0,12.0,20.0,3.0,10.0,4,4,0.0,0.0,75.0,71.4,51.0,39.0,0.0,1,9.0,44.0,0,,11077.0,0.0,0.0
8,,第3节,-15.5,0.83,15.5,0.83,166.5,0.83,166.5,0.83,166.5,3.0,,,4,1.0,12.0,20.0,3.0,10.0,4,4,0.0,0.0,75.0,71.4,51.0,39.0,0.0,1,9.0,44.0,0,,11077.0,0.0,0.0
9,,第3节,-15.5,0.83,15.5,0.83,166.5,0.83,166.5,0.83,166.5,3.0,,,4,1.0,12.0,20.0,3.0,10.0,4,4,0.0,0.0,75.0,71.4,51.0,39.0,0.0,1,9.0,22.0,0,,11077.0,0.0,0.0
