,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,,第1节,-17.5,0.87,17.5,0.8,158.5,0.83,158.5,0.83,,,,,,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,,0.0,0.0
1,,,,第1节,-17.5,0.87,17.5,0.8,158.5,0.83,158.5,0.83,,2.0,,,,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,1088.0,0.0,0.0
2,,,,第1节,-17.5,0.87,17.5,0.8,158.5,0.83,158.5,0.83,,2.0,,,,,,,,,,,,,,,,,0.0,1,9.0,59.0,0,,11077.0,0.0,0.0
3,,,,第1节,-17.5,0.87,17.5,0.8,158.5,0.83,158.5,0.83,,2.0,,,,,,,,,,,,1.0,,,,,0.0,1,9.0,59.0,0,,21086.0,0.0,0.0
4,,,,第1节,-17.5,0.87,17.5,0.8,158.5,0.83,158.5,0.83,,2.0,,,,,,,,,,,,1.0,,,,,0.0,1,9.0,51.0,0,,11077.0,0.0,0.0
5,,,,第1节,-17.5,0.83,15.5,0.83,158.5,0.83,158.5,0.83,15.5,2.0,1:2,,,,,,,,,,,1.0,,,,,0.0,1,9.0,51.0,0,,11078.0,0.0,0.0
6,,,,第1节,-15.5,0.83,15.5,0.83,158.5,0.83,159.5,0.83,-15.5,2.0,1:2,,,,,,,,,,,1.0,,,,,0.0,1,9.0,51.0,0,,11078.0,0.0,0.0
7,,,,第1节,-15.5,0.83,15.5,0.83,159.5,0.83,159.5,0.83,159.5,2.0,1:2,,,,,,,,,,,1.0,,,,,0.0,1,9.0,51.0,0,,11078.0,0.0,0.0
8,,,,第1节,-15.5,0.83,15.5,0.83,159.5,0.83,159.5,0.83,159.5,2.0,1:2,,,,,,4.0,,,,,1.0,80.0,,16.0,,0.0,1,9.0,51.0,0,,11079.0,0.0,0.0
9,,,,第1节,-15.5,0.83,15.5,0.83,159.5,0.83,159.5,0.83,159.5,2.0,2:2,,,,,,4.0,,,,,1.0,80.0,,27.0,16.0,0.0,1,9.0,51.0,0,,11078.0,0.0,0.0
10,,,,第1节,-15.5,0.83,15.5,0.83,159.5,0.83,159.5,0.83,159.5,2.0,2:2,,,,,,5.0,,,,,1.0,83.3,,17.0,16.0,0.0,1,9.0,51.0,0,,11079.0,0.0,0.0
11,,,,第1节,-15.5,0.83,15.5,0.83,159.5,0.83,159.5,0.83,159.5,2.0,,,,,,,5.0,,,,,1.0,83.3,,27.0,17.0,0.0,1,9.0,51.0,0,,21077.0,0.0,0.0
12,,,,第1节,-15.5,0.83,15.5,0.83,160.5,0.83,160.5,0.83,160.5,2.0,,,,,,,5.0,,,,,1.0,83.3,,27.0,17.0,0.0,1,9.0,51.0,0,,21077.0,0.0,0.0
13,,,,第1节,-15.5,0.87,15.5,0.8,160.5,0.83,159.5,0.83,160.5,2.0,,,,,,,5.0,,,,,1.0,83.3,,27.0,17.0,0.0,1,9.0,51.0,0,,21077.0,0.0,0.0
14,,,,第1节,-15.5,0.87,15.5,0.8,159.5,0.83,159.5,0.83,159.5,2.0,,,,,,,5.0,,,,,1.0,83.3,,27.0,17.0,0.0,1,9.0,51.0,0,,21077.0,0.0,0.0
15,,,,第1节,-15.5,0.87,15.5,0.8,159.5,0.83,159.5,0.83,159.5,2.0,,,,,,,5.0,,,,,1.0,83.3,,27.0,17.0,0.0,1,9.0,41.0,0,,11077.0,0.0,0.0
16,,,,第1节,-15.5,0.87,15.5,0.8,159.5,0.83,159.5,0.83,159.5,2.0,,,,,,,5.0,,,,,1.0,83.3,,27.0,17.0,0.0,1,9.0,41.0,0,,11077.0,0.0,0.0
17,,,,第1节,-15.5,0.87,15.5,0.8,159.5,0.83,159.5,0.83,159.5,2.0,,,,,,,5.0,,,,,1.0,83.3,,27.0,17.0,0.0,1,9.0,32.0,0,,11077.0,0.0,0.0
18,,,,第1节,-15.5,0.87,15.5,0.8,159.5,0.83,159.5,0.83,159.5,2.0,,,,,,,5.0,,,,1.0,1.0,83.3,,27.0,17.0,0.0,1,9.0,32.0,0,,11086.0,0.0,0.0
19,,,,第1节,-15.5,0.87,15.5,0.8,159.5,0.83,159.5,0.83,159.5,2.0,,,,,,,5.0,,,,1.0,1.0,83.3,,27.0,17.0,0.0,1,9.0,32.0,0,,21077.0,0.0,0.0
20,,,,第1节,-15.5,0.87,15.5,0.8,159.5,0.83,159.5,0.83,159.5,2.0,,,,,,,5.0,,,,1.0,1.0,83.3,,27.0,17.0,0.0,1,9.0,12.0,0,,11077.0,0.0,0.0
21,,,,第1节,-15.5,0.87,15.5,0.8,157.5,0.83,157.5,0.83,157.5,2.0,,,,,,,5.0,,,,1.0,1.0,83.3,,27.0,17.0,0.0,1,9.0,12.0,0,,11077.0,0.0,0.0
22,,,,第1节,-15.5,0.87,15.5,0.8,157.5,0.83,157.5,0.83,157.5,2.0,,,,,,,5.0,,,,1.0,1.0,83.3,,27.0,17.0,0.0,1,9.0,9.0,0,,11077.0,0.0,0.0
23,,,,第1节,-15.5,0.87,15.5,0.8,157.5,0.83,157.5,0.83,157.5,2.0,,,,,,,5.0,,,,1.0,1.0,83.3,,27.0,29.0,0.0,1,9.0,9.0,0,,21077.0,0.0,0.0
24,,,,第1节,-15.5,0.87,15.5,0.8,157.5,0.83,157.5,0.83,157.5,2.0,,,,,,11.0,5.0,,,,1.0,1.0,83.3,,27.0,29.0,0.0,1,9.0,9.0,0,,21074.0,0.0,0.0
25,,,,第1节,-15.5,0.87,15.5,0.8,157.5,0.83,157.5,0.83,157.5,2.0,,,,,,11.0,5.0,,,,1.0,1.0,83.3,,27.0,29.0,0.0,1,9.0,5.0,0,,11077.0,0.0,0.0
26,,,,第1节,-15.5,0.87,15.5,0.8,157.5,0.83,157.5,0.83,157.5,2.0,,,,,,11.0,5.0,,,,1.0,1.0,83.3,,29.0,17.0,0.0,1,9.0,5.0,0,,11077.0,0.0,0.0
27,,,,第1节,-15.5,0.8,16.5,0.87,157.5,0.83,157.5,0.83,16.5,2.0,,,,,,11.0,5.0,,,,1.0,1.0,83.3,,29.0,17.0,0.0,1,9.0,5.0,0,,11077.0,0.0,0.0
28,,,,第1节,-16.5,0.8,16.5,0.87,157.5,0.83,159.5,0.83,-16.5,2.0,,,,,,11.0,5.0,,,,1.0,1.0,83.3,,29.0,17.0,0.0,1,9.0,5.0,0,,11077.0,0.0,0.0
29,,,,第1节,-16.5,0.8,16.5,0.87,159.5,0.83,159.5,0.83,159.5,2.0,,,,,,11.0,5.0,,,,1.0,1.0,83.3,,29.0,17.0,0.0,1,9.0,5.0,0,,11077.0,0.0,0.0
30,,,,第1节,-16.5,0.8,16.5,0.87,159.5,0.83,159.5,0.83,159.5,2.0,,,,,,11.0,5.0,,,,1.0,1.0,83.3,,29.0,17.0,0.0,1,9.0,2.0,0,,11077.0,0.0,0.0
31,,,,第1节,-16.5,0.8,16.5,0.87,159.5,0.83,159.5,0.83,159.5,2.0,,,,,,11.0,5.0,,,,1.0,1.0,83.3,,29.0,17.0,0.0,1,8.0,2.0,0,,21077.0,0.0,0.0
32,,,,第1节,-16.5,0.8,16.5,0.87,159.5,0.83,159.5,0.83,159.5,2.0,,,,,,11.0,5.0,,,,1.0,1.0,83.3,,29.0,17.0,0.0,1,8.0,43.0,0,,21077.0,0.0,0.0
33,,,,第1节,-16.5,0.8,16.5,0.87,157.5,0.83,157.5,0.83,157.5,2.0,,,,,,11.0,5.0,,,,1.0,1.0,83.3,,29.0,17.0,0.0,1,8.0,43.0,0,,21077.0,0.0,0.0
34,,,,第1节,-16.5,0.83,16.5,0.83,157.5,0.83,157.5,0.83,157.5,2.0,,,,,,11.0,5.0,,,,1.0,1.0,83.3,,29.0,17.0,0.0,1,8.0,38.0,0,,11077.0,0.0,0.0
35,,,,第1节,-16.5,0.83,16.5,0.83,157.5,0.83,157.5,0.83,157.5,2.0,,,,,,11.0,5.0,,,,1.0,1.0,83.3,,29.0,17.0,0.0,1,8.0,38.0,0,,21077.0,0.0,0.0
36,,,,第1节,-16.5,0.83,16.5,0.83,157.5,0.83,157.5,0.83,157.5,2.0,,,,,,11.0,5.0,,,,1.0,1.0,83.3,,29.0,17.0,0.0,1,8.0,33.0,0,,21077.0,0.0,0.0
37,,,,第1节,-16.5,0.8,16.5,0.87,156.5,0.83,156.5,0.83,156.5,2.0,,,,,,11.0,5.0,,,,1.0,1.0,83.3,,29.0,17.0,0.0,1,8.0,33.0,0,,21077.0,0.0,0.0
38,,,,第1节,-16.5,0.83,16.5,0.83,156.5,0.83,155.5,0.83,156.5,2.0,,,,,,11.0,5.0,,,,1.0,1.0,83.3,,29.0,17.0,0.0,1,8.0,33.0,0,,21077.0,0.0,0.0
39,,,,第1节,-16.5,0.83,16.5,0.83,155.5,0.83,155.5,0.83,155.5,2.0,,,,,,11.0,5.0,,,,1.0,1.0,83.3,,29.0,17.0,0.0,1,8.0,33.0,0,,21077.0,0.0,0.0
40,,,,第1节,-16.5,0.83,16.5,0.83,155.5,0.83,155.5,0.83,155.5,2.0,,,,,,11.0,5.0,,,,1.0,1.0,83.3,,29.0,17.0,0.0,1,8.0,14.0,0,,21077.0,0.0,0.0
41,,,,第1节,-16.5,0.83,16.5,0.83,155.5,0.83,155.5,0.83,155.5,2.0,,,,,,11.0,5.0,,,,1.0,1.0,83.3,,29.0,17.0,0.0,1,8.0,14.0,0,,11077.0,0.0,0.0
42,,,,第1节,-16.5,0.8,16.5,0.87,153.5,0.83,153.5,0.83,153.5,2.0,,,,,,11.0,5.0,,,,1.0,1.0,83.3,,29.0,17.0,0.0,1,8.0,14.0,0,,21077.0,0.0,0.0
43,,,,第1节,-16.5,0.8,16.5,0.87,153.5,0.83,153.5,0.83,153.5,2.0,,,,,,11.0,5.0,,,,1.0,1.0,83.3,,29.0,17.0,0.0,1,7.0,54.0,0,,21077.0,0.0,0.0
44,,,,第1节,-16.5,0.83,19.5,0.83,153.5,0.83,153.5,0.83,19.5,2.0,,,,,,11.0,5.0,,,,1.0,1.0,83.3,,29.0,17.0,0.0,1,7.0,54.0,0,,21077.0,0.0,0.0
45,,,,第1节,-19.5,0.83,19.5,0.83,153.5,0.83,157.5,0.83,-19.5,2.0,,,,,,11.0,5.0,,,,1.0,1.0,83.3,,29.0,17.0,0.0,1,7.0,54.0,0,,21077.0,0.0,0.0
46,,,,第1节,-19.5,0.83,19.5,0.83,157.5,0.83,157.5,0.83,157.5,2.0,,,,,,11.0,5.0,,,,1.0,1.0,83.3,,29.0,17.0,0.0,1,7.0,54.0,0,,21077.0,0.0,0.0
47,,,,第1节,-19.5,0.83,19.5,0.83,157.5,0.83,157.5,0.83,157.5,2.0,,,,3.0,,11.0,5.0,,,,1.0,1.0,83.3,,29.0,32.0,0.0,1,7.0,54.0,0,,21075.0,0.0,0.0
48,,,,第1节,-19.5,0.83,19.5,0.83,157.5,0.83,157.5,0.83,157.5,2.0,,,,3.0,,11.0,5.0,,,,1.0,1.0,83.3,,32.0,17.0,0.0,1,7.0,49.0,0,,11077.0,0.0,0.0
49,,,,第1节,-19.5,0.83,19.5,0.83,157.5,0.83,157.5,0.83,157.5,2.0,,,,3.0,,11.0,5.0,,,,1.0,1.0,83.3,,32.0,17.0,0.0,1,7.0,49.0,0,,11077.0,0.0,0.0
50,,,,第1节,-19.5,0.83,19.5,0.83,157.5,0.83,157.5,0.83,157.5,2.0,,,,3.0,,11.0,5.0,,,,1.0,1.0,83.3,,32.0,17.0,0.0,1,7.0,48.0,0,,11077.0,0.0,0.0
51,,,,第1节,-19.5,0.83,19.5,0.83,156.5,0.83,156.5,0.83,156.5,2.0,,,,3.0,,11.0,5.0,,,,1.0,1.0,83.3,,32.0,17.0,0.0,1,7.0,48.0,0,,11077.0,0.0,0.0
52,,,,第1节,-19.5,0.83,19.5,0.83,156.5,0.83,156.5,0.83,156.5,2.0,,,,3.0,,11.0,5.0,,,,1.0,1.0,83.3,,32.0,17.0,0.0,1,7.0,29.0,0,,11077.0,0.0,0.0
53,,,,第1节,-19.5,0.83,19.5,0.83,155.5,0.83,155.5,0.83,155.5,2.0,,,,3.0,,11.0,5.0,,,,1.0,1.0,83.3,,32.0,17.0,0.0,1,7.0,29.0,0,,21077.0,0.0,0.0
