,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,MS,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TO,TS,TT,TU,VC,VS,WA_ODD,WH_ODD
0,,,,第1节,-4.5,0.87,4.5,0.8,126.5,0.83,126.5,0.83,,,,,,,,,,,,,,,,,,,,0.0,1,10.0,,0.0,0,,,,0.0,0.0
1,,,,第1节,-4.5,0.87,4.5,0.8,126.5,0.83,126.5,0.83,,,9241108.0,,,,,,,,,,,,,,,,,1.0,1,10.0,,0.0,0,,,,0.0,0.0
2,,,,第1节,-4.5,0.87,4.5,0.8,126.5,0.83,126.5,0.83,,,9241108.0,,,,,,,,,,,,,,,,,1.0,1,10.0,,0.0,0,,,,0.0,0.0
3,,,,第1节,-4.5,0.87,4.5,0.8,126.5,0.83,126.5,0.83,,,9241108.0,,,,,,,,,,,,,,,,,1.0,1,10.0,,0.0,0,,,,0.0,0.0
4,,,,第1节,-4.5,0.87,4.5,0.8,126.5,0.83,126.5,0.83,,,9241108.0,,,,,,,,,,,,,,,,,1.0,1,10.0,,0.0,0,,,,0.0,0.0
5,,,,第1节,-4.5,0.87,4.5,0.8,126.5,0.83,126.5,0.83,,,9241108.0,,,,,,,,,,,,,,,,,1.0,1,10.0,,0.0,0,,,,0.0,0.0
6,,,,第1节,-4.5,0.87,4.5,0.8,126.5,0.83,126.5,0.83,,,9241108.0,,,,,,,,,,,,,,,,,1.0,1,10.0,,0.0,0,,,,0.0,0.0
7,,,,第1节,-4.5,0.87,4.5,0.8,126.5,0.83,126.5,0.83,,,9241108.0,,,,,,,,,,,,,,,,,0.0,1,10.0,,0.0,0,,,,0.0,0.0
8,,,,第1节,-4.5,0.87,4.5,0.8,126.5,0.83,126.5,0.83,,,9241108.0,,,,,,,,,,,,,,,,,0.0,1,10.0,,0.0,0,,,,0.0,0.0
9,,,,第1节,-4.5,0.87,4.5,0.8,126.5,0.83,126.5,0.83,,,9241108.0,,,,,,,,,,,,,,,,,0.0,1,10.0,,0.0,0,,,,0.0,0.0
10,,,,第1节,-4.5,0.87,4.5,0.8,126.5,0.83,126.5,0.83,,,9241108.0,,,,,,,,,,,,,,,,,0.0,1,10.0,,0.0,0,,,,0.0,0.0
11,,,,第1节,-4.5,0.87,4.5,0.8,126.5,0.83,126.5,0.83,,,9241108.0,,,,,,,,,,,,,,,,,0.0,1,10.0,,0.0,0,,,,0.0,0.0
12,,,,第1节,-4.5,0.87,4.5,0.8,126.5,0.83,126.5,0.83,,,9241108.0,,,,,,,,,,,,,,,,,0.0,1,10.0,,0.0,0,,,,0.0,1.5
13,,,,第1节,-4.5,0.87,4.5,0.8,126.5,0.83,126.5,0.83,,,9241108.0,,,,,,,,,,,,,,,,,1.0,1,10.0,,0.0,0,,,,0.0,1.5
14,,,,第1节,-4.5,0.87,4.5,0.8,126.5,0.83,126.5,0.83,,,9241108.0,,,,,,,,,,,,,,,,,1.0,1,10.0,,0.0,0,,,,0.0,1.5
15,,,,第1节,-4.5,0.87,4.5,0.8,126.5,0.83,126.5,0.83,,,9241108.0,,,,,,,,,,,,,,,,,1.0,1,10.0,,0.0,0,,,,0.0,1.5
16,,,,第1节,-4.5,0.87,4.5,0.8,126.5,0.83,126.5,0.83,,,9241108.0,,,,,,,,,,,,,,,,,1.0,1,10.0,,0.0,0,,,,0.0,1.5
17,,,,第1节,-4.5,0.87,4.5,0.8,126.5,0.83,126.5,0.83,,,9241108.0,,,,,,,,,,,,,,,,,1.0,1,10.0,,0.0,0,,,,0.0,1.5
18,,,,第1节,-4.5,0.87,4.5,0.8,126.5,0.83,126.5,0.83,,,9241108.0,,,,,,,,,,,,,,,,,1.0,1,10.0,,0.0,0,,,,0.0,1.5
19,,,,第1节,-4.5,0.87,4.5,0.8,126.5,0.83,126.5,0.83,,,9241108.0,,,,,,,,,,,,,,,,,0.0,1,10.0,,0.0,0,,,,0.0,1.5
20,,,,第1节,-4.5,0.87,4.5,0.8,126.5,0.83,126.5,0.83,,,9241108.0,,,,,,,,,,,,,,,,,0.0,1,10.0,,0.0,0,,,,0.0,1.5
21,,,,第1节,-4.5,0.87,4.5,0.8,126.5,0.83,126.5,0.83,,,9241108.0,,,,,,,,,,,,,,,,,0.0,1,10.0,,0.0,0,,,,0.0,1.5
22,,,,第1节,-4.5,0.87,4.5,0.8,126.5,0.83,126.5,0.83,,,9241108.0,,,,,,,,,,,,,,,,,0.0,1,10.0,,0.0,0,,,,0.0,1.5
23,,,,第1节,-4.5,0.87,4.5,0.8,126.5,0.83,126.5,0.83,,,9241108.0,,,,,,,,,,,,,,,,,0.0,1,10.0,,0.0,0,,,,0.0,1.5
24,,,,第1节,-4.5,0.87,4.5,0.8,126.5,0.83,126.5,0.83,,1.0,9241108.0,,,,,,,,,,,,,,,,,0.0,0.0,10.0,GD,0.0,0,,1087.0,,0.0,1.5
