,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,MS,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TO,TS,TT,TU,VC,VS
0,,,,第1节,29.5,0.83,-29.5,0.83,138.5,0.83,138.5,0.83,,,,,,,,,,,,,,,,,,,,0.0,1,10.0,,0.0,0,,,
1,,,,第1节,29.5,0.83,-29.5,0.83,138.5,0.83,138.5,0.83,,,9231101.0,,,,,,,,,,,,,,,,,1.0,1,10.0,,0.0,0,,,
2,,,,第1节,29.5,0.83,-29.5,0.83,138.5,0.83,138.5,0.83,,,9231101.0,,,,,,,,,,,,,,,,,1.0,1,10.0,,0.0,0,,,
3,,,,第1节,29.5,0.83,-29.5,0.83,138.5,0.83,138.5,0.83,,,9231101.0,,,,,,,,,,,,,,,,,1.0,1,10.0,,0.0,0,,,
4,,,,第1节,29.5,0.83,-29.5,0.83,138.5,0.83,138.5,0.83,,,9231101.0,,,,,,,,,,,,,,,,,1.0,1,10.0,,0.0,0,,,
5,,,,第1节,29.5,0.83,-29.5,0.83,138.5,0.83,138.5,0.83,,,9231101.0,,,,,,,,,,,,,,,,,0.0,1,10.0,,0.0,0,,,
6,,,,第1节,29.5,0.83,-29.5,0.83,138.5,0.83,138.5,0.83,,,9231101.0,,,,,,,,,,,,,,,,,0.0,1,10.0,,0.0,0,,,
7,,,,第1节,29.5,0.83,-29.5,0.83,138.5,0.83,138.5,0.83,,,9231101.0,,,,,,,,,,,,,,,,,0.0,1,10.0,,0.0,0,,,
8,,,,第1节,29.5,0.83,-29.5,0.83,138.5,0.83,138.5,0.83,,1.0,9231101.0,,,,,,,,,,,,,,,,,0.0,1,10.0,GD,0.0,1.0,20180702123305.0,1087.0,
9,,,,第1节,29.5,0.83,-29.5,0.83,138.5,0.83,138.5,0.83,,1.0,9231101.0,,,,,,,,,,,,,,,,,0.0,1,10.0,GD,0.0,1.0,20180702123305.0,11077.0,
10,,,,第1节,29.5,0.83,-29.5,0.83,138.5,0.83,138.5,0.83,,1.0,9231101.0,,,,,,,,,,,,,,,,,0.0,1,9.0,GD,43.0,1.0,20180702123321.0,11077.0,
11,,,,第1节,29.5,0.83,-29.5,0.83,138.5,0.83,138.5,0.83,,1.0,9231101.0,,,,,,,,,,,,,,,,,0.0,1,9.0,GD,43.0,0.0,20180702123321.0,11077.0,
12,,,,第1节,29.5,0.83,-29.5,0.83,138.5,0.83,138.5,0.83,,1.0,9231101.0,,,,,,,,,,,,,,,,,0.0,1,9.0,GD,43.0,0.0,20180702123321.0,11077.0,
13,,,,第1节,29.5,0.83,-29.5,0.83,138.5,0.83,138.5,0.83,,1.0,9231101.0,,,,,,,,,,,,,,,,,0.0,1,9.0,GD,43.0,1.0,20180702123327.0,11077.0,
14,,,,第1节,29.5,0.83,-29.5,0.83,136.5,0.83,136.5,0.83,136.5,1.0,9231101.0,,,,,,,,,,,,,,,,,0.0,1,9.0,GD,43.0,1.0,20180702123327.0,21077.0,
15,,,,第1节,29.5,0.83,-29.5,0.83,136.5,0.83,136.5,0.83,136.5,1.0,9231101.0,,,,,,,,,,,,,,,,,0.0,1,9.0,GD,42.0,1.0,20180702123328.0,21077.0,
16,,,,第1节,29.5,0.8,-29.5,0.87,135.5,0.83,135.5,0.83,135.5,1.0,9231101.0,,,,,,,,,,,,,,,,,0.0,1,9.0,GD,42.0,1.0,20180702123328.0,21077.0,
17,,,,第1节,29.5,0.8,-29.5,0.87,135.5,0.83,135.5,0.83,135.5,1.0,9231101.0,,,,,,,,,,,,,,,,,0.0,1,9.0,GD,23.0,1.0,20180702123347.0,21077.0,
18,,,,第1节,29.5,0.87,-28.5,0.8,135.5,0.83,135.5,0.83,-28.5,1.0,9231101.0,,,,,,,,,,,,,,,,,0.0,1,9.0,GD,23.0,1.0,20180702123347.0,11077.0,
19,,,,第1节,28.5,0.87,-28.5,0.8,135.5,0.83,135.5,0.83,28.5,1.0,9231101.0,,,,,,,,,,,,,,,,,0.0,1,9.0,GD,19.0,1.0,20180702123351.0,21077.0,
20,,,,第1节,28.5,0.87,-28.5,0.8,135.5,0.83,135.5,0.83,28.5,1.0,9231101.0,,,,,,,,,,,,,,,,,0.0,1,9.0,GD,19.0,1.0,20180702123351.0,21077.0,
21,,,,第1节,28.5,0.87,-28.5,0.8,135.5,0.83,135.5,0.83,28.5,1.0,9231101.0,,,,,,,,,,,,,,,,,0.0,1,9.0,GD,19.0,1.0,20180702123353.0,21077.0,
22,,,,第1节,28.5,0.8,-29.5,0.87,135.5,0.83,135.5,0.83,-29.5,1.0,9231101.0,,,,,,,,,,,,,,,,,0.0,1,9.0,GD,19.0,1.0,20180702123353.0,21077.0,
23,,,,第1节,29.5,0.8,-29.5,0.87,135.5,0.83,134.5,0.83,29.5,1.0,9231101.0,,,,,,,,,,,,,,,,,0.0,1,9.0,GD,19.0,1.0,20180702123353.0,21077.0,
24,,,,第1节,29.5,0.8,-29.5,0.87,134.5,0.83,134.5,0.83,134.5,1.0,9231101.0,,,,,,,,,,,,,,,,,0.0,1,9.0,GD,19.0,1.0,20180702123353.0,21077.0,
25,,,,第1节,29.5,0.8,-29.5,0.87,134.5,0.83,134.5,0.83,134.5,1.0,9231101.0,,,,,,,,,,,,,,,,,0.0,1,9.0,GD,19.0,1.0,20180702123353.0,21086.0,
26,,,,第1节,29.5,0.8,-29.5,0.87,134.5,0.83,134.5,0.83,134.5,1.0,9231101.0,,,,,,,,,,,,,,,,,0.0,1,9.0,GD,17.0,1.0,20180702123353.0,11077.0,
27,,,,第1节,29.5,0.8,-29.5,0.87,134.5,0.83,134.5,0.83,134.5,1.0,9231101.0,,,,,,,,,,,,,,,,,1.0,1,9.0,GD,17.0,1.0,20180702123353.0,11077.0,
28,,,,第1节,29.5,0.8,-29.5,0.87,134.5,0.83,134.5,0.83,134.5,1.0,9231101.0,,,,,,,,,,,,,,,,,1.0,1,9.0,GD,17.0,1.0,20180702123353.0,11077.0,
29,,,,第1节,29.5,0.8,-29.5,0.87,134.5,0.83,134.5,0.83,134.5,1.0,9231101.0,,,,,,,,,,,,,,,,,1.0,1,9.0,GD,17.0,1.0,20180702123353.0,11077.0,
30,,,,第1节,29.5,0.8,-29.5,0.87,134.5,0.83,134.5,0.83,134.5,1.0,9231101.0,,,,,,,,,,,,,,,,,1.0,1,9.0,GD,17.0,0.0,20180702123355.0,11077.0,
31,,,,第1节,29.5,0.8,-29.5,0.87,134.5,0.83,134.5,0.83,134.5,1.0,9231101.0,,,,,,,,,,,,,,,,,0.0,1,9.0,GD,17.0,0.0,20180702123355.0,11077.0,
