,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,MS,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TO,TS,TT,TU,VC,VS
0,,,,第1节,-26.5,0.83,26.5,0.83,151.5,0.83,151.5,0.83,,,,,,,,,,,,,,,,,,,,0.0,1,10.0,,0.0,0,,,
1,,,,第1节,-26.5,0.83,27.5,0.83,151.5,0.83,151.5,0.83,27.5,,,,,,,,,,,,,,,,,,,0.0,1,10.0,,0.0,0,,,
2,,,,第1节,-27.5,0.83,27.5,0.83,151.5,0.83,151.5,0.83,-27.5,1.0,9231132.0,,,,,,,,,,,,,,,,,0.0,1,9.0,GD,58.0,0,,1087.0,
3,,,,第1节,-27.5,0.83,27.5,0.83,151.5,0.83,151.5,0.83,-27.5,1.0,9231132.0,,,,,,,,,,,,,,,,,0.0,1,9.0,GD,58.0,0,,11077.0,
4,,,,第1节,-27.5,0.83,27.5,0.83,151.5,0.83,151.5,0.83,-27.5,1.0,9231132.0,,,,,,,,,,,,,,,,,0.0,1,9.0,GD,34.0,0,,11077.0,
5,,,,第1节,-27.5,0.83,27.5,0.83,149.5,0.83,149.5,0.83,149.5,1.0,9231132.0,,,,,,,,,,,,,,,,,0.0,1,9.0,GD,34.0,0,,11077.0,
6,,,,第1节,-27.5,0.83,27.5,0.83,149.5,0.83,149.5,0.83,149.5,1.0,9231132.0,,,,,,,,,,,,,,,,,0.0,1,9.0,GD,25.0,0,,21077.0,
7,,,,第1节,-27.5,0.83,27.5,0.83,148.5,0.83,148.5,0.83,148.5,1.0,9231132.0,,,,,,,,,,,,,,,,,0.0,1,9.0,GD,25.0,0,,21077.0,
8,,,,第1节,-27.5,0.83,27.5,0.83,148.5,0.83,148.5,0.83,148.5,1.0,9231132.0,,,,,,,,,,,,,,,,,0.0,1,9.0,GD,20.0,0,,21077.0,
9,,,,第1节,-27.5,0.83,27.5,0.83,148.5,0.83,148.5,0.83,148.5,1.0,9231132.0,,,,,,,,,,,,,,,,,0.0,1,9.0,GD,20.0,0,,11086.0,
10,,,,第1节,-27.5,0.87,27.5,0.8,148.5,0.83,148.5,0.83,148.5,1.0,9231132.0,,,,,,,,,,,,,,,,,0.0,1,9.0,GD,20.0,0,,21077.0,
11,,,,第1节,-27.5,0.87,27.5,0.8,148.5,0.83,148.5,0.83,148.5,1.0,9231132.0,,,,,,,,,,,,,,,,,0.0,1,9.0,GD,20.0,0,,21074.0,
12,,,,第1节,-27.5,0.87,27.5,0.8,148.5,0.83,148.5,0.83,148.5,1.0,9231132.0,,,,,,,,,,,,,,,2.0,0.0,0.0,1,9.0,GD,20.0,0,,11077.0,
