,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,,第2节,-17.5,0.83,17.5,0.83,147.5,0.83,147.5,0.83,,,,,3.0,6.0,8.0,5.0,1.0,6.0,3.0,5,3.0,3.0,20.0,100.0,26.0,34.0,0.0,1,4.0,43.0,0,,21078,0.0,0.0
1,,,,第2节,-17.5,0.83,17.5,0.83,147.5,0.83,147.5,0.83,,,,,3.0,6.0,8.0,5.0,1.0,7.0,3.0,5,3.0,3.0,20.0,100.0,26.0,35.0,0.0,1,4.0,43.0,0,,21079.0,0.0,0.0
2,,,,第2节,-17.5,0.83,17.5,0.83,147.5,0.83,147.5,0.83,,,2:2,,3.0,6.0,8.0,5.0,1.0,7.0,3.0,5,3.0,3.0,20.0,100.0,35.0,26.0,0.0,1,4.0,43.0,0,,21078.0,0.0,0.0
3,,,,第2节,-17.5,0.83,17.5,0.83,147.5,0.83,147.5,0.83,,,2:2,,3.0,6.0,8.0,5.0,1.0,8.0,3.0,5,3.0,3.0,20.0,100.0,35.0,36.0,0.0,1,4.0,43.0,0,,21079.0,0.0,0.0
4,,,,第2节,-17.5,0.83,17.5,0.83,147.5,0.83,147.5,0.83,,,,,3.0,6.0,8.0,5.0,1.0,8.0,3.0,5,3.0,3.0,20.0,100.0,36.0,26.0,0.0,1,4.0,43.0,0,,11077.0,0.0,0.0
5,,,,第2节,-17.5,0.8,17.5,0.87,148.5,0.83,148.5,0.83,148.5,,,,3.0,6.0,8.0,5.0,1.0,8.0,3.0,5,3.0,3.0,20.0,100.0,36.0,26.0,0.0,1,4.0,43.0,0,,11077.0,0.0,0.0
6,,,,第2节,-17.5,0.8,17.5,0.87,148.5,0.83,148.5,0.83,148.5,,,,3.0,6.0,8.0,5.0,1.0,8.0,3.0,5,3.0,3.0,20.0,100.0,36.0,26.0,0.0,1,4.0,33.0,0,,11077.0,0.0,0.0
7,,,,第2节,-17.5,0.87,17.5,0.8,148.5,0.83,148.5,0.83,148.5,,,1.0,3.0,6.0,8.0,5.0,1.0,8.0,3.0,5,3.0,4.0,20.0,100.0,36.0,26.0,0.0,1,4.0,33.0,0,,21086.0,0.0,0.0
8,,,,第2节,-17.5,0.87,17.5,0.8,148.5,0.83,148.5,0.83,148.5,,,1.0,3.0,6.0,8.0,5.0,1.0,8.0,3.0,5,3.0,4.0,20.0,100.0,36.0,26.0,0.0,1,4.0,25.0,0,,11077.0,0.0,0.0
9,,,,第2节,-17.5,0.83,17.5,0.83,147.5,0.83,147.5,0.83,147.5,,,1.0,3.0,6.0,8.0,5.0,1.0,8.0,3.0,5,3.0,4.0,20.0,100.0,36.0,26.0,0.0,1,4.0,25.0,0,,21077.0,0.0,0.0
