,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TO,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,,第1节,-4.5,0.83,4.5,0.83,166.5,0.83,166.5,0.83,,,,,,,,,,,,,,,,,,,0.0,1,10.0,,0.0,0,,,0.0,1.5
1,,,,第1节,-4.5,0.83,4.5,0.83,166.5,0.83,166.5,0.83,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0.0,1,9.0,GD,59.0,0,,1087.0,0.0,1.5
2,,,,第1节,-4.5,0.83,4.5,0.83,166.5,0.83,166.5,0.83,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0.0,1,9.0,GD,59.0,0,,21077.0,0.0,1.5
3,,,,第1节,-4.5,0.83,4.5,0.83,166.5,0.83,166.5,0.83,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0.0,1,9.0,GD,49.0,0,,11077.0,0.0,1.5
4,,,,第1节,-4.5,0.83,4.5,0.83,165.5,0.83,165.5,0.83,165.5,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0.0,1,9.0,GD,49.0,0,,11077.0,0.0,1.5
5,,,,第1节,-4.5,0.83,4.5,0.83,165.5,0.83,165.5,0.83,165.5,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,1.0,0.0,0.0,,,0.0,1,9.0,GD,49.0,0,,21086.0,0.0,1.5
6,,,,第1节,-4.5,0.83,4.5,0.83,165.5,0.83,165.5,0.83,165.5,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,1.0,0.0,0.0,,,0.0,1,9.0,GD,49.0,0,,11077.0,0.0,1.5
7,,,,第1节,-4.5,0.83,4.5,0.83,165.5,0.83,165.5,0.83,165.5,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,1.0,0.0,0.0,,,0.0,1,9.0,GD,44.0,0,,21077.0,0.0,1.5
8,,,,第1节,-4.5,0.83,4.5,0.83,165.5,0.83,165.5,0.83,165.5,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,1.0,1.0,0.0,0.0,,,0.0,1,9.0,GD,44.0,0,,11086.0,0.0,1.5
9,,,,第1节,-4.5,0.83,4.5,0.83,165.5,0.83,165.5,0.83,165.5,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,1.0,1.0,0.0,0.0,,,0.0,1,9.0,GD,37.0,0,,21077.0,0.0,1.5
10,,,,第1节,-4.5,0.83,4.5,0.83,164.5,0.83,164.5,0.83,164.5,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,1.0,1.0,0.0,0.0,,,0.0,1,9.0,GD,37.0,0,,21077.0,0.0,1.5
11,,,,第1节,-4.5,0.83,4.5,0.83,164.5,0.83,164.5,0.83,164.5,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,1.0,1.0,0.0,0.0,,,0.0,1,9.0,GD,23.0,0,,11077.0,0.0,1.5
12,,,,第1节,-4.5,0.83,4.5,0.83,163.5,0.83,163.5,0.83,163.5,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,1.0,1.0,0.0,0.0,,,0.0,1,9.0,GD,23.0,0,,11077.0,0.0,1.5
13,,,,第1节,-4.5,0.83,4.5,0.83,163.5,0.83,163.5,0.83,163.5,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,1.0,1.0,0.0,0.0,,,0.0,1,9.0,GD,15.0,0,,21077.0,0.0,1.5
14,,,,第1节,-4.5,0.83,4.5,0.83,162.5,0.83,162.5,0.83,162.5,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,1.0,1.0,0.0,0.0,,,0.0,1,9.0,GD,15.0,0,,21077.0,0.0,1.5
15,,,,第1节,-4.5,0.83,4.5,0.83,162.5,0.83,162.5,0.83,162.5,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,1.0,1.0,0.0,0.0,,,0.0,1,9.0,GD,5.0,0,,11077.0,0.0,1.5
16,,,,第1节,-4.5,0.83,4.5,0.83,161.5,0.83,161.5,0.83,161.5,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,1.0,1.0,0.0,0.0,,,0.0,1,9.0,GD,5.0,0,,11077.0,0.0,1.5
17,,,,第1节,-4.5,0.83,4.5,0.83,161.5,0.83,161.5,0.83,161.5,1.0,,,1.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,1.0,1.0,0.0,0.0,3.0,,0.0,1,9.0,GD,5.0,0,,11075.0,0.0,1.5
18,,,,第1节,-4.5,0.83,4.5,0.83,161.5,0.83,161.5,0.83,161.5,1.0,,,1.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,1,9.0,GD,5.0,0,,21077.0,0.0,1.5
19,,,,第1节,-4.5,0.83,4.5,0.83,161.5,0.83,161.5,0.83,161.5,1.0,,,1.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,1,9.0,GD,3.0,0,,21077.0,0.0,1.5
20,,,,第1节,-4.5,0.83,2.5,0.83,161.5,0.83,161.5,0.83,2.5,1.0,,,1.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,1,9.0,GD,3.0,0,,21077.0,0.0,1.5
21,,,,第1节,-2.5,0.83,2.5,0.83,161.5,0.83,165.5,0.83,-2.5,1.0,,,1.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,1,9.0,GD,3.0,0,,21077.0,0.0,1.5
22,,,,第1节,-2.5,0.83,2.5,0.83,165.5,0.83,165.5,0.83,165.5,1.0,,,1.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,1,9.0,GD,3.0,0,,21077.0,0.0,1.5
23,,,,第1节,-2.5,0.83,2.5,0.83,165.5,0.83,165.5,0.83,165.5,1.0,,,1.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,1,8.0,GD,55.0,0,,21077.0,0.66,1.1
