,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,第4节,11.5,0.87,-11.5,0.8,140.5,0.83,140.5,0.83,,,,,5.0,7.0,15.0,12.0,13.0,2.0,2.0,2.0,0.0,0.0,61.9,40.0,58.0,47.0,0.0,1,9.0,5.0,0,,11081,0.0,0.0
1,,,第4节,11.5,0.87,-11.5,0.8,140.5,0.83,140.5,0.83,,,,,5.0,7.0,15.0,12.0,13.0,2.0,2.0,2.0,0.0,0.0,61.9,40.0,58.0,47.0,0.0,1,9.0,5.0,0,,11094.0,0.0,0.0
2,,,第4节,11.5,0.83,-11.5,0.83,138.5,0.83,138.5,0.83,138.5,,,,5.0,7.0,15.0,12.0,13.0,2.0,2.0,2.0,0.0,0.0,61.9,40.0,58.0,47.0,0.0,1,9.0,5.0,0,,21077.0,0.0,0.0
3,,,第4节,11.5,0.83,-11.5,0.83,138.5,0.83,138.5,0.83,138.5,,,,5.0,7.0,15.0,12.0,13.0,2.0,2.0,2.0,0.0,0.0,61.9,40.0,58.0,47.0,0.0,1,8.0,41.0,0,,21077.0,0.0,0.0
4,,,第4节,11.5,0.83,-11.5,0.83,138.5,0.83,138.5,0.83,138.5,,,,5.0,7.0,15.0,12.0,13.0,2.0,2.0,2.0,0.0,0.0,61.9,40.0,58.0,47.0,0.0,1,8.0,41.0,0,,21077.0,0.0,0.0
5,,,第4节,11.5,0.83,-11.5,0.83,138.5,0.83,138.5,0.83,138.5,,,,5.0,7.0,15.0,12.0,13.0,2.0,2.0,2.0,0.0,0.0,61.9,40.0,58.0,47.0,0.0,1,8.0,37.0,0,,21077.0,0.0,0.0
6,,,第4节,11.5,0.87,-11.5,0.8,138.5,0.71,138.5,1.0,138.5,,,,5.0,7.0,15.0,12.0,13.0,2.0,2.0,2.0,0.0,0.0,61.9,40.0,58.0,47.0,0.0,1,8.0,37.0,0,,11077.0,0.0,0.0
7,,,第4节,11.5,0.87,-11.5,0.8,138.5,0.71,138.5,1.0,138.5,,,,5.0,7.0,15.0,12.0,13.0,2.0,2.0,2.0,0.0,0.0,61.9,40.0,58.0,47.0,0.0,1,8.0,37.0,0,,11095.0,0.0,0.0
8,,,第4节,11.5,0.87,-11.5,0.8,138.5,0.71,138.5,1.0,138.5,,,,5.0,7.0,15.0,12.0,13.0,2.0,2.0,2.0,0.0,0.0,61.9,40.0,58.0,47.0,0.0,1,8.0,7.0,0,,21077.0,0.0,0.0
9,,,第4节,11.5,0.8,-11.5,0.87,135.5,1.0,135.5,0.71,135.5,,,,5.0,7.0,15.0,12.0,13.0,2.0,2.0,2.0,0.0,0.0,61.9,40.0,58.0,47.0,0.0,1,8.0,7.0,0,,21077.0,0.0,0.0
