,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,,第1节,-6.5,0.83,6.5,0.83,145.5,0.83,145.5,0.83,,,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,9.0,51.0,0,,21077,0.0,0.0
1,,,,第1节,-6.5,0.83,6.5,0.83,145.5,0.83,145.5,0.83,,,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,9.0,23.0,0,,21077,0.0,0.0
2,,,,第1节,-6.5,0.83,6.5,0.83,143.5,0.83,143.5,0.83,143.5,,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,9.0,23.0,0,,11077.0,0.0,0.0
3,,,,第1节,-6.5,0.83,6.5,0.83,143.5,0.83,141.5,0.83,143.5,,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,9.0,23.0,0,,11077.0,0.0,0.0
4,,,,第1节,-6.5,0.83,6.5,0.83,141.5,0.83,141.5,0.83,141.5,,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,9.0,23.0,0,,11077.0,0.0,0.0
5,,,,第1节,-6.5,0.83,6.5,0.83,141.5,0.83,141.5,0.83,141.5,,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,8.0,59.0,0,,11077.0,0.0,0.0
6,,,,第1节,-6.5,0.8,4.5,0.87,141.5,0.83,141.5,0.83,4.5,,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,8.0,59.0,0,,11077.0,0.0,0.0
7,,,,第1节,-4.5,0.8,4.5,0.87,141.5,0.83,144.5,0.83,-4.5,,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,8.0,59.0,0,,11077.0,0.0,0.0
8,,,,第1节,-4.5,0.8,4.5,0.87,144.5,0.83,144.5,0.83,144.5,,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,8.0,59.0,0,,11077.0,0.0,0.0
9,,,,第1节,-4.5,0.8,4.5,0.87,144.5,0.83,144.5,0.83,144.5,,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,8.0,58.0,0,,11077.0,0.45,0.0
