,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,,第3节,2.5,0.83,-2.5,0.83,187.5,0.83,187.5,0.83,,,,,1.0,9.0,16.0,9.0,12.0,3.0,2.0,3.0,0.0,1.0,75.0,100.0,47.0,48.0,0.0,1,9.0,34.0,0,,11077,1.25,0.0
1,,,,第3节,2.5,0.87,-2.5,0.8,187.5,0.83,187.5,0.83,,,1:1,,1.0,9.0,16.0,9.0,12.0,3.0,2.0,3.0,0.0,1.0,75.0,100.0,47.0,48.0,0.0,1,9.0,34.0,0,,11078.0,1.25,0.0
2,,,,第3节,2.5,0.8,-3.5,0.87,187.5,0.83,187.5,0.83,-3.5,,1:1,,1.0,9.0,16.0,9.0,12.0,3.0,2.0,3.0,0.0,1.0,75.0,100.0,47.0,48.0,0.0,1,9.0,34.0,0,,11078.0,1.25,0.0
3,,,,第3节,3.5,0.8,-3.5,0.87,187.5,0.83,187.5,0.83,3.5,,1:1,,1.0,9.0,16.0,9.0,13.0,3.0,2.0,3.0,0.0,1.0,76.5,100.0,48.0,48.0,0.0,1,9.0,34.0,0,,11079.0,0.0,0.0
4,,,,第3节,3.5,0.8,-3.5,0.87,187.5,0.83,187.5,0.83,3.5,,,,1.0,9.0,16.0,9.0,13.0,3.0,2.0,3.0,0.0,1.0,76.5,100.0,48.0,48.0,0.0,1,9.0,34.0,0,,21077.0,0.0,0.0
5,,,,第3节,3.5,0.83,-3.5,0.83,188.5,0.83,188.5,0.83,188.5,,,,1.0,9.0,16.0,9.0,13.0,3.0,2.0,3.0,0.0,1.0,76.5,100.0,48.0,48.0,0.0,1,9.0,34.0,0,,21077.0,0.0,0.0
6,,,,第3节,3.5,0.83,-3.5,0.83,188.5,0.83,188.5,0.83,188.5,,,,1.0,10.0,16.0,9.0,13.0,3.0,2.0,3.0,0.0,1.0,76.5,100.0,48.0,51.0,0.0,1,9.0,34.0,0,,21075.0,1.5,0.0
7,,,,第3节,3.5,0.83,-3.5,0.83,188.5,0.83,188.5,0.83,188.5,,,,1.0,10.0,16.0,9.0,13.0,3.0,2.0,3.0,0.0,1.0,76.5,100.0,51.0,48.0,0.0,1,9.0,20.0,0,,11077.0,1.5,0.0
8,,,,第3节,3.5,0.8,-1.5,0.87,188.5,0.83,188.5,0.83,-1.5,,,,1.0,10.0,16.0,9.0,13.0,3.0,2.0,3.0,0.0,1.0,76.5,100.0,51.0,48.0,0.0,1,9.0,20.0,0,,11077.0,1.5,0.0
9,,,,第3节,1.5,0.8,-1.5,0.87,188.5,0.83,191.5,0.83,1.5,,,,1.0,10.0,16.0,9.0,13.0,3.0,2.0,3.0,0.0,1.0,76.5,100.0,51.0,48.0,0.0,1,9.0,20.0,0,,11077.0,1.5,0.0
