,ED,HASA,HASA_ODD,HASH,HASH_ODD,HD,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
0,第4节,31.5,0.87,-31.5,0.8,,10,3,23,19,15,13,5,5,5,4,57.7,81.2,91,60,0,1,0,48.0,0,,11077
1,第4节,31.5,0.87,-31.5,0.8,,10,3,23,19,15,13,5,5,5,4,57.7,81.2,91,60,0,1,0,30.0,0,,11077
2,第4节,31.5,0.87,-30.5,0.8,-30.5,10,3,23,19,15,13,5,5,5,4,57.7,81.2,91,60,0,1,0,30.0,0,,21077.0
3,第4节,30.5,0.87,-30.5,0.8,30.5,10,3,23,19,15,13,5,5,5,4,57.7,81.2,91,60,0,1,0,22.0,0,,21077.0
4,第4节,30.5,0.87,-30.5,0.8,30.5,10,3,23,19,15,13,5,5,5,4,57.7,81.2,91,60,0,1,0,22.0,0,,21077.0
5,第4节,30.5,0.87,-30.5,0.8,30.5,10,3,23,19,15,13,5,5,5,4,57.7,81.2,91,60,0,1,0,11.0,0,,21077.0
6,第4节,30.5,0.87,-31.5,0.8,-31.5,10,3,23,19,15,13,5,5,5,4,57.7,81.2,91,60,0,1,0,11.0,0,,21077.0
7,第4节,31.5,0.87,-31.5,0.8,31.5,10,3,23,19,15,13,5,5,5,4,57.7,81.2,91,60,0,1,0,11.0,0,,11077.0
8,第4节,31.5,0.87,-31.5,0.8,31.5,10,3,23,19,15,13,5,5,5,4,57.7,81.2,91,60,0,1,0,11.0,0,,11074.0
9,第4节,31.5,0.87,-31.5,0.8,31.5,10,3,23,19,15,13,5,5,5,4,57.7,81.2,60,93,0,1,0,7.0,0,,21077.0
10,第4节,31.5,0.87,-32.5,0.8,-32.5,10,3,23,19,15,13,5,5,5,4,57.7,81.2,60,93,0,1,0,7.0,0,,21077.0
11,第4节,32.5,0.87,-32.5,0.8,32.5,10,3,23,19,15,13,5,5,5,4,57.7,81.2,60,93,0,1,0,0.0,0,,21077.0
12,第4节,32.5,0.87,-32.5,0.8,32.5,10,3,23,19,15,13,5,5,5,4,57.7,81.2,60,93,0,1,0,0.0,0,,1084.0
