,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,,第3节,-17.5,0.87,17.5,0.8,180.5,0.83,180.5,0.83,,,,,2.0,5.0,18.0,17.0,8.0,14.0,4.0,3.0,3.0,2.0,61.5,82.4,49.0,63.0,0.0,1,5.0,29.0,0,,11077,0.0,0.0
1,,,,第3节,-17.5,0.87,17.5,0.8,180.5,0.83,180.5,0.83,,,,,2.0,5.0,18.0,17.0,8.0,14.0,4.0,3.0,3.0,2.0,61.5,82.4,49.0,63.0,0.0,1,5.0,18.0,0,,21077.0,0.0,0.0
2,,,,第3节,-17.5,0.87,18.5,0.8,180.5,0.83,180.5,0.83,18.5,,,,2.0,5.0,18.0,17.0,8.0,14.0,4.0,3.0,3.0,2.0,61.5,82.4,49.0,63.0,0.0,1,5.0,18.0,0,,21077.0,0.0,0.0
3,,,,第3节,-18.5,0.87,18.5,0.8,180.5,0.83,179.5,0.83,-18.5,,,,2.0,5.0,18.0,17.0,8.0,14.0,4.0,3.0,3.0,2.0,61.5,82.4,49.0,63.0,0.0,1,5.0,18.0,0,,21077.0,0.0,0.0
4,,,,第3节,-18.5,0.87,18.5,0.8,179.5,0.83,179.5,0.83,179.5,,,,2.0,5.0,18.0,17.0,8.0,14.0,4.0,3.0,3.0,2.0,61.5,82.4,49.0,63.0,0.0,1,5.0,18.0,0,,21077.0,0.0,0.0
5,,,,第3节,-18.5,0.87,18.5,0.8,179.5,0.83,179.5,0.83,179.5,,,,2.0,5.0,18.0,17.0,8.0,14.0,4.0,3.0,3.0,2.0,61.5,82.4,49.0,63.0,0.0,1,5.0,6.0,0,,21077.0,0.0,0.0
6,,,,第3节,-18.5,0.77,16.5,0.91,179.5,0.83,179.5,0.83,16.5,,,,2.0,5.0,18.0,17.0,8.0,14.0,4.0,3.0,3.0,2.0,61.5,82.4,49.0,63.0,0.0,1,5.0,6.0,0,,11077.0,0.0,0.0
7,,,,第3节,-16.5,0.77,16.5,0.91,179.5,0.83,178.5,0.83,-16.5,,,,2.0,5.0,18.0,17.0,8.0,14.0,4.0,3.0,3.0,2.0,61.5,82.4,49.0,63.0,0.0,1,5.0,6.0,0,,11077.0,0.0,0.0
8,,,,第3节,-16.5,0.77,16.5,0.91,178.5,0.83,178.5,0.83,178.5,,,,2.0,5.0,18.0,17.0,8.0,14.0,4.0,3.0,3.0,2.0,61.5,82.4,49.0,63.0,0.0,1,5.0,6.0,0,,11077.0,0.0,0.0
9,,,,第3节,-16.5,0.8,16.5,0.87,178.5,0.83,177.5,0.83,178.5,,,,2.0,5.0,18.0,17.0,8.0,14.0,4.0,3.0,3.0,2.0,61.5,82.4,49.0,63.0,0.0,1,5.0,6.0,0,,11077.0,0.0,0.0
10,,,,第3节,-16.5,0.8,16.5,0.87,177.5,0.83,177.5,0.83,177.5,,,,2.0,5.0,18.0,17.0,8.0,14.0,4.0,3.0,3.0,2.0,61.5,82.4,49.0,63.0,0.0,1,5.0,6.0,0,,11077.0,0.0,0.0
11,,,,第3节,-16.5,0.8,16.5,0.87,177.5,0.83,177.5,0.83,177.5,,,,2.0,5.0,18.0,17.0,8.0,14.0,4.0,3.0,3.0,2.0,61.5,82.4,49.0,63.0,0.0,1,4.0,55.0,0,,11077.0,0.0,0.0
12,,,,第3节,-16.5,0.8,16.5,0.87,177.5,0.83,177.5,0.83,177.5,,,,2.0,5.0,18.0,17.0,8.0,14.0,4.0,3.0,3.0,2.0,61.5,82.4,49.0,63.0,0.0,1,4.0,55.0,0,,11077.0,0.0,0.0
13,,,,第3节,-16.5,0.8,16.5,0.87,177.5,0.83,177.5,0.83,177.5,,,,2.0,5.0,18.0,17.0,8.0,14.0,4.0,3.0,3.0,2.0,61.5,82.4,49.0,63.0,0.0,1,4.0,54.0,0,,11077.0,0.0,0.0
14,,,,第3节,-16.5,0.8,17.5,0.87,177.5,0.83,177.5,0.83,17.5,,,,2.0,5.0,18.0,17.0,8.0,14.0,4.0,3.0,3.0,2.0,61.5,82.4,49.0,63.0,0.0,1,4.0,54.0,0,,21077.0,0.0,0.0
15,,,,第3节,-17.5,0.8,17.5,0.87,177.5,0.83,177.5,0.83,-17.5,,,,2.0,5.0,18.0,17.0,8.0,14.0,4.0,3.0,3.0,2.0,61.5,82.4,49.0,63.0,0.0,0.0,5.0,33.0,0,,21077.0,0.0,0.0
16,,,,第3节,-17.5,0.8,17.5,0.87,177.5,0.83,177.5,0.83,-17.5,,,,2.0,5.0,18.0,17.0,8.0,14.0,4.0,3.0,3.0,2.0,61.5,82.4,49.0,63.0,0.0,0.0,5.0,33.0,0,,21077.0,0.0,0.0
17,,,,第3节,-17.5,0.8,17.5,0.87,177.5,0.83,177.5,0.83,-17.5,,,,2.0,5.0,18.0,17.0,8.0,14.0,4.0,3.0,3.0,2.0,61.5,82.4,49.0,63.0,0.0,1.0,4.0,39.0,0,,21077.0,0.0,0.0
18,,,,第3节,-17.5,0.8,17.5,0.87,176.5,0.83,176.5,0.83,176.5,,,,2.0,5.0,18.0,17.0,8.0,14.0,4.0,3.0,3.0,2.0,61.5,82.4,49.0,63.0,0.0,1.0,4.0,39.0,0,,21077.0,0.0,0.0
19,,,,第3节,-17.5,0.8,17.5,0.87,176.5,0.83,176.5,0.83,176.5,,,,2.0,5.0,18.0,17.0,8.0,14.0,4.0,3.0,3.0,2.0,61.5,82.4,49.0,63.0,0.0,1.0,4.0,23.0,0,,21077.0,0.0,0.0
20,,,,第3节,-17.5,0.8,16.5,0.87,176.5,0.83,176.5,0.83,16.5,,,,2.0,5.0,18.0,17.0,8.0,14.0,4.0,3.0,3.0,2.0,61.5,82.4,49.0,63.0,0.0,1.0,4.0,23.0,0,,11077.0,0.0,0.0
21,,,,第3节,-16.5,0.8,16.5,0.87,176.5,0.83,174.5,0.83,-16.5,,,,2.0,5.0,18.0,17.0,8.0,14.0,4.0,3.0,3.0,2.0,61.5,82.4,49.0,63.0,0.0,1.0,4.0,23.0,0,,11077.0,0.0,0.0
22,,,,第3节,-16.5,0.8,16.5,0.87,174.5,0.83,174.5,0.83,174.5,,,,2.0,5.0,18.0,17.0,8.0,14.0,4.0,3.0,3.0,2.0,61.5,82.4,49.0,63.0,0.0,1.0,4.0,23.0,0,,11077.0,0.0,0.0
23,,,,第3节,-16.5,0.8,16.5,0.87,174.5,0.83,174.5,0.83,174.5,,,,2.0,5.0,18.0,17.0,8.0,14.0,4.0,3.0,3.0,2.0,61.5,82.4,49.0,63.0,0.0,1.0,4.0,21.0,0,,11077.0,0.0,0.0
24,,,,第3节,-16.5,0.8,16.5,0.87,174.5,0.83,174.5,0.83,174.5,,,,2.0,5.0,19.0,17.0,8.0,14.0,4.0,3.0,3.0,2.0,61.5,82.4,51.0,63.0,0.0,1.0,4.0,21.0,0,,11074.0,0.0,0.0
25,,,,第3节,-16.5,0.8,16.5,0.87,174.5,0.83,174.5,0.83,174.5,,,,2.0,5.0,19.0,17.0,8.0,14.0,4.0,3.0,3.0,2.0,61.5,82.4,63.0,51.0,0.0,1.0,4.0,11.0,0,,21077.0,0.0,0.0
26,,,,第3节,-16.5,0.8,15.5,0.87,174.5,0.83,174.5,0.83,15.5,,,,2.0,5.0,19.0,17.0,8.0,14.0,4.0,3.0,3.0,2.0,61.5,82.4,63.0,51.0,0.0,1.0,4.0,11.0,0,,21077.0,0.0,0.0
27,,,,第3节,-15.5,0.8,15.5,0.87,174.5,0.83,176.5,0.83,-15.5,,,,2.0,5.0,19.0,17.0,8.0,14.0,4.0,3.0,3.0,2.0,61.5,82.4,63.0,51.0,0.0,1.0,4.0,11.0,0,,21077.0,0.0,0.0
28,,,,第3节,-15.5,0.8,15.5,0.87,176.5,0.83,176.5,0.83,176.5,,,,2.0,5.0,19.0,17.0,8.0,14.0,4.0,3.0,3.0,2.0,61.5,82.4,63.0,51.0,0.0,1.0,4.0,11.0,0,,21077.0,0.0,0.0
29,,,,第3节,-15.5,0.8,15.5,0.87,176.5,0.83,176.5,0.83,176.5,,,,2.0,6.0,19.0,17.0,8.0,14.0,4.0,3.0,3.0,2.0,61.5,82.4,63.0,66.0,0.0,1.0,4.0,11.0,0,,21075.0,0.0,0.0
30,,,,第3节,-15.5,0.8,15.5,0.87,176.5,0.83,176.5,0.83,176.5,,,,2.0,6.0,19.0,17.0,8.0,14.0,4.0,3.0,3.0,2.0,61.5,82.4,66.0,51.0,0.0,1.0,4.0,11.0,0,,11077.0,0.0,0.0
31,,,,第3节,-15.5,0.8,15.5,0.87,176.5,0.83,176.5,0.83,176.5,,,,2.0,6.0,19.0,17.0,8.0,14.0,4.0,3.0,3.0,2.0,61.5,82.4,66.0,51.0,0.0,1.0,3.0,51.0,0,,11077.0,0.0,0.0
32,,,,第3节,-15.5,0.83,17.5,0.83,176.5,0.83,176.5,0.83,17.5,,,,2.0,6.0,19.0,17.0,8.0,14.0,4.0,3.0,3.0,2.0,61.5,82.4,66.0,51.0,0.0,1.0,3.0,51.0,0,,11077.0,0.0,0.0
33,,,,第3节,-17.5,0.83,17.5,0.83,176.5,0.83,177.5,0.83,-17.5,,,,2.0,6.0,19.0,17.0,8.0,14.0,4.0,3.0,3.0,2.0,61.5,82.4,66.0,51.0,0.0,1.0,3.0,51.0,0,,11077.0,0.0,0.0
34,,,,第3节,-17.5,0.83,17.5,0.83,177.5,0.83,177.5,0.83,177.5,,,,2.0,6.0,19.0,17.0,8.0,14.0,4.0,3.0,3.0,2.0,61.5,82.4,66.0,51.0,0.0,1.0,3.0,51.0,0,,11077.0,0.0,0.0
35,,,,第3节,-17.5,0.83,17.5,0.83,177.5,0.83,176.5,0.83,177.5,,,,2.0,6.0,19.0,17.0,8.0,14.0,4.0,3.0,3.0,2.0,61.5,82.4,66.0,51.0,0.0,1.0,3.0,51.0,0,,11077.0,0.0,0.0
36,,,,第3节,-17.5,0.83,17.5,0.83,176.5,0.83,176.5,0.83,176.5,,,,2.0,6.0,19.0,17.0,8.0,14.0,4.0,3.0,3.0,2.0,61.5,82.4,66.0,51.0,0.0,1.0,3.0,51.0,0,,11077.0,0.0,0.0
37,,,,第3节,-17.5,0.83,17.5,0.83,176.5,0.83,176.5,0.83,176.5,,,,2.0,6.0,19.0,17.0,8.0,14.0,4.0,3.0,3.0,2.0,61.5,82.4,66.0,51.0,0.0,1.0,3.0,37.0,0,,11077.0,0.0,0.0
38,,,,第3节,-17.5,0.83,18.5,0.83,176.5,0.83,176.5,0.83,18.5,,,,2.0,6.0,19.0,17.0,8.0,14.0,4.0,3.0,3.0,2.0,61.5,82.4,66.0,51.0,0.0,1.0,3.0,37.0,0,,11077.0,0.0,0.0
39,,,,第3节,-18.5,0.83,18.5,0.83,176.5,0.83,175.5,0.83,-18.5,,,,2.0,6.0,19.0,17.0,8.0,14.0,4.0,3.0,3.0,2.0,61.5,82.4,66.0,51.0,0.0,1.0,3.0,37.0,0,,11077.0,0.0,0.0
40,,,,第3节,-18.5,0.83,18.5,0.83,175.5,0.83,175.5,0.83,175.5,,,,2.0,6.0,19.0,17.0,8.0,14.0,4.0,3.0,3.0,2.0,61.5,82.4,66.0,51.0,0.0,1.0,3.0,37.0,0,,11077.0,0.0,0.0
41,,,,第3节,-18.5,0.83,18.5,0.83,175.5,0.83,175.5,0.83,175.5,,,,2.0,6.0,19.0,17.0,8.0,14.0,4.0,3.0,3.0,2.0,61.5,82.4,66.0,51.0,0.0,1.0,3.0,23.0,0,,11077.0,0.0,0.0
