,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TO,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,,第1节,1.5,0.8,-1.5,0.87,168.5,0.83,168.5,0.83,,,,,,,,,,,,,,,,,,,0.0,1,10.0,,0.0,0,,,0.87,0.8
1,,,,第1节,1.5,0.8,-1.5,0.87,168.5,0.83,168.5,0.83,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,,,0.0,1,10.0,GD,0.0,1.0,20180709220317.0,1087.0,0.87,0.8
2,,,,第1节,1.5,0.8,-1.5,0.87,167.5,0.83,167.5,0.83,167.5,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,,,0.0,1,10.0,GD,0.0,1.0,20180709220317.0,11077.0,0.87,0.8
3,,,,第1节,1.5,0.8,-1.5,0.87,167.5,0.83,166.5,0.83,167.5,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,,,0.0,1,10.0,GD,0.0,1.0,20180709220317.0,21077.0,0.87,0.8
4,,,,第1节,1.5,0.8,-1.5,0.87,166.5,0.83,166.5,0.83,166.5,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,,,0.0,1,10.0,GD,0.0,1.0,20180709220317.0,21077.0,0.87,0.8
5,,,,第1节,1.5,0.8,-1.5,0.87,166.5,0.83,165.5,0.83,166.5,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,,,0.0,1,10.0,GD,0.0,1.0,20180709220317.0,11077.0,0.87,0.8
6,,,,第1节,1.5,0.8,-1.5,0.87,165.5,0.83,165.5,0.83,165.5,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,,,0.0,1,10.0,GD,0.0,1.0,20180709220317.0,11077.0,0.87,0.8
7,,,,第1节,1.5,0.8,-1.5,0.87,165.5,0.83,165.5,0.83,165.5,1.0,,,0.0,0.0,1.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,2.0,,0.0,1,10.0,GD,0.0,1.0,20180709220317.0,11074.0,0.87,0.8
8,,,,第1节,1.5,0.8,-1.5,0.87,167.5,0.83,167.5,0.83,167.5,1.0,,,0.0,0.0,1.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,2.0,,0.0,1,10.0,GD,0.0,1.0,20180709220317.0,21077.0,0.87,0.8
9,,,,第1节,1.5,0.8,-1.5,0.87,167.5,0.83,167.5,0.83,167.5,1.0,,,0.0,0.0,1.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,2.0,,0.0,1,10.0,GD,0.0,1.0,20180709220317.0,21077.0,0.87,0.8
10,,,,第1节,1.5,0.8,-2.5,0.87,167.5,0.83,167.5,0.83,-2.5,1.0,,,0.0,0.0,1.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,2.0,,0.0,1,10.0,GD,0.0,1.0,20180709220317.0,21077.0,0.87,0.8
11,,,,第1节,2.5,0.8,-2.5,0.87,167.5,0.83,167.5,0.83,2.5,1.0,,,0.0,0.0,1.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1,10.0,GD,0.0,1.0,20180709220317.0,11077.0,1.1,0.66
12,,,,第1节,2.5,0.8,-2.5,0.87,167.5,0.83,167.5,0.83,2.5,1.0,,,0.0,0.0,1.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,1,10.0,GD,0.0,1.0,20180709220317.0,21077.0,1.1,0.66
13,,,,第1节,2.5,0.8,-2.5,0.87,167.5,0.83,167.5,0.83,2.5,1.0,,,0.0,0.0,1.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1,10.0,GD,0.0,1.0,20180709220317.0,21077.0,1.1,0.66
14,,,,第1节,2.5,0.8,-2.5,0.87,168.5,0.83,168.5,0.83,168.5,1.0,,,0.0,0.0,1.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1,10.0,GD,0.0,1.0,20180709220317.0,21077.0,1.1,0.66
