,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TO,TS,TT,TU,VC
0,,,,第1节,25.5,0.83,-25.5,0.83,121.5,0.83,121.5,0.83,,,,,,,,,,,,,,,,,,,0.0,1,10.0,,0.0,0,,
1,,,,第1节,25.5,0.83,-25.5,0.83,121.5,0.83,121.5,0.83,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0.0,1,9.0,GD,59.0,0,,1087.0
2,,,,第1节,25.5,0.83,-25.5,0.83,121.5,0.83,121.5,0.83,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0,,0.0,1,9.0,GD,59.0,0,,11077.0
3,,,,第1节,25.5,0.83,-25.5,0.83,121.5,0.83,121.5,0.83,,1.0,,,0.0,0.0,1.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0,,0.0,1,9.0,GD,59.0,0,,11074.0
4,,,,第1节,25.5,0.83,-25.5,0.83,121.5,0.83,121.5,0.83,,1.0,,,0.0,0.0,1.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1,9.0,GD,59.0,0,,21077.0
5,,,,第1节,25.5,0.8,-27.5,0.87,121.5,0.83,121.5,0.83,-27.5,1.0,,,0.0,0.0,1.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1,9.0,GD,59.0,0,,21077.0
6,,,,第1节,27.5,0.8,-27.5,0.87,121.5,0.83,123.5,0.83,27.5,1.0,,,0.0,0.0,1.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1,9.0,GD,59.0,0,,21077.0
7,,,,第1节,27.5,0.8,-27.5,0.87,123.5,0.83,123.5,0.83,123.5,1.0,,,0.0,0.0,1.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1,9.0,GD,59.0,0,,21077.0
8,,,,第1节,27.5,0.8,-27.5,0.87,123.5,0.83,123.5,0.83,123.5,1.0,,,0.0,0.0,1.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1,9.0,GD,54.0,0,,21077.0
9,,,,第1节,27.5,0.8,-27.5,0.87,123.5,0.83,123.5,0.83,123.5,1.0,,,0.0,0.0,1.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1,9.0,GD,54.0,0,,21077.0
10,,,,第1节,27.5,0.8,-27.5,0.87,123.5,0.83,123.5,0.83,123.5,1.0,,,0.0,0.0,1.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1,9.0,GD,53.0,0,,21077.0
11,,,,第1节,27.5,0.8,-27.5,0.87,123.5,0.83,123.5,0.83,123.5,1.0,,,0.0,0.0,1.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1,9.0,GD,53.0,0,,21074.0
12,,,,第1节,27.5,0.8,-27.5,0.87,123.5,0.83,123.5,0.83,123.5,1.0,,,0.0,0.0,1.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1,9.0,GD,40.0,0,,11077.0
13,,,,第1节,27.5,0.83,-25.5,0.83,123.5,0.83,123.5,0.83,-25.5,1.0,,,0.0,0.0,1.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1,9.0,GD,40.0,0,,11077.0
14,,,,第1节,25.5,0.83,-25.5,0.83,123.5,0.83,125.5,0.83,25.5,1.0,,,0.0,0.0,1.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1,9.0,GD,40.0,0,,11077.0
15,,,,第1节,25.5,0.83,-25.5,0.83,125.5,0.83,125.5,0.83,125.5,1.0,,,0.0,0.0,1.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1,9.0,GD,40.0,0,,11077.0
16,,,,第1节,25.5,0.83,-25.5,0.83,125.5,0.83,125.5,0.83,125.5,1.0,,,0.0,0.0,1.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1,9.0,GD,39.0,0,,11077.0
17,,,,第1节,25.5,0.83,-25.5,0.83,125.5,0.83,125.5,0.83,125.5,1.0,,,0.0,0.0,1.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1,9.0,GD,39.0,0,,11077.0
18,,,,第1节,25.5,0.83,-25.5,0.83,125.5,0.83,125.5,0.83,125.5,1.0,,,0.0,0.0,1.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1,9.0,GD,23.0,0,,11077.0
19,,,,第1节,25.5,0.83,-25.5,0.83,124.5,0.83,124.5,0.83,124.5,1.0,,,0.0,0.0,1.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1,9.0,GD,23.0,0,,11077.0
20,,,,第1节,25.5,0.83,-25.5,0.83,124.5,0.83,124.5,0.83,124.5,1.0,,,0.0,0.0,2.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,1,9.0,GD,23.0,0,,11074.0
21,,,,第1节,25.5,0.83,-26.5,0.83,124.5,0.83,124.5,0.83,-26.5,1.0,,,0.0,0.0,2.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,1,9.0,GD,23.0,0,,21077.0
22,,,,第1节,26.5,0.83,-26.5,0.83,124.5,0.83,124.5,0.83,26.5,1.0,,,0.0,0.0,2.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,1,9.0,GD,23.0,0,,21077.0
23,,,,第1节,26.5,0.83,-26.5,0.83,126.5,0.83,126.5,0.83,126.5,1.0,,,0.0,0.0,2.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,1,9.0,GD,23.0,0,,21077.0
24,,,,第1节,26.5,0.83,-26.5,0.83,126.5,0.83,126.5,0.83,126.5,1.0,,,0.0,0.0,2.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,1,9.0,GD,17.0,0,,21077.0
25,,,,第1节,26.5,0.83,-26.5,0.83,126.5,0.83,126.5,0.83,126.5,1.0,,,0.0,0.0,2.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,1,9.0,GD,17.0,0,,21077.0
26,,,,第1节,26.5,0.83,-26.5,0.83,126.5,0.83,126.5,0.83,126.5,1.0,,,0.0,0.0,2.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,1,9.0,GD,15.0,0,,21077.0
27,,,,第1节,26.5,0.83,-26.5,0.83,126.5,0.83,126.5,0.83,126.5,1.0,,,0.0,0.0,2.0,2.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,1,9.0,GD,15.0,0,,21074.0
28,,,,第1节,26.5,0.83,-26.5,0.83,126.5,0.83,126.5,0.83,126.5,1.0,,,0.0,0.0,2.0,2.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,1,9.0,GD,15.0,0,,11077.0
29,,,,第1节,26.5,0.83,-26.5,0.83,126.5,0.83,126.5,0.83,126.5,1.0,,,0.0,0.0,2.0,2.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,1,8.0,GD,56.0,0,,11077.0
30,,,,第1节,26.5,0.87,-24.5,0.8,126.5,0.83,126.5,0.83,-24.5,1.0,,,0.0,0.0,2.0,2.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,1,8.0,GD,56.0,0,,11077.0
31,,,,第1节,24.5,0.87,-24.5,0.8,126.5,0.83,127.5,0.83,24.5,1.0,,,0.0,0.0,2.0,2.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,1,8.0,GD,56.0,0,,11077.0
32,,,,第1节,24.5,0.87,-24.5,0.8,127.5,0.83,127.5,0.83,127.5,1.0,,,0.0,0.0,2.0,2.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,1,8.0,GD,56.0,0,,11077.0
33,,,,第1节,24.5,0.87,-24.5,0.8,127.5,0.83,127.5,0.83,127.5,1.0,,,0.0,0.0,2.0,2.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,1,8.0,GD,55.0,0,,11077.0
34,,,,第1节,24.5,0.87,-24.5,0.8,127.5,0.83,127.5,0.83,127.5,1.0,,,0.0,0.0,2.0,2.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,1,8.0,GD,55.0,0,,11077.0
35,,,,第1节,24.5,0.87,-24.5,0.8,127.5,0.83,127.5,0.83,127.5,1.0,,,0.0,0.0,2.0,2.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,1,8.0,GD,38.0,0,,11077.0
36,,,,第1节,24.5,0.83,-24.5,0.83,126.5,0.83,126.5,0.83,126.5,1.0,,,0.0,0.0,2.0,2.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,1,8.0,GD,38.0,0,,11077.0
37,,,,第1节,24.5,0.83,-24.5,0.83,126.5,0.83,126.5,0.83,126.5,1.0,,,0.0,0.0,3.0,2.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0,1,8.0,GD,38.0,0,,11074.0
38,,,,第1节,24.5,0.83,-24.5,0.83,126.5,0.83,126.5,0.83,126.5,1.0,,,0.0,0.0,3.0,2.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,4.0,6.0,0.0,1,8.0,GD,38.0,0,,21077.0
39,,,,第1节,24.5,0.83,-24.5,0.83,126.5,0.83,126.5,0.83,126.5,1.0,,,0.0,0.0,3.0,2.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,4.0,6.0,0.0,1,8.0,GD,29.0,0,,21077.0
40,,,,第1节,24.5,0.8,-26.5,0.87,126.5,0.83,126.5,0.83,-26.5,1.0,,,0.0,0.0,3.0,2.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,4.0,6.0,0.0,1,8.0,GD,29.0,0,,21077.0
41,,,,第1节,26.5,0.8,-26.5,0.87,126.5,0.83,128.5,0.83,26.5,1.0,,,0.0,0.0,3.0,2.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,4.0,6.0,0.0,1,8.0,GD,29.0,0,,21077.0
42,,,,第1节,26.5,0.8,-26.5,0.87,128.5,0.83,128.5,0.83,128.5,1.0,,,0.0,0.0,3.0,2.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,4.0,6.0,0.0,1,8.0,GD,29.0,0,,21077.0
43,,,,第1节,26.5,0.8,-26.5,0.87,128.5,0.83,128.5,0.83,128.5,1.0,,,0.0,0.0,3.0,2.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,4.0,6.0,0.0,1,8.0,GD,28.0,0,,21077.0
44,,,,第1节,26.5,0.8,-26.5,0.87,128.5,0.83,128.5,0.83,128.5,1.0,,,0.0,0.0,3.0,2.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,4.0,6.0,0.0,1,8.0,GD,28.0,0,,21077.0
45,,,,第1节,26.5,0.8,-26.5,0.87,128.5,0.83,128.5,0.83,128.5,1.0,,,0.0,0.0,3.0,2.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,4.0,6.0,0.0,1,8.0,GD,1.0,0,,21077.0
46,,,,第1节,26.5,0.83,-25.5,0.83,128.5,0.83,128.5,0.83,-25.5,1.0,,,0.0,0.0,3.0,2.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,4.0,6.0,0.0,1,8.0,GD,1.0,0,,21077.0
47,,,,第1节,25.5,0.83,-25.5,0.83,128.5,0.83,126.5,0.83,25.5,1.0,,,0.0,0.0,3.0,2.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,4.0,6.0,0.0,1,8.0,GD,1.0,0,,21077.0
48,,,,第1节,25.5,0.83,-25.5,0.83,126.5,0.83,126.5,0.83,126.5,1.0,,,0.0,0.0,3.0,2.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,4.0,6.0,0.0,1,8.0,GD,1.0,0,,21077.0
49,,,,第1节,25.5,0.83,-25.5,0.83,126.5,0.83,126.5,0.83,126.5,1.0,,,0.0,0.0,3.0,2.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,4.0,6.0,0.0,1,8.0,GD,0.0,0,,21077.0
50,,,,第1节,25.5,0.83,-25.5,0.83,126.5,0.83,126.5,0.83,126.5,1.0,,,0.0,0.0,3.0,2.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,4.0,6.0,1.0,1,8.0,GD,0.0,0,,21077.0
51,,,,第1节,25.5,0.83,-25.5,0.83,126.5,0.83,126.5,0.83,126.5,1.0,,,0.0,0.0,3.0,2.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,4.0,6.0,1.0,1,8.0,GD,0.0,0,,21077.0
52,,,,第1节,25.5,0.83,-25.5,0.83,126.5,0.83,126.5,0.83,126.5,1.0,,,0.0,0.0,3.0,2.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,4.0,6.0,1.0,1,8.0,GD,0.0,0,,21077.0
53,,,,第1节,25.5,0.83,-25.5,0.83,126.5,0.83,126.5,0.83,126.5,1.0,,,0.0,0.0,3.0,2.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,4.0,6.0,1.0,1,7.0,GD,59.0,0,,11077.0
54,,,,第1节,25.5,0.87,-25.5,0.8,126.5,0.83,126.5,0.83,126.5,1.0,,,0.0,0.0,3.0,2.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,4.0,6.0,1.0,1,7.0,GD,59.0,0,,11077.0
55,,,,第1节,25.5,0.83,-25.5,0.83,125.5,0.83,125.5,0.83,125.5,1.0,,,0.0,0.0,3.0,2.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,4.0,6.0,1.0,1,7.0,GD,59.0,0,,11077.0
56,,,,第1节,25.5,0.83,-25.5,0.83,125.5,0.83,125.5,0.83,125.5,1.0,,,0.0,0.0,3.0,2.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,4.0,6.0,1.0,1,7.0,GD,41.0,0,,11077.0
57,,,,第1节,25.5,0.83,-25.5,0.83,125.5,0.83,125.5,0.83,125.5,1.0,,,0.0,0.0,4.0,2.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,8.0,6.0,1.0,1,7.0,GD,41.0,0,,11074.0
58,,,,第1节,25.5,0.83,-25.5,0.83,125.5,0.83,125.5,0.83,125.5,1.0,,,0.0,0.0,4.0,2.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,4.0,8.0,1.0,1,7.0,GD,41.0,0,,21077.0
59,,,,第1节,25.5,0.8,-27.5,0.87,125.5,0.83,125.5,0.83,-27.5,1.0,,,0.0,0.0,4.0,2.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,4.0,8.0,1.0,1,7.0,GD,41.0,0,,21077.0
60,,,,第1节,27.5,0.8,-27.5,0.87,125.5,0.83,127.5,0.83,27.5,1.0,,,0.0,0.0,4.0,2.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,4.0,8.0,1.0,1,7.0,GD,41.0,0,,21077.0
61,,,,第1节,27.5,0.8,-27.5,0.87,127.5,0.83,127.5,0.83,127.5,1.0,,,0.0,0.0,4.0,2.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,4.0,8.0,1.0,1,7.0,GD,41.0,0,,21077.0
62,,,,第1节,27.5,0.8,-27.5,0.87,127.5,0.83,127.5,0.83,127.5,1.0,,,0.0,0.0,4.0,2.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,4.0,8.0,1.0,1,7.0,GD,39.0,0,,21077.0
63,,,,第1节,27.5,0.8,-27.5,0.87,127.5,0.83,127.5,0.83,127.5,1.0,,,0.0,0.0,4.0,2.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,4.0,8.0,1.0,1,7.0,GD,39.0,0,,21077.0
64,,,,第1节,27.5,0.8,-27.5,0.87,127.5,0.83,127.5,0.83,127.5,1.0,,,0.0,0.0,4.0,2.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,4.0,8.0,1.0,1,7.0,GD,37.0,0,,21077.0
65,,,,第1节,27.5,0.8,-27.5,0.87,127.5,0.83,127.5,0.83,127.5,1.0,,,0.0,0.0,4.0,2.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,4.0,8.0,1.0,1,7.0,GD,37.0,0,,21077.0
