,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,,第3节,25.5,0.87,-25.5,0.8,134.5,0.83,134.5,0.83,,,,,7,4.0,11.0,7.0,6.0,1.0,5,2.0,1.0,3.0,75.0,20.0,49.0,27.0,0.0,1,7.0,6.0,0,,21081,,
1,,,,第3节,25.5,0.87,-25.5,0.8,134.5,0.83,134.5,0.83,,,,,7,4.0,11.0,7.0,6.0,1.0,5,2.0,1.0,3.0,75.0,20.0,49.0,27.0,0.0,1,6.0,49.0,0,,21081,,
2,,,,第3节,25.5,0.87,-24.5,0.8,134.5,0.83,134.5,0.83,-24.5,,,,7,4.0,11.0,7.0,6.0,1.0,5,2.0,1.0,3.0,75.0,20.0,49.0,27.0,0.0,1,6.0,49.0,0,,21081,,
3,,,,第3节,24.5,0.87,-24.5,0.8,134.5,0.83,133.5,0.83,24.5,,,,7,4.0,11.0,7.0,6.0,1.0,5,2.0,1.0,3.0,75.0,20.0,49.0,27.0,0.0,1,6.0,49.0,0,,21081,,
4,,,,第3节,24.5,0.87,-24.5,0.8,133.5,0.83,133.5,0.83,133.5,,,,7,4.0,11.0,7.0,6.0,1.0,5,2.0,1.0,3.0,75.0,20.0,49.0,27.0,0.0,1,6.0,49.0,0,,21081,,
5,,,,第3节,24.5,0.87,-24.5,0.8,133.5,0.83,133.5,0.83,133.5,,,,7,4.0,11.0,7.0,6.0,1.0,5,2.0,1.0,3.0,75.0,20.0,49.0,27.0,0.0,1,6.0,37.0,0,,21077.0,,
6,,,,第3节,24.5,0.87,-24.5,0.8,133.5,0.83,133.5,0.83,133.5,,,,7,4.0,11.0,7.0,6.0,1.0,5,2.0,2.0,3.0,75.0,20.0,49.0,27.0,0.0,1,6.0,37.0,0,,11086.0,,
7,,,,第3节,24.5,0.83,-24.5,0.83,132.5,0.83,132.5,0.83,132.5,,,,7,4.0,11.0,7.0,6.0,1.0,5,2.0,2.0,3.0,75.0,20.0,49.0,27.0,0.0,1,6.0,37.0,0,,21077.0,,
8,,,,第3节,24.5,0.8,-24.5,0.87,132.5,0.83,133.5,0.83,132.5,,1:2,,7,4.0,11.0,7.0,6.0,1.0,5,2.0,2.0,3.0,75.0,20.0,49.0,27.0,0.0,1,6.0,37.0,0,,21078.0,,
9,,,,第3节,24.5,0.8,-24.5,0.87,133.5,0.83,133.5,0.83,133.5,,1:2,,7,4.0,11.0,7.0,6.0,1.0,5,2.0,2.0,3.0,75.0,20.0,49.0,27.0,0.0,1,6.0,37.0,0,,21078.0,,
10,,,,第3节,24.5,0.8,-24.5,0.87,133.5,0.83,133.5,0.83,133.5,,1:2,,7,4.0,11.0,7.0,6.0,2.0,5,2.0,2.0,3.0,75.0,33.3,49.0,28.0,0.0,1,6.0,37.0,0,,21079.0,,
11,,,,第3节,24.5,0.8,-24.5,0.87,133.5,0.83,133.5,0.83,133.5,,2:2,,7,4.0,11.0,7.0,6.0,2.0,5,2.0,2.0,3.0,75.0,33.3,28.0,49.0,0.0,1,6.0,37.0,0,,21078.0,,
12,,,,第3节,24.5,0.87,-23.5,0.8,133.5,0.83,133.5,0.83,-23.5,,2:2,,7,4.0,11.0,7.0,6.0,2.0,5,2.0,2.0,3.0,75.0,33.3,28.0,49.0,0.0,1,6.0,37.0,0,,21078.0,,
