,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,OD,PG,PI,S1,S2,S3,S4,S5,S6,SC,SC_a,SC_h,SD,SU,TD,TM,TO,TS,TT,TU,VC,VS,WA_ODD,WH_ODD
0,,,,,6.5,0.83,-6.5,0.83,161.5,0.83,161.5,0.83,,,,,,,,,,,,,,,,0.0,1,10.0,,0.0,0,20180717124535,,,0.0,0.0
1,,,,,6.5,0.83,-6.5,0.83,161.5,0.83,161.5,0.83,,,,,,,,,,,,,,,,0.0,1,10.0,,0.0,0,20180717125849.0,,,0.0,0.0
2,,,,,6.5,0.83,-6.5,0.83,161.5,0.83,161.5,0.83,,,,,,,,,,,,,,,,0.0,1,10.0,,0.0,0,20180717125849.0,,,0.0,0.0
3,,,,,6.5,0.83,-6.5,0.83,161.5,0.83,161.5,0.83,,,,,,,,,,,,,,,,0.0,1,10.0,,0.0,0,20180717125919.0,,,0.0,0.0
4,,,,,6.5,0.83,-6.5,0.83,161.5,0.83,161.5,0.83,,,,,0.0,0.0,0.0,0.0,5.0,0.0,0.0,,,,0.0,0.0,1,10.0,1~GD,0.0,1.0,20180717125919.0,11077.0,,0.0,0.0
5,,,,,6.5,0.83,-6.5,0.83,160.5,0.83,161.5,0.83,160.5,,,,0.0,0.0,0.0,0.0,5.0,0.0,0.0,,,,0.0,0.0,1,10.0,1~GD,0.0,1.0,20180717125919.0,11077.0,,0.0,0.0
6,,,,,6.5,0.83,-6.5,0.83,160.5,0.83,160.5,0.83,160.5,,,,0.0,0.0,0.0,0.0,5.0,0.0,0.0,,,,0.0,0.0,1,9.0,1~GD,52.0,1.0,20180717125928.0,11077.0,,0.0,0.0
7,,,,,6.5,0.83,-6.5,0.83,160.5,0.83,160.5,0.83,160.5,,,,0.0,0.0,0.0,0.0,5.0,0.0,0.0,,,,0.0,0.0,1,9.0,1~GD,52.0,1.0,20180717125928.0,11077.0,,0.0,0.0
8,,,,,6.5,0.83,-6.5,0.83,160.5,0.83,160.5,0.83,160.5,,,,0.0,0.0,0.0,0.0,5.0,0.0,0.0,,,,0.0,0.0,1,9.0,1~GD,46.0,1.0,20180717125933.0,11077.0,,0.0,0.0
9,,,,,6.5,0.83,-6.5,0.83,160.5,0.83,160.5,0.83,160.5,,,,0.0,0.0,0.0,0.0,5.0,0.0,0.0,,,,0.0,0.0,1,9.0,1~GD,46.0,1.0,20180717125933.0,11095.0,,0.0,0.0
10,,,,,6.5,0.83,-6.5,0.83,160.5,0.83,160.5,0.83,160.5,,,,0.0,0.0,0.0,0.0,5.0,0.0,0.0,,,,0.0,0.0,1,9.0,1~GD,46.0,1.0,20180717125934.0,11095.0,,0.0,0.0
11,,,,,6.5,0.83,-6.5,0.83,163.5,0.83,160.5,0.83,163.5,,0.0,,0.0,0.0,0.0,0.0,5.0,0.0,0.0,,,,0.0,0.0,1,9.0,1~GD,46.0,1.0,20180717125934.0,21077.0,,0.0,0.0
12,,,,,6.5,0.83,-6.5,0.83,163.5,0.83,163.5,0.83,163.5,,0.0,,0.0,0.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,1,9.0,1~GD,43.0,1.0,20180717125936.0,21077.0,,0.0,0.0
13,,,,,8.5,0.83,-8.5,0.83,163.5,0.83,163.5,0.83,8.5,,0.0,,0.0,0.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,1,9.0,1~GD,43.0,1.0,20180717125936.0,21077.0,,0.0,0.0
14,,,,,8.5,0.83,-8.5,0.83,163.5,0.8,163.5,0.87,-8.5,,0.0,^,0.0,1.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,1,9.0,1~GD,35.0,1.0,20180717125944.0,11075^21077,,0.0,0.0
15,,,,,8.5,0.83,-8.5,0.83,162.5,0.83,163.5,0.83,162.5,,0.0,^,0.0,1.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,1,9.0,1~GD,35.0,1.0,20180717125944.0,11075^21077,,0.0,0.0
16,,,,,8.5,0.83,-8.5,0.83,162.5,0.83,162.5,0.83,162.5,,0.0,^,0.0,1.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,1,9.0,1~GD,30.0,1.0,20180717125950.0,11075^21077,,0.0,0.0
