,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,OD,PG,PI,S1,S1_a,S2,S2_a,S3,S3_a,S4,S4_a,S5,S5_a,S6,S6_a,SC,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,,,-1.5,0.91,1.5,0.77,168.5,0.83,168.5,0.83,,,,,,,2,,19,,10,,4,,0,,66.7,,54,,0.0,1,4.0,52.0,1,20180717110256,21077,0.77,0.91
1,,,,,-1.5,0.91,1.5,0.77,167.5,0.87,168.5,0.8,167.5,,,,,,2,,19,,10,,4,,0,,66.7,,54,,0.0,1,4.0,44.0,1,20180717110304.0,21077,0.77,0.91
2,,,,,-1.5,0.91,1.5,0.77,167.5,0.87,167.5,0.8,167.5,,,,,,2,,19,,10,,4,,0,,66.7,,54,,0.0,1,4.0,44.0,1,20180717110304.0,21077,0.77,0.91
3,,,,,-1.5,0.91,1.5,0.77,167.5,0.83,167.5,0.83,167.5,,,,,,2,,19,,10,,4,,0,,66.7,,54,,0.0,1,4.0,39.0,0.0,20180717110309.0,21077,0.77,0.91
4,,,,,-1.5,0.91,1.5,0.77,167.5,0.83,167.5,0.83,167.5,,,,,,2,,19,,10,,4,,0,,66.7,,54,,0.0,1,4.0,39.0,0.0,20180717110309.0,21077,0.77,0.91
5,,,,,-1.5,0.91,1.5,0.77,167.5,0.83,167.5,0.83,167.5,,,,,,2,,19,,10,,4,,0,,66.7,,54,,0.0,1,4.0,39.0,1.0,20180717110326.0,21077,0.77,0.91
6,,,,,-1.5,0.91,1.5,0.77,167.5,0.8,167.5,0.87,167.5,,0.8,,,,2,,19,,10,,4,,0,,66.7,,54,,0.0,1,4.0,39.0,1.0,20180717110326.0,21077,0.77,0.91
7,,,,,-1.5,0.91,1.5,0.77,167.5,0.8,167.5,0.87,167.5,,0.87,,,,2,,19,,10,,4,,0,,66.7,,54,,0.0,1,4.0,37.0,0.0,20180717110328.0,21077,0.77,0.91
8,,,,,-1.5,0.91,1.5,0.77,167.5,0.8,167.5,0.87,167.5,,0.87,,,,2,,19,,10,,4,,0,,66.7,,54,,0.0,1,4.0,37.0,0.0,20180717110328.0,21077,0.77,0.91
9,,,,,-1.5,0.91,1.5,0.77,167.5,0.8,167.5,0.87,167.5,,0.87,,,,2,,19,,10,,4,,0,,66.7,,54,,0.0,1,4.0,37.0,0.0,20180717110329.0,21077,0.77,0.91
10,,,,,-1.5,0.91,1.5,0.77,167.5,0.8,167.5,0.87,167.5,,0.87,,,,2,,19,,10,,4,,0,,66.7,,54,,0.0,1,4.0,37.0,0.0,20180717110329.0,11086.0,0.77,0.91
11,,,,,-1.5,0.91,1.5,0.77,168.5,0.83,167.5,0.83,168.5,,0.77,,,,2,,19,,10,,4,,0,,66.7,,54,,0.0,1,4.0,37.0,0.0,20180717110331.0,11086.0,0.77,0.91
12,,,,,-1.5,0.87,1.5,0.8,168.5,0.87,168.5,0.83,168.5,,0.91,1:2,,,2,,19,,10,,4,1.0,0,,66.7,,54,,0.0,1,4.0,37.0,0.0,20180717110331.0,21078.0,0.77,0.91
13,,,,,-1.5,0.87,1.5,0.8,168.5,0.87,168.5,0.8,168.5,,0.71,1:2,,,2,,19,,10,,4,1.0,0,,66.7,,49,54.0,0.0,1,4.0,37.0,0.0,20180717110353.0,21078.0,0.77,0.91
14,,,,,-1.5,0.83,1.5,0.83,168.5,0.83,168.5,0.8,168.5,,1.0,1:2^2:2,,,2,,19,,10,,4,1.0,0,,66.7,,49,54.0,0.0,1,4.0,37.0,0.0,20180717110353.0,21079^21078,0.77,0.91
15,,,,,-1.5,0.83,1.5,0.83,168.5,0.83,168.5,0.83,168.5,,0.66,1:2^2:2,,,2,,19,,10,,4,1.0,0,,66.7,,49,54.0,0.0,1,4.0,37.0,0.0,20180717110353.0,21079^21078,0.77,0.91
16,,,,,-1.5,0.83,1.5,0.83,168.5,0.83,168.5,0.83,168.5,,1.1,1:2^2:2,,,2,,19,,10,,4,1.0,0,,66.7,,49,54.0,0.0,1,4.0,37.0,1.0,20180717110406.0,21079^21078,0.77,0.91
17,,,,,-1.5,0.8,1.5,0.87,168.5,0.83,168.5,0.83,168.5,,1.1,2:2,,,2,,19,,10,,4,1.0,0,,66.7,,49,54.0,0.0,1,4.0,37.0,1.0,20180717110406.0,21080.0,0.77,0.91
18,,,,,-1.5,0.8,1.5,0.87,168.5,0.83,168.5,0.83,168.5,,1.1,2:2,,,2,,19,,10,,4,1.0,0,,66.7,,49,54.0,0.0,1,4.0,37.0,1.0,20180717110407.0,21080.0,0.77,0.91
19,,,,,-1.5,0.91,1.5,0.77,168.5,0.83,168.5,0.83,168.5,,0.8,2:2,,,2,,19,,10,,4,1.0,0,,66.7,,49,54.0,0.0,1,4.0,37.0,1.0,20180717110407.0,21080.0,0.77,0.91
20,,,,,-1.5,0.91,1.5,0.77,167.5,0.83,168.5,0.83,167.5,,0.87,,,,2,,19,,10,,4,1.0,0,,66.7,,49,54.0,0.0,1,4.0,29.0,1.0,20180717110416.0,11077.0,0.77,0.91
21,,,,,-1.5,0.91,1.5,0.77,167.5,0.83,167.5,0.83,167.5,,0.87,,,,2,,19,,10,,4,1.0,0,,66.7,,49,54.0,0.0,1,4.0,29.0,1.0,20180717110416.0,11077.0,0.77,0.91
22,,,,,-1.5,0.91,1.5,0.77,167.5,0.83,167.5,0.83,167.5,,0.66,,,,2,,19,,10,,4,1.0,0,,66.7,,49,54.0,0.0,1,4.0,27.0,1.0,20180717110418.0,11077.0,0.77,0.91
23,,,,,-1.5,0.8,1.5,0.87,167.5,0.83,167.5,0.83,167.5,,1.1,,,,2,,19,,10,,4,1.0,0,,66.7,,49,54.0,0.0,1,4.0,27.0,1.0,20180717110418.0,21077.0,0.77,0.91
24,,,,,-3.5,0.8,1.5,0.87,169.5,0.83,167.5,0.83,169.5,,1.1,,,,2,,19,,10,,4,1.0,0,,66.7,,51,54.0,0.0,1,4.0,22.0,1.0,20180717110422.0,21077.0,0.77,0.91
25,,,,,-3.5,0.83,1.5,0.87,169.5,0.83,167.5,0.83,-3.5,,0.47,,,,2,,19,,10,,4,1.0,0,,66.7,,51,54.0,0.0,1,4.0,22.0,1.0,20180717110422.0,21077.0,0.77,0.91
26,,,,,-3.5,0.83,3.5,0.87,169.5,0.83,169.5,0.83,169.5,,0.0,,,,2,,19,,10,,4,1.0,0,,66.7,,51,54.0,0.0,1,4.0,22.0,1.0,20180717110422.0,21077.0,0.77,0.91
