,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,OD,PG,PI,S1,S2,S3,S4,S5,S6,SC,SC_a,SC_h,SD,SU,TD,TM,TO,TS,TT,TU,VC,VS,WA_ODD,WH_ODD
0,,,,,1.5,0.77,-1.5,0.91,134.5,0.83,134.5,0.83,,,,,,,,,,,,,,,,0.0,1,10.0,,0.0,0,19000101000000,,,0.83,0.83
1,,,,,1.5,0.77,-1.5,0.91,134.5,0.8,134.5,0.87,,,,,,,,,,,,,,,,0.0,1,10.0,,0.0,0,19000101000000,,,0.83,0.83
2,,,,,1.5,0.77,-1.5,0.91,134.5,0.83,134.5,0.83,,,,,,,,,,,,,,,,0.0,1,10.0,,0.0,0,20180717200856.0,,,0.83,0.83
3,,,,,1.5,0.77,-1.5,0.91,134.5,0.83,134.5,0.83,,,,,,,,,,,,,,,0.0,0.0,1,10.0,1~GD,0.0,1.0,20180717200856.0,,,0.83,0.83
4,,,,,1.5,0.77,-1.5,0.91,134.5,0.83,134.5,0.83,,,,,0.0,0.0,0.0,0.0,5.0,0.0,0.0,,,,0.0,0.0,1,9.0,1~GD,58.0,1.0,20180717200858.0,1087.0,,0.83,0.83
5,,,,,1.5,0.77,-1.5,0.91,134.5,0.83,134.5,0.83,,,,,0.0,0.0,0.0,0.0,5.0,0.0,0.0,,,,0.0,0.0,1,9.0,1~GD,58.0,1.0,20180717200858.0,11077.0,,0.83,0.83
6,,,,,1.5,0.77,-1.5,0.91,134.5,0.83,134.5,0.83,,,,,0.0,0.0,0.0,0.0,5.0,0.0,0.0,,,,0.0,0.0,1,9.0,1~GD,57.0,0.0,20180717200900.0,11077.0,,0.83,0.83
7,,,,,1.5,0.77,-1.5,0.91,134.5,0.83,134.5,0.83,,,,,0.0,0.0,0.0,0.0,5.0,0.0,0.0,,,,0.0,0.0,1,9.0,1~GD,57.0,0.0,20180717200900.0,11077.0,,0.83,0.83
8,,,,,1.5,0.77,-1.5,0.91,134.5,0.83,134.5,0.83,,,,,0.0,0.0,0.0,0.0,5.0,0.0,0.0,,,,0.0,0.0,1,9.0,1~GD,57.0,1.0,20180717200905.0,11077.0,,0.83,0.83
9,,,,,1.5,0.77,-1.5,0.91,134.5,0.83,134.5,0.83,,,,,0.0,0.0,0.0,0.0,5.0,0.0,0.0,,,,0.0,0.0,1,9.0,1~GD,56.0,1.0,20180717200905.0,11077.0,,0.83,0.83
10,,,,,1.5,0.77,-1.5,0.91,134.5,0.83,134.5,0.83,,,,,0.0,0.0,0.0,0.0,5.0,0.0,0.0,,,,0.0,0.0,1,9.0,1~GD,56.0,1.0,20180717200906.0,11077.0,,0.83,0.83
11,,,,,1.5,0.77,-1.5,0.91,133.5,0.83,134.5,0.83,133.5,,,,0.0,0.0,0.0,0.0,5.0,0.0,0.0,,,,0.0,0.0,1,9.0,1~GD,56.0,1.0,20180717200906.0,11077.0,,0.83,0.83
12,,,,,1.5,0.77,-1.5,0.91,133.5,0.83,133.5,0.83,133.5,,,,0.0,0.0,0.0,0.0,5.0,0.0,0.0,,,,0.0,0.0,1,9.0,1~GD,48.0,1.0,20180717200914.0,11077.0,,0.83,0.83
13,,,,,1.5,0.77,-1.5,0.91,133.5,0.83,133.5,0.83,133.5,,,,0.0,0.0,0.0,0.0,5.0,0.0,0.0,,,,0.0,0.0,1,9.0,1~GD,48.0,1.0,20180717200914.0,11077.0,,0.83,0.83
14,,,,,1.5,0.77,-1.5,0.91,133.5,0.83,133.5,0.83,133.5,,,,0.0,0.0,0.0,0.0,5.0,0.0,0.0,,,,0.0,0.0,1,9.0,1~GD,50.0,1.0,20180717200916.0,11077.0,,0.83,0.83
15,,,,,1.5,0.77,-1.5,0.91,133.5,0.83,133.5,0.83,133.5,,,,0.0,0.0,0.0,0.0,5.0,0.0,0.0,,,,0.0,0.0,1,9.0,1~GD,50.0,1.0,20180717200916.0,21077.0,,0.83,0.83
16,,,,,1.5,0.77,-1.5,0.91,133.5,0.83,133.5,0.83,133.5,,,,0.0,0.0,0.0,0.0,5.0,0.0,0.0,,,,0.0,0.0,1,9.0,1~GD,49.0,1.0,20180717200917.0,21077.0,,0.83,0.83
17,,,,,1.5,0.77,-1.5,0.91,133.5,0.83,133.5,0.83,133.5,,,,0.0,0.0,0.0,0.0,5.0,0.0,0.0,,,,0.0,0.0,1,9.0,1~GD,49.0,1.0,20180717200917.0,11077.0,,0.83,0.83
18,,,,,1.5,0.77,-1.5,0.91,133.5,0.83,133.5,0.83,133.5,,,,0.0,0.0,0.0,0.0,5.0,0.0,0.0,,,,0.0,0.0,1,9.0,1~GD,46.0,0.0,20180717200921.0,11077.0,,0.83,0.83
19,,,,,1.5,0.77,-1.5,0.91,133.5,0.83,133.5,0.83,133.5,,,,0.0,0.0,0.0,0.0,5.0,0.0,0.0,,,,0.0,0.0,1,9.0,1~GD,46.0,0.0,20180717200921.0,11077.0,,0.83,0.83
20,,,,,1.5,0.77,-1.5,0.91,133.5,0.83,133.5,0.83,133.5,,,,0.0,0.0,0.0,0.0,5.0,0.0,0.0,,,,0.0,0.0,1,9.0,1~GD,46.0,1.0,20180717200929.0,11077.0,,0.83,0.83
21,,,,,1.5,0.77,-1.5,0.91,133.5,0.83,133.5,0.83,133.5,,,,0.0,0.0,0.0,0.0,5.0,0.0,0.0,,,,0.0,0.0,1,9.0,1~GD,46.0,1.0,20180717200929.0,11077.0,,0.83,0.83
22,,,,,1.5,0.77,-1.5,0.91,133.5,0.83,133.5,0.83,133.5,,,,0.0,0.0,0.0,0.0,5.0,0.0,0.0,,,,0.0,0.0,1,9.0,1~GD,46.0,1.0,20180717200930.0,11077.0,,0.83,0.83
23,,,,,1.5,0.77,-1.5,0.91,133.5,0.83,133.5,0.83,133.5,,,,0.0,0.0,0.0,0.0,5.0,0.0,0.0,,,,0.0,0.0,1,9.0,1~GD,44.0,1.0,20180717200930.0,11077.0,,0.83,0.83
24,,,,,1.5,0.77,-1.5,0.91,132.5,0.83,133.5,0.83,132.5,,,,0.0,0.0,0.0,0.0,5.0,0.0,0.0,,,,0.0,0.0,1,9.0,1~GD,44.0,1.0,20180717200930.0,21077.0,,0.83,0.83
25,,,,,1.5,0.77,-1.5,0.91,132.5,0.83,132.5,0.83,132.5,,,,0.0,0.0,0.0,0.0,5.0,0.0,0.0,,,,0.0,0.0,1,9.0,1~GD,36.0,1.0,20180717200939.0,21077.0,,0.83,0.83
26,,,,,1.5,0.77,-1.5,0.91,132.5,0.83,132.5,0.83,132.5,,,,0.0,0.0,0.0,0.0,5.0,0.0,0.0,,,,0.0,0.0,1,9.0,1~GD,36.0,1.0,20180717200939.0,21077.0,,0.83,0.83
27,,,,,1.5,0.77,-1.5,0.91,132.5,0.83,132.5,0.83,132.5,,,,0.0,0.0,0.0,0.0,5.0,0.0,0.0,,,,0.0,0.0,1,9.0,1~GD,32.0,0.0,20180717200943.0,21077.0,,0.83,0.83
28,,,,,1.5,0.77,-1.5,0.91,132.5,0.83,132.5,0.83,132.5,,,,0.0,0.0,0.0,0.0,5.0,0.0,0.0,,,,0.0,0.0,1,9.0,1~GD,32.0,0.0,20180717200943.0,21077.0,,0.83,0.83
29,,,,,1.5,0.77,-1.5,0.91,132.5,0.83,132.5,0.83,132.5,,,,0.0,0.0,0.0,0.0,5.0,0.0,0.0,,,,0.0,0.0,1,9.0,1~GD,32.0,1.0,20180717201003.0,21077.0,,0.83,0.83
30,,,,,1.5,0.77,-1.5,0.91,132.5,0.83,132.5,0.83,132.5,,,,0.0,0.0,0.0,0.0,5.0,0.0,0.0,,,,0.0,0.0,1,9.0,1~GD,32.0,1.0,20180717201003.0,21077.0,,0.83,0.83
31,,,,,1.5,0.77,-1.5,0.91,132.5,0.83,132.5,0.83,132.5,,,,0.0,0.0,0.0,0.0,5.0,0.0,0.0,,,,0.0,0.0,1,9.0,1~GD,31.0,1.0,20180717201004.0,21077.0,,0.83,0.83
