,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,PG,PI,S1,S2,S3,S4,S5,S6,SC,SC_a,SC_h,SD,SU,TD,TM,TO,TS,TT,TU,VC,VS
0,,,,,34.5,0.83,-34.5,0.83,134.5,0.83,134.5,0.83,,,,,,,,,,,,,,,0.0,1,10.0,,0.0,0,20180717182114,,
1,,,,,34.5,0.83,-34.5,0.83,134.5,0.83,134.5,0.83,,,,,,,,,,,,,,,0.0,1,10.0,,0.0,0,20180717183101.0,,
2,,,,,34.5,0.83,-34.5,0.83,134.5,0.83,134.5,0.83,,,,,,,,,,,,,,,0.0,1,10.0,1~GD,0.0,0,20180717183101.0,,
3,,,,,34.5,0.83,-34.5,0.83,134.5,0.83,134.5,0.83,,,,,,,,,,,,,,0.0,0.0,1,10.0,1~GD,0.0,1.0,20180717183102.0,,
4,,,,,34.5,0.83,-34.5,0.83,134.5,0.83,134.5,0.83,,,,0.0,0.0,0.0,0.0,5.0,0.0,0.0,,,,0.0,0.0,1,10.0,1~GD,0.0,1.0,20180717183102.0,1087.0,
5,,,,,34.5,0.83,-34.5,0.83,134.5,0.83,134.5,0.83,,,,0.0,0.0,0.0,0.0,5.0,0.0,0.0,,,,0.0,0.0,1,9.0,1~GD,58.0,1.0,20180717183104.0,1087.0,
6,,,,,34.5,0.83,-34.5,0.83,133.5,0.83,134.5,0.83,133.5,,,0.0,0.0,0.0,0.0,5.0,0.0,0.0,,,,0.0,0.0,1,9.0,1~GD,58.0,1.0,20180717183104.0,11077.0,
7,,,,,34.5,0.83,-34.5,0.83,133.5,0.83,133.5,0.83,133.5,,,0.0,0.0,0.0,0.0,5.0,0.0,0.0,,,,0.0,0.0,1,9.0,1~GD,50.0,1.0,20180717183112.0,11077.0,
8,,,,,34.5,0.83,-34.5,0.83,135.5,0.87,133.5,0.8,135.5,,,0.0,0.0,0.0,0.0,5.0,0.0,0.0,,,,0.0,0.0,1,9.0,1~GD,50.0,1.0,20180717183112.0,11077.0,
9,,,,,34.5,0.83,-34.5,0.83,135.5,0.87,135.5,0.8,135.5,,,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1,9.0,1~GD,44.0,1.0,20180717183118.0,11077.0,
