,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD,XY
0,,,,第3节,-7.5,0.91,7.5,0.83,171.5,0.87,171.5,0.87,,,,,3.0,5.0,20.0,16.0,6.0,18.0,2.0,5.0,7.0,4.0,85.7,69.2,55.0,65.0,0.0,1,1.0,22.0,0,,11077,0.0,0.66,
1,,,,第3节,-7.5,0.91,7.5,0.83,171.5,0.87,171.5,0.87,,,,,3.0,5.0,20.0,16.0,6.0,18.0,2.0,5.0,7.0,4.0,85.7,69.2,55.0,65.0,0.0,1,1.0,22.0,0,,11094.0,0.0,0.66,"0.67,0.62"
2,,,,第3节,-7.5,0.91,8.5,0.83,171.5,0.87,171.5,0.87,8.5,,,,3.0,5.0,20.0,16.0,6.0,18.0,2.0,5.0,7.0,4.0,85.7,69.2,55.0,65.0,0.0,1,1.0,22.0,0,,21077.0,0.0,0.66,
3,,,,第3节,-8.5,0.91,8.5,0.83,171.5,0.87,171.5,0.87,-8.5,,,,3.0,6.0,20.0,16.0,6.0,18.0,2.0,5.0,7.0,4.0,85.7,69.2,55.0,68.0,0.0,1,1.0,22.0,0,,21075.0,1.1,0.83,"0.31,0.32"
4,,,,第3节,-8.5,0.91,8.5,0.83,171.5,0.87,171.5,0.87,-8.5,,,,3.0,6.0,20.0,16.0,6.0,18.0,2.0,5.0,7.0,4.0,85.7,69.2,68.0,55.0,0.0,1,1.0,22.0,0,,11077.0,1.1,0.83,
5,,,,第3节,-8.5,0.83,9.5,0.91,171.5,0.87,171.5,0.87,9.5,,,,3.0,6.0,20.0,16.0,6.0,18.0,2.0,5.0,7.0,4.0,85.7,69.2,68.0,55.0,0.0,1,1.0,22.0,0,,11077.0,1.1,0.83,
6,,,,第3节,-9.5,0.83,9.5,0.91,171.5,0.87,174.5,0.87,-9.5,,,,3.0,6.0,20.0,16.0,6.0,18.0,2.0,5.0,7.0,4.0,85.7,69.2,68.0,55.0,0.0,1,1.0,22.0,0,,11077.0,1.1,0.83,
7,,,,第3节,-9.5,0.83,9.5,0.91,174.5,0.87,174.5,0.87,174.5,,,,3.0,6.0,20.0,16.0,6.0,18.0,2.0,5.0,7.0,4.0,85.7,69.2,68.0,55.0,0.0,1,1.0,22.0,0,,11077.0,1.1,0.83,
8,,,,第3节,-9.5,0.83,9.5,0.91,174.5,0.87,174.5,0.87,174.5,,,,3.0,6.0,20.0,16.0,6.0,18.0,2.0,5.0,7.0,4.0,85.7,69.2,68.0,55.0,0.0,1,1.0,22.0,0,,11095.0,0.83,1.1,"0.91,0.68"
9,,,,第3节,-9.5,0.83,10.5,0.91,174.5,0.87,174.5,0.87,10.5,,,,3.0,6.0,20.0,16.0,6.0,18.0,2.0,5.0,7.0,4.0,85.7,69.2,68.0,55.0,0.0,1,1.0,22.0,0,,21077.0,0.83,1.1,
