,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,,第3节,-9.5,0.83,9.5,0.83,174.5,0.83,174.5,0.83,,,,,1.0,6.0,16.0,16.0,10.0,8.0,1.0,3.0,3.0,6.0,55.6,88.9,47.0,60.0,0.0,1,4.0,38.0,0,,11081,0.0,1.2
1,,,,第3节,-9.5,0.83,9.5,0.83,174.5,0.83,174.5,0.83,,,,,1.0,6.0,16.0,16.0,10.0,8.0,1.0,3.0,3.0,6.0,55.6,88.9,47.0,60.0,1.0,1,4.0,38.0,0,,11081,0.0,1.2
2,,,,第3节,-9.5,0.83,9.5,0.83,174.5,0.83,174.5,0.83,,,,,1.0,6.0,16.0,16.0,10.0,8.0,1.0,3.0,3.0,6.0,55.6,88.9,47.0,60.0,1.0,1,4.0,38.0,0,,11081,0.0,1.2
3,,,,第3节,-9.5,0.83,9.5,0.83,174.5,0.83,174.5,0.83,,,,,1.0,6.0,16.0,16.0,10.0,8.0,1.0,3.0,3.0,6.0,55.6,88.9,47.0,60.0,1.0,1,4.0,38.0,0,,11081,0.0,1.2
4,,,,第3节,-9.5,0.83,9.5,0.83,174.5,0.83,174.5,0.83,,,,,1.0,6.0,16.0,16.0,10.0,8.0,1.0,3.0,3.0,6.0,55.6,88.9,47.0,60.0,1.0,1,4.0,38.0,0,,11081,0.0,1.2
5,,,,第3节,-9.5,0.83,9.5,0.83,174.5,0.83,174.5,0.83,,,,,1.0,6.0,16.0,16.0,10.0,8.0,1.0,3.0,3.0,6.0,55.6,88.9,47.0,60.0,1.0,1,4.0,38.0,0,,11081,0.0,1.2
6,,,,第3节,-9.5,0.83,9.5,0.83,174.5,0.83,174.5,0.83,,,,,1.0,6.0,16.0,16.0,10.0,8.0,1.0,3.0,3.0,6.0,55.6,88.9,47.0,60.0,1.0,1,4.0,19.0,0,,11081,0.0,1.2
7,,,,第3节,-9.5,0.83,9.5,0.83,173.5,0.83,173.5,0.83,173.5,,,,1.0,6.0,16.0,16.0,10.0,8.0,1.0,3.0,3.0,6.0,55.6,88.9,47.0,60.0,1.0,1,4.0,19.0,0,,11081,0.0,1.2
8,,,,第3节,-9.5,0.83,9.5,0.83,173.5,0.83,173.5,0.83,173.5,,,,1.0,6.0,16.0,16.0,10.0,8.0,1.0,3.0,3.0,7.0,55.6,88.9,47.0,60.0,1.0,1,4.0,19.0,0,,21086.0,0.0,1.2
9,,,,第3节,-9.5,0.83,9.5,0.83,173.5,0.83,173.5,0.83,173.5,,,,1.0,6.0,16.0,16.0,10.0,8.0,1.0,3.0,3.0,7.0,55.6,88.9,47.0,60.0,0.0,1,4.0,19.0,0,,11077.0,0.0,1.25
