,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,,第3节,3.5,0.83,-3.5,0.83,92.0,0.0,92.0,0.91,,,,,7.0,6.0,9.0,12.0,7.0,9.0,4.0,3.0,0.0,0.0,87.5,90.0,46.0,51.0,0.0,1,10.0,0.0,0,,1083,0.0,0.0
1,,,,第3节,3.5,0.83,-3.5,0.83,92.0,0.0,92.0,0.91,,3.0,,,7.0,6.0,9.0,12.0,7.0,9.0,4.0,3.0,0.0,0.0,87.5,90.0,46.0,51.0,0.0,1,10.0,0.0,0,,1089.0,0.0,0.0
2,,,,第3节,3.5,0.83,-3.5,0.83,92.0,0.0,92.0,0.91,,3.0,,,7.0,6.0,9.0,12.0,7.0,9.0,4.0,3.0,0.0,0.0,87.5,90.0,46.0,51.0,0.0,1,9.0,37.0,0,,11077.0,0.0,0.0
3,,,,第3节,3.5,0.83,-3.5,0.83,92.0,0.0,92.0,0.91,,3.0,,,8.0,6.0,9.0,12.0,7.0,9.0,4.0,3.0,0.0,0.0,87.5,90.0,49.0,51.0,0.0,1,9.0,37.0,0,,11075.0,0.0,0.0
4,,,,第3节,3.5,0.83,-3.5,0.83,92.0,0.0,92.0,0.91,,3.0,,,8.0,6.0,9.0,12.0,7.0,9.0,4.0,3.0,0.0,0.0,87.5,90.0,51.0,49.0,0.0,1,9.0,37.0,0,,21077.0,0.0,0.0
5,,,,第3节,3.5,0.83,-3.5,0.83,92.0,0.0,92.0,0.91,,3.0,,,8.0,6.0,9.0,12.0,7.0,9.0,4.0,3.0,0.0,0.0,87.5,90.0,51.0,49.0,0.0,1,9.0,22.0,0,,21077.0,0.0,0.0
6,,,,第3节,3.5,0.83,-3.5,0.83,92.0,0.0,92.0,0.91,,3.0,,,8.0,6.0,9.0,12.0,7.0,9.0,4.0,3.0,1.0,0.0,87.5,90.0,51.0,49.0,0.0,1,9.0,22.0,0,,11086.0,0.0,0.0
7,,,,第3节,3.5,0.83,-3.5,0.83,92.0,0.0,92.0,0.91,,3.0,,,8.0,6.0,9.0,12.0,7.0,9.0,4.0,3.0,1.0,0.0,87.5,90.0,51.0,49.0,0.0,1,9.0,12.0,0,,21077.0,0.0,0.0
8,,,,第3节,3.5,0.83,-3.5,0.83,92.0,0.0,92.0,0.91,,3.0,,,8.0,6.0,9.0,13.0,7.0,9.0,4.0,3.0,1.0,0.0,87.5,90.0,51.0,53.0,0.0,1,9.0,12.0,0,,21074.0,0.0,0.0
9,,,,第3节,3.5,0.83,-3.5,0.83,92.0,0.0,92.0,0.91,,3.0,,,8.0,6.0,9.0,13.0,7.0,9.0,4.0,3.0,1.0,0.0,87.5,90.0,53.0,49.0,0.0,1,9.0,12.0,0,,11077.0,0.0,0.0
10,,,,第3节,3.5,0.83,-3.5,0.83,92.0,0.0,92.0,0.91,,3.0,,,8.0,6.0,9.0,13.0,7.0,9.0,4.0,3.0,2.0,0.0,87.5,90.0,53.0,49.0,0.0,1,9.0,12.0,0,,11086.0,0.0,0.0
11,,,,第3节,3.5,0.83,-3.5,0.83,92.0,0.0,92.0,0.91,,3.0,,,8.0,6.0,9.0,13.0,7.0,9.0,4.0,3.0,2.0,0.0,87.5,90.0,53.0,49.0,0.0,1,9.0,12.0,0,,21077.0,1.75,0.0
12,,,,第3节,3.5,0.83,-3.5,0.83,92.0,0.0,92.0,0.91,,3.0,1:1,,8.0,6.0,9.0,13.0,7.0,9.0,4.0,3.0,2.0,0.0,87.5,90.0,53.0,54.0,0.0,1,9.0,12.0,0,,21078.0,0.0,0.0
13,,,,第3节,3.5,0.83,-3.5,0.83,92.0,0.0,92.0,0.91,,3.0,1:1,,8.0,6.0,9.0,13.0,7.0,10.0,4.0,3.0,2.0,0.0,87.5,90.9,53.0,54.0,0.0,1,9.0,12.0,0,,21079.0,0.0,0.0
14,,,,第3节,3.5,0.83,-3.5,0.83,92.0,0.0,92.0,0.91,,3.0,,,8.0,6.0,9.0,13.0,7.0,10.0,4.0,3.0,2.0,0.0,87.5,90.9,54.0,49.0,0.0,1,9.0,12.0,0,,11077.0,0.0,0.0
15,,,,第3节,3.5,0.83,-3.5,0.83,92.0,0.0,92.0,0.91,,3.0,,,9.0,6.0,9.0,13.0,7.0,10.0,4.0,3.0,2.0,0.0,87.5,90.9,52.0,49.0,0.0,1,9.0,12.0,0,,11075.0,0.0,0.0
16,,,,第3节,3.5,0.83,-3.5,0.83,92.0,0.0,92.0,0.91,,3.0,,,9.0,6.0,9.0,13.0,7.0,10.0,4.0,3.0,2.0,0.0,87.5,90.9,54.0,52.0,0.0,1,9.0,12.0,0,,21077.0,0.0,0.0
17,,,,第3节,3.5,0.83,-3.5,0.83,92.0,0.0,92.0,0.91,,3.0,,,9.0,6.0,9.0,13.0,7.0,10.0,4.0,3.0,2.0,0.0,87.5,90.9,54.0,52.0,0.0,1,8.0,49.0,0,,21077.0,0.0,0.0
18,,,,第3节,3.5,0.83,-3.5,0.83,92.0,0.0,92.0,0.91,,3.0,,,9.0,6.0,9.0,13.0,7.0,10.0,4.0,3.0,2.0,0.0,87.5,90.9,54.0,52.0,0.0,1,8.0,49.0,0,,11077.0,0.0,0.0
19,,,,第3节,3.5,0.83,-3.5,0.83,92.0,0.0,92.0,0.91,,3.0,,,9.0,6.0,9.0,13.0,7.0,10.0,4.0,3.0,2.0,0.0,87.5,90.9,54.0,52.0,0.0,1,8.0,28.0,0,,11077.0,0.0,0.0
20,,,,第3节,3.5,0.83,-3.5,0.83,92.0,0.0,92.0,0.91,,3.0,,,9.0,6.0,9.0,13.0,7.0,10.0,4.0,3.0,2.0,0.0,87.5,90.9,54.0,52.0,0.0,1,8.0,28.0,0,,11077.0,0.0,0.0
21,,,,第3节,3.5,0.83,-3.5,0.83,92.0,0.0,92.0,0.91,,3.0,,,9.0,6.0,9.0,13.0,7.0,10.0,4.0,3.0,2.0,0.0,87.5,90.9,54.0,52.0,0.0,1,8.0,25.0,0,,11077.0,0.0,0.0
22,,,,第3节,3.5,0.83,-3.5,0.83,92.0,0.0,92.0,0.91,,3.0,,,9.0,6.0,10.0,13.0,7.0,10.0,4.0,3.0,2.0,0.0,87.5,90.9,54.0,52.0,0.0,1,8.0,25.0,0,,11074.0,0.0,0.0
23,,,,第3节,3.5,0.83,-3.5,0.83,92.0,0.0,92.0,0.91,,3.0,,,9.0,6.0,10.0,13.0,7.0,10.0,4.0,3.0,2.0,0.0,87.5,90.9,54.0,54.0,0.0,1,8.0,25.0,0,,21077.0,0.0,0.0
24,,,,第3节,3.5,0.83,-3.5,0.83,92.0,0.0,92.0,0.91,,3.0,,,9.0,6.0,10.0,13.0,7.0,10.0,4.0,3.0,2.0,1.0,87.5,90.9,54.0,54.0,0.0,1,8.0,25.0,0,,21086.0,0.0,0.0
25,,,,第3节,3.5,0.83,-3.5,0.83,92.0,0.0,92.0,0.91,,3.0,,,9.0,6.0,10.0,13.0,7.0,10.0,4.0,3.0,2.0,1.0,87.5,90.9,54.0,54.0,0.0,1,8.0,25.0,0,,11077.0,0.0,0.0
26,,,,第3节,3.5,0.83,-3.5,0.83,92.0,0.0,92.0,0.91,,3.0,1:1,,9.0,6.0,10.0,13.0,7.0,10.0,4.0,3.0,2.0,1.0,87.5,90.9,54.0,54.0,0.0,1,8.0,25.0,0,,11078.0,0.0,0.0
27,,,,第3节,3.5,0.83,-3.5,0.83,92.0,0.0,92.0,0.91,,3.0,1:1,,9.0,6.0,10.0,13.0,7.0,10.0,4.0,3.0,2.0,1.0,77.8,90.9,54.0,54.0,0.0,1,8.0,25.0,0,,11080.0,0.0,0.0
28,,,,第3节,3.5,0.83,-3.5,0.83,92.0,0.0,92.0,0.91,,3.0,,,9.0,6.0,10.0,13.0,7.0,10.0,4.0,3.0,2.0,1.0,77.8,90.9,54.0,54.0,0.0,1,8.0,24.0,0,,21077.0,0.0,0.0
29,,,,第3节,3.5,0.83,-3.5,0.83,92.0,0.0,92.0,0.91,,3.0,,,9.0,6.0,10.0,14.0,7.0,10.0,4.0,3.0,2.0,1.0,77.8,90.9,54.0,56.0,0.0,1,8.0,24.0,0,,21074.0,0.0,0.0
30,,,,第3节,3.5,0.83,-3.5,0.83,92.0,0.0,92.0,0.91,,3.0,,,9.0,6.0,10.0,14.0,7.0,10.0,4.0,3.0,2.0,1.0,77.8,90.9,56.0,54.0,0.0,1,8.0,24.0,0,,11077.0,0.0,0.0
