,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,,第2节,19.5,0.87,-19.5,0.8,164.5,0.83,164.5,0.83,,,,,2.0,0.0,8.0,7.0,8.0,3.0,5.0,4.0,0.0,3.0,88.9,75.0,30.0,17.0,0.0,1,6.0,57.0,0,,11078,0.0,0.0
1,,,,第2节,19.5,0.87,-19.5,0.8,164.5,0.83,164.5,0.83,,,,,2.0,0.0,8.0,7.0,8.0,3.0,5.0,4.0,0.0,3.0,80.0,75.0,30.0,17.0,0.0,1,6.0,57.0,0,,11080.0,0.0,0.0
2,,,,第2节,19.5,0.87,-19.5,0.8,164.5,0.83,164.5,0.83,,,,,2.0,0.0,8.0,7.0,8.0,3.0,5.0,4.0,0.0,3.0,80.0,75.0,30.0,17.0,0.0,1,6.0,54.0,0,,21077.0,0.0,0.0
3,,,,第2节,19.5,0.83,-18.5,0.83,164.5,0.83,164.5,0.83,-18.5,,,,2.0,0.0,8.0,7.0,8.0,3.0,5.0,4.0,0.0,3.0,80.0,75.0,30.0,17.0,0.0,1,6.0,54.0,0,,21077.0,0.0,0.0
4,,,,第2节,18.5,0.83,-18.5,0.83,164.5,0.83,162.5,0.83,18.5,,,,2.0,0.0,8.0,7.0,8.0,3.0,5.0,4.0,0.0,3.0,80.0,75.0,30.0,17.0,0.0,1,6.0,54.0,0,,21077.0,0.0,0.0
5,,,,第2节,18.5,0.83,-18.5,0.83,162.5,0.83,162.5,0.83,162.5,,,,2.0,0.0,8.0,7.0,8.0,3.0,5.0,4.0,0.0,3.0,80.0,75.0,30.0,17.0,0.0,1,6.0,54.0,0,,21077.0,0.0,0.0
6,,,,第2节,18.5,0.83,-18.5,0.83,162.5,0.83,162.5,0.83,162.5,,,,2.0,0.0,8.0,7.0,8.0,3.0,5.0,4.0,0.0,3.0,80.0,75.0,30.0,17.0,0.0,1,6.0,33.0,0,,11077.0,0.0,0.0
7,,,,第2节,18.5,0.8,-19.5,0.87,162.5,0.83,162.5,0.83,-19.5,,,,2.0,0.0,8.0,7.0,8.0,3.0,5.0,4.0,0.0,3.0,80.0,75.0,30.0,17.0,0.0,1,6.0,33.0,0,,11077.0,0.0,0.0
8,,,,第2节,19.5,0.8,-19.5,0.87,162.5,0.83,160.5,0.83,19.5,,,,2.0,0.0,8.0,7.0,8.0,3.0,5.0,4.0,0.0,3.0,80.0,75.0,30.0,17.0,0.0,1,6.0,33.0,0,,11077.0,0.0,0.0
9,,,,第2节,19.5,0.8,-19.5,0.87,160.5,0.83,160.5,0.83,160.5,,,,2.0,0.0,8.0,7.0,8.0,3.0,5.0,4.0,0.0,3.0,80.0,75.0,30.0,17.0,0.0,1,6.0,33.0,0,,11077.0,0.0,0.0
10,,,,第2节,19.5,0.8,-19.5,0.83,160.5,0.83,160.5,0.83,160.5,,,,2.0,0.0,8.0,7.0,8.0,3.0,5.0,4.0,0.0,3.0,80.0,75.0,30.0,17.0,0.0,1,6.0,33.0,0,,21077.0,0.0,0.0
11,,,,第2节,19.5,0.83,-18.5,0.83,160.5,0.83,160.5,0.83,-18.5,,,,2.0,0.0,8.0,7.0,8.0,3.0,5.0,4.0,0.0,3.0,80.0,75.0,30.0,17.0,0.0,1,6.0,33.0,0,,21077.0,0.0,0.0
12,,,,第2节,18.5,0.83,-18.5,0.83,160.5,0.83,159.5,0.83,18.5,,,,2.0,0.0,8.0,7.0,8.0,3.0,5.0,4.0,0.0,3.0,80.0,75.0,30.0,17.0,0.0,1,6.0,33.0,0,,21077.0,0.0,0.0
13,,,,第2节,18.5,0.83,-18.5,0.83,159.5,0.83,159.5,0.83,159.5,,,,2.0,0.0,8.0,7.0,8.0,3.0,5.0,4.0,0.0,3.0,80.0,75.0,30.0,17.0,0.0,1,6.0,33.0,0,,21077.0,0.0,0.0
14,,,,第2节,18.5,0.83,-18.5,0.83,159.5,0.83,159.5,0.83,159.5,,,,2.0,0.0,8.0,7.0,8.0,3.0,5.0,4.0,0.0,3.0,80.0,75.0,30.0,17.0,0.0,1,6.0,18.0,0,,21077.0,0.0,0.0
15,,,,第2节,18.5,0.83,-18.5,0.83,159.5,0.83,159.5,0.83,159.5,,,,2.0,0.0,8.0,7.0,8.0,3.0,5.0,4.0,0.0,3.0,80.0,75.0,30.0,17.0,0.0,1,6.0,18.0,0,,21077.0,0.0,0.0
16,,,,第2节,18.5,0.83,-18.5,0.83,159.5,0.83,159.5,0.83,159.5,,,,2.0,0.0,8.0,7.0,8.0,3.0,5.0,4.0,0.0,3.0,80.0,75.0,30.0,17.0,0.0,1,6.0,12.0,0,,21077.0,0.0,0.0
17,,,,第2节,18.5,0.83,-18.5,0.83,159.5,0.83,159.5,0.83,159.5,,,,2.0,0.0,8.0,7.0,8.0,3.0,5.0,4.0,1.0,3.0,80.0,75.0,30.0,17.0,0.0,1,6.0,12.0,0,,11086.0,0.0,0.0
18,,,,第2节,18.5,0.83,-18.5,0.83,159.5,0.83,159.5,0.83,159.5,,,,2.0,0.0,8.0,7.0,8.0,3.0,5.0,4.0,1.0,3.0,80.0,75.0,30.0,17.0,0.0,1,6.0,12.0,0,,21077.0,0.0,0.0
19,,,,第2节,18.5,0.87,-18.5,0.8,158.5,0.83,158.5,0.83,158.5,,,,2.0,0.0,8.0,7.0,8.0,3.0,5.0,4.0,1.0,3.0,80.0,75.0,30.0,17.0,0.0,1,6.0,12.0,0,,11077.0,0.0,0.0
20,,,,第2节,18.5,0.87,-18.5,0.8,158.5,0.83,158.5,0.83,158.5,,,1.0,2.0,0.0,8.0,7.0,8.0,3.0,5.0,4.0,1.0,4.0,80.0,75.0,30.0,17.0,0.0,1,6.0,12.0,0,,21086.0,0.0,0.0
21,,,,第2节,18.5,0.83,-19.5,0.83,158.5,0.83,158.5,0.83,-19.5,,,1.0,2.0,0.0,8.0,7.0,8.0,3.0,5.0,4.0,1.0,4.0,80.0,75.0,30.0,17.0,0.0,1,6.0,12.0,0,,11077.0,0.0,0.0
22,,,,第2节,19.5,0.83,-19.5,0.83,158.5,0.83,159.5,0.83,19.5,,,1.0,2.0,0.0,8.0,7.0,8.0,3.0,5.0,4.0,1.0,4.0,80.0,75.0,30.0,17.0,0.0,1,6.0,12.0,0,,11077.0,0.0,0.0
23,,,,第2节,19.5,0.83,-19.5,0.83,159.5,0.83,159.5,0.83,159.5,,,1.0,2.0,0.0,8.0,7.0,8.0,3.0,5.0,4.0,1.0,4.0,80.0,75.0,30.0,17.0,0.0,1,6.0,12.0,0,,11077.0,0.0,0.0
24,,,,第2节,19.5,0.83,-19.5,0.83,159.5,0.83,159.5,0.83,159.5,,,1.0,2.0,0.0,8.0,7.0,8.0,3.0,5.0,4.0,1.0,4.0,80.0,75.0,30.0,17.0,0.0,1,6.0,3.0,0,,11077.0,0.0,0.0
25,,,,第2节,19.5,0.83,-19.5,0.83,159.5,0.83,159.5,0.83,159.5,,,1.0,2.0,0.0,8.0,7.0,8.0,3.0,5.0,4.0,1.0,4.0,80.0,75.0,30.0,17.0,0.0,1,5.0,3.0,0,,21077.0,0.0,0.0
26,,,,第2节,19.5,0.83,-19.5,0.83,159.5,0.83,159.5,0.83,159.5,,,1.0,2.0,0.0,8.0,7.0,8.0,3.0,5.0,4.0,1.0,4.0,80.0,75.0,30.0,17.0,0.0,1,5.0,41.0,0,,21077.0,0.0,0.0
27,,,,第2节,19.5,0.8,-19.5,0.87,156.5,0.83,156.5,0.83,156.5,,,1.0,2.0,0.0,8.0,7.0,8.0,3.0,5.0,4.0,1.0,4.0,80.0,75.0,30.0,17.0,0.0,1,5.0,41.0,0,,21077.0,0.0,0.0
