,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HD,MD,OD,PG,S1,S1_a,S1_h,S2,S2_a,S2_h,S3,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6,S6_a,S6_h,SC,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,上半场,-1.5,1.05,1.5,0.74,,,,,,2,2,,7,6,,0,0,4,4,0,0,,0.0,0.0,,20,18,0.0,1,0.0,13.0,0,,11075,0.61,1.35
1,,上半场,-1.5,1.1,1.5,0.71,,,0.0,,,2,2,,7,6,,0,0,4,4,0,0,,0.0,0.0,,20,18,0.0,1,0.0,13.0,0,,11075,0.61,1.35
2,,上半场,-1.5,0.87,-1.5,0.87,-1.5,,0.0,,,2,2,,7,6,,0,0,4,4,0,0,,0.0,0.0,,20,18,0.0,1,0.0,13.0,0,,11075,0.61,1.35
3,,上半场,1.5,0.87,-1.5,0.87,1.5,,0.0,,,2,2,8.0,7,6,,0,0,4,4,0,0,,0.0,0.0,22.0,22,18,0.0,1,0.0,13.0,0,,11074.0,0.61,1.35
4,,上半场,1.5,0.87,-1.5,0.87,1.5,,0.0,,,2,2,8.0,7,6,,0,0,4,4,0,0,,0.0,0.0,22.0,22,18,1.0,1,0.0,13.0,0,,11074.0,0.61,1.35
5,,上半场,1.5,0.87,-1.5,0.87,1.5,,0.0,,,2,2,8.0,7,6,,0,0,4,4,0,0,,0.0,0.0,22.0,22,18,1.0,1,0.0,13.0,1.0,,11077.0,0.61,1.35
6,,上半场,1.5,0.95,-1.5,0.8,1.5,,0.0,,3.0,2,2,8.0,7,6,,0,0,4,4,0,0,,0.0,0.0,25.0,25,18,1.0,1,0.0,13.0,1.0,,11075.0,0.61,1.35
7,,上半场,1.5,0.95,-1.5,0.8,1.5,,0.0,,3.0,2,2,8.0,7,6,,0,0,4,4,0,0,,0.0,0.0,25.0,25,18,1.0,1,0.0,13.0,1.0,,11075.0,0.61,1.35
8,,上半场,1.5,0.95,-3.5,0.8,-3.5,,0.0,,3.0,2,2,8.0,7,6,,0,0,4,4,0,0,,0.0,0.0,25.0,25,18,1.0,1,0.0,13.0,1.0,,11075.0,0.61,1.35
9,,上半场,3.5,0.91,-3.5,0.83,3.5,,0.0,,3.0,2,2,8.0,7,6,,0,0,4,4,0,0,,0.0,0.0,25.0,25,18,0.0,1,0.0,13.0,1.0,,21077.0,0.61,1.35
