,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,OD,PG,PI,S1,S1_a,S2,S2_a,S3,S3_a,S4,S4_a,S5,S5_a,S6,S6_a,SC,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,,,4.5,0.87,-4.5,0.8,176.5,0.87,176.5,0.8,,,,,,,6,,11,,7,,3,,0,,58.3,,47,,0.0,1,10.0,0.0,0,20180721011458,01077,1.75,0.0
1,,,,,4.5,0.87,-4.5,0.8,176.5,0.87,176.5,0.8,,,,,,,6,,11,,7,,3,,0,,58.3,,47,,0.0,1,10.0,0.0,1.0,20180721013024.0,01077,1.75,0.0
2,,,,,4.5,0.87,-4.5,0.8,176.5,0.83,176.5,0.83,,,,,,,6,,11,,7,,3,,0,,58.3,,47,,0.0,1,10.0,0.0,1.0,20180721013024.0,1089.0,1.75,0.0
3,,,,,4.5,0.87,-4.5,0.8,176.5,0.83,176.5,0.83,,,,,,,6,,11,,7,,3,,0,,58.3,,47,,0.0,1,9.0,52.0,1.0,20180721013032.0,1089.0,1.75,0.0
4,,,,,4.5,0.87,-4.5,0.8,175.5,0.83,176.5,0.83,175.5,,,,,,6,,11,,7,,3,,0,,58.3,,47,,0.0,1,9.0,52.0,1.0,20180721013032.0,1089.0,1.75,0.0
5,,,,,4.5,0.87,-4.5,0.8,175.5,0.83,175.5,0.83,175.5,,,,,,6,,11,,7,,3,,0,,58.3,,47,,0.0,1,9.0,44.0,1.0,20180721013040.0,1089.0,1.75,0.0
6,,,,,4.5,0.87,-4.5,0.8,175.5,0.83,175.5,0.83,175.5,,,,,,6,,11,,7,,3,,0,,58.3,,47,,0.0,1,9.0,44.0,1.0,20180721013040.0,1089.0,1.75,0.0
7,,,,,4.5,0.87,-4.5,0.8,175.5,0.83,175.5,0.83,175.5,,,,,,6,,11,,7,,3,,0,,58.3,,47,,0.0,1,9.0,42.0,0.0,20180721013042.0,1089.0,1.75,0.0
8,,,,,4.5,0.87,-4.5,0.8,175.5,0.83,175.5,0.83,175.5,,,,,,6,,11,,7,,3,,0,,58.3,,47,,0.0,1,9.0,42.0,0.0,20180721013042.0,1089.0,1.75,0.0
9,,,,,4.5,0.87,-4.5,0.8,175.5,0.83,175.5,0.83,175.5,,,,,,6,,11,,7,,3,,0,,58.3,,47,,0.0,1,9.0,42.0,0.0,20180721013043.0,1089.0,1.75,0.0
10,,,,,4.5,0.87,-4.5,0.8,175.5,0.83,175.5,0.83,175.5,,,,,,6,,11,,7,,3,,0,,58.3,,47,,0.0,1,9.0,42.0,0.0,20180721013043.0,11095.0,1.75,0.0
11,,,,,4.5,0.87,-4.5,0.8,175.5,0.83,175.5,0.83,175.5,,,,,,6,,11,,7,,3,,0,,58.3,,47,,0.0,1,9.0,42.0,0.0,20180721013047.0,11095.0,1.75,0.0
12,,,,,4.5,0.87,-4.5,0.8,175.5,0.83,175.5,0.83,175.5,,,,,,6,,11,,7,,3,,0,,58.3,,47,,0.0,1,9.0,42.0,0.0,20180721013047.0,11077.0,1.75,0.0
13,,,,,4.5,0.87,-4.5,0.8,175.5,0.83,175.5,0.83,175.5,,,,,,6,,11,,7,,3,,0,,58.3,,47,,0.0,1,9.0,42.0,0.0,20180721013050.0,11077.0,1.75,0.0
14,,,,,4.5,0.87,-4.5,0.8,175.5,0.83,175.5,0.83,175.5,,,,,,6,,11,,7,,3,,0,,58.3,,47,,0.0,1,9.0,42.0,0.0,20180721013050.0,11077.0,1.75,0.0
15,,,,,4.5,0.87,-4.5,0.8,175.5,0.83,175.5,0.83,175.5,,,,,,6,,11,,7,,3,,0,,58.3,,47,,0.0,1,9.0,42.0,0.0,20180721013051.0,11077.0,1.75,0.0
16,,,,,4.5,0.87,-4.5,0.8,176.5,0.83,175.5,0.83,176.5,,0.0,,,,6,,11,,7,,3,,0,,58.3,,47,,0.0,1,9.0,42.0,0.0,20180721013051.0,21086.0,1.75,0.0
17,,,,,4.5,0.87,-4.5,0.8,176.5,0.83,176.5,0.83,176.5,,0.0,,,,6,,11,,7,,3,,0,,58.3,,47,,0.0,1,9.0,42.0,0.0,20180721013053.0,21086.0,1.75,0.0
18,,,,,5.5,0.87,-5.5,0.8,176.5,0.83,176.5,0.83,5.5,,0.0,1:2,,,6,,11,,7,,3,,0,,58.3,,47,,0.0,1,9.0,42.0,0.0,20180721013053.0,11078.0,1.75,0.0
19,,,,,5.5,0.87,-5.5,0.8,176.5,0.8,176.5,0.83,-5.5,,0.0,1:2,,,6,,11,,7,,3,,0,,58.3,,47,,0.0,1,9.0,42.0,0.0,20180721013053.0,11078.0,1.75,0.0
20,,,,,5.5,0.87,-5.5,0.8,177.5,0.8,176.5,0.87,177.5,,0.0,1:2,,,6,,11,,7,,3,,0,,58.3,,47,,0.0,1,9.0,42.0,0.0,20180721013053.0,11078.0,1.75,0.0
21,,,,,5.5,0.87,-5.5,0.8,177.5,0.8,177.5,0.87,177.5,,0.0,1:2,,,6,,11,,7,,3,,0,,58.3,48.0,48,43.0,0.0,1,9.0,42.0,0.0,20180721013110.0,11078.0,1.75,0.0
22,,,,,6.5,0.8,-6.5,0.8,177.5,0.8,177.5,0.87,6.5,,0.0,1:2,,,6,,11,,7,,3,,0,,58.3,48.0,48,43.0,0.0,1,9.0,42.0,0.0,20180721013110.0,11078.0,1.75,0.0
23,,,,,6.5,0.8,-6.5,0.87,177.5,0.83,177.5,0.87,-6.5,,0.0,1:2^2:2,,,6,,11,8.0,7,,3,,0,61.5,58.3,48.0,48,43.0,0.0,1,9.0,42.0,0.0,20180721013110.0,11079^11078,1.75,0.0
24,,,,,6.5,0.8,-6.5,0.87,177.5,0.83,177.5,0.83,-6.5,,0.0,1:2^2:2,,,6,,11,8.0,7,,3,,0,61.5,58.3,49.0,49,43.0,0.0,1,9.0,42.0,0.0,20180721013121.0,11079^11078,1.75,0.0
25,,,,,6.5,0.83,-6.5,0.83,177.5,0.83,177.5,0.83,-6.5,,0.0,2:2^,,,6,,11,9.0,7,,3,,0,64.3,58.3,49.0,49,43.0,0.0,1,9.0,42.0,0.0,20180721013121.0,11079^21077,1.75,0.0
26,,,,,6.5,0.83,-6.5,0.83,177.5,0.83,177.5,0.83,-6.5,,0.0,,,,6,,11,9.0,7,,3,,0,64.3,58.3,49.0,49,43.0,0.0,1,9.0,42.0,1.0,20180721013123.0,21077.0,1.75,0.0
27,,,,,6.5,0.83,-6.5,0.83,177.5,0.8,177.5,0.87,-6.5,,0.0,,,,6,,11,9.0,7,,3,,0,64.3,58.3,49.0,49,43.0,0.0,1,9.0,42.0,1.0,20180721013123.0,21077.0,1.75,0.0
28,,,,,6.5,0.83,-6.5,0.83,177.5,0.8,177.5,0.87,-6.5,,0.0,,,,6,,11,9.0,7,,3,,0,64.3,58.3,49.0,49,43.0,0.0,1,9.0,34.0,1.0,20180721013131.0,21077.0,1.75,0.0
29,,,,,6.5,0.83,-6.5,0.83,176.5,0.83,177.5,0.83,176.5,,0.0,,,,6,,11,9.0,7,,3,,0,64.3,58.3,49.0,49,43.0,0.0,1,9.0,34.0,1.0,20180721013131.0,21077.0,1.75,0.0
