,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,OD,PG,PI,S1,S1_a,S2,S2_a,S3,S3_a,S4,S4_a,S5,S5_a,S6,S6_a,SC,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,,,11.5,0.83,-11.5,0.83,138.5,0.87,138.5,0.8,,,,,,,3,,3,,1,,5,,0,,50.0,,16,,0.0,1,2.0,21.0,0,20180721014050,21081,0.0,0.0
1,,,,,11.5,0.83,-11.5,0.83,138.5,0.83,138.5,0.8,,,0.0,,,,3,,3,,1,,5,,0,,50.0,,16,,0.0,1,2.0,21.0,0,20180721014050,21081,0.0,0.0
2,,,,,11.5,0.83,-11.5,0.83,138.5,0.83,138.5,0.83,,,0.0,,,,3,,3,,1,,5,,0,,50.0,,16,,0.0,1,2.0,21.0,0,20180721014218.0,21081,0.0,0.0
3,,,,,11.5,0.8,-11.5,0.87,139.5,0.8,138.5,0.83,139.5,,0.0,^1:2^2:2,,,3,,3,,1,,5,,0,33.3,50.0,,16,,0.0,1,2.0,21.0,0,20180721014218.0,11077^11080^11078,0.0,0.0
4,,,,,11.5,0.8,-11.5,0.87,139.5,0.8,139.5,0.87,139.5,,0.0,^1:2^2:2,,,3,,3,,1,,5,,0,33.3,50.0,17.0,17,9.0,0.0,1,2.0,21.0,0,20180721014230.0,11077^11080^11078,0.0,0.0
5,,,,,11.5,0.83,-11.5,0.83,139.5,0.8,139.5,0.87,139.5,,0.0,2:2^,,,3,,3,2.0,1,,5,,0,50.0,50.0,17.0,17,9.0,0.0,1,2.0,21.0,0,20180721014230.0,11079^21077,0.0,0.0
6,,,,,11.5,0.83,-11.5,0.83,139.5,0.8,139.5,0.87,139.5,,0.0,,,,3,,3,2.0,1,,5,,0,50.0,50.0,17.0,17,9.0,0.0,1,2.0,21.0,1.0,20180721014231.0,21077.0,0.0,0.0
7,,,,,11.5,0.83,-11.5,0.83,138.5,0.83,139.5,0.83,138.5,,0.0,,,,3,,3,2.0,1,,5,,0,50.0,50.0,17.0,17,9.0,0.0,1,2.0,21.0,1.0,20180721014231.0,21077.0,0.0,0.0
8,,,,,11.5,0.83,-11.5,0.83,138.5,0.83,138.5,0.83,138.5,,0.0,,,,3,,3,2.0,1,,5,,0,50.0,50.0,17.0,17,9.0,0.0,1,2.0,13.0,1.0,20180721014239.0,21077.0,0.0,0.0
9,,,,,11.5,0.83,-11.5,0.83,137.5,0.87,138.5,0.8,137.5,,0.0,,,,3,,3,2.0,1,,5,,0,50.0,50.0,17.0,17,9.0,0.0,1,2.0,13.0,1.0,20180721014239.0,21077.0,0.0,0.0
10,,,,,11.5,0.83,-11.5,0.83,137.5,0.87,137.5,0.8,137.5,,0.0,,,,3,,3,2.0,1,,5,,0,50.0,50.0,17.0,17,9.0,0.0,1,2.0,5.0,1.0,20180721014247.0,21077.0,0.0,0.0
11,,,,,11.5,0.83,-11.5,0.83,137.5,0.83,137.5,0.83,137.5,,0.0,,,,3,,3,2.0,1,,5,,0,50.0,50.0,17.0,17,9.0,0.0,1,2.0,5.0,1.0,20180721014247.0,21077.0,0.0,0.0
12,,,,,11.5,0.83,-11.5,0.83,137.5,0.83,137.5,0.83,137.5,,0.0,,,,3,,3,2.0,1,,5,,0,50.0,50.0,17.0,17,9.0,0.0,1,1.0,57.0,1.0,20180721014255.0,21077.0,0.0,0.0
13,,,,,11.5,0.83,-11.5,0.83,137.5,0.83,137.5,0.83,137.5,,0.0,,,,3,,3,2.0,1,,5,,0,50.0,50.0,17.0,17,9.0,0.0,1,1.0,57.0,1.0,20180721014255.0,21077.0,0.0,0.0
14,,,,,11.5,0.83,-11.5,0.83,137.5,0.83,137.5,0.83,137.5,,0.0,,,,3,,3,2.0,1,,5,,0,50.0,50.0,17.0,17,9.0,0.0,1,1.0,56.0,0.0,20180721014256.0,21077.0,0.0,0.0
15,,,,,11.5,0.83,-11.5,0.83,137.5,0.83,137.5,0.83,137.5,,0.0,,,,3,,3,2.0,1,,5,,0,50.0,50.0,17.0,17,9.0,0.0,1,1.0,56.0,0.0,20180721014256.0,21077.0,0.0,0.0
16,,,,,11.5,0.83,-11.5,0.83,137.5,0.83,137.5,0.83,137.5,,0.0,,,,3,,3,2.0,1,,5,,0,50.0,50.0,17.0,17,9.0,0.0,1,1.0,56.0,0.0,20180721014257.0,21077.0,0.0,0.0
17,,,,,11.5,0.83,-11.5,0.83,137.5,0.83,137.5,0.83,137.5,,0.0,,,,3,,3,2.0,1,,5,,0,50.0,50.0,17.0,17,9.0,0.0,1,1.0,56.0,0.0,20180721014257.0,21095.0,0.0,0.0
18,,,,,11.5,0.83,-11.5,0.83,137.5,0.83,137.5,0.83,137.5,,0.0,,,,3,,3,2.0,1,,5,,0,50.0,50.0,17.0,17,9.0,0.0,1,1.0,56.0,0.0,20180721014302.0,21095.0,0.0,0.0
19,,,,,11.5,0.83,-11.5,0.83,137.5,0.83,137.5,0.83,137.5,,0.0,,,,3,,3,2.0,1,,5,,0,50.0,50.0,17.0,17,9.0,0.0,1,1.0,56.0,0.0,20180721014302.0,21077.0,0.0,0.0
20,,,,,11.5,0.83,-11.5,0.83,137.5,0.83,137.5,0.83,137.5,,0.0,,,,3,,3,2.0,1,,5,,0,50.0,50.0,17.0,17,9.0,0.0,1,1.0,56.0,1.0,20180721014319.0,21077.0,0.0,0.0
