,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,OD,PG,SC_a,SC_h,SU,TD,TM,TO,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,,第1节,-4.5,0.83,4.5,0.83,170.5,0.83,170.5,0.83,,,,,,,0.0,1,10.0,,0.0,0,,,0.0,1.5
1,,,,第1节,-4.5,0.83,4.5,0.83,170.5,0.83,170.5,0.83,,,,,,,1.0,1,10.0,,0.0,0,,,0.0,1.5
2,,,,第1节,-4.5,0.83,4.5,0.83,170.5,0.83,170.5,0.83,,,,,,,1.0,1,10.0,,0.0,0,,,0.0,1.5
3,,,,第1节,-4.5,0.83,4.5,0.83,170.5,0.83,170.5,0.83,,,,,,,1.0,1,10.0,,0.0,0,,,0.0,1.5
4,,,,第1节,-4.5,0.83,4.5,0.83,170.5,0.83,170.5,0.83,,,,,,,1.0,1,10.0,,0.0,0,,,0.0,1.5
5,,,,第1节,-4.5,0.83,4.5,0.83,170.5,0.83,170.5,0.83,,,,,,,1.0,1,10.0,,0.0,0,,,0.0,1.5
6,,,,第1节,-4.5,0.83,4.5,0.83,170.5,0.83,170.5,0.83,,1.0,,,,,1.0,1,10.0,,0.0,0,,1087.0,0.0,1.5
7,,,,第1节,-4.5,0.83,4.5,0.83,170.5,0.83,170.5,0.83,,1.0,,,,,1.0,1,9.0,GD,55.0,0,,21077.0,0.0,1.5
8,,,,第1节,-4.5,0.83,4.5,0.83,170.5,0.83,170.5,0.83,,1.0,,,,,0.0,1,9.0,GD,55.0,0,,21077.0,0.0,1.5
9,,,,第1节,-4.5,0.83,4.5,0.83,170.5,0.83,170.5,0.83,,1.0,,,,,0.0,1,9.0,GD,55.0,0,,21075.0,0.0,1.5
10,,,,第1节,-4.5,0.83,4.5,0.83,170.5,0.83,170.5,0.83,,1.0,,,0.0,3.0,0.0,1,9.0,GD,55.0,0,,11077.0,0.0,1.5
11,,,,第1节,-4.5,0.83,6.5,0.83,170.5,0.83,170.5,0.83,6.5,1.0,,,0.0,3.0,0.0,1,9.0,GD,55.0,0,,11077.0,0.0,1.5
12,,,,第1节,-6.5,0.83,6.5,0.83,170.5,0.83,170.5,0.83,-6.5,1.0,,,0.0,3.0,0.0,1,9.0,GD,43.0,0,,11077.0,0.0,1.5
13,,,,第1节,-6.5,0.83,6.5,0.83,170.5,0.83,170.5,0.83,-6.5,1.0,,,0.0,3.0,0.0,1,9.0,GD,43.0,0,,21077.0,0.0,1.5
14,,,,第1节,-6.5,0.83,6.5,0.83,170.5,0.83,170.5,0.83,-6.5,1.0,,,0.0,3.0,0.0,1,9.0,GD,25.0,0,,21077.0,0.0,1.5
15,,,,第1节,-6.5,0.83,6.5,0.83,170.5,0.83,170.5,0.83,-6.5,1.0,,,0.0,3.0,1.0,1,9.0,GD,25.0,0,,21077.0,0.0,1.5
16,,,,第1节,-6.5,0.83,6.5,0.83,170.5,0.83,170.5,0.83,-6.5,1.0,,,0.0,3.0,1.0,1,9.0,GD,19.0,0,,21077.0,0.0,1.5
17,,,,第1节,-6.5,0.83,6.5,0.83,170.5,0.83,170.5,0.83,-6.5,1.0,,,0.0,3.0,1.0,1,9.0,GD,19.0,0,,21074.0,0.0,1.5
18,,,,第1节,-6.5,0.83,6.5,0.83,170.5,0.83,170.5,0.83,-6.5,1.0,,,0.0,5.0,1.0,1,9.0,GD,19.0,0,,11077.0,0.0,1.5
19,,,,第1节,-6.5,0.83,8.5,0.83,170.5,0.83,170.5,0.83,8.5,1.0,,,0.0,5.0,1.0,1,9.0,GD,19.0,0,,11077.0,0.0,1.5
20,,,,第1节,-8.5,0.83,8.5,0.83,170.5,0.83,170.5,0.83,-8.5,1.0,,,0.0,5.0,0.0,1,9.0,GD,19.0,0,,11077.0,0.0,1.5
21,,,,第1节,-8.5,0.83,8.5,0.83,170.5,0.83,170.5,0.83,-8.5,1.0,,,0.0,5.0,0.0,1,8.0,GD,59.0,0,,21077.0,0.0,1.5
22,,,,第1节,-8.5,0.83,7.5,0.83,170.5,0.83,170.5,0.83,7.5,1.0,,,0.0,5.0,0.0,1,8.0,GD,59.0,0,,21077.0,0.0,1.5
23,,,,第1节,-7.5,0.83,7.5,0.83,170.5,0.83,170.5,0.83,-7.5,1.0,,,0.0,5.0,0.0,1,8.0,GD,49.0,0,,21077.0,0.0,1.5
24,,,,第1节,-7.5,0.83,7.5,0.83,170.5,0.83,170.5,0.83,-7.5,1.0,,,0.0,5.0,0.0,1,8.0,GD,49.0,0,,21074.0,0.0,1.5
25,,,,第1节,-7.5,0.83,7.5,0.83,170.5,0.83,170.5,0.83,-7.5,1.0,,,0.0,7.0,0.0,1,8.0,GD,49.0,0,,11077.0,0.0,1.5
26,,,,第1节,-7.5,0.83,8.5,0.83,170.5,0.83,170.5,0.83,8.5,1.0,,,0.0,7.0,0.0,1,8.0,GD,49.0,0,,11077.0,0.0,1.5
27,,,,第1节,-8.5,0.83,8.5,0.83,170.5,0.83,170.5,0.83,-8.5,1.0,,,0.0,7.0,0.0,1,8.0,GD,31.0,0,,11077.0,0.0,1.5
28,,,,第1节,-8.5,0.8,8.5,0.87,170.5,0.83,170.5,0.83,-8.5,1.0,,,0.0,7.0,0.0,1,8.0,GD,31.0,0,,21077.0,0.0,1.5
29,,,,第1节,-8.5,0.8,8.5,0.87,170.5,0.83,170.5,0.83,-8.5,1.0,,,0.0,7.0,0.0,1,8.0,GD,25.0,0,,21077.0,0.0,1.5
30,,,,第1节,-8.5,0.83,8.5,0.83,170.5,0.83,170.5,0.83,-8.5,1.0,,,0.0,7.0,0.0,1,8.0,GD,25.0,0,,11077.0,0.0,1.5
31,,,,第1节,-8.5,0.83,8.5,0.83,170.5,0.83,170.5,0.83,-8.5,1.0,,,0.0,7.0,0.0,1,8.0,GD,14.0,0,,11077.0,0.0,1.5
32,,,,第1节,-8.5,0.83,8.5,0.83,170.5,0.83,170.5,0.83,-8.5,1.0,,,0.0,7.0,0.0,1,8.0,GD,14.0,0,,11074.0,0.0,1.5
33,,,,第1节,-8.5,0.83,8.5,0.83,170.5,0.83,170.5,0.83,-8.5,1.0,,,2.0,7.0,0.0,1,8.0,GD,14.0,0,,21077.0,0.0,1.5
34,,,,第1节,-8.5,0.83,7.5,0.83,170.5,0.83,170.5,0.83,7.5,1.0,,,2.0,7.0,0.0,1,8.0,GD,14.0,0,,21077.0,0.0,1.5
35,,,,第1节,-7.5,0.83,7.5,0.83,170.5,0.83,170.5,0.83,-7.5,1.0,,,2.0,7.0,0.0,1,8.0,GD,14.0,0,,21074.0,0.0,1.5
36,,,,第1节,-7.5,0.83,7.5,0.83,170.5,0.83,170.5,0.83,-7.5,1.0,,,2.0,9.0,0.0,1,8.0,GD,14.0,0,,11077.0,0.0,1.5
37,,,,第1节,-7.5,0.83,8.5,0.83,170.5,0.83,170.5,0.83,8.5,1.0,,,2.0,9.0,0.0,1,8.0,GD,14.0,0,,11077.0,0.0,1.5
38,,,,第1节,-8.5,0.83,8.5,0.83,170.5,0.83,170.5,0.83,-8.5,1.0,,,2.0,9.0,0.0,1,7.0,GD,59.0,0,,11077.0,0.0,1.5
39,,,,第1节,-8.5,0.83,8.5,0.83,170.5,0.83,170.5,0.83,-8.5,1.0,,,2.0,9.0,0.0,1,7.0,GD,59.0,0,,21077.0,0.0,1.5
40,,,,第1节,-8.5,0.83,8.5,0.83,170.5,0.83,170.5,0.83,-8.5,1.0,,,2.0,9.0,0.0,1,7.0,GD,41.0,0,,21077.0,0.0,1.5
41,,,,第1节,-8.5,0.8,8.5,0.87,170.5,0.83,170.5,0.83,-8.5,1.0,,,2.0,9.0,0.0,1,7.0,GD,41.0,0,,21077.0,0.0,1.5
42,,,,第1节,-8.5,0.8,8.5,0.87,170.5,0.83,170.5,0.83,-8.5,1.0,,,2.0,9.0,0.0,1,7.0,GD,40.0,0,,21077.0,0.0,1.5
43,,,,第1节,-8.5,0.8,8.5,0.87,170.5,0.83,170.5,0.83,-8.5,1.0,,,2.0,9.0,0.0,1,7.0,GD,40.0,0,,11086.0,0.0,1.5
44,,,,第1节,-8.5,0.8,8.5,0.87,170.5,0.83,170.5,0.83,-8.5,1.0,,,2.0,9.0,0.0,1,7.0,GD,26.0,0,,21077.0,0.0,1.5
45,,,,第1节,-8.5,0.8,8.5,0.87,170.5,0.83,170.5,0.83,-8.5,1.0,,,2.0,9.0,0.0,1,7.0,GD,26.0,0,,11086.0,0.0,1.5
46,,,,第1节,-8.5,0.87,9.5,0.8,170.5,0.83,170.5,0.83,9.5,1.0,,,2.0,9.0,0.0,1,7.0,GD,26.0,0,,21077.0,0.0,1.5
47,,,,第1节,-9.5,0.87,9.5,0.8,170.5,0.83,170.5,0.83,-9.5,1.0,,,2.0,9.0,0.0,1,7.0,GD,26.0,0,,21075.0,0.0,1.5
48,,,,第1节,-9.5,0.83,11.5,0.83,170.5,0.83,170.5,0.83,11.5,1.0,,,2.0,9.0,0.0,1,7.0,GD,26.0,0,,11077.0,0.0,1.5
49,,,,第1节,-11.5,0.83,11.5,0.83,170.5,0.83,170.5,0.83,-11.5,1.0,,,2.0,12.0,0.0,1,7.0,GD,26.0,0,,11077.0,0.0,1.5
50,,,,第1节,-11.5,0.83,11.5,0.83,170.5,0.83,170.5,0.83,-11.5,1.0,,,2.0,12.0,0.0,1,7.0,GD,23.0,0,,11077.0,0.0,1.5
51,,,,第1节,-11.5,0.83,11.5,0.83,170.5,0.83,170.5,0.83,-11.5,1.0,,,2.0,12.0,0.0,1,7.0,GD,23.0,0,,11077.0,0.0,1.5
52,,,,第1节,-11.5,0.83,11.5,0.83,170.5,0.83,170.5,0.83,-11.5,1.0,,,2.0,12.0,0.0,1,7.0,GD,6.0,0,,11077.0,0.0,1.5
53,,,,第1节,-11.5,0.83,11.5,0.83,170.5,0.83,170.5,0.83,-11.5,1.0,,,2.0,12.0,0.0,1,7.0,GD,6.0,0,,21086.0,0.0,1.5
54,,,,第1节,-11.5,0.83,11.5,0.83,170.5,0.83,170.5,0.83,-11.5,1.0,,,2.0,12.0,0.0,1,7.0,GD,6.0,0,,11077.0,0.0,1.5
55,,,,第1节,-11.5,0.83,10.5,0.83,170.5,0.83,170.5,0.83,10.5,1.0,,1:2,2.0,12.0,0.0,1,7.0,GD,6.0,0,,11078.0,0.0,1.5
56,,,,第1节,-10.5,0.83,10.5,0.83,170.5,0.83,170.5,0.83,-10.5,1.0,,1:2,2.0,12.0,0.0,1,7.0,GD,6.0,0,,11080.0,0.0,1.5
57,,,,第1节,-10.5,0.83,10.5,0.83,170.5,0.83,170.5,0.83,-10.5,1.0,,2:2,2.0,12.0,0.0,1,7.0,GD,6.0,0,,11078.0,0.0,1.5
58,,,,第1节,-10.5,0.83,10.5,0.83,170.5,0.83,170.5,0.83,-10.5,1.0,,2:2,2.0,12.0,0.0,1,7.0,GD,6.0,0,,11079.0,0.0,1.5
59,,,,第1节,-10.5,0.83,10.5,0.83,170.5,0.83,170.5,0.83,-10.5,1.0,,,3.0,12.0,0.0,1,7.0,GD,6.0,0,,21077.0,0.0,1.5
60,,,,第1节,-10.5,0.83,10.5,0.83,170.5,0.83,170.5,0.83,-10.5,1.0,,,3.0,12.0,0.0,1,6.0,GD,45.0,0,,11077.0,0.0,1.5
61,,,,第1节,-10.5,0.83,10.5,0.83,170.5,0.83,170.5,0.83,-10.5,1.0,,,3.0,12.0,0.0,1,6.0,GD,45.0,0,,11074.0,0.0,1.5
62,,,,第1节,-10.5,0.83,10.5,0.83,170.5,0.83,170.5,0.83,-10.5,1.0,,,5.0,12.0,0.0,1,6.0,GD,45.0,0,,21077.0,0.0,1.5
63,,,,第1节,-10.5,0.87,9.5,0.8,170.5,0.83,170.5,0.83,9.5,1.0,,,5.0,12.0,0.0,1,6.0,GD,45.0,0,,21077.0,0.0,1.5
64,,,,第1节,-9.5,0.87,9.5,0.8,170.5,0.83,170.5,0.83,-9.5,1.0,,,5.0,12.0,0.0,1,6.0,GD,41.0,0,,21077.0,0.0,1.5
65,,,,第1节,-9.5,0.83,8.5,0.83,170.5,0.83,170.5,0.83,8.5,1.0,,,5.0,12.0,0.0,1,6.0,GD,41.0,0,,21077.0,0.0,1.5
66,,,,第1节,-8.5,0.83,8.5,0.83,170.5,0.83,170.5,0.83,-8.5,1.0,,,5.0,12.0,0.0,1,6.0,GD,23.0,0,,11077.0,0.0,1.5
