,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,OD,PG,PI,S1,S1_a,S2,S2_a,S3,S3_a,S4,S4_a,S5,S5_a,S6,S6_a,SC,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,,,7.5,0.87,-7.5,0.8,140.5,0.83,140.5,0.83,,,,,,,5,,9,,6,,5,,1,,42.9,,39,,0.0,1,7.0,21.0,1,20180721012856,11077,0.0,0.0
1,,,,,7.5,0.87,-7.5,0.8,139.5,0.87,140.5,0.8,139.5,,0.0,,,,5,,9,,6,,5,,1,,42.9,,39,,0.0,1,7.0,21.0,1,20180721012856,11077,0.0,0.0
2,,,,,7.5,0.87,-7.5,0.8,139.5,0.87,139.5,0.8,139.5,,0.0,,,,5,,9,,6,,5,,1,,42.9,,39,,0.0,1,7.0,13.0,1,20180721012904.0,11077,0.0,0.0
3,,,,,7.5,0.87,-7.5,0.8,139.5,0.83,139.5,0.83,139.5,,0.0,,,,5,,9,,6,,5,,1,,42.9,,39,,0.0,1,7.0,13.0,1,20180721012904.0,11077,0.0,0.0
4,,,,,7.5,0.87,-7.5,0.8,139.5,0.83,139.5,0.83,139.5,,0.0,,,,5,,9,,6,,5,,1,,42.9,,39,,0.0,1,7.0,5.0,1,20180721012912.0,11077,0.0,0.0
5,,,,,7.5,0.87,-7.5,0.8,142.5,0.83,139.5,0.83,142.5,,0.0,,,,5,,9,,6,,5,,1,,42.9,,39,,0.0,1,7.0,5.0,1,20180721012912.0,11077,0.0,0.0
6,,,,,7.5,0.87,-7.5,0.8,142.5,0.83,142.5,0.83,142.5,,0.0,,,,5,,9,,6,,5,,1,,42.9,42.0,42,33.0,0.0,1,7.0,4.0,1,20180721012914.0,11077,0.0,0.0
7,,,,,9.5,0.83,-9.5,0.8,142.5,0.83,142.5,0.83,9.5,,0.0,,,,5,,9,,6,,5,,1,,42.9,42.0,42,33.0,0.0,1,7.0,4.0,1,20180721012914.0,11077,0.0,0.0
8,,,,,9.5,0.83,-9.5,0.83,142.5,0.83,142.5,0.83,-9.5,,0.0,^,,6.0,5,,9,,6,,5,,1,,42.9,42.0,42,33.0,0.0,1,7.0,4.0,1,20180721012914.0,11075^21077,0.0,0.0
9,,,,,9.5,0.83,-9.5,0.83,142.5,0.8,142.5,0.87,-9.5,,0.0,,,6.0,5,,9,,6,,5,,1,,42.9,42.0,42,33.0,0.0,1,6.0,56.0,1,20180721012923.0,21077.0,0.0,0.0
10,,,,,9.5,0.83,-9.5,0.83,141.5,0.83,142.5,0.83,141.5,,0.0,,,6.0,5,,9,,6,,5,,1,,42.9,42.0,42,33.0,0.0,1,6.0,56.0,1,20180721012923.0,21077.0,0.0,0.0
11,,,,,9.5,0.83,-9.5,0.83,141.5,0.83,141.5,0.83,141.5,,0.0,,,6.0,5,,9,,6,,5,,1,,42.9,42.0,42,33.0,0.0,1,6.0,48.0,1,20180721012931.0,21077.0,0.0,0.0
12,,,,,9.5,0.83,-9.5,0.83,141.5,0.8,141.5,0.87,141.5,,0.0,,,6.0,5,,9,,6,,5,,1,,42.9,42.0,42,33.0,0.0,1,6.0,48.0,1,20180721012931.0,21077.0,0.0,0.0
13,,,,,9.5,0.83,-9.5,0.83,141.5,0.8,141.5,0.87,141.5,,0.0,,,6.0,5,,9,,6,,5,,1,,42.9,42.0,42,33.0,0.0,1,6.0,45.0,0.0,20180721012932.0,21077.0,0.0,0.0
14,,,,,9.5,0.83,-9.5,0.83,141.5,0.83,141.5,0.83,141.5,,0.0,,,6.0,5,,9,,6,,5,,1,,42.9,42.0,42,33.0,0.0,1,6.0,45.0,0.0,20180721012932.0,21077.0,0.0,0.0
15,,,,,9.5,0.83,-9.5,0.83,141.5,0.83,141.5,0.83,141.5,,0.0,,,6.0,5,,9,,6,,5,,1,,42.9,42.0,42,33.0,0.0,1,6.0,46.0,0.0,20180721012933.0,21077.0,0.0,0.0
16,,,,,9.5,0.83,-9.5,0.83,141.5,0.8,141.5,0.87,141.5,,0.0,,,6.0,5,,9,,6,,5,,1,,42.9,42.0,42,33.0,0.0,1,6.0,46.0,0.0,20180721012933.0,21095.0,0.0,0.0
17,,,,,9.5,0.83,-9.5,0.83,141.5,0.8,141.5,0.87,141.5,,0.0,,,6.0,5,,9,,6,,5,,1,,42.9,42.0,42,33.0,0.0,1,6.0,45.0,0.0,20180721012935.0,21095.0,0.0,0.0
18,,,,,10.5,0.83,-10.5,0.83,141.5,0.8,141.5,0.87,10.5,,0.0,,,6.0,5,,9,,6,,5,,1,,42.9,42.0,42,33.0,0.0,1,6.0,45.0,0.0,20180721012935.0,21095.0,0.0,0.0
19,,,,,10.5,0.83,-10.5,0.83,141.5,0.8,141.5,0.87,-10.5,,0.0,,,6.0,5,,9,,6,,5,,1,,42.9,42.0,42,33.0,0.0,1,6.0,45.0,1.0,20180721012946.0,11077.0,0.0,0.0
