,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,OD,PG,PI,S1,S1_a,S2,S2_a,S3,S3_a,S4,S4_a,S5,S5_a,S6,S6_a,SC,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,,,-5.5,0.8,5.5,0.87,185.5,0.83,185.5,0.83,,,,,,,2,,7,,3,,4,,1,,75.0,,23,,0.0,1,7.0,19.0,1,20180721012607,11077,0.0,0.0
1,,,,,-5.5,0.8,5.5,0.87,184.5,0.87,185.5,0.83,184.5,,0.0,,,,2,,7,,3,,4,,1,,75.0,,23,,0.0,1,7.0,19.0,1,20180721012607,11077,0.0,0.0
2,,,,,-5.5,0.8,5.5,0.87,184.5,0.87,184.5,0.8,184.5,,0.0,,,,2,,7,,3,,4,,1,,75.0,,23,,0.0,1,7.0,11.0,1,20180721012615.0,11077,0.0,0.0
3,,,,,-6.5,0.83,6.5,0.87,184.5,0.87,184.5,0.8,-6.5,,0.0,,,,2,,7,,3,,4,,1,,75.0,,23,,0.0,1,7.0,11.0,1,20180721012615.0,11077,0.0,0.0
4,,,,,-6.5,0.83,6.5,0.83,184.5,0.83,184.5,0.83,6.5,,0.0,,,,2,,7,,3,,4,,1,,75.0,,23,,0.0,1,7.0,3.0,1,20180721012623.0,21077.0,0.0,0.0
5,,,,,-6.5,0.83,6.5,0.83,183.5,0.87,184.5,0.8,183.5,,0.0,,,,2,,7,,3,,4,,1,,75.0,,23,,0.0,1,7.0,3.0,1,20180721012623.0,21077.0,0.0,0.0
6,,,,,-6.5,0.83,6.5,0.83,183.5,0.87,183.5,0.8,183.5,,0.0,,,,2,,7,,3,,4,,1,,75.0,,23,,0.0,1,7.0,0.0,0.0,20180721012626.0,21077.0,0.0,0.0
7,,,,,-6.5,0.83,6.5,0.83,183.5,0.87,183.5,0.8,183.5,,0.0,,,,2,,7,,3,,4,,1,,75.0,,23,,0.0,1,7.0,0.0,0.0,20180721012626.0,21077.0,0.0,0.0
8,,,,,-6.5,0.83,6.5,0.83,183.5,0.87,183.5,0.8,183.5,,0.0,,,,2,,7,,3,,4,,1,,75.0,,23,,0.0,1,7.0,0.0,0.0,20180721012628.0,21077.0,0.0,0.0
9,,,,,-6.5,0.83,6.5,0.83,184.5,0.87,183.5,0.8,184.5,,0.0,^,,,2,,7,,3,,4,2.0,1,,75.0,,23,,0.0,1,7.0,0.0,0.0,20180721012628.0,11086^21077,0.0,0.0
10,,,,,-6.5,0.83,6.5,0.83,184.5,0.87,184.5,0.8,184.5,,0.0,^,,,2,,7,,3,,4,2.0,1,,75.0,,23,,0.0,1,7.0,0.0,0.0,20180721012631.0,11086^21077,0.0,0.0
11,,,,,-7.5,0.87,7.5,0.83,184.5,0.87,184.5,0.8,-7.5,,0.0,^,,,2,,7,,3,,4,2.0,1,,75.0,,23,,0.0,1,7.0,0.0,0.0,20180721012631.0,11086^21077,0.0,0.0
