,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,OD,PG,PI,S1,S1_a,S2,S2_a,S3,S3_a,S4,S4_a,S5,S5_a,S6,S6_a,SC,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,,,1.5,0.71,-1.5,1,125.5,0.91,125.5,0.77,,,,,,,3,,11,,7,,2,,3,,53.8,,38,,0,1,3,28,0,2.01807E+13,21094,0.83,0.83
1,,,,,1.5,0.71,-1.5,1,125.5,0.91,125.5,0.77,,,,,,,3,,11,,7,,2,,3,,53.8,,38,,0,1,3,28,1,2.01807E+13,21094,0.83,0.83
2,,,,,1.5,0.71,-1.5,1,125.5,0.83,125.5,0.83,,,,,,,3,,11,,7,,2,,3,,53.8,,38,,0,1,3,28,1,2.01807E+13,21094,0.83,0.83
3,,,,,1.5,0.71,-1.5,1,125.5,0.83,125.5,0.83,,,,,,,3,,11,,7,,2,,3,,53.8,,38,,0,1,3,20,1,2.01807E+13,21094,0.83,0.83
4,,,,,1.5,0.71,-1.5,1,125.5,0.8,125.5,0.87,,,,,,,3,,11,,7,,2,,3,,53.8,,38,,0,1,3,20,1,2.01807E+13,21094,0.83,0.83
5,,,,,1.5,0.71,-1.5,1,125.5,0.8,125.5,0.87,,,,,,,3,,11,,7,,2,,3,,53.8,,38,,0,1,3,15,0,2.01807E+13,21094,0.83,0.83
6,,,,,1.5,0.71,-1.5,1,125.5,0.8,125.5,0.87,,,1,,,,3,,11,,7,,2,,3,,53.8,,38,,0,1,3,15,0,2.01807E+13,21094,0.83,0.83
7,,,,,1.5,0.71,-1.5,1,125.5,0.8,125.5,0.87,,,0.71,,,,3,,11,,7,,2,,3,,53.8,,38,,0,1,3,15,0,2.01807E+13,21094,0.83,0.83
8,,,,,1.5,0.83,-1.5,0.83,125.5,0.8,125.5,0.87,,,0.71,^,1,,3,,11,,7,,2,,3,,53.8,,38,,0,1,3,15,0,2.01807E+13,21086^11077,0.83,0.83
9,,,,,1.5,0.83,-1.5,0.83,125.5,0.8,125.5,0.87,,,0.71,,1,,3,,11,,7,,2,,3,,53.8,,38,,0,1,3,15,1,2.01807E+13,11077,0.83,0.83
10,,,,,1.5,0.83,-1.5,0.83,124.5,0.83,125.5,0.83,124.5,,0.71,,1,,3,,11,,7,,2,,3,,53.8,,38,,0,1,3,15,1,2.01807E+13,11077,0.83,0.83
11,,,,,1.5,0.83,-1.5,0.83,124.5,0.83,124.5,0.83,124.5,,0.71,,1,,3,,11,,7,,2,,3,,53.8,,38,,0,1,3,7,1,2.01807E+13,11077,0.83,0.83
12,,,,,1.5,0.83,-1.5,0.83,124.5,0.8,124.5,0.87,124.5,,0.71,,1,,3,,11,,7,,2,,3,,53.8,,38,,0,1,3,7,1,2.01807E+13,11077,0.83,0.83
13,,,,,1.5,0.83,-1.5,0.83,124.5,0.8,124.5,0.87,124.5,,0.71,,1,,3,,11,,7,,2,,3,,53.8,,38,,0,1,3,1,1,2.01807E+13,11077,0.83,0.83
14,,,,,1.5,0.83,-1.5,0.83,124.5,0.8,124.5,0.87,124.5,,0.83,,1,,3,,11,,7,,2,,3,,53.8,,38,,0,1,3,1,1,2.01807E+13,11095,0.83,0.83
15,,,,,1.5,0.83,-1.5,0.83,124.5,0.8,124.5,0.87,124.5,,0.83,,1,,3,,11,,7,,2,,3,,53.8,,38,,0,1,3,1,1,2.01807E+13,11095,0.83,0.83
16,,,,,1.5,0.71,-1.5,1,123.5,0.83,124.5,0.83,123.5,,0.83,,1,,3,,11,,7,,2,,3,,53.8,,38,,0,1,3,1,1,2.01807E+13,21077,0.83,0.83
17,,,,,1.5,0.71,-1.5,1,123.5,0.83,123.5,0.83,123.5,,0.83,,1,,3,,11,,7,,2,,3,,53.8,,38,,0,1,2,53,1,2.01807E+13,21077,0.83,0.83
18,,,,,1.5,0.71,-1.5,1,122.5,0.91,123.5,0.83,122.5,,0.83,,1,,3,,11,,7,,2,,3,,53.8,,38,,0,1,2,53,1,2.01807E+13,21077,0.83,0.83
19,,,,,1.5,0.71,-1.5,1,122.5,0.91,122.5,0.77,122.5,,0.83,,1,,3,,11,,7,,2,,3,,53.8,,38,,0,1,2,45,1,2.01807E+13,21077,0.83,0.83
