,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,OD,PG,PI,S1,S2,S3,S4,S5,S6,SC,SC_a,SC_h,SD,SU,TD,TM,TO,TS,TT,TU,VC,VS,WA_ODD,WH_ODD
0,,,,,6.5,0.83,-6.5,0.83,146.5,0.83,146.5,0.83,,,,,,,,,,,,,,,,0.0,1,10.0,,0.0,0,20180721094825,,,0.0,0.0
1,,,,,6.5,0.83,-6.5,0.83,146.5,0.83,146.5,0.83,,,,,,,,,,,,,,,,0.0,1,10.0,,0.0,0,20180721095615.0,,,0.0,0.0
2,,,,,6.5,0.83,-6.5,0.83,146.5,0.83,146.5,0.83,,,,,,,,,,,,,,,,0.0,1,10.0,,0.0,0,20180721095615.0,,,0.0,0.0
3,,,,,6.5,0.83,-6.5,0.83,146.5,0.83,146.5,0.83,,,,,,,,,,,,,,,,0.0,1,10.0,,0.0,0,20180721095823.0,,,0.0,0.0
4,,,,,6.5,0.83,-6.5,0.83,146.5,0.83,146.5,0.83,,,,,,,,,,,,,,,,0.0,1,10.0,1~GD,0.0,0,20180721095823.0,,,0.0,0.0
5,,,,,6.5,0.83,-6.5,0.83,146.5,0.83,146.5,0.83,,,,,,,,,,,,,,,0.0,0.0,1,10.0,1~GD,0.0,1.0,20180721100032.0,,,0.0,0.0
6,,,,,6.5,0.83,-6.5,0.83,146.5,0.83,146.5,0.83,,,,,0.0,0.0,0.0,0.0,5.0,0.0,0.0,,,,0.0,0.0,1,10.0,1~GD,0.0,1.0,20180721100032.0,1087.0,,0.0,0.0
7,,,,,6.5,0.83,-6.5,0.83,146.5,0.83,146.5,0.83,,,,,0.0,0.0,0.0,0.0,5.0,0.0,0.0,,,,0.0,0.0,1,9.0,1~GD,57.0,1.0,20180721100034.0,1087.0,,0.0,0.0
8,,,,,6.5,0.83,-6.5,0.83,146.5,0.83,146.5,0.83,,,,,0.0,0.0,0.0,0.0,5.0,0.0,0.0,,,,0.0,0.0,1,9.0,1~GD,57.0,0.0,20180721100034.0,11077.0,,0.0,0.0
9,,,,,6.5,0.83,-6.5,0.83,146.5,0.83,146.5,0.83,,,,,0.0,0.0,0.0,0.0,5.0,0.0,0.0,,,,0.0,0.0,1,9.0,1~GD,57.0,0.0,20180721100038.0,11077.0,,0.0,0.0
10,,,,,6.5,0.83,-6.5,0.83,146.5,0.83,146.5,0.83,,,,,0.0,0.0,0.0,0.0,5.0,0.0,0.0,,,,0.0,0.0,1,9.0,1~GD,57.0,0.0,20180721100038.0,21086.0,,0.0,0.0
11,,,,,6.5,0.83,-6.5,0.83,146.5,0.83,146.5,0.83,,,,,0.0,0.0,0.0,0.0,5.0,0.0,0.0,,,,0.0,0.0,1,9.0,1~GD,57.0,0.0,20180721100041.0,21086.0,,0.0,0.0
12,,,,,6.5,0.83,-6.5,0.83,146.5,0.83,146.5,0.83,,,,,0.0,0.0,0.0,0.0,5.0,0.0,0.0,,,,0.0,0.0,1,9.0,1~GD,57.0,0.0,20180721100041.0,21086.0,,0.0,0.0
13,,,,,6.5,0.83,-6.5,0.83,146.5,0.83,146.5,0.83,,,,,0.0,0.0,0.0,0.0,5.0,0.0,0.0,,,,0.0,0.0,1,9.0,1~GD,57.0,0.0,20180721100042.0,21086.0,,0.0,0.0
14,,,,,6.5,0.83,-6.5,0.83,146.5,0.83,146.5,0.83,,,,,0.0,0.0,0.0,0.0,5.0,0.0,0.0,,,,0.0,0.0,1,9.0,1~GD,57.0,0.0,20180721100042.0,21086.0,,0.0,0.0
15,,,,,6.5,0.83,-6.5,0.83,146.5,0.83,146.5,0.83,,,,,0.0,0.0,0.0,0.0,5.0,0.0,0.0,,,,0.0,0.0,1,9.0,1~GD,57.0,1.0,20180721100051.0,21086.0,,0.0,0.0
16,,,,,6.5,0.83,-6.5,0.83,145.5,0.83,146.5,0.83,145.5,,,,0.0,0.0,0.0,0.0,5.0,0.0,0.0,,,,0.0,0.0,1,9.0,1~GD,57.0,1.0,20180721100051.0,21086.0,,0.0,0.0
17,,,,,6.5,0.83,-6.5,0.83,145.5,0.83,145.5,0.83,145.5,,,,0.0,0.0,0.0,0.0,5.0,0.0,0.0,,,,0.0,0.0,1,9.0,1~GD,49.0,1.0,20180721100059.0,21086.0,,0.0,0.0
18,,,,,6.5,0.83,-6.5,0.83,145.5,0.8,145.5,0.87,145.5,,,,0.0,0.0,0.0,0.0,5.0,0.0,0.0,,,,0.0,0.0,1,9.0,1~GD,49.0,1.0,20180721100059.0,21086.0,,0.0,0.0
19,,,,,6.5,0.83,-6.5,0.83,145.5,0.8,145.5,0.87,145.5,,,,0.0,0.0,0.0,0.0,5.0,0.0,0.0,,,,0.0,0.0,1,9.0,1~GD,41.0,1.0,20180721100107.0,21086.0,,0.0,0.0
20,,,,,6.5,0.83,-6.5,0.83,147.5,0.83,145.5,0.83,147.5,,0.0,,0.0,0.0,0.0,0.0,5.0,0.0,0.0,,,,0.0,0.0,1,9.0,1~GD,41.0,1.0,20180721100107.0,21086.0,,0.0,0.0
21,,,,,6.5,0.83,-6.5,0.83,147.5,0.83,147.5,0.83,147.5,,0.0,,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1,9.0,1~GD,40.0,1.0,20180721100108.0,21086.0,,0.0,0.0
22,,,,,7.5,0.87,-7.5,0.83,147.5,0.83,147.5,0.83,7.5,,0.0,,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1,9.0,1~GD,40.0,1.0,20180721100108.0,21086.0,,0.0,0.0
23,,,,,7.5,0.87,-7.5,0.8,147.5,0.83,147.5,0.83,-7.5,,0.0,,0.0,0.0,1.0,0.0,5.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1,9.0,1~GD,37.0,1.0,20180721100111.0,11074.0,,0.0,0.0
24,,,,,7.5,0.87,-7.5,0.8,146.5,0.83,147.5,0.83,146.5,,0.0,,0.0,0.0,1.0,0.0,5.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1,9.0,1~GD,37.0,1.0,20180721100111.0,21077.0,,0.0,0.0
25,,,,,7.5,0.87,-7.5,0.8,146.5,0.83,146.5,0.83,146.5,,0.0,,0.0,0.0,1.0,0.0,5.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1,9.0,1~GD,29.0,1.0,20180721100119.0,21077.0,,0.0,0.0
26,,,,,7.5,0.87,-7.5,0.8,148.5,0.87,146.5,0.8,148.5,,0.0,,0.0,0.0,1.0,0.0,5.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1,9.0,1~GD,29.0,1.0,20180721100119.0,21077.0,,0.0,0.0
27,,,,,7.5,0.87,-7.5,0.8,148.5,0.87,148.5,0.8,148.5,,0.0,,0.0,0.0,1.0,0.0,5.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,1,9.0,1~GD,26.0,1.0,20180721100122.0,21077.0,,0.0,0.0
28,,,,,6.5,0.83,-6.5,0.8,148.5,0.87,148.5,0.8,6.5,,0.0,,0.0,0.0,1.0,0.0,5.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,1,9.0,1~GD,26.0,1.0,20180721100122.0,21074.0,,0.0,0.0
29,,,,,6.5,0.83,-6.5,0.83,148.5,0.83,148.5,0.83,-6.5,,0.0,,0.0,0.0,1.0,0.0,5.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,1,9.0,1~GD,24.0,1.0,20180721100123.0,21074.0,,0.0,0.0
