,AM,AS,CP,DO,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,HO,MD,OD,PG,PI,RO,S1,S1_a,S2,S2_a,S3,S3_a,S4,S4_a,S5,S5_a,S6,S6_a,SC,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,,,,-2.5,0.87,2.5,0.8,127.5,0.83,127.5,0.83,,,,,,,,,0,,0,,0,,5,,0,,0.0,,0,,0.0,1,9.0,59.0,1,20180721112043,11077,0.71,1.0
1,,,,,,-2.5,0.87,2.5,0.8,126.5,0.87,127.5,0.8,126.5,,,,,,,,0,,0,,0,,5,,0,,0.0,,0,,0.0,1,9.0,59.0,1,20180721112043,11077,0.71,1.0
2,,,,,,-2.5,0.87,2.5,0.8,126.5,0.87,126.5,0.8,126.5,,,,,,,,0,,0,,0,,5,,0,,0.0,,0,,0.0,1,9.0,51.0,1,20180721112051.0,11077,0.71,1.0
3,,,,,,-1.5,0.8,1.5,0.8,126.5,0.87,126.5,0.8,-1.5,,,,,,,,0,,0,,0,,5,,0,,0.0,,0,,0.0,1,9.0,51.0,1,20180721112051.0,11077,0.71,1.0
4,,,,,,-1.5,0.8,1.5,0.87,126.5,0.83,126.5,0.83,1.5,,,,,,,,0,,0,,0,,5,,0,,0.0,,0,,0.0,1,9.0,46.0,0.0,20180721112057.0,11077,0.71,1.0
5,,,,,,-1.5,0.8,1.5,0.87,126.5,0.83,126.5,0.83,1.5,,,,,,,,0,,0,,0,,5,,0,,0.0,,0,,0.0,1,9.0,46.0,0.0,20180721112057.0,11077,0.71,1.0
6,,,,,,-1.5,0.8,1.5,0.87,126.5,0.83,126.5,0.83,1.5,,,,,,,,0,,0,,0,,5,,0,,0.0,,0,,0.0,1,9.0,46.0,1.0,20180721112114.0,11077,0.71,1.0
7,,,,,,-1.5,0.8,1.5,0.87,126.5,0.83,126.5,0.83,1.5,,,,,,,,0,,0,,0,,5,,0,,0.0,,0,,0.0,1,9.0,45.0,1.0,20180721112114.0,11077,0.71,1.0
8,,,,,,-1.5,0.8,1.5,0.87,126.5,0.83,126.5,0.83,1.5,,,0.66,,,,,0,,0,,0,,5,,0,,0.0,,0,,0.0,1,9.0,45.0,1.0,20180721112115.0,11077,0.71,1.0
9,,,,,,-1.5,0.8,1.5,0.87,126.5,0.83,126.5,0.83,1.5,,,1.1,,,,,0,,0,,0,,5,,0,,0.0,,0,,0.0,1,9.0,48.0,1.0,20180721112115.0,11077,0.71,1.0
10,,,,,,-2.5,0.87,2.5,0.87,126.5,0.83,126.5,0.83,-2.5,,,1.1,,,,,0,,0,,0,,5,,0,,0.0,,0,,0.0,1,9.0,48.0,1.0,20180721112115.0,11077,0.71,1.0
