,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,MD,OD,PG,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD,XY
0,,,,,14.5,0.8333333333333334,-14.5,0.8333333333333334,151.5,0.7692307692307693,151.5,0.9090909090909091,,,,,,,0,1,0.0,33.0,1,20180913152905,11077,10.5,0.016666666666666666,
1,,,,,14.5,0.8333333333333334,-14.5,0.8333333333333334,150.5,0.8333333333333334,150.5,0.8333333333333334,,,0.015151515151515152,,,,0,1,0.0,24.0,1,20180913152913.0,11077,10.5,0.016666666666666666,
2,,,,,14.5,0.8333333333333334,-14.5,0.8333333333333334,149.5,0.9090909090909091,149.5,0.7692307692307693,,,0.015151515151515152,,,,0,1,0.0,16.0,1,20180913152921.0,11077,10.5,0.016666666666666666,
3,,,,,14.5,0.8333333333333334,-14.5,0.8333333333333334,151.5,0.8695652173913043,151.5,0.8,,,0.011111111111111112,^,63.0,49.0,0,1,0.0,12.0,1,20180913152925.0,11074^21077,10.5,0.016666666666666666,^
4,,,,,14.5,0.8333333333333334,-14.5,0.8333333333333334,151.5,0.8695652173913043,151.5,0.8,,,0.011111111111111112,,63.0,49.0,0,1,0.0,12.0,1,20180913152926.0,21077.0,10.5,0.016666666666666666,
5,,,,,14.5,0.8333333333333334,-14.5,0.8333333333333334,151.5,0.8695652173913043,151.5,0.8,6.0,,0.011111111111111112,,65.0,49.0,0,1,0.0,4.0,1,20180913152933.0,21077.0,10.5,0.016666666666666666,
6,,,,,14.5,0.8333333333333334,-14.5,0.8333333333333334,152.5,0.8,152.5,0.8695652173913043,7.0,,0.006666666666666667,,64.0,49.0,0,1,0.0,2.0,1,20180913152935.0,21077.0,10.5,0.016666666666666666,
7,,,,,14.5,0.8333333333333334,-14.5,0.8333333333333334,151.5,0.9090909090909091,151.5,0.7692307692307693,6.0,,0.005,,64.0,49.0,0,1,0.0,0.0,0.0,20180913152939.0,21077.0,10.5,0.016666666666666666,
8,,,,,14.5,0.8333333333333334,-14.5,0.8333333333333334,151.5,0.9090909090909091,151.5,0.7692307692307693,6.0,,0.005,,64.0,49.0,0,1,0.0,0.0,0.0,20180913152940.0,21077.0,10.5,0.016666666666666666,
9,,,,,14.5,0.8333333333333334,-14.5,0.8333333333333334,152.5,0.8,152.5,0.8695652173913043,7.0,,0.006666666666666667,^,64.0,49.0,0,1,0.0,3.0,0.0,20180913152948.0,11086^21077,10.5,0.016666666666666666,^
10,,,,,14.5,0.8333333333333334,-14.5,0.8333333333333334,153.5,0.8333333333333334,153.5,0.8333333333333334,7.0,,0.01,1:2,64.0,49.0,0,1,0.0,3.0,0.0,20180913152949.0,21078.0,10.5,0.016666666666666666,
11,,,,,14.5,0.8695652173913043,-14.5,0.8,152.5,0.8695652173913043,152.5,0.8,6.0,,0.006666666666666667,1:2^2:2,64.0,49.0,0,1,0.0,3.0,0.0,20180913153004.0,21080^21078,10.5,0.016666666666666666,^
12,,,,,14.5,0.8333333333333334,-14.5,0.8333333333333334,153.5,0.8,153.5,0.8695652173913043,6.0,,0.006666666666666667,2:2^,64.0,50.0,0,1,0.0,3.0,0.0,20180913153019.0,21079^11077,10.5,0.016666666666666666,^
13,,,,,14.5,0.8333333333333334,-14.5,0.8333333333333334,153.5,0.8,153.5,0.8695652173913043,6.0,,0.006666666666666667,2:2^,64.0,50.0,0,1,0.0,2.0,0.0,20180913153019.0,21079^11077,10.5,0.016666666666666666,^
14,,,,,14.5,0.8333333333333334,-14.5,0.8333333333333334,153.5,0.8,153.5,0.8695652173913043,6.0,,0.006666666666666667,,64.0,50.0,0,1,0.0,3.0,0.0,20180913153030.0,11077.0,10.5,0.016666666666666666,
15,,,,,14.5,0.8333333333333334,-14.5,0.8333333333333334,153.5,0.7692307692307693,153.5,0.9090909090909091,6.0,,0.006666666666666667,,64.0,50.0,0,1,0.0,0.0,0.0,20180913153033.0,11077.0,10.5,0.016666666666666666,
16,,,Q4,4th Quarter,14.5,0.8333333333333334,-14.5,0.8333333333333334,153.5,0.7692307692307693,153.5,0.9090909090909091,7.0,4.0,0.01,,64.0,50.0,0,1,10.0,0.0,0.0,20180913153033.0,1082.0,10.5,0.016666666666666666,
17,,,Q4,4th Quarter,14.5,0.8333333333333334,-14.5,0.8333333333333334,153.5,0.7692307692307693,153.5,0.9090909090909091,7.0,4.0,0.01,,64.0,50.0,0,1,10.0,0.0,0.0,20180913153055.0,1082.0,10.5,0.016666666666666666,
18,,,Q4,4th Quarter,14.5,0.8333333333333334,-14.5,0.8333333333333334,153.5,0.7692307692307693,153.5,0.9090909090909091,7.0,4.0,0.01,,64.0,50.0,0,1,10.0,0.0,0.0,20180913153220.0,1082.0,10.5,0.016666666666666666,
