,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,LA,LM,PG,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD,XY
0,,19.5,0.0,-19.5,0.0,133.5,0.8,133.5,0.8695652173913043,,,,,6,6,30.0,20.0,11,11,2,0,4,1,68.8,64.7,89,69,0,1,1.0,29.0,0,20180913084559,21077,0.37037037037037035,1.95,
1,,19.5,0.0,-19.5,0.0,132.5,0.8,132.5,0.8333333333333334,132.5,132.5,,,6,6,30.0,20.0,11,11,2,0,4,1,68.8,64.7,89,69,0,1,1.0,29.0,0,20180913084559,21077,0.37037037037037035,1.95,
2,,19.5,0.0,-19.5,0.0,132.5,0.8,134.5,0.8333333333333334,134.5,134.5,,,6,6,30.0,20.0,11,11,2,0,4,1,68.8,64.7,89,69,0,1,1.0,29.0,0,20180913084559,21077,0.35714285714285715,2.05,
3,,19.5,0.0,-19.5,0.0,132.5,0.8,134.5,0.8333333333333334,134.5,134.5,,,6,6,30.0,20.0,11,11,2,0,4,1,68.8,64.7,89,69,0,1,1.0,27.0,1.0,20180913084626.0,21077,0.30303030303030304,2.4,
4,,19.5,0.0,-19.5,0.0,133.5,0.8,133.5,0.8,133.5,133.5,,,6,6,30.0,20.0,11,11,2,0,4,1,68.8,64.7,89,69,0,1,1.0,27.0,1.0,20180913084626.0,21077,0.30303030303030304,2.4,
5,,19.5,0.0,-19.5,0.0,133.5,0.8333333333333334,133.5,0.8333333333333334,133.5,133.5,,,6,6,30.0,20.0,11,11,2,0,4,1,68.8,64.7,89,69,0,1,1.0,18.0,1.0,20180913084635.0,21077,0.30303030303030304,2.4,
6,,19.5,0.0,-19.5,0.0,133.5,0.8333333333333334,133.5,0.8333333333333334,133.5,133.5,,,6,6,30.0,21.0,11,11,2,0,4,1,68.8,64.7,89,69,0,1,1.0,18.0,1.0,20180913084635.0,11077.0,0.30303030303030304,2.4,
7,,18.5,0.0,-18.5,0.0,133.5,0.8333333333333334,133.5,0.8333333333333334,-18.5,133.5,,,6,6,30.0,21.0,11,11,2,0,4,1,68.8,64.7,89,69,0,1,1.0,18.0,1.0,20180913084635.0,11077.0,0.30303030303030304,2.4,
8,,18.5,0.0,-18.5,0.0,133.5,0.8333333333333334,133.5,0.8333333333333334,-18.5,133.5,,,6,6,30.0,21.0,11,11,2,0,4,1,68.8,64.7,89,69,0,1,1.0,18.0,1.0,20180913084635.0,11077.0,0.30303030303030304,2.4,
9,,18.5,0.0,-18.5,0.0,133.5,0.8333333333333334,133.5,0.8333333333333334,-18.5,133.5,,,6,6,30.0,21.0,11,11,2,0,4,1,68.8,64.7,89,69,0,1,1.0,18.0,0.0,20180913084637.0,11077.0,0.30303030303030304,2.4,
