,ED,HASA,HASA_ODD,HASH,HASH_ODD,LM,PG,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,XY
0,,38.5,0.8695652173913043,-38.5,0.8,,,,,0,1,3.0,41.0,1,20180913151746,21077,
1,,38.5,0.8333333333333334,-38.5,0.8333333333333334,,,,,0,1,3.0,30.0,1,20180913151753.0,21077,
2,,38.5,0.8333333333333334,-38.5,0.8333333333333334,,,,,0,1,3.0,22.0,1,20180913151801.0,21077,
3,,38.5,0.8333333333333334,-38.5,0.8333333333333334,,,,,0,1,3.0,21.0,1,20180913151802.0,21077,
4,,38.5,0.8,-38.5,0.8695652173913043,,,,,0,1,3.0,13.0,1,20180913151810.0,21077,
5,,39.5,0.8,-39.5,0.8695652173913043,,,,,0,1,3.0,12.0,1,20180913151811.0,11077.0,
6,,39.5,0.7692307692307693,-39.5,0.9090909090909091,,,,,0,1,3.0,6.0,1,20180913151818.0,11077.0,
7,,39.5,0.0,-39.5,0.0,,,,,0,1,2.0,57.0,1,20180913151826.0,11077.0,
8,,40.5,0.0,-40.5,0.0,,^,75.0,37.0,0,1,2.0,57.0,1,20180913151826.0,11074^21077,^
9,,40.5,0.0,-40.5,0.0,,,75.0,37.0,0,1,2.0,57.0,1,20180913151827.0,21077.0,
10,,39.5,0.0,-39.5,0.0,,,75.0,37.0,0,1,2.0,49.0,1,20180913151834.0,21077.0,
11,,40.5,0.0,-40.5,0.0,,,75.0,37.0,0,1,2.0,43.0,1,20180913151841.0,11077.0,
12,,40.5,0.0,-40.5,0.0,,,75.0,37.0,0,1,2.0,37.0,1,20180913151846.0,11077.0,
13,,40.5,0.0,-40.5,0.0,,,75.0,37.0,0,1,2.0,36.0,1,20180913151846.0,11077.0,
14,,41.5,0.0,-41.5,0.0,,^,77.0,37.0,0,1,2.0,31.0,1,20180913151853.0,11074^21077,^
15,,41.5,0.0,-41.5,0.0,,,77.0,37.0,0,1,2.0,29.0,1,20180913151854.0,21077.0,
16,,41.5,0.0,-41.5,0.0,,,77.0,37.0,0,1,2.0,20.0,1,20180913151903.0,21077.0,
17,,41.5,0.0,-41.5,0.0,,,77.0,37.0,0,1,2.0,13.0,1,20180913151910.0,21077.0,
18,,41.5,0.0,-41.5,0.0,,,77.0,37.0,0,1,2.0,5.0,1,20180913151918.0,21077.0,
19,,41.5,0.0,-41.5,0.0,,,77.0,37.0,0,1,2.0,4.0,1,20180913151919.0,21077.0,
20,,41.5,0.0,-41.5,0.0,,,77.0,37.0,0,1,2.0,1.0,1,20180913151919.0,21077.0,
21,,41.5,0.0,-41.5,0.0,,,77.0,37.0,0,1,1.0,58.0,1,20180913151926.0,21077.0,
22,,41.5,0.0,-41.5,0.0,,,77.0,37.0,0,1,1.0,50.0,1,20180913151934.0,21077.0,
23,,42.5,0.0,-42.5,0.0,,,77.0,37.0,0,1,1.0,45.0,1,20180913151939.0,11077.0,
24,,42.5,0.0,-42.5,0.0,,,77.0,37.0,0,1,1.0,44.0,1,20180913151939.0,11077.0,
